time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,638522_c,638522_h,638522_p,638522_r,638522_s,638524_c,638524_h,638524_p,638524_r,638524_s,638526_c,638526_h,638526_p,638526_r,638526_s,638528_c,638528_h,638528_p,638528_r,638528_s
2023-05-30 09:10:00,,22.85,42.8,26.9,32.55,26.76,28.9,"[28.2, 23.2, 28.9, 26.6, 26.9]",1.0,31.7,0.6,27.0,26.0,1.0,28.8,0.2,25.0,26.0,1.0,42.8,3.5,28.0,24.0,1.0,26.9,3.5,29.0,24.0
2023-05-30 09:15:00,,22.87,42.8,27.0,32.575,26.78,28.9,"[28.2, 23.3, 28.9, 26.6, 26.9]",1.0,31.7,0.6,27.0,26.0,1.0,28.8,0.2,25.0,26.0,1.0,42.8,3.4,28.0,24.0,1.0,27.0,,29.0,24.0
2023-05-30 09:20:00,,22.87,42.8,27.0,32.575,26.78,28.9,"[28.2, 23.3, 28.9, 26.6, 26.9]",1.0,31.7,0.6,27.0,26.0,1.0,28.8,0.2,25.0,26.0,1.0,42.8,3.5,28.0,24.0,1.0,27.0,3.5,29.0,24.0
2023-05-30 09:25:00,,22.89,42.8,27.0,32.575,26.76,28.9,"[28.2, 23.2, 28.9, 26.6, 26.9]",1.0,31.7,0.5,27.0,26.0,1.0,28.8,0.2,25.0,26.0,1.0,42.8,3.5,29.0,24.0,1.0,27.0,3.5,29.0,24.0
2023-05-30 09:30:00,,22.87,42.8,26.9,32.55,26.78,28.9,"[28.3, 23.2, 28.9, 26.6, 26.9]",1.0,31.7,0.5,27.0,26.0,1.0,28.8,0.2,25.0,26.0,1.0,42.8,3.5,28.0,24.0,1.0,26.9,3.5,29.0,24.0
2023-05-30 09:35:00,,22.85,42.4,26.9,32.45,26.6,28.6,"[27.8, 23.2, 28.6, 26.5, 26.9]",1.0,31.7,,26.0,25.0,1.0,28.8,,24.0,25.0,1.0,42.4,,27.0,24.0,1.0,26.9,,28.0,24.0
2023-05-30 09:40:00,,22.79,42.4,26.9,32.15,26.4,28.2,"[27.5, 23.1, 28.2, 26.4, 26.8]",1.0,31.7,4.4,26.0,25.0,1.0,27.6,0.2,24.0,25.0,1.0,42.4,3.5,27.0,24.0,1.0,26.9,3.6,28.0,24.0
2023-05-30 09:45:00,,22.78,41.7,26.7,31.725,26.160000000000004,27.8,"[27.1, 22.9, 27.8, 26.3, 26.7]",1.0,31.6,4.5,25.0,25.0,1.0,26.7,0.2,23.0,25.0,1.0,41.7,3.5,28.0,24.0,1.0,26.9,3.6,28.0,24.0
2023-05-30 09:50:00,,22.82,40.8,26.6,31.35,26.0,27.5,"[26.8, 22.8, 27.5, 26.2, 26.7]",1.0,31.3,4.5,25.0,25.0,1.0,26.6,0.2,23.0,25.0,1.0,40.8,3.5,27.0,24.0,1.0,26.7,3.5,28.0,24.0
2023-05-30 09:55:00,,22.92,40.8,26.5,31.3,25.860000000000003,27.3,"[26.6, 22.7, 27.3, 26.1, 26.6]",1.0,31.3,0.6,26.0,25.0,1.0,26.6,0.2,24.0,25.0,1.0,40.8,3.5,27.0,24.0,1.0,26.5,3.5,28.0,24.0
2023-05-30 10:10:00,,22.83,41.0,26.4,31.35,26.26,28.1,"[27.5, 22.9, 28.1, 26.2, 26.6]",1.0,31.0,0.6,27.0,26.0,1.0,27.0,0.2,24.0,26.0,1.0,41.0,3.4,28.0,25.0,1.0,26.4,3.6,28.0,25.0
2023-05-30 10:15:00,,22.83,41.7,26.5,31.75,26.32,28.3,"[27.6, 22.9, 28.3, 26.2, 26.6]",1.0,31.0,,27.0,26.0,1.0,27.8,,24.0,26.0,1.0,41.7,,28.0,25.0,1.0,26.5,,29.0,25.0
2023-05-30 10:20:00,,22.82,41.9,26.6,31.825,26.380000000000003,28.4,"[27.7, 22.9, 28.4, 26.3, 26.6]",1.0,31.0,0.6,27.0,26.0,1.0,27.8,0.2,24.0,26.0,1.0,41.9,3.5,28.0,25.0,1.0,26.6,3.55,28.0,25.0
2023-05-30 10:25:00,,22.87,42.1,26.6,31.9,26.42,28.4,"[27.8, 22.9, 28.4, 26.3, 26.7]",1.0,31.0,0.6,27.0,26.0,1.0,27.9,0.2,24.0,26.0,1.0,42.1,3.5,28.0,25.0,1.0,26.6,3.6,28.0,25.0
2023-05-30 10:30:00,,22.85,42.2,26.7,32.025,26.46,28.5,"[27.8, 23.0, 28.5, 26.3, 26.7]",1.0,31.0,0.6,27.0,26.0,1.0,28.2,0.2,25.0,26.0,1.0,42.2,3.6,28.0,25.0,1.0,26.7,3.6,29.0,25.0
2023-05-30 10:45:00,,22.91,42.3,26.8,32.15,26.54,28.6,"[28.0, 23.0, 28.6, 26.4, 26.7]",1.0,31.1,0.6,27.0,27.0,1.0,28.4,0.2,24.0,27.0,1.0,42.3,3.5,28.0,24.0,1.0,26.8,3.6,29.0,26.0
2023-05-30 10:50:00,,22.89,42.4,26.8,32.175000000000004,26.56,28.6,"[28.0, 23.1, 28.6, 26.4, 26.7]",1.0,31.1,0.6,27.0,27.0,1.0,28.4,0.2,25.0,27.0,1.0,42.4,3.5,29.0,24.0,1.0,26.8,3.6,29.0,26.0
2023-05-30 10:55:00,,22.86,42.4,26.9,32.25,26.58,28.7,"[28.0, 23.1, 28.7, 26.4, 26.7]",1.0,31.2,0.6,27.0,27.0,1.0,28.5,0.2,25.0,27.0,1.0,42.4,3.6,28.0,24.0,1.0,26.9,3.6,29.0,26.0
2023-05-30 11:10:00,,22.83,42.6,26.9,32.325,26.64,28.7,"[28.1, 23.1, 28.7, 26.5, 26.8]",1.0,31.3,0.6,27.0,28.0,1.0,28.5,0.2,25.0,28.0,1.0,42.6,3.5,28.0,24.0,1.0,26.9,3.65,29.0,27.0
2023-05-30 11:15:00,,22.83,42.6,26.9,32.35,26.64,28.7,"[28.1, 23.1, 28.7, 26.5, 26.8]",1.0,31.3,0.6,27.0,28.0,1.0,28.6,0.2,25.0,28.0,1.0,42.6,3.5,28.0,24.0,1.0,26.9,3.7,29.0,27.0
2023-05-30 11:20:00,,22.83,42.6,26.9,32.35,26.64,28.7,"[28.1, 23.2, 28.7, 26.4, 26.8]",1.0,31.3,0.6,27.0,28.0,1.0,28.6,0.2,25.0,28.0,1.0,42.6,3.6,29.0,24.0,1.0,26.9,3.7,29.0,27.0
2023-05-30 11:25:00,,22.85,42.7,27.0,32.425,26.660000000000004,28.8,"[28.1, 23.1, 28.8, 26.5, 26.8]",1.0,31.4,0.6,27.0,28.0,1.0,28.6,0.2,25.0,28.0,1.0,42.7,3.6,28.0,24.0,1.0,27.0,3.7,29.0,27.0
2023-05-30 11:30:00,,22.8,42.7,27.0,32.45,26.68,28.8,"[28.1, 23.2, 28.8, 26.5, 26.8]",1.0,31.4,0.6,27.0,28.0,1.0,28.7,0.2,25.0,28.0,1.0,42.7,3.6,28.0,24.0,1.0,27.0,3.7,29.0,27.0
2023-05-30 11:35:00,,22.73,42.7,27.0,32.45,26.68,28.8,"[28.1, 23.2, 28.8, 26.5, 26.8]",1.0,31.4,0.6,27.0,29.0,1.0,28.7,0.2,25.0,29.0,1.0,42.7,3.6,28.0,24.0,1.0,27.0,3.7,29.0,28.0
2023-05-30 11:40:00,,22.85,42.8,27.0,32.5,26.7,28.8,"[28.2, 23.2, 28.8, 26.5, 26.8]",1.0,31.5,0.6,27.0,29.0,1.0,28.7,0.2,25.0,29.0,1.0,42.8,3.6,28.0,24.0,1.0,27.0,3.7,29.0,28.0
2023-05-30 11:45:00,,22.84,42.8,27.1,32.525,26.84,28.8,"[28.2, 23.7, 28.8, 26.6, 26.9]",1.0,31.5,0.6,28.0,29.0,1.0,28.7,0.2,26.0,29.0,1.0,42.8,3.6,29.0,24.0,1.0,27.1,0.2,29.0,28.0
2023-05-30 11:50:00,,22.82,43.0,27.6,32.75,27.2,28.9,"[28.2, 24.9, 28.9, 26.9, 27.1]",1.0,31.5,0.6,28.0,29.0,1.0,28.9,0.2,26.0,29.0,1.0,43.0,3.7,30.0,24.0,1.0,27.6,3.9,29.0,28.0
2023-05-30 11:55:00,,22.9,43.0,27.9,32.9,27.12,28.9,"[28.3, 24.3, 28.9, 26.9, 27.2]",1.0,31.6,0.6,28.0,29.0,1.0,29.1,0.2,25.0,29.0,1.0,43.0,3.7,29.0,24.0,1.0,27.9,3.7,29.0,28.0
2023-05-30 12:10:00,,22.79,43.2,27.8,32.95,26.94,29.0,"[28.4, 23.5, 29.0, 26.7, 27.1]",1.0,31.7,0.6,28.0,26.0,1.0,29.1,0.2,25.0,26.0,1.0,43.2,3.7,29.0,23.0,1.0,27.8,3.7,29.0,26.0
