time,outdoor_t,room_total_power,env_avg,env_h,env_list,534815_c,534815_p,534815_r,534815_s,534816_c,534816_p,534816_r,534816_s,543141_c,543141_p,543141_r,543141_s,543142_c,543142_p,543142_r,543142_s,543143_c,543143_p,543143_r,543143_s,543144_c,543144_p,543144_r,543144_s,543145_c,543145_p,543145_r,543145_s
2023-05-30 09:10:00,,,23.90909090909091,27.2,"[25.5, 24.6, 24.1, 23.7, 22.9, 23.5, 22.8, 23.0, 23.1, 22.6, 27.2]",1.0,10.2,26.4,26.0,1.0,9.7,27.5,26.0,1.0,3.3,27.4,26.0,1.0,15.3,26.3,26.0,1.0,18.2,27.0,26.0,1.0,15.6,25.8,26.0,1.0,29.0,27.0,26.0
2023-05-30 09:25:00,,,23.92727272727273,27.2,"[25.5, 24.8, 24.3, 23.4, 23.0, 23.5, 22.7, 23.1, 23.1, 22.6, 27.2]",1.0,10.1,26.4,26.0,1.0,9.7,27.6,26.0,1.0,3.4,26.8,26.0,1.0,15.8,26.0,26.0,1.0,18.8,26.3,26.0,1.0,15.6,26.0,26.0,1.0,28.0,27.1,26.0
2023-05-30 09:30:00,,,23.8,27.2,"[25.3, 24.4, 23.9, 23.2, 22.8, 23.4, 22.8, 23.1, 23.1, 22.6, 27.2]",1.0,9.8,26.4,26.0,1.0,9.5,27.4,26.0,1.0,15.3,26.4,26.0,1.0,15.5,26.1,26.0,1.0,18.5,26.1,26.0,1.0,15.4,25.8,26.0,1.0,15.4,27.0,26.0
2023-05-30 09:35:00,,,23.85454545454545,27.2,"[25.3, 24.7, 24.1, 23.1, 23.0, 23.5, 22.7, 23.1, 23.1, 22.6, 27.2]",1.0,10.3,26.4,26.0,1.0,9.4,27.4,26.0,1.0,3.6,27.0,26.0,1.0,15.2,26.1,26.0,1.0,18.3,26.1,26.0,1.0,15.3,25.9,26.0,1.0,15.1,27.3,26.0
2023-05-30 09:40:00,,,23.93636363636364,27.2,"[25.4, 25.0, 24.3, 23.3, 23.1, 23.5, 22.7, 23.1, 23.1, 22.6, 27.2]",1.0,9.9,26.4,26.0,1.0,9.5,27.6,26.0,1.0,27.6,25.2,26.0,1.0,15.5,25.9,26.0,1.0,18.2,26.1,26.0,1.0,15.3,26.1,26.0,1.0,16.1,27.5,26.0
2023-05-30 09:45:00,,,23.76363636363636,27.2,"[25.4, 24.3, 23.8, 23.2, 22.8, 23.4, 22.6, 23.0, 23.1, 22.6, 27.2]",1.0,10.4,26.4,26.0,1.0,9.6,27.4,26.0,1.0,3.6,27.2,26.0,1.0,15.4,26.0,26.0,1.0,6.8,26.5,26.0,1.0,15.2,25.6,26.0,1.0,15.8,26.8,26.0
2023-05-30 09:50:00,,,23.91818181818182,27.2,"[25.6, 24.5, 24.0, 23.8, 23.0, 23.4, 22.7, 23.1, 23.1, 22.7, 27.2]",1.0,10.1,26.4,26.0,1.0,9.4,27.5,26.0,1.0,3.4,26.8,26.0,1.0,15.6,26.4,26.0,1.0,17.9,27.3,26.0,1.0,15.5,25.8,26.0,1.0,14.8,27.3,26.0
2023-05-30 09:55:00,,,23.92727272727273,27.3,"[25.7, 24.4, 24.0, 23.7, 22.9, 23.4, 22.7, 23.1, 23.2, 22.8, 27.3]",1.0,10.2,26.5,26.0,1.0,9.4,27.6,26.0,1.0,17.6,25.5,26.0,1.0,15.6,26.1,26.0,1.0,18.2,26.8,26.0,1.0,15.2,25.7,26.0,1.0,28.8,26.7,26.0
2023-05-30 10:00:00,,,23.88181818181818,27.3,"[25.8, 24.4, 23.9, 23.5, 22.9, 23.4, 22.6, 23.1, 23.1, 22.7, 27.3]",1.0,10.4,26.5,26.0,1.0,9.4,27.4,26.0,1.0,3.6,26.1,26.0,1.0,15.5,26.2,26.0,1.0,18.4,26.6,26.0,1.0,15.2,25.7,26.0,1.0,15.6,27.2,26.0
2023-05-30 10:05:00,,,23.954545454545453,27.3,"[25.8, 24.7, 24.2, 23.6, 23.0, 23.4, 22.5, 23.1, 23.1, 22.8, 27.3]",1.0,10.2,26.5,26.0,1.0,9.4,27.4,26.0,1.0,3.4,26.4,26.0,1.0,15.5,26.0,26.0,1.0,18.2,26.6,26.0,1.0,15.0,25.9,26.0,1.0,15.3,27.5,26.0
2023-05-30 10:10:00,,,23.827272727272728,27.3,"[25.9, 24.2, 23.8, 23.4, 22.7, 23.3, 22.5, 23.1, 23.1, 22.8, 27.3]",1.0,10.1,26.5,26.0,1.0,9.0,27.4,26.0,1.0,16.0,26.8,26.0,1.0,15.3,26.1,26.0,1.0,18.3,26.4,26.0,1.0,15.6,25.6,26.0,1.0,15.3,26.8,26.0
2023-05-30 10:15:00,,,23.9,27.4,"[25.9, 24.5, 24.0, 23.4, 22.9, 23.3, 22.4, 23.1, 23.2, 22.8, 27.4]",1.0,10.2,26.5,26.0,1.0,9.6,27.4,26.0,1.0,3.6,27.0,26.0,1.0,15.5,26.1,26.0,1.0,18.8,26.5,26.0,1.0,15.2,25.8,26.0,1.0,15.0,27.1,26.0
2023-05-30 10:20:00,,,23.981818181818184,27.4,"[26.0, 24.9, 24.3, 23.4, 23.0, 23.3, 22.4, 23.1, 23.2, 22.8, 27.4]",1.0,10.1,26.5,26.0,1.0,9.5,27.6,26.0,1.0,28.5,25.2,26.0,1.0,15.8,25.8,26.0,1.0,18.5,26.5,26.0,1.0,15.6,25.9,26.0,1.0,15.5,27.4,26.0
