time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,581309_c,581309_h,581309_p,581309_r,581309_s
2023-05-30 09:00:00,,,,,,,,,,,0.39,,
2023-05-30 09:10:00,,,30.7,30.7,30.7,30.3,33.3,"[27.3, 33.3]",1.0,30.7,3.61,27.0,26.0
2023-05-30 09:15:00,,,30.7,30.7,30.7,30.200000000000003,33.1,"[27.3, 33.1]",1.0,30.7,0.46,27.0,26.0
2023-05-30 09:20:00,,,30.7,30.7,30.7,30.35,33.4,"[27.3, 33.4]",1.0,30.7,3.65,27.0,26.0
2023-05-30 09:25:00,,,30.7,30.7,30.7,30.3,33.3,"[27.3, 33.3]",1.0,30.7,3.67,27.0,26.0
2023-05-30 09:30:00,,,,,,30.200000000000003,33.1,"[27.3, 33.1]",1.0,,3.69,26.0,26.0
2023-05-30 09:35:00,,,30.7,30.7,30.7,30.3,33.3,"[27.3, 33.3]",1.0,30.7,0.36,28.0,26.0
2023-05-30 09:40:00,,,30.7,30.7,30.7,30.35,33.4,"[27.3, 33.4]",1.0,30.7,3.67,27.0,26.0
2023-05-30 09:45:00,,,30.7,30.7,30.7,30.3,33.3,"[27.3, 33.3]",1.0,30.7,3.66,26.0,26.0
2023-05-30 09:50:00,,,30.7,30.7,30.7,30.4,33.5,"[27.3, 33.5]",1.0,30.7,3.63,27.0,26.0
2023-05-30 09:55:00,,,30.7,30.7,30.7,30.4,33.5,"[27.3, 33.5]",1.0,30.7,3.68,26.0,26.0
2023-05-30 10:00:00,,,30.7,30.7,30.7,30.3,33.3,"[27.3, 33.3]",1.0,30.7,3.66,26.0,26.0
2023-05-30 10:05:00,,,30.7,30.7,30.7,30.3,33.3,"[27.3, 33.3]",1.0,30.7,3.91,28.0,26.0
2023-05-30 10:10:00,,,30.7,30.7,30.7,30.35,33.4,"[27.3, 33.4]",1.0,30.7,3.69,26.0,26.0
2023-05-30 10:15:00,,,30.7,30.7,30.7,30.25,33.2,"[27.3, 33.2]",1.0,30.7,3.67,26.0,26.0
2023-05-30 10:20:00,,,30.7,30.7,30.7,30.200000000000003,33.1,"[27.3, 33.1]",1.0,30.7,0.38,27.0,26.0
2023-05-30 10:25:00,,,30.7,30.7,30.7,30.3,33.3,"[27.3, 33.3]",1.0,30.7,0.36,28.0,26.0
2023-05-30 10:30:00,,,30.7,30.7,30.7,30.5,33.5,"[27.5, 33.5]",1.0,30.7,3.74,27.0,26.0
2023-05-30 10:45:00,,,30.8,30.8,30.8,30.35,33.3,"[27.4, 33.3]",1.0,30.8,3.72,27.0,26.0
2023-05-30 10:50:00,,,30.7,30.7,30.7,30.35,33.4,"[27.3, 33.4]",1.0,30.7,3.75,27.0,26.0
2023-05-30 10:55:00,,,30.7,30.7,30.7,30.3,33.3,"[27.3, 33.3]",1.0,30.7,3.8,26.0,26.0
2023-05-30 11:00:00,,,30.7,30.7,30.7,30.3,33.3,"[27.3, 33.3]",1.0,30.7,0.38,28.0,26.0
2023-05-30 11:05:00,,,30.7,30.7,30.7,30.4,33.5,"[27.3, 33.5]",1.0,30.7,3.81,27.0,26.0
2023-05-30 11:10:00,,,30.7,30.7,30.7,30.35,33.4,"[27.3, 33.4]",1.0,30.7,3.85,27.0,26.0
2023-05-30 11:15:00,,,30.7,30.7,30.7,30.25,33.2,"[27.3, 33.2]",1.0,30.7,3.8,26.0,26.0
2023-05-30 11:20:00,,,30.7,30.7,30.7,30.200000000000003,33.1,"[27.3, 33.1]",1.0,30.7,3.82,26.0,26.0
2023-05-30 11:25:00,,,30.6,30.6,30.6,30.1,33.0,"[27.2, 33.0]",1.0,30.6,3.78,26.0,26.0
2023-05-30 11:30:00,,,30.6,30.6,30.6,30.15,33.1,"[27.2, 33.1]",1.0,30.6,0.37,28.0,26.0
2023-05-30 11:35:00,,,30.6,30.6,30.6,30.25,33.3,"[27.2, 33.3]",1.0,30.6,3.84,27.0,26.0
2023-05-30 11:40:00,,,30.6,30.6,30.6,30.25,33.3,"[27.2, 33.3]",1.0,30.6,3.89,26.0,26.0
2023-05-30 11:45:00,,,30.6,30.6,30.6,30.1,33.1,"[27.1, 33.1]",1.0,30.6,3.82,27.0,26.0
2023-05-30 11:50:00,,,30.6,30.6,30.6,30.05,33.0,"[27.1, 33.0]",1.0,30.6,3.9,26.0,26.0
2023-05-30 11:55:00,,,30.5,30.5,30.5,30.2,33.3,"[27.1, 33.3]",1.0,30.5,0.38,28.0,26.0
2023-05-30 12:00:00,,,30.6,30.6,30.6,30.35,33.5,"[27.2, 33.5]",1.0,30.6,3.86,27.0,26.0
2023-05-30 12:05:00,,,30.6,30.6,30.6,30.3,33.4,"[27.2, 33.4]",1.0,30.6,3.87,26.0,26.0
2023-05-30 12:10:00,,,30.6,30.6,30.6,30.25,33.3,"[27.2, 33.3]",1.0,30.6,3.82,26.0,26.0
2023-05-30 12:15:00,,,30.6,30.6,30.6,30.15,33.2,"[27.1, 33.2]",1.0,30.6,0.39,28.0,26.0
2023-05-30 12:20:00,,,30.6,30.6,30.6,30.35,33.5,"[27.2, 33.5]",1.0,30.6,3.89,27.0,26.0
2023-05-30 12:25:00,,,30.6,30.6,30.6,30.25,33.3,"[27.2, 33.3]",1.0,30.6,3.95,26.0,26.0
2023-05-30 12:30:00,,,30.5,30.5,30.5,30.25,33.3,"[27.2, 33.3]",1.0,30.5,3.87,27.0,26.0
2023-05-30 12:35:00,,,30.5,30.5,30.5,30.1,33.1,"[27.1, 33.1]",1.0,30.5,3.87,26.0,26.0
2023-05-30 12:40:00,,,30.5,30.5,30.5,30.05,33.0,"[27.1, 33.0]",1.0,30.5,3.95,27.0,26.0
2023-05-30 12:45:00,,,30.5,30.5,30.5,30.0,32.9,"[27.1, 32.9]",1.0,30.5,0.44,27.0,26.0
2023-05-30 12:50:00,,,30.5,30.5,30.5,30.2,33.3,"[27.1, 33.3]",1.0,30.5,3.78,27.0,26.0
2023-05-30 12:55:00,,,30.5,30.5,30.5,30.3,33.4,"[27.2, 33.4]",1.0,30.5,3.96,27.0,26.0
2023-05-30 13:00:00,,,30.5,30.5,30.5,30.2,33.3,"[27.1, 33.3]",1.0,30.5,3.96,27.0,26.0
2023-05-30 13:05:00,,,30.5,30.5,30.5,30.1,33.1,"[27.1, 33.1]",1.0,30.5,3.98,26.0,26.0
2023-05-30 13:10:00,,,30.5,30.5,30.5,30.1,33.0,"[27.2, 33.0]",1.0,30.5,4.02,26.0,26.0
2023-05-30 13:15:00,,,30.5,30.5,30.5,30.05,33.0,"[27.1, 33.0]",1.0,30.5,3.95,26.0,26.0
2023-05-30 13:20:00,,,30.6,30.6,30.6,30.05,32.9,"[27.2, 32.9]",1.0,30.6,3.93,26.0,26.0
2023-05-30 13:25:00,,,30.6,30.6,30.6,30.15,33.1,"[27.2, 33.1]",1.0,30.6,0.37,28.0,26.0
2023-05-30 13:30:00,,,30.5,30.5,30.5,30.25,33.3,"[27.2, 33.3]",1.0,30.5,4.03,27.0,26.0
2023-05-30 13:35:00,,,30.5,30.5,30.5,30.25,33.3,"[27.2, 33.3]",1.0,30.5,3.97,26.0,26.0
