time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3808840_c,3808840_h,3808840_r,3808840_s,600238_c,600238_h,600238_r,600238_s,600242_c,600242_h,600242_r,600242_s
2023-05-30 09:10:00,,32.0,36.0,29.3,33.73333333333333,30.133333333333336,32.6,"[30.2, 27.6, 32.6]",1.0,36.0,25.1,24.0,1.0,29.3,27.0,27.0,1.0,35.9,29.4,26.0
2023-05-30 09:15:00,,32.0,36.0,29.3,33.73333333333333,30.03333333333333,32.5,"[30.2, 27.4, 32.5]",1.0,36.0,24.8,24.0,1.0,29.3,27.0,27.0,1.0,35.9,29.5,26.0
2023-05-30 09:20:00,,32.0,35.9,29.2,33.6,29.96666666666667,32.5,"[30.2, 27.2, 32.5]",1.0,35.9,24.8,24.0,1.0,29.2,27.0,27.0,1.0,35.7,29.5,26.0
2023-05-30 09:25:00,,32.0,35.8,29.1,33.5,29.9,32.5,"[30.1, 27.1, 32.5]",1.0,35.8,24.7,24.0,1.0,29.1,27.0,27.0,1.0,35.6,29.5,26.0
2023-05-30 09:30:00,,32.0,35.7,29.0,33.4,29.83333333333333,32.5,"[30.1, 26.9, 32.5]",1.0,35.7,24.6,24.0,1.0,29.0,27.0,27.0,1.0,35.5,29.4,26.0
2023-05-30 09:35:00,,32.0,35.7,28.9,33.36666666666667,30.0,32.5,"[30.1, 27.4, 32.5]",1.0,35.7,25.5,24.0,1.0,28.9,27.0,27.0,1.0,35.5,29.5,26.0
2023-05-30 09:40:00,,32.0,35.7,29.0,33.43333333333334,30.1,32.5,"[30.1, 27.7, 32.5]",1.0,35.7,25.5,24.0,1.0,29.0,27.0,27.0,1.0,35.6,29.5,26.0
2023-05-30 09:45:00,,32.0,35.9,29.1,33.56666666666667,30.133333333333336,32.5,"[30.1, 27.8, 32.5]",1.0,35.9,26.0,24.0,1.0,29.1,27.0,27.0,1.0,35.7,29.6,26.0
2023-05-30 09:50:00,,32.0,35.9,29.2,33.666666666666664,30.166666666666668,32.5,"[30.2, 27.8, 32.5]",1.0,35.9,26.0,24.0,1.0,29.2,27.0,27.0,1.0,35.9,29.6,26.0
2023-05-30 09:55:00,,32.0,36.0,29.2,33.733333333333334,30.166666666666668,32.6,"[30.2, 27.7, 32.6]",1.0,36.0,26.2,24.0,1.0,29.2,27.0,27.0,1.0,36.0,29.8,26.0
2023-05-30 10:10:00,,32.0,36.2,29.5,33.96666666666667,30.23333333333333,32.6,"[30.3, 27.8, 32.6]",1.0,36.2,25.1,24.0,1.0,29.5,27.0,27.0,1.0,36.2,29.6,26.0
2023-05-30 10:15:00,,32.0,36.1,29.4,33.86666666666667,30.2,32.6,"[30.3, 27.7, 32.6]",1.0,36.1,25.1,24.0,1.0,29.4,27.0,27.0,1.0,36.1,29.5,26.0
2023-05-30 10:20:00,,32.0,36.1,29.4,33.833333333333336,30.166666666666668,32.6,"[30.3, 27.6, 32.6]",1.0,36.1,24.9,24.0,1.0,29.4,27.0,27.0,1.0,36.0,29.5,26.0
2023-05-30 10:25:00,,32.0,35.9,29.3,33.666666666666664,30.03333333333333,32.5,"[30.2, 27.4, 32.5]",1.0,35.9,24.8,24.0,1.0,29.3,27.0,27.0,1.0,35.8,29.5,26.0
2023-05-30 10:30:00,,32.0,35.8,29.2,33.56666666666667,30.0,32.5,"[30.2, 27.3, 32.5]",1.0,35.8,24.8,24.0,1.0,29.2,27.0,27.0,1.0,35.7,29.5,26.0
2023-05-30 10:45:00,,32.0,35.7,29.0,33.36666666666667,29.83333333333333,32.5,"[30.1, 26.9, 32.5]",1.0,35.7,24.6,24.0,1.0,29.0,27.0,27.0,1.0,35.4,29.4,26.0
2023-05-30 10:50:00,,32.0,35.6,28.9,33.300000000000004,29.8,32.5,"[30.1, 26.8, 32.5]",1.0,35.6,24.5,24.0,1.0,28.9,27.0,27.0,1.0,35.4,29.4,26.0
2023-05-30 10:55:00,,32.0,35.6,28.9,33.266666666666666,29.7,32.3,"[29.9, 26.9, 32.3]",1.0,35.6,24.5,24.0,1.0,28.9,27.0,27.0,1.0,35.3,29.4,26.0
2023-05-30 11:00:00,,32.0,35.4,28.7,33.1,29.83333333333333,32.5,"[29.9, 27.1, 32.5]",1.0,35.4,24.3,24.0,1.0,28.7,27.0,27.0,1.0,35.2,29.3,26.0
2023-05-30 11:05:00,,32.0,35.5,28.7,33.13333333333333,29.83333333333333,32.3,"[29.9, 27.3, 32.3]",1.0,35.5,24.3,24.0,1.0,28.7,27.0,27.0,1.0,35.2,29.5,26.0
2023-05-30 11:10:00,,32.0,35.5,28.8,33.23333333333333,30.03333333333333,32.5,"[29.9, 27.7, 32.5]",1.0,35.5,25.2,24.0,1.0,28.8,27.0,27.0,1.0,35.4,29.6,26.0
2023-05-30 11:15:00,,32.0,35.6,28.9,33.333333333333336,30.066666666666663,32.5,"[30.1, 27.6, 32.5]",1.0,35.6,25.8,24.0,1.0,28.9,27.0,27.0,1.0,35.5,29.6,26.0
2023-05-30 11:20:00,,32.0,35.7,29.0,33.46666666666667,30.066666666666663,32.5,"[30.1, 27.6, 32.5]",1.0,35.7,26.0,24.0,1.0,29.0,27.0,27.0,1.0,35.7,29.6,26.0
2023-05-30 11:25:00,,32.0,36.0,29.1,33.63333333333333,30.2,32.5,"[30.2, 27.9, 32.5]",1.0,36.0,26.3,24.0,1.0,29.1,27.0,27.0,1.0,35.8,29.7,26.0
2023-05-30 11:30:00,,32.0,36.1,29.3,33.800000000000004,30.266666666666666,32.5,"[30.2, 28.1, 32.5]",1.0,36.1,26.3,24.0,1.0,29.3,28.0,27.0,1.0,36.0,29.7,26.0
2023-05-30 11:35:00,,32.0,36.1,29.4,33.86666666666667,30.23333333333333,32.5,"[30.3, 27.9, 32.5]",1.0,36.1,26.1,24.0,1.0,29.4,27.0,27.0,1.0,36.1,29.7,26.0
2023-05-30 11:40:00,,32.0,36.1,29.5,33.9,30.2,32.5,"[30.3, 27.8, 32.5]",1.0,36.1,25.1,24.0,1.0,29.5,27.0,27.0,1.0,36.1,29.6,26.0
2023-05-30 11:45:00,,32.0,36.1,29.4,33.86666666666667,30.2,32.6,"[30.3, 27.7, 32.6]",1.0,36.1,25.1,24.0,1.0,29.4,27.0,27.0,1.0,36.1,29.5,26.0
2023-05-30 11:50:00,,32.0,36.0,29.3,33.7,30.066666666666663,32.5,"[30.3, 27.4, 32.5]",1.0,36.0,24.9,24.0,1.0,29.3,27.0,27.0,1.0,35.8,29.5,26.0
2023-05-30 11:55:00,,32.0,35.9,29.2,33.63333333333333,30.0,32.5,"[30.2, 27.3, 32.5]",1.0,35.9,24.7,24.0,1.0,29.2,27.0,27.0,1.0,35.8,29.5,26.0
2023-05-30 12:10:00,,32.0,35.7,29.0,33.4,29.933333333333334,32.5,"[30.1, 27.2, 32.5]",1.0,35.7,24.7,24.0,1.0,29.0,27.0,27.0,1.0,35.5,29.5,26.0
2023-05-30 12:15:00,,32.0,35.7,29.0,33.43333333333334,30.1,32.5,"[30.1, 27.7, 32.5]",1.0,35.7,25.7,24.0,1.0,29.0,27.0,27.0,1.0,35.6,29.5,26.0
2023-05-30 12:20:00,,32.0,35.8,29.1,33.5,30.166666666666668,32.5,"[30.2, 27.8, 32.5]",1.0,35.8,26.0,24.0,1.0,29.1,27.0,27.0,1.0,35.6,29.6,26.0
2023-05-30 12:25:00,,32.0,35.8,29.2,33.56666666666667,30.166666666666668,32.5,"[30.2, 27.8, 32.5]",1.0,35.8,26.2,24.0,1.0,29.2,27.0,27.0,1.0,35.7,29.7,26.0
2023-05-30 12:30:00,,32.0,36.1,29.3,33.833333333333336,30.166666666666668,32.6,"[30.2, 27.7, 32.6]",1.0,36.1,26.3,24.0,1.0,29.3,28.0,27.0,1.0,36.1,29.7,26.0
2023-05-30 12:35:00,,32.0,36.2,29.4,33.9,30.166666666666668,32.6,"[30.3, 27.6, 32.6]",1.0,36.2,25.9,24.0,1.0,29.4,27.0,27.0,1.0,36.1,29.7,26.0
2023-05-30 12:40:00,,32.0,36.2,29.5,33.93333333333334,30.1,32.6,"[30.3, 27.4, 32.6]",1.0,36.2,25.1,24.0,1.0,29.5,27.0,27.0,1.0,36.1,29.6,26.0
2023-05-30 12:45:00,,32.0,36.1,29.4,33.833333333333336,30.03333333333333,32.6,"[30.2, 27.3, 32.6]",1.0,36.1,25.1,24.0,1.0,29.4,27.0,27.0,1.0,36.0,29.5,26.0
2023-05-30 12:50:00,,32.0,36.0,29.3,33.766666666666666,30.0,32.6,"[30.2, 27.2, 32.6]",1.0,36.0,24.8,24.0,1.0,29.3,27.0,27.0,1.0,36.0,29.4,26.0
2023-05-30 12:55:00,,32.0,35.9,29.3,33.666666666666664,29.933333333333334,32.5,"[30.2, 27.1, 32.5]",1.0,35.9,24.8,24.0,1.0,29.3,27.0,27.0,1.0,35.8,29.4,26.0
2023-05-30 13:10:00,,32.0,35.8,29.0,33.43333333333333,30.066666666666663,32.5,"[30.1, 27.6, 32.5]",1.0,35.8,24.6,24.0,1.0,29.0,27.0,27.0,1.0,35.5,29.5,26.0
2023-05-30 13:15:00,,32.0,35.9,29.1,33.53333333333333,30.133333333333336,32.5,"[30.1, 27.8, 32.5]",1.0,35.9,25.5,24.0,1.0,29.1,27.0,27.0,1.0,35.6,29.5,26.0
2023-05-30 13:20:00,,32.0,35.9,29.1,33.53333333333333,30.166666666666668,32.5,"[30.2, 27.8, 32.5]",1.0,35.9,26.0,24.0,1.0,29.1,27.0,27.0,1.0,35.6,29.7,26.0
2023-05-30 13:25:00,,32.0,36.1,29.2,33.73333333333333,30.166666666666668,32.6,"[30.2, 27.7, 32.6]",1.0,36.1,26.3,24.0,1.0,29.2,28.0,27.0,1.0,35.9,29.7,26.0
