time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3793980_c,3793980_h,3793980_p,3793980_r,3793980_s,3793981_c,3793981_h,3793981_p,3793981_r,3793981_s
2023-05-30 09:05:00,,,38.6,38.6,38.6,28.5,28.5,[28.5],1.0,38.6,1.9,27.0,28.0,1.0,38.6,0.1,26.0,29.0
2023-05-30 09:10:00,,,38.6,38.6,38.6,28.5,28.5,[28.5],1.0,38.6,1.9,27.0,28.0,1.0,38.6,0.1,26.0,29.0
2023-05-30 09:15:00,,,38.7,38.7,38.7,28.6,28.6,[28.6],1.0,38.7,1.9,27.0,28.0,1.0,38.7,0.1,27.0,29.0
2023-05-30 09:20:00,,,38.7,38.7,38.7,28.6,28.6,[28.6],1.0,38.7,1.7,27.0,28.0,1.0,38.7,0.1,26.0,29.0
2023-05-30 09:25:00,,,38.8,38.8,38.8,28.6,28.6,[28.6],1.0,38.8,1.7,27.0,28.0,1.0,38.8,0.1,26.0,29.0
2023-05-30 09:30:00,,,38.9,38.9,38.9,28.6,28.6,[28.6],1.0,38.9,1.7,27.0,28.0,1.0,38.9,0.1,27.0,29.0
2023-05-30 09:35:00,,,38.9,38.9,38.9,28.7,28.7,[28.7],1.0,38.9,1.9,27.0,27.0,1.0,38.9,0.1,26.0,28.0
2023-05-30 09:40:00,,,38.9,38.9,38.9,28.7,28.7,[28.7],1.0,38.9,1.9,27.0,27.0,1.0,38.9,0.1,26.0,28.0
2023-05-30 09:45:00,,,38.9,38.9,38.9,28.7,28.7,[28.7],1.0,38.9,2.0,27.0,27.0,1.0,38.9,0.1,26.0,28.0
2023-05-30 09:50:00,,,38.9,38.9,38.9,28.7,28.7,[28.7],1.0,38.9,1.9,27.0,27.0,1.0,38.9,0.1,26.0,28.0
2023-05-30 09:55:00,,,38.9,38.9,38.9,28.6,28.6,[28.6],1.0,38.9,1.9,27.0,27.0,1.0,38.9,0.1,26.0,28.0
2023-05-30 10:00:00,,,38.9,38.9,38.9,28.6,28.6,[28.6],1.0,38.9,1.9,27.0,27.0,1.0,38.9,0.1,26.0,28.0
2023-05-30 10:05:00,,,38.9,38.9,38.9,28.7,28.7,[28.7],1.0,38.9,1.9,28.0,27.0,1.0,38.9,0.1,26.0,28.0
2023-05-30 10:10:00,,,38.8,38.8,38.8,28.7,28.7,[28.7],1.0,38.8,2.1,27.0,26.0,1.0,38.8,0.1,26.0,27.0
2023-05-30 10:15:00,,,38.8,38.8,38.8,28.6,28.6,[28.6],1.0,38.8,2.1,27.0,26.0,1.0,38.8,0.1,26.0,27.0
2023-05-30 10:20:00,,,38.8,38.8,38.8,28.6,28.6,[28.6],1.0,38.8,2.1,27.0,26.0,1.0,38.8,0.1,26.0,27.0
2023-05-30 10:25:00,,,38.8,38.8,38.8,28.6,28.6,[28.6],1.0,38.8,2.1,27.0,26.0,1.0,38.8,0.1,26.0,27.0
2023-05-30 10:30:00,,,38.8,38.8,38.8,28.6,28.6,[28.6],1.0,38.8,2.1,27.0,26.0,1.0,38.8,0.1,26.0,27.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,,38.7,38.7,38.7,28.6,28.6,[28.6],1.0,38.7,2.4,27.0,25.0,1.0,38.7,0.1,26.0,26.0
2023-05-30 10:45:00,,,38.6,38.6,38.6,28.6,28.6,[28.6],1.0,38.6,2.4,27.0,25.0,1.0,38.6,0.1,26.0,26.0
2023-05-30 10:50:00,,,38.6,38.6,38.6,28.6,28.6,[28.6],1.0,38.6,2.4,27.0,25.0,1.0,38.6,0.1,25.0,26.0
2023-05-30 10:55:00,,,38.6,38.6,38.6,28.5,28.5,[28.5],1.0,38.6,2.4,27.0,25.0,1.0,38.6,0.1,26.0,26.0
2023-05-30 11:00:00,,,38.6,38.6,38.6,28.5,28.5,[28.5],1.0,38.6,2.4,27.0,25.0,1.0,38.6,0.1,25.0,26.0
2023-05-30 11:05:00,,,38.2,38.2,38.2,28.5,28.5,[28.5],1.0,38.2,,27.0,25.0,1.0,38.2,,26.0,26.0
2023-05-30 11:10:00,,,38.3,38.3,38.3,28.6,28.6,[28.6],1.0,38.3,,27.0,24.0,1.0,38.3,,26.0,25.0
2023-05-30 11:15:00,,,38.3,38.3,38.3,28.5,28.5,[28.5],1.0,38.3,,26.0,24.0,1.0,38.3,,25.0,25.0
2023-05-30 11:20:00,,,38.4,38.4,38.4,28.6,28.6,[28.6],1.0,38.4,,27.0,24.0,1.0,38.4,,25.0,25.0
2023-05-30 11:25:00,,,38.4,38.4,38.4,28.6,28.6,[28.6],1.0,38.4,2.9,27.0,24.0,1.0,38.4,0.1,25.0,25.0
2023-05-30 11:30:00,,,38.4,38.4,38.4,28.5,28.5,[28.5],1.0,38.4,2.9,26.0,24.0,1.0,38.4,0.1,25.0,25.0
2023-05-30 11:35:00,,,38.3,38.3,38.3,28.4,28.4,[28.4],1.0,38.3,2.7,27.0,25.0,1.0,38.3,0.1,25.0,26.0
2023-05-30 11:40:00,,,38.3,38.3,38.3,28.3,28.3,[28.3],1.0,38.3,2.6,26.0,25.0,1.0,38.3,0.1,25.0,26.0
2023-05-30 11:45:00,,,38.1,38.1,38.1,28.3,28.3,[28.3],1.0,38.1,2.4,26.0,25.0,1.0,38.1,0.1,25.0,26.0
2023-05-30 11:50:00,,,38.1,38.1,38.1,28.3,28.3,[28.3],1.0,38.1,2.7,26.0,25.0,1.0,38.1,0.1,25.0,26.0
2023-05-30 11:55:00,,,38.1,38.1,38.1,28.3,28.3,[28.3],1.0,38.1,2.4,26.0,25.0,1.0,38.1,0.1,25.0,26.0
2023-05-30 12:00:00,,,38.0,38.0,38.0,28.3,28.3,[28.3],1.0,38.0,2.4,26.0,25.0,1.0,38.0,0.1,25.0,26.0
2023-05-30 12:05:00,,,38.0,38.0,38.0,28.2,28.2,[28.2],1.0,38.0,2.4,26.0,25.0,1.0,38.0,0.1,25.0,26.0
2023-05-30 12:10:00,,,38.0,38.0,38.0,28.3,28.3,[28.3],1.0,38.0,2.9,26.0,24.0,1.0,38.0,0.1,25.0,25.0
2023-05-30 12:15:00,,,38.0,38.0,38.0,28.2,28.2,[28.2],1.0,38.0,2.7,26.0,24.0,1.0,38.0,0.1,25.0,25.0
2023-05-30 12:20:00,,,37.9,37.9,37.9,28.2,28.2,[28.2],1.0,37.9,2.7,26.0,24.0,1.0,37.9,0.1,25.0,25.0
2023-05-30 12:25:00,,,37.9,37.9,37.9,28.2,28.2,[28.2],1.0,37.9,2.7,26.0,24.0,1.0,37.9,0.1,25.0,25.0
2023-05-30 12:30:00,,,37.9,37.9,37.9,28.1,28.1,[28.1],1.0,37.9,2.7,26.0,24.0,1.0,37.9,0.1,25.0,25.0
2023-05-30 12:35:00,,,37.8,37.8,37.8,28.1,28.1,[28.1],1.0,37.8,2.5,26.0,25.0,1.0,37.8,0.1,25.0,26.0
2023-05-30 12:40:00,,,37.8,37.8,37.8,28.1,28.1,[28.1],1.0,37.8,2.4,26.0,25.0,1.0,37.8,0.1,25.0,26.0
2023-05-30 12:45:00,,,37.9,37.9,37.9,28.2,28.2,[28.2],1.0,37.9,2.7,26.0,25.0,1.0,37.9,0.1,25.0,26.0
2023-05-30 12:50:00,,,37.9,37.9,37.9,28.3,28.3,[28.3],1.0,37.9,2.7,27.0,25.0,1.0,37.9,0.1,25.0,26.0
2023-05-30 12:55:00,,,38.0,38.0,38.0,28.3,28.3,[28.3],1.0,38.0,2.5,26.0,25.0,1.0,38.0,0.1,25.0,26.0
2023-05-30 13:00:00,,,38.2,38.2,38.2,28.5,28.5,[28.5],1.0,38.2,2.5,26.0,25.0,1.0,38.2,0.1,25.0,26.0
2023-05-30 13:05:00,,,38.4,38.4,38.4,28.6,28.6,[28.6],1.0,38.4,2.5,26.0,25.0,1.0,38.4,0.1,25.0,26.0
2023-05-30 13:10:00,,,38.5,38.5,38.5,28.8,28.8,[28.8],1.0,38.5,2.7,26.0,24.0,1.0,38.5,0.1,26.0,25.0
2023-05-30 13:15:00,,,38.7,38.7,38.7,28.7,28.7,[28.7],1.0,38.7,2.8,26.0,24.0,1.0,38.7,1.1,24.0,25.0
2023-05-30 13:20:00,,,37.9,37.9,37.9,28.1,28.1,[28.1],1.0,37.9,2.5,25.0,24.0,1.0,37.9,1.5,23.0,25.0
2023-05-30 13:25:00,,,37.2,37.2,37.2,27.7,27.7,[27.7],1.0,37.2,2.2,24.0,24.0,1.0,37.2,2.4,23.0,25.0
2023-05-30 13:30:00,,,37.2,37.2,37.2,27.5,27.5,[27.5],1.0,37.2,2.3,24.0,24.0,1.0,37.2,0.1,24.0,25.0
2023-05-30 13:35:00,,,36.6,36.6,36.6,27.7,27.7,[27.7],1.0,36.6,2.2,25.0,25.0,1.0,36.6,0.1,25.0,26.0
2023-05-30 13:40:00,,,37.2,37.2,37.2,28.0,28.0,[28.0],1.0,37.2,2.5,26.0,25.0,1.0,37.2,0.1,25.0,26.0
2023-05-30 13:45:00,,,37.6,37.6,37.6,28.3,28.3,[28.3],1.0,37.6,2.5,26.0,25.0,1.0,37.6,0.1,25.0,26.0
2023-05-30 13:50:00,,,37.9,37.9,37.9,28.4,28.4,[28.4],1.0,37.9,2.3,26.0,25.0,1.0,37.9,0.1,25.0,26.0
2023-05-30 13:55:00,,,38.2,38.2,38.2,28.5,28.5,[28.5],1.0,38.2,2.5,26.0,25.0,1.0,38.2,0.1,25.0,26.0
2023-05-30 14:00:00,,,38.3,38.3,38.3,28.6,28.6,[28.6],1.0,38.3,2.5,26.0,25.0,1.0,38.3,0.1,25.0,26.0
2023-05-30 14:05:00,,,38.3,38.3,38.3,28.6,28.6,[28.6],1.0,38.3,2.7,26.0,24.0,1.0,38.3,0.1,25.0,25.0
2023-05-30 14:10:00,,,38.4,38.4,38.4,28.7,28.7,[28.7],1.0,38.4,2.7,26.0,24.0,1.0,38.4,0.1,25.0,25.0
2023-05-30 14:15:00,,,38.4,38.4,38.4,28.7,28.7,[28.7],1.0,38.4,2.7,26.0,24.0,1.0,38.4,0.1,25.0,25.0
2023-05-30 14:20:00,,,38.3,38.3,38.3,28.7,28.7,[28.7],1.0,38.3,2.7,26.0,24.0,1.0,38.3,0.1,25.0,25.0
2023-05-30 14:25:00,,,38.3,38.3,38.3,28.7,28.7,[28.7],1.0,38.3,2.5,25.0,24.0,1.0,38.3,0.1,24.0,25.0
2023-05-30 14:30:00,,,38.3,38.3,38.3,28.7,28.7,[28.7],1.0,38.3,2.7,25.0,24.0,1.0,38.3,0.1,25.0,25.0
2023-05-30 14:35:00,,,38.4,38.4,38.4,28.7,28.7,[28.7],1.0,38.4,2.5,25.0,25.0,1.0,38.4,0.1,24.0,26.0
2023-05-30 14:40:00,,,38.4,38.4,38.4,28.8,28.8,[28.8],1.0,38.4,2.5,26.0,25.0,1.0,38.4,0.1,25.0,26.0
2023-05-30 14:45:00,,,38.3,38.3,38.3,28.8,28.8,[28.8],1.0,38.3,2.5,26.0,25.0,1.0,38.3,0.1,25.0,26.0
2023-05-30 14:50:00,,,38.4,38.4,38.4,28.8,28.8,[28.8],1.0,38.4,2.7,27.0,25.0,1.0,38.4,0.1,25.0,26.0
2023-05-30 14:55:00,,,38.6,38.6,38.6,28.8,28.8,[28.8],1.0,38.6,2.5,26.0,25.0,1.0,38.6,0.1,25.0,26.0
2023-05-30 15:00:00,,,38.6,38.6,38.6,28.9,28.9,[28.9],1.0,38.6,2.5,26.0,25.0,1.0,38.6,0.1,26.0,26.0
2023-05-30 15:05:00,,,38.7,38.7,38.7,28.9,28.9,[28.9],1.0,38.7,2.7,26.0,24.0,1.0,38.7,0.1,25.0,25.0
2023-05-30 15:10:00,,,38.7,38.7,38.7,29.0,29.0,[29.0],1.0,38.7,2.7,27.0,24.0,1.0,38.7,0.1,25.0,25.0
2023-05-30 15:15:00,,,38.8,38.8,38.8,29.0,29.0,[29.0],1.0,38.8,2.7,26.0,24.0,1.0,38.8,0.1,25.0,25.0
2023-05-30 15:20:00,,,38.8,38.8,38.8,29.0,29.0,[29.0],,38.8,,,,,38.8,,,
2023-05-30 15:25:00,,,38.8,38.8,38.8,29.0,29.0,[29.0],1.0,38.8,2.7,26.0,24.0,1.0,38.8,0.1,25.0,25.0
2023-05-30 15:30:00,,,38.7,38.7,38.7,29.0,29.0,[29.0],1.0,38.7,2.7,26.0,24.0,1.0,38.7,0.1,25.0,25.0
