time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3806446_c,3806446_h,3806446_r,3806446_s,3806447_c,3806447_h,3806447_r,3806447_s
2023-05-30 09:05:00,,35.0,30.4,32.7,28.8,28.8,[28.8],1.0,30.4,27.6,27.0,1.0,35.0,27.5,25.0
2023-05-30 09:10:00,,35.0,31.1,33.05,28.8,28.8,[28.8],1.0,31.1,25.7,27.0,1.0,35.0,23.9,26.0
2023-05-30 09:15:00,,34.7,30.9,32.8,28.8,28.8,[28.8],1.0,30.9,27.3,27.0,1.0,34.7,26.7,26.0
2023-05-30 09:20:00,,34.7,31.6,33.150000000000006,28.8,28.8,[28.8],1.0,31.6,28.6,27.0,1.0,34.7,28.7,26.0
2023-05-30 09:25:00,,35.5,31.4,33.45,28.9,28.9,[28.9],1.0,31.4,25.1,27.0,1.0,35.5,23.3,26.0
2023-05-30 09:30:00,,35.1,31.2,33.15,28.8,28.8,[28.8],1.0,31.2,25.7,27.0,1.0,35.1,24.9,26.0
2023-05-30 09:35:00,,35.7,31.6,33.650000000000006,28.9,28.9,[28.9],1.0,31.6,28.5,27.0,1.0,35.7,28.3,26.0
2023-05-30 09:40:00,,34.9,31.6,33.25,28.8,28.8,[28.8],1.0,31.6,20.0,26.0,1.0,34.9,19.4,25.0
2023-05-30 09:45:00,,33.7,30.1,31.9,28.8,28.8,[28.8],1.0,30.1,22.2,26.0,1.0,33.7,21.9,25.0
2023-05-30 09:50:00,,34.2,30.1,32.150000000000006,28.8,28.8,[28.8],1.0,30.1,26.6,26.0,1.0,34.2,26.0,25.0
2023-05-30 09:55:00,,35.0,31.1,33.05,28.8,28.8,[28.8],1.0,31.1,27.6,26.0,1.0,35.0,27.0,25.0
2023-05-30 10:00:00,,34.6,30.7,32.65,28.8,28.8,[28.8],1.0,30.7,24.6,26.0,1.0,34.6,22.6,25.0
2023-05-30 10:05:00,,34.6,30.7,32.65,28.8,28.8,[28.8],1.0,30.7,27.9,26.0,1.0,34.6,27.6,25.0
2023-05-30 10:10:00,,35.4,31.2,33.3,28.8,28.8,[28.8],1.0,31.2,28.4,26.0,1.0,35.4,28.2,25.0
2023-05-30 10:15:00,,35.1,30.7,32.9,28.8,28.8,[28.8],1.0,30.7,25.5,24.0,1.0,35.1,24.1,25.0
2023-05-30 10:20:00,,35.1,31.1,33.1,28.8,28.8,[28.8],1.0,31.1,26.6,24.0,1.0,35.1,25.5,25.0
2023-05-30 10:25:00,,35.6,30.8,33.2,28.9,28.9,[28.9],1.0,30.8,24.6,24.0,1.0,35.6,23.9,25.0
2023-05-30 10:30:00,,35.2,31.0,33.1,28.9,28.9,[28.9],1.0,31.0,24.2,24.0,1.0,35.2,27.1,25.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,35.2,31.0,33.1,28.9,28.9,[28.9],1.0,31.0,26.4,24.0,1.0,35.2,26.1,25.0
2023-05-30 10:45:00,,35.0,30.9,32.95,28.9,28.9,[28.9],1.0,30.9,21.8,24.0,1.0,35.0,21.1,24.0
2023-05-30 10:50:00,,35.0,29.7,32.35,28.7,28.7,[28.7],1.0,29.7,20.0,24.0,1.0,35.0,19.4,24.0
2023-05-30 10:55:00,,33.5,29.7,31.6,28.7,28.7,[28.7],1.0,29.7,25.5,24.0,1.0,33.5,24.6,24.0
2023-05-30 11:00:00,,34.0,30.4,32.2,28.7,28.7,[28.7],1.0,30.4,25.6,24.0,1.0,34.0,24.8,24.0
2023-05-30 11:05:00,,32.7,29.2,30.950000000000003,28.6,28.6,[28.6],1.0,29.2,18.8,25.0,1.0,32.7,18.2,25.0
2023-05-30 11:10:00,,33.0,29.6,31.3,28.6,28.6,[28.6],1.0,29.6,23.1,25.0,1.0,33.0,22.6,25.0
2023-05-30 11:15:00,,33.9,30.5,32.2,28.6,28.6,[28.6],1.0,30.5,26.9,25.0,1.0,33.9,26.3,25.0
2023-05-30 11:20:00,,33.7,29.9,31.8,28.6,28.6,[28.6],1.0,29.9,19.6,25.0,1.0,33.7,19.0,25.0
2023-05-30 11:25:00,,32.8,29.3,31.05,28.5,28.5,[28.5],1.0,29.3,22.6,25.0,1.0,32.8,22.0,25.0
2023-05-30 11:30:00,,32.8,29.9,31.35,28.5,28.5,[28.5],1.0,29.9,26.6,25.0,1.0,32.8,25.8,25.0
2023-05-30 11:35:00,,34.4,29.9,32.15,28.6,28.6,[28.6],1.0,29.9,26.6,25.0,1.0,34.4,23.1,25.0
2023-05-30 11:40:00,,33.0,29.4,31.2,28.5,28.5,[28.5],1.0,29.4,19.3,26.0,1.0,33.0,18.6,26.0
2023-05-30 11:45:00,,32.9,29.5,31.2,28.5,28.5,[28.5],1.0,29.5,23.5,26.0,1.0,32.9,22.9,26.0
2023-05-30 11:50:00,,33.7,29.5,31.6,28.5,28.5,[28.5],1.0,29.5,27.1,26.0,1.0,33.7,26.6,26.0
2023-05-30 11:55:00,,33.7,30.3,32.0,28.6,28.6,[28.6],1.0,30.3,28.1,26.0,1.0,33.7,28.2,26.0
2023-05-30 12:00:00,,35.2,31.2,33.2,28.7,28.7,[28.7],1.0,31.2,27.9,26.0,1.0,35.2,27.3,26.0
2023-05-30 12:05:00,,33.6,29.9,31.75,28.6,28.6,[28.6],1.0,29.9,21.5,26.0,1.0,33.6,21.2,26.0
2023-05-30 12:10:00,,33.6,30.2,31.9,28.6,28.6,[28.6],1.0,30.2,25.3,27.0,1.0,33.6,24.5,27.0
2023-05-30 12:15:00,,34.6,30.9,32.75,28.7,28.7,[28.7],1.0,30.9,28.1,27.0,1.0,34.6,27.9,27.0
2023-05-30 12:20:00,,35.5,31.5,33.5,28.7,28.7,[28.7],1.0,31.5,28.7,27.0,1.0,35.5,28.9,27.0
2023-05-30 12:25:00,,36.2,32.0,34.1,28.8,28.8,[28.8],1.0,32.0,29.0,27.0,1.0,36.2,28.9,27.0
2023-05-30 12:30:00,,36.8,32.0,34.4,28.9,28.9,[28.9],1.0,32.0,29.4,27.0,1.0,36.8,29.6,27.0
2023-05-30 12:35:00,,36.8,31.8,34.3,29.0,29.0,[29.0],1.0,31.8,25.6,26.0,1.0,36.8,23.9,25.0
2023-05-30 12:40:00,,36.0,31.7,33.85,29.0,29.0,[29.0],1.0,31.7,27.8,26.0,1.0,36.0,27.3,25.0
2023-05-30 12:45:00,,36.2,31.8,34.0,29.0,29.0,[29.0],1.0,31.8,23.8,26.0,1.0,36.2,22.9,25.0
