time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3809957_c,3809957_h,3809957_p,3809957_r,3809957_s,3809958_c,3809958_h,3809958_p,3809958_r,3809958_s
2023-05-30 09:05:00,,17.8,30.2,28.9,29.55,28.4,28.4,[28.4],1.0,28.9,4.7,27.0,29.0,1.0,30.2,0.7,28.0,29.0
2023-05-30 09:10:00,,17.6,30.1,28.8,29.450000000000003,28.3,28.3,[28.3],1.0,28.8,4.9,27.0,29.0,1.0,30.1,0.7,28.0,29.0
2023-05-30 09:15:00,,12.8,30.1,29.0,29.55,28.3,28.3,[28.3],1.0,29.0,4.9,27.0,29.0,1.0,30.1,0.7,29.0,29.0
2023-05-30 09:20:00,,16.4,29.9,29.6,29.75,28.4,28.4,[28.4],1.0,29.6,0.7,28.0,29.0,1.0,29.9,0.7,29.0,29.0
2023-05-30 09:25:00,,15.8,30.0,29.8,29.9,28.5,28.5,[28.5],1.0,29.8,0.7,29.0,29.0,1.0,30.0,0.7,29.0,29.0
2023-05-30 09:30:00,,17.7,30.2,28.9,29.55,28.5,28.5,[28.5],1.0,28.9,4.8,28.0,29.0,1.0,30.2,0.7,29.0,29.0
2023-05-30 09:35:00,,18.0,30.2,28.9,29.55,28.5,28.5,[28.5],1.0,28.9,4.8,28.0,29.0,1.0,30.2,0.7,29.0,29.0
2023-05-30 09:40:00,,18.0,30.2,28.9,29.55,28.5,28.5,[28.5],1.0,28.9,4.8,27.0,29.0,1.0,30.2,0.7,28.0,29.0
2023-05-30 09:45:00,,16.0,30.1,28.8,29.450000000000003,28.4,28.4,[28.4],1.0,28.8,4.9,27.0,29.0,1.0,30.1,0.7,28.0,29.0
2023-05-30 09:50:00,,19.7,29.9,28.7,29.3,28.3,28.3,[28.3],1.0,28.7,4.9,27.0,29.0,1.0,29.9,0.7,28.0,29.0
2023-05-30 09:55:00,,13.7,29.9,28.8,29.35,28.3,28.3,[28.3],1.0,28.8,4.9,27.0,29.0,1.0,29.9,0.7,28.0,29.0
2023-05-30 10:00:00,,12.6,29.9,28.8,29.35,28.4,28.4,[28.4],1.0,28.8,0.7,28.0,29.0,1.0,29.9,0.7,29.0,29.0
2023-05-30 10:05:00,,14.8,30.1,29.5,29.8,28.5,28.5,[28.5],1.0,29.5,4.8,28.0,29.0,1.0,30.1,0.7,29.0,29.0
2023-05-30 10:10:00,,16.8,30.2,29.5,29.85,28.5,28.5,[28.5],1.0,29.5,4.8,28.0,29.0,1.0,30.2,0.7,29.0,29.0
2023-05-30 10:15:00,,14.9,30.2,28.9,29.55,28.5,28.5,[28.5],1.0,28.9,4.8,28.0,29.0,1.0,30.2,0.7,28.0,29.0
2023-05-30 10:20:00,,16.7,30.2,28.9,29.55,28.5,28.5,[28.5],1.0,28.9,5.0,28.0,29.0,1.0,30.2,0.7,29.0,29.0
2023-05-30 10:25:00,,18.1,30.2,28.8,29.5,28.4,28.4,[28.4],1.0,28.8,5.0,27.0,29.0,1.0,30.2,0.7,28.0,29.0
2023-05-30 10:30:00,,20.2,30.1,28.8,29.450000000000003,28.3,28.3,[28.3],1.0,28.8,5.0,27.0,29.0,1.0,30.1,0.7,28.0,29.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,12.5,30.1,28.6,29.35,28.4,28.4,[28.4],1.0,28.6,0.7,28.0,29.0,1.0,30.1,0.7,29.0,29.0
2023-05-30 10:45:00,,14.7,30.1,29.4,29.75,28.5,28.5,[28.5],1.0,29.4,0.7,28.0,29.0,1.0,30.1,0.7,29.0,29.0
2023-05-30 10:50:00,,16.9,30.2,29.4,29.8,28.5,28.5,[28.5],1.0,29.4,4.9,28.0,29.0,1.0,30.2,0.7,29.0,29.0
2023-05-30 10:55:00,,19.9,30.2,28.9,29.55,28.5,28.5,[28.5],1.0,28.9,4.8,28.0,29.0,1.0,30.2,0.7,29.0,29.0
2023-05-30 11:00:00,,18.4,30.2,28.9,29.55,28.4,28.4,[28.4],1.0,28.9,4.8,27.0,29.0,1.0,30.2,0.7,28.0,29.0
2023-05-30 11:05:00,,17.0,30.2,28.8,29.5,28.4,28.4,[28.4],1.0,28.8,4.8,27.0,29.0,1.0,30.2,0.7,28.0,29.0
2023-05-30 11:10:00,,15.1,30.2,28.8,29.5,28.3,28.3,[28.3],1.0,28.8,5.0,27.0,29.0,1.0,30.2,0.7,28.0,29.0
2023-05-30 11:15:00,,12.4,29.9,28.5,29.2,28.3,28.3,[28.3],1.0,28.5,5.0,27.0,29.0,1.0,29.9,0.7,28.0,29.0
2023-05-30 11:20:00,,10.6,29.9,29.6,29.75,28.4,28.4,[28.4],1.0,29.6,0.7,28.0,29.0,1.0,29.9,0.7,29.0,29.0
2023-05-30 11:25:00,,22.0,30.0,29.6,29.8,28.5,28.5,[28.5],1.0,29.6,0.7,29.0,29.0,1.0,30.0,0.7,29.0,29.0
2023-05-30 11:30:00,,19.8,30.2,29.3,29.75,28.5,28.5,[28.5],1.0,29.3,4.9,28.0,29.0,1.0,30.2,0.7,29.0,29.0
2023-05-30 11:35:00,,21.6,30.2,28.9,29.55,28.5,28.5,[28.5],1.0,28.9,4.9,28.0,29.0,1.0,30.2,0.7,28.0,29.0
