time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1759897_c,1759897_h,1759897_p,1759897_r,1759897_s
2023-05-30 09:05:00,,,33.4,33.4,33.4,28.5,28.5,[28.5],1.0,33.4,0.0,28.0,29.0
2023-05-30 09:10:00,,,33.4,33.4,33.4,28.5,28.5,[28.5],1.0,33.4,0.2,28.0,29.0
2023-05-30 09:15:00,,,33.5,33.5,33.5,28.7,28.7,[28.7],1.0,33.5,0.0,29.0,29.0
2023-05-30 09:20:00,,,33.7,33.7,33.7,28.6,28.6,[28.6],1.0,33.7,0.1,28.0,29.0
2023-05-30 09:25:00,,,33.5,33.5,33.5,28.5,28.5,[28.5],1.0,33.5,0.0,28.0,29.0
2023-05-30 09:30:00,,,33.5,33.5,33.5,28.7,28.7,[28.7],1.0,33.5,0.0,29.0,29.0
2023-05-30 09:35:00,,,33.8,33.8,33.8,28.7,28.7,[28.7],1.0,33.8,0.0,28.0,29.0
2023-05-30 09:40:00,,,33.7,33.7,33.7,28.6,28.6,[28.6],1.0,33.7,0.0,28.0,29.0
2023-05-30 09:45:00,,,33.7,33.7,33.7,28.5,28.5,[28.5],1.0,33.7,0.0,28.0,29.0
2023-05-30 09:50:00,,,33.5,33.5,33.5,28.5,28.5,[28.5],1.0,33.5,0.0,28.0,29.0
2023-05-30 09:55:00,,,33.7,33.7,33.7,28.6,28.6,[28.6],1.0,33.7,0.0,29.0,29.0
2023-05-30 10:00:00,,,33.5,33.5,33.5,28.6,28.6,[28.6],1.0,33.5,0.1,28.0,29.0
2023-05-30 10:05:00,,,33.5,33.5,33.5,28.5,28.5,[28.5],1.0,33.5,0.0,28.0,29.0
2023-05-30 10:10:00,,,33.6,33.6,33.6,28.6,28.6,[28.6],1.0,33.6,0.0,29.0,29.0
2023-05-30 10:15:00,,,33.6,33.6,33.6,28.7,28.7,[28.7],1.0,33.6,0.1,28.0,29.0
2023-05-30 10:20:00,,,33.8,33.8,33.8,28.6,28.6,[28.6],1.0,33.8,0.0,28.0,29.0
2023-05-30 10:25:00,,,33.5,33.5,33.5,28.5,28.5,[28.5],1.0,33.5,0.0,28.0,29.0
2023-05-30 10:30:00,,,33.5,33.5,33.5,28.5,28.5,[28.5],1.0,33.5,0.0,28.0,29.0
2023-05-30 10:35:00,,,,,,,,,,,,,
2023-05-30 10:40:00,,,33.6,33.6,33.6,28.6,28.6,[28.6],1.0,33.6,0.1,28.0,29.0
2023-05-30 10:45:00,,,33.6,33.6,33.6,28.5,28.5,[28.5],1.0,33.6,0.0,28.0,29.0
2023-05-30 10:50:00,,,33.4,33.4,33.4,28.7,28.7,[28.7],1.0,33.4,0.0,29.0,29.0
2023-05-30 10:55:00,,,33.7,33.7,33.7,28.6,28.6,[28.6],1.0,33.7,0.1,28.0,29.0
2023-05-30 11:00:00,,,33.6,33.6,33.6,28.5,28.5,[28.5],1.0,33.6,0.0,28.0,29.0
2023-05-30 11:05:00,,,33.5,33.5,33.5,28.4,28.4,[28.4],1.0,33.5,0.0,28.0,29.0
2023-05-30 11:10:00,,,33.4,33.4,33.4,28.5,28.5,[28.5],1.0,33.4,0.1,28.0,29.0
