time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,637630_c,637630_h,637630_p,637630_r,637630_s
2023-05-30 09:05:00,,0.1,40.6,40.6,40.6,27.0,27.0,[27.0],1.0,40.6,9.0,28.0,27.0
2023-05-30 09:10:00,,3.2,40.6,40.6,40.6,27.4,27.4,[27.4],1.0,40.6,9.0,28.0,27.0
2023-05-30 09:15:00,,3.5,40.7,40.7,40.7,27.0,27.0,[27.0],1.0,40.7,9.0,26.0,27.0
2023-05-30 09:20:00,,0.1,40.6,40.6,40.6,27.0,27.0,[27.0],1.0,40.6,9.0,28.0,27.0
2023-05-30 09:25:00,,3.3,40.6,40.6,40.6,27.4,27.4,[27.4],1.0,40.6,9.0,28.0,27.0
2023-05-30 09:30:00,,3.5,40.6,40.6,40.6,26.9,26.9,[26.9],1.0,40.6,9.0,26.0,27.0
2023-05-30 09:35:00,,0.1,40.5,40.5,40.5,27.1,27.1,[27.1],1.0,40.5,9.0,28.0,28.0
2023-05-30 09:40:00,,0.1,40.5,40.5,40.5,27.7,27.7,[27.7],1.0,40.5,9.0,29.0,28.0
2023-05-30 09:45:00,,3.5,41.0,41.0,41.0,27.7,27.7,[27.7],1.0,41.0,9.0,27.0,28.0
2023-05-30 09:50:00,,0.1,41.0,41.0,41.0,27.2,27.2,[27.2],1.0,41.0,9.0,27.0,28.0
2023-05-30 09:55:00,,0.1,41.0,41.0,41.0,27.4,27.4,[27.4],1.0,41.0,9.0,29.0,28.0
2023-05-30 10:00:00,,3.2,41.0,41.0,41.0,28.0,28.0,[28.0],1.0,41.0,9.0,29.0,28.0
2023-05-30 10:05:00,,3.5,41.2,41.2,41.2,27.4,27.4,[27.4],1.0,41.2,9.0,27.0,27.0
2023-05-30 10:10:00,,0.1,41.3,41.3,41.3,27.4,27.4,[27.4],1.0,41.3,9.0,28.0,27.0
2023-05-30 10:15:00,,3.5,41.2,41.2,41.2,27.5,27.5,[27.5],1.0,41.2,9.0,27.0,27.0
2023-05-30 10:20:00,,0.1,41.2,41.2,41.2,27.0,27.0,[27.0],1.0,41.2,9.0,27.0,27.0
2023-05-30 10:25:00,,0.1,40.9,40.9,40.9,27.3,27.3,[27.3],1.0,40.9,9.0,28.0,27.0
2023-05-30 10:30:00,,3.5,40.9,40.9,40.9,27.3,27.3,[27.3],1.0,40.9,9.0,27.0,27.0
2023-05-30 10:35:00,,,,,,,,,,,,,
2023-05-30 10:40:00,,3.5,40.9,40.9,40.9,26.8,26.8,[26.8],1.0,40.9,9.0,26.0,26.0
2023-05-30 10:45:00,,0.1,40.3,40.3,40.3,26.5,26.5,[26.5],1.0,40.3,9.0,27.0,26.0
2023-05-30 10:50:00,,3.4,40.2,40.2,40.2,26.7,26.7,[26.7],1.0,40.2,9.0,27.0,26.0
2023-05-30 10:55:00,,0.1,40.2,40.2,40.2,26.3,26.3,[26.3],1.0,40.2,9.0,26.0,26.0
2023-05-30 11:00:00,,3.3,39.9,39.9,39.9,26.7,26.7,[26.7],1.0,39.9,9.0,28.0,26.0
2023-05-30 11:05:00,,3.6,39.9,39.9,39.9,26.4,26.4,[26.4],1.0,39.9,9.0,26.0,27.0
2023-05-30 11:10:00,,0.1,39.7,39.7,39.7,26.5,26.5,[26.5],1.0,39.7,9.0,27.0,27.0
2023-05-30 11:15:00,,3.3,40.0,40.0,40.0,27.1,27.1,[27.1],1.0,40.0,9.0,28.0,27.0
2023-05-30 11:20:00,,3.6,40.0,40.0,40.0,26.8,26.8,[26.8],1.0,40.0,9.0,26.0,27.0
2023-05-30 11:25:00,,0.1,40.1,40.1,40.1,26.8,26.8,[26.8],1.0,40.1,9.0,28.0,27.0
2023-05-30 11:30:00,,3.4,40.1,40.1,40.1,27.2,27.2,[27.2],1.0,40.1,9.0,28.0,27.0
2023-05-30 11:35:00,,3.7,40.3,40.3,40.3,26.7,26.7,[26.7],1.0,40.3,9.0,27.0,28.0
2023-05-30 11:40:00,,0.1,40.3,40.3,40.3,26.9,26.9,[26.9],1.0,40.3,9.0,28.0,28.0
2023-05-30 11:45:00,,0.1,40.3,40.3,40.3,27.7,27.7,[27.7],1.0,40.3,9.0,30.0,28.0
2023-05-30 11:50:00,,3.6,40.6,40.6,40.6,27.4,27.4,[27.4],1.0,40.6,9.0,27.0,28.0
2023-05-30 11:55:00,,0.1,40.9,40.9,40.9,27.1,27.1,[27.1],1.0,40.9,9.0,28.0,28.0
