time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3821202_c,3821202_h,3821202_p,3821202_r,3821202_s,3821203_c,3821203_h,3821203_p,3821203_r,3821203_s
2023-05-30 09:00:00,,,,,,,,,,,0.1,,,,,2.3,,
2023-05-30 09:05:00,,,36.5,33.5,35.0,32.8,32.8,[32.8],1.0,36.5,0.2,29.9,28.0,1.0,33.5,2.3,33.0,25.0
2023-05-30 09:10:00,,,37.1,33.9,35.5,33.2,33.2,[33.2],1.0,37.1,3.6,29.9,28.0,1.0,33.9,2.3,30.0,25.0
2023-05-30 09:15:00,,,35.9,33.2,34.55,32.5,32.5,[32.5],1.0,35.9,0.1,29.9,28.0,1.0,33.2,2.3,30.0,25.0
2023-05-30 09:20:00,,,36.4,33.4,34.9,32.6,32.6,[32.6],1.0,36.4,0.2,29.6,28.0,1.0,33.4,2.3,32.0,25.0
2023-05-30 09:25:00,,,36.5,33.7,35.1,33.2,33.2,[33.2],1.0,36.5,0.2,30.5,28.0,1.0,33.7,2.3,33.0,25.0
2023-05-30 09:30:00,,,36.1,33.7,34.900000000000006,32.8,32.8,[32.8],1.0,36.1,3.6,26.4,28.0,1.0,33.7,2.4,29.0,25.0
2023-05-30 09:35:00,,,35.9,33.3,34.599999999999994,32.4,32.4,[32.4],1.0,35.9,0.1,29.0,28.0,1.0,33.3,2.3,32.0,25.0
2023-05-30 09:40:00,,,36.8,33.7,35.25,33.0,33.0,[33.0],1.0,36.8,0.2,30.5,28.0,1.0,33.7,2.3,33.0,25.0
2023-05-30 09:45:00,,,36.5,33.7,35.1,33.0,33.0,[33.0],1.0,36.5,3.6,27.3,28.0,1.0,33.7,2.3,29.0,25.0
2023-05-30 09:50:00,,,35.7,33.7,34.7,32.3,32.3,[32.3],1.0,35.7,0.1,27.8,28.0,1.0,33.7,2.3,32.0,25.0
2023-05-30 09:55:00,,,35.7,33.1,34.400000000000006,,,,1.0,35.7,0.2,27.8,28.0,1.0,33.1,2.3,32.0,25.0
2023-05-30 10:00:00,,,37.0,33.9,35.45,33.2,33.2,[33.2],1.0,37.0,3.6,29.5,28.0,1.0,33.9,2.4,30.0,25.0
2023-05-30 10:05:00,,,35.8,33.2,34.5,32.5,32.5,[32.5],1.0,35.8,0.1,26.3,28.0,1.0,33.2,2.4,30.0,25.0
2023-05-30 10:10:00,,,35.8,33.4,34.599999999999994,32.6,32.6,[32.6],1.0,35.8,0.2,29.4,28.0,1.0,33.4,2.4,33.0,25.0
2023-05-30 10:15:00,,,37.0,33.8,35.4,33.1,33.1,[33.1],1.0,37.0,0.2,30.5,28.0,1.0,33.8,2.4,33.0,25.0
2023-05-30 10:20:00,,,36.3,33.5,34.9,32.8,32.8,[32.8],1.0,36.3,3.6,26.6,28.0,1.0,33.5,2.4,33.0,25.0
2023-05-30 10:25:00,,,36.0,33.2,34.6,32.4,32.4,[32.4],1.0,36.0,0.1,27.9,28.0,1.0,33.2,2.4,32.0,25.0
2023-05-30 10:30:00,,,36.7,33.2,34.95,32.9,32.9,[32.9],1.0,36.7,0.2,30.1,28.0,1.0,33.2,2.4,33.0,25.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,,35.8,33.2,34.5,32.4,32.4,[32.4],1.0,35.8,0.1,27.5,28.0,1.0,33.2,2.3,32.0,25.0
2023-05-30 10:45:00,,,36.6,33.6,35.1,32.8,32.8,[32.8],1.0,36.6,0.2,29.9,28.0,1.0,33.6,2.4,33.0,25.0
2023-05-30 10:50:00,,,37.0,33.6,35.3,33.2,33.2,[33.2],1.0,37.0,3.6,29.9,28.0,1.0,33.6,2.4,30.0,25.0
2023-05-30 10:55:00,,,37.0,33.9,35.45,,,,1.0,37.0,3.6,29.5,28.0,1.0,33.9,2.3,30.0,25.0
2023-05-30 11:00:00,,,36.0,33.3,34.65,32.5,32.5,[32.5],1.0,36.0,0.2,29.4,28.0,1.0,33.3,2.3,32.0,25.0
2023-05-30 11:05:00,,,37.0,33.8,35.4,33.2,33.2,[33.2],1.0,37.0,3.6,30.1,28.0,1.0,33.8,2.4,31.0,25.0
2023-05-30 11:10:00,,,36.0,33.3,34.65,32.7,32.7,[32.7],1.0,36.0,3.6,26.7,28.0,1.0,33.3,2.4,29.0,25.0
2023-05-30 11:15:00,,,36.0,33.3,34.65,32.3,32.3,[32.3],1.0,36.0,0.1,28.5,28.0,1.0,33.3,2.4,32.0,25.0
2023-05-30 11:20:00,,,35.9,33.6,34.75,33.0,33.0,[33.0],1.0,35.9,0.2,30.6,28.0,1.0,33.6,2.3,33.0,25.0
2023-05-30 11:25:00,,,36.9,33.4,35.15,32.8,32.8,[32.8],1.0,36.9,3.6,27.5,28.0,1.0,33.4,2.3,29.0,25.0
2023-05-30 11:30:00,,,36.2,33.0,34.6,32.3,32.3,[32.3],1.0,36.2,0.1,27.4,28.0,1.0,33.0,2.4,32.0,25.0
2023-05-30 11:35:00,,,36.5,33.0,34.75,32.8,32.8,[32.8],1.0,36.5,0.2,29.8,28.0,1.0,33.0,2.4,32.0,25.0
2023-05-30 11:40:00,,,37.3,33.4,35.349999999999994,33.2,33.2,[33.2],1.0,37.3,3.6,30.5,28.0,1.0,33.4,2.3,32.0,25.0
2023-05-30 11:45:00,,,37.3,33.4,35.349999999999994,32.7,32.7,[32.7],1.0,37.3,3.6,26.5,28.0,1.0,33.4,2.4,29.0,25.0
2023-05-30 11:50:00,,,36.1,33.4,34.75,32.5,32.5,[32.5],1.0,36.1,0.2,29.2,28.0,1.0,33.4,2.4,32.0,25.0
