time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3795240_c,3795240_h,3795240_r,3795240_s,3795241_c,3795241_h,3795241_r,3795241_s,3795242_c,3795242_h,3795242_r,3795242_s,3795243_c,3795243_h,3795243_r,3795243_s
2023-05-30 09:05:00,,24.9,21.1,23.325000000000003,26.0,26.0,[26.0],1.0,24.9,23.7,23.0,1.0,23.8,24.2,24.0,1.0,23.5,24.4,24.0,1.0,21.1,24.2,24.0
2023-05-30 09:10:00,,24.2,21.1,23.175,26.1,26.1,[26.1],1.0,24.2,23.4,23.0,1.0,23.9,24.5,24.0,1.0,23.5,24.8,24.0,1.0,21.1,24.2,24.0
2023-05-30 09:15:00,,24.0,21.1,23.075000000000003,26.1,26.1,[26.1],1.0,23.6,23.4,23.0,1.0,24.0,24.8,24.0,1.0,23.6,24.7,24.0,1.0,21.1,24.3,24.0
2023-05-30 09:20:00,,24.1,21.1,23.200000000000003,26.0,26.0,[26.0],1.0,23.9,23.4,23.0,1.0,24.1,24.9,24.0,1.0,23.7,24.9,24.0,1.0,21.1,24.2,24.0
2023-05-30 09:25:00,,24.4,21.1,23.325000000000003,26.1,26.1,[26.1],1.0,24.4,23.4,23.0,1.0,24.1,24.7,24.0,1.0,23.7,24.7,24.0,1.0,21.1,24.2,24.0
2023-05-30 09:30:00,,24.7,21.1,23.4,25.9,25.9,[25.9],1.0,24.7,23.6,23.0,1.0,24.1,24.3,24.0,1.0,23.7,24.5,24.0,1.0,21.1,23.8,24.0
2023-05-30 09:35:00,,25.0,21.1,23.450000000000003,25.9,25.9,[25.9],1.0,25.0,23.5,23.0,1.0,24.0,24.3,24.0,1.0,23.7,24.4,24.0,1.0,21.1,23.8,24.0
2023-05-30 09:40:00,,25.1,21.0,23.45,25.9,25.9,[25.9],1.0,25.1,23.5,23.0,1.0,24.0,24.1,24.0,1.0,23.7,24.2,24.0,1.0,21.0,24.0,24.0
2023-05-30 09:45:00,,25.3,21.0,23.475,25.9,25.9,[25.9],1.0,25.3,23.5,23.0,1.0,24.0,24.0,24.0,1.0,23.6,24.2,24.0,1.0,21.0,24.1,24.0
2023-05-30 09:50:00,,25.4,21.0,23.450000000000003,25.9,25.9,[25.9],1.0,25.4,23.5,23.0,1.0,23.8,24.0,24.0,1.0,23.6,24.1,24.0,1.0,21.0,23.9,24.0
2023-05-30 09:55:00,,25.5,21.0,23.425,25.8,25.8,[25.8],1.0,25.5,23.5,23.0,1.0,23.7,23.9,24.0,1.0,23.5,24.0,24.0,1.0,21.0,23.8,24.0
2023-05-30 10:00:00,,25.5,21.0,23.425,25.8,25.8,[25.8],1.0,25.5,23.6,23.0,1.0,23.7,23.7,24.0,1.0,23.5,23.8,24.0,1.0,21.0,23.7,24.0
2023-05-30 10:05:00,,25.6,21.0,23.45,25.9,25.9,[25.9],1.0,25.6,23.7,23.0,1.0,23.7,23.8,24.0,1.0,23.5,23.9,24.0,1.0,21.0,23.6,24.0
2023-05-30 10:10:00,,24.6,21.0,23.2,25.8,25.8,[25.8],1.0,24.6,23.5,23.0,1.0,23.7,23.7,24.0,1.0,23.5,23.8,24.0,1.0,21.0,23.8,24.0
2023-05-30 10:15:00,,23.9,21.0,22.975,25.8,25.8,[25.8],1.0,23.9,23.3,23.0,1.0,23.6,23.8,24.0,1.0,23.4,23.9,24.0,1.0,21.0,23.8,24.0
2023-05-30 10:20:00,,24.0,21.0,23.025,25.8,25.8,[25.8],1.0,24.0,23.2,23.0,1.0,23.7,23.7,24.0,1.0,23.4,23.5,24.0,1.0,21.0,23.8,24.0
2023-05-30 10:25:00,,24.5,21.0,23.15,25.8,25.8,[25.8],1.0,24.5,23.4,23.0,1.0,23.7,23.6,24.0,1.0,23.4,23.5,24.0,1.0,21.0,23.9,24.0
2023-05-30 10:30:00,,24.5,21.0,23.15,25.8,25.8,[25.8],1.0,24.5,23.4,23.0,1.0,23.7,23.6,24.0,1.0,23.4,23.6,24.0,1.0,21.0,23.8,24.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,25.2,21.0,23.3,25.8,25.8,[25.8],1.0,25.2,23.4,23.0,1.0,23.6,23.6,24.0,1.0,23.4,23.8,24.0,1.0,21.0,24.1,24.0
2023-05-30 10:45:00,,25.3,21.0,23.275,25.8,25.8,[25.8],1.0,25.3,23.5,23.0,1.0,23.5,23.8,24.0,1.0,23.3,24.0,24.0,1.0,21.0,23.9,24.0
2023-05-30 10:50:00,,25.4,21.0,23.3,25.8,25.8,[25.8],1.0,25.4,23.6,23.0,1.0,23.5,23.8,24.0,1.0,23.3,23.9,24.0,1.0,21.0,23.8,24.0
2023-05-30 10:55:00,,25.4,21.0,23.35,25.9,25.9,[25.9],1.0,25.4,23.7,23.0,1.0,23.6,24.1,24.0,1.0,23.4,24.5,24.0,1.0,21.0,23.8,24.0
2023-05-30 11:00:00,,25.6,21.1,23.450000000000003,26.1,26.1,[26.1],1.0,25.6,23.8,23.0,1.0,23.6,24.5,24.0,1.0,23.5,24.5,24.0,1.0,21.1,23.7,24.0
2023-05-30 11:05:00,,25.6,21.1,23.55,26.1,26.1,[26.1],1.0,25.6,23.6,23.0,1.0,24.0,24.8,24.0,1.0,23.5,24.8,24.0,1.0,21.1,23.8,24.0
2023-05-30 11:10:00,,24.0,21.1,23.200000000000003,26.0,26.0,[26.0],1.0,23.9,23.4,23.0,1.0,24.0,25.1,24.0,1.0,23.8,25.0,24.0,1.0,21.1,23.9,24.0
2023-05-30 11:15:00,,24.0,21.0,23.1,26.1,26.1,[26.1],1.0,23.6,23.3,23.0,1.0,24.0,24.8,24.0,1.0,23.8,24.7,24.0,1.0,21.0,23.9,24.0
2023-05-30 11:20:00,,24.1,21.0,23.25,25.9,25.9,[25.9],1.0,24.1,23.2,23.0,1.0,24.0,24.6,24.0,1.0,23.9,24.4,24.0,1.0,21.0,23.9,24.0
2023-05-30 11:25:00,,24.1,21.0,23.275,25.8,25.8,[25.8],1.0,24.1,23.4,23.0,1.0,24.0,24.2,24.0,1.0,24.0,24.3,24.0,1.0,21.0,23.9,24.0
2023-05-30 11:30:00,,24.8,21.0,23.45,25.8,25.8,[25.8],1.0,24.8,23.4,23.0,1.0,24.0,24.2,24.0,1.0,24.0,24.3,24.0,1.0,21.0,23.9,24.0
2023-05-30 11:35:00,,25.0,21.0,23.5,25.7,25.7,[25.7],1.0,25.0,23.4,23.0,1.0,24.0,24.0,24.0,1.0,24.0,24.1,24.0,1.0,21.0,23.6,24.0
2023-05-30 11:40:00,,25.1,21.1,23.6,25.8,25.8,[25.8],1.0,25.1,23.5,23.0,1.0,24.1,24.0,24.0,1.0,24.1,24.1,24.0,1.0,21.1,23.7,24.0
