time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,352024_c,352024_h,352024_p,352024_r,352024_s,352025_c,352025_h,352025_p,352025_r,352025_s,352026_c,352026_h,352026_p,352026_r,352026_s,352027_c,352027_h,352027_p,352027_r,352027_s,352028_c,352028_h,352028_p,352028_r,352028_s
2023-05-30 09:05:00,,,33.7,28.4,31.24,1.0,28.4,316.2,27.0,28.0,1.0,28.4,313.5,27.0,18.0,1.0,33.7,327.2,28.0,18.0,1.0,33.7,321.3,26.0,18.0,1.0,32.0,311.6,28.0,18.0
2023-05-30 09:10:00,,,33.7,28.5,31.4,1.0,28.5,316.1,27.0,28.0,1.0,28.5,317.0,27.0,18.0,1.0,33.7,329.6,27.0,18.0,1.0,33.7,315.8,26.0,18.0,1.0,32.6,312.4,27.0,18.0
2023-05-30 09:15:00,,,33.5,28.5,31.32,1.0,28.5,313.1,27.0,28.0,1.0,28.5,313.7,27.0,18.0,1.0,33.5,327.0,27.0,18.0,1.0,33.5,319.3,26.0,18.0,1.0,32.6,310.8,27.0,18.0
2023-05-30 09:20:00,,,33.3,28.7,31.36,1.0,28.7,313.7,27.0,28.0,1.0,28.7,316.1,27.0,18.0,1.0,33.3,325.6,27.0,18.0,1.0,33.3,321.7,26.0,18.0,1.0,32.8,308.2,27.0,18.0
2023-05-30 09:25:00,,,33.0,28.8,31.279999999999998,1.0,28.8,314.9,27.0,28.0,1.0,28.8,315.5,27.0,18.0,1.0,33.0,326.4,27.0,18.0,1.0,33.0,315.9,25.0,18.0,1.0,32.8,310.1,27.0,18.0
2023-05-30 09:30:00,,,33.0,28.8,31.24,1.0,28.8,314.9,27.0,28.0,1.0,28.8,313.9,27.0,18.0,1.0,33.0,331.0,27.0,18.0,1.0,33.0,320.4,25.0,18.0,1.0,32.6,308.3,27.0,18.0
2023-05-30 09:35:00,,,32.6,28.8,31.040000000000003,1.0,28.8,316.9,27.0,28.0,1.0,28.8,316.8,27.0,18.0,1.0,32.6,331.1,26.0,18.0,1.0,32.6,98.8,25.0,18.0,1.0,32.4,313.3,27.0,18.0
2023-05-30 09:40:00,,,32.6,28.9,31.04,1.0,28.9,319.3,27.0,28.0,1.0,28.9,317.4,27.0,18.0,1.0,32.6,329.2,27.0,18.0,1.0,32.6,84.1,26.0,18.0,1.0,32.2,312.6,27.0,18.0
2023-05-30 09:45:00,,,32.5,28.9,30.92,1.0,28.9,316.7,27.0,28.0,1.0,28.9,315.8,27.0,18.0,1.0,32.5,329.4,27.0,18.0,1.0,32.5,84.1,26.0,18.0,1.0,31.8,311.8,27.0,18.0
2023-05-30 09:50:00,,,32.5,29.0,30.880000000000003,1.0,29.0,317.1,27.0,28.0,1.0,29.0,314.4,27.0,18.0,1.0,32.5,329.0,27.0,18.0,1.0,32.5,84.2,26.0,18.0,1.0,31.4,314.1,27.0,18.0
2023-05-30 09:55:00,,,32.7,29.0,30.9,1.0,29.0,318.0,27.0,28.0,1.0,29.0,317.2,27.0,18.0,1.0,32.7,328.3,27.0,18.0,1.0,32.7,84.0,26.0,18.0,1.0,31.1,311.5,28.0,18.0
2023-05-30 10:00:00,,,32.9,29.1,31.04,1.0,29.1,316.0,27.0,28.0,1.0,29.1,314.5,28.0,18.0,1.0,32.9,332.8,27.0,18.0,1.0,32.9,83.8,27.0,18.0,1.0,31.2,313.9,28.0,18.0
2023-05-30 10:05:00,,,32.9,29.2,31.079999999999995,1.0,29.2,317.9,27.0,28.0,1.0,29.2,554.2,28.0,18.0,1.0,32.9,331.6,27.0,18.0,1.0,32.9,84.1,27.0,18.0,1.0,31.2,311.7,28.0,18.0
2023-05-30 10:10:00,,,33.0,29.1,31.1,1.0,29.1,315.7,26.0,28.0,1.0,29.1,552.8,27.0,18.0,1.0,33.0,328.0,27.0,18.0,1.0,33.0,84.4,26.0,18.0,1.0,31.3,309.9,28.0,18.0
