time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,71881_h,988312_c,988312_h,988312_r,988312_s,988313_c,988313_h,988313_r,988313_s
2023-05-30 09:05:00,,36.9,28.6,33.13333333333333,29.0,29.0,[29.0],33.9,1.0,36.9,27.3,26.0,1.0,28.6,27.2,26.0
2023-05-30 09:10:00,,36.9,28.6,33.13333333333333,28.9,28.9,[28.9],33.9,1.0,36.9,26.8,26.0,1.0,28.6,26.8,26.0
2023-05-30 09:15:00,,36.9,28.0,32.93333333333333,29.0,29.0,[29.0],33.9,1.0,36.9,27.1,26.0,1.0,28.0,27.1,26.0
2023-05-30 09:20:00,,36.9,28.0,32.86666666666667,29.0,29.0,[29.0],33.7,1.0,36.9,26.9,26.0,1.0,28.0,26.9,26.0
2023-05-30 09:25:00,,36.9,28.0,32.93333333333333,29.0,29.0,[29.0],33.9,1.0,36.9,27.1,26.0,1.0,28.0,27.1,26.0
2023-05-30 09:30:00,,36.9,28.0,32.86666666666667,28.9,28.9,[28.9],33.7,1.0,36.9,26.9,26.0,1.0,28.0,27.0,26.0
2023-05-30 09:35:00,,36.8,28.0,32.833333333333336,28.9,28.9,[28.9],33.7,1.0,36.8,27.2,26.0,1.0,28.0,27.1,26.0
2023-05-30 09:40:00,,36.9,28.5,33.1,29.0,29.0,[29.0],33.9,1.0,36.9,26.8,26.0,1.0,28.5,26.8,26.0
2023-05-30 09:45:00,,36.9,28.4,33.0,29.0,29.0,[29.0],33.7,1.0,36.9,27.1,26.0,1.0,28.4,27.2,26.0
2023-05-30 09:50:00,,36.9,28.1,32.9,29.0,29.0,[29.0],33.7,1.0,36.9,27.1,26.0,1.0,28.1,26.9,26.0
2023-05-30 09:55:00,,36.9,28.1,32.9,29.0,29.0,[29.0],33.7,1.0,36.9,27.1,26.0,1.0,28.1,27.0,26.0
2023-05-30 10:00:00,,36.9,28.4,33.1,28.9,28.9,[28.9],34.0,1.0,36.9,26.9,26.0,1.0,28.4,26.9,26.0
2023-05-30 10:05:00,,36.9,28.1,32.9,28.9,28.9,[28.9],33.7,1.0,36.9,27.3,26.0,1.0,28.1,27.1,26.0
2023-05-30 10:10:00,,36.9,28.4,33.0,28.9,28.9,[28.9],33.7,1.0,36.9,27.0,26.0,1.0,28.4,26.9,26.0
2023-05-30 10:15:00,,36.9,28.0,32.86666666666667,28.9,28.9,[28.9],33.7,1.0,36.9,27.2,26.0,1.0,28.0,27.1,26.0
2023-05-30 10:20:00,,36.9,28.5,33.03333333333333,28.9,28.9,[28.9],33.7,1.0,36.9,26.9,26.0,1.0,28.5,26.9,26.0
2023-05-30 10:25:00,,36.9,28.0,32.86666666666667,28.9,28.9,[28.9],33.7,1.0,36.9,27.0,26.0,1.0,28.0,27.2,26.0
2023-05-30 10:30:00,,36.9,28.0,32.9,29.0,29.0,[29.0],33.8,1.0,36.9,27.1,26.0,1.0,28.0,26.9,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,36.9,28.0,32.9,28.9,28.9,[28.9],33.8,1.0,36.9,26.9,26.0,1.0,28.0,26.9,26.0
2023-05-30 10:45:00,,36.9,28.4,33.0,29.0,29.0,[29.0],33.7,1.0,36.9,27.3,26.0,1.0,28.4,27.1,26.0
2023-05-30 10:50:00,,36.9,28.4,33.06666666666666,28.9,28.9,[28.9],33.9,1.0,36.9,27.0,26.0,1.0,28.4,26.8,26.0
2023-05-30 10:55:00,,36.9,28.4,33.0,29.0,29.0,[29.0],33.7,1.0,36.9,27.3,26.0,1.0,28.4,27.2,26.0
2023-05-30 11:00:00,,36.9,28.1,32.93333333333333,29.0,29.0,[29.0],33.8,1.0,36.9,27.0,26.0,1.0,28.1,26.8,26.0
2023-05-30 11:05:00,,36.9,28.1,32.93333333333333,29.0,29.0,[29.0],33.8,1.0,36.9,27.2,26.0,1.0,28.1,27.1,26.0
2023-05-30 11:10:00,,36.9,28.3,32.99999999999999,29.0,29.0,[29.0],33.8,1.0,36.9,27.0,26.0,1.0,28.3,27.0,26.0
2023-05-30 11:15:00,,37.0,28.0,32.9,29.0,29.0,[29.0],33.7,1.0,37.0,27.2,26.0,1.0,28.0,27.0,26.0
2023-05-30 11:20:00,,37.0,28.4,33.03333333333333,29.0,29.0,[29.0],33.7,1.0,37.0,27.2,26.0,1.0,28.4,27.1,26.0
2023-05-30 11:25:00,,37.0,28.4,33.1,29.0,29.0,[29.0],33.9,1.0,37.0,26.9,26.0,1.0,28.4,26.9,26.0
2023-05-30 11:30:00,,37.0,27.9,32.93333333333334,29.0,29.0,[29.0],33.9,1.0,37.0,27.4,26.0,1.0,27.9,27.2,26.0
2023-05-30 11:35:00,,37.0,28.0,32.96666666666667,29.0,29.0,[29.0],33.9,1.0,37.0,26.9,26.0,1.0,28.0,27.0,26.0
2023-05-30 11:40:00,,37.0,28.4,33.06666666666666,29.0,29.0,[29.0],33.8,1.0,37.0,27.1,26.0,1.0,28.4,27.2,26.0
2023-05-30 11:45:00,,36.9,28.0,32.9,29.0,29.0,[29.0],33.8,1.0,36.9,27.1,26.0,1.0,28.0,26.9,26.0
2023-05-30 11:50:00,,36.9,28.0,32.9,29.0,29.0,[29.0],33.8,1.0,36.9,27.4,26.0,1.0,28.0,27.2,26.0
2023-05-30 11:55:00,,36.9,28.4,33.1,29.0,29.0,[29.0],34.0,1.0,36.9,27.0,26.0,1.0,28.4,27.0,26.0
2023-05-30 12:00:00,,36.9,28.0,32.93333333333333,29.1,29.1,[29.1],33.9,1.0,36.9,27.4,26.0,1.0,28.0,27.2,26.0
2023-05-30 12:05:00,,37.0,28.3,33.06666666666667,29.1,29.1,[29.1],33.9,1.0,37.0,27.0,26.0,1.0,28.3,27.0,26.0
2023-05-30 12:10:00,,37.0,28.0,32.96666666666667,29.1,29.1,[29.1],33.9,1.0,37.0,27.4,26.0,1.0,28.0,27.2,26.0
2023-05-30 12:15:00,,37.0,28.4,33.1,29.1,29.1,[29.1],33.9,1.0,37.0,27.0,26.0,1.0,28.4,26.9,26.0
2023-05-30 12:20:00,,37.0,28.0,32.93333333333333,29.1,29.1,[29.1],33.8,1.0,37.0,27.4,26.0,1.0,28.0,27.2,26.0
2023-05-30 12:25:00,,37.0,28.3,33.03333333333333,29.1,29.1,[29.1],33.8,1.0,37.0,27.1,26.0,1.0,28.3,27.0,26.0
2023-05-30 12:30:00,,37.0,28.2,33.0,29.1,29.1,[29.1],33.8,1.0,37.0,27.3,26.0,1.0,28.2,27.2,26.0
2023-05-30 12:35:00,,37.0,28.2,33.0,29.1,29.1,[29.1],33.8,1.0,37.0,27.0,26.0,1.0,28.2,27.0,26.0
2023-05-30 12:40:00,,37.0,28.2,33.03333333333334,29.2,29.2,[29.2],33.9,1.0,37.0,27.3,26.0,1.0,28.2,27.1,26.0
2023-05-30 12:45:00,,37.0,28.1,32.96666666666667,29.1,29.1,[29.1],33.8,1.0,37.0,27.1,26.0,1.0,28.1,27.0,26.0
2023-05-30 12:50:00,,37.0,28.0,32.96666666666667,29.2,29.2,[29.2],33.9,1.0,37.0,27.0,26.0,1.0,28.0,26.8,26.0
2023-05-30 12:55:00,,37.0,28.0,33.0,29.2,29.2,[29.2],34.0,1.0,37.0,27.1,26.0,1.0,28.0,27.0,26.0
2023-05-30 13:00:00,,37.1,28.3,33.06666666666667,29.1,29.1,[29.1],33.8,1.0,37.1,27.2,26.0,1.0,28.3,27.0,26.0
2023-05-30 13:05:00,,37.1,28.1,33.06666666666666,29.1,29.1,[29.1],34.0,1.0,37.1,27.0,26.0,1.0,28.1,27.1,26.0
2023-05-30 13:10:00,,37.1,28.3,33.13333333333333,29.2,29.2,[29.2],34.0,1.0,37.1,27.3,26.0,1.0,28.3,27.1,26.0
2023-05-30 13:15:00,,37.0,28.4,33.13333333333333,29.2,29.2,[29.2],34.0,1.0,37.0,27.1,26.0,1.0,28.4,27.0,26.0
2023-05-30 13:20:00,,37.0,28.4,33.1,29.2,29.2,[29.2],33.9,1.0,37.0,27.3,26.0,1.0,28.4,27.1,26.0
2023-05-30 13:25:00,,37.0,28.3,33.06666666666667,29.2,29.2,[29.2],33.9,1.0,37.0,27.1,26.0,1.0,28.3,27.0,26.0
2023-05-30 13:30:00,,37.0,28.0,32.93333333333333,29.2,29.2,[29.2],33.8,1.0,37.0,27.0,26.0,1.0,28.0,26.9,26.0
2023-05-30 13:35:00,,37.0,28.0,32.93333333333333,29.2,29.2,[29.2],33.8,1.0,37.0,27.4,26.0,1.0,28.0,27.2,26.0
2023-05-30 13:40:00,,37.0,28.4,33.06666666666666,29.2,29.2,[29.2],33.8,1.0,37.0,27.1,26.0,1.0,28.4,27.0,26.0
2023-05-30 13:45:00,,37.0,28.5,33.166666666666664,29.2,29.2,[29.2],34.0,1.0,37.0,27.3,26.0,1.0,28.5,27.3,26.0
2023-05-30 13:50:00,,37.0,28.5,33.166666666666664,29.2,29.2,[29.2],34.0,1.0,37.0,27.0,26.0,1.0,28.5,27.0,26.0
2023-05-30 13:55:00,,37.1,28.4,33.13333333333333,29.2,29.2,[29.2],33.9,1.0,37.1,27.4,26.0,1.0,28.4,27.1,26.0
2023-05-30 14:00:00,,37.1,28.2,33.06666666666667,29.2,29.2,[29.2],33.9,1.0,37.1,27.0,26.0,1.0,28.2,26.9,26.0
2023-05-30 14:05:00,,37.0,28.2,33.03333333333334,29.2,29.2,[29.2],33.9,1.0,37.0,27.3,26.0,1.0,28.2,27.2,26.0
