time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3808910_c,3808910_h,3808910_p,3808910_r,3808910_s
2023-05-30 09:05:00,,10.09,36.4,36.4,36.4,28.5,28.5,[28.5],,36.4,2.83,,
2023-05-30 09:10:00,,10.03,36.4,36.4,36.4,28.5,28.5,[28.5],,36.4,0.0,,
2023-05-30 09:15:00,,10.07,36.5,36.5,36.5,28.6,28.6,[28.6],,36.5,2.67,,
2023-05-30 09:20:00,,10.14,36.4,36.4,36.4,28.6,28.6,[28.6],,36.4,2.77,,
2023-05-30 09:25:00,,10.02,36.4,36.4,36.4,28.6,28.6,[28.6],,36.4,2.76,,
2023-05-30 09:30:00,,10.16,36.5,36.5,36.5,28.6,28.6,[28.6],,36.5,2.82,,
2023-05-30 09:35:00,,10.19,36.4,36.4,36.4,28.6,28.6,[28.6],,36.4,2.81,,
2023-05-30 09:40:00,,10.27,36.4,36.4,36.4,28.6,28.6,[28.6],,36.4,2.86,,
2023-05-30 09:45:00,,10.05,36.5,36.5,36.5,28.6,28.6,[28.6],,36.5,2.8,,
2023-05-30 09:50:00,,10.26,36.5,36.5,36.5,,,,,36.5,2.76,,
2023-05-30 09:55:00,,10.01,36.4,36.4,36.4,28.6,28.6,[28.6],,36.4,2.85,,
2023-05-30 10:00:00,,10.07,36.3,36.3,36.3,28.5,28.5,[28.5],,36.3,2.81,,
2023-05-30 10:05:00,,10.05,36.3,36.3,36.3,28.5,28.5,[28.5],,36.3,2.89,,
2023-05-30 10:10:00,,10.05,36.3,36.3,36.3,28.5,28.5,[28.5],,36.3,2.85,,
2023-05-30 10:15:00,,9.98,36.3,36.3,36.3,28.5,28.5,[28.5],,36.3,2.86,,
2023-05-30 10:20:00,,10.03,36.3,36.3,36.3,28.5,28.5,[28.5],,36.3,2.9,,
2023-05-30 10:25:00,,10.05,36.2,36.2,36.2,28.5,28.5,[28.5],,36.2,2.86,,
2023-05-30 10:30:00,,10.08,36.2,36.2,36.2,28.5,28.5,[28.5],,36.2,2.88,,
2023-05-30 10:35:00,,,,,,,,,,,,,
2023-05-30 10:40:00,,10.1,36.2,36.2,36.2,28.5,28.5,[28.5],,36.2,2.89,,
2023-05-30 10:45:00,,9.93,36.1,36.1,36.1,28.4,28.4,[28.4],,36.1,2.9,,
2023-05-30 10:50:00,,10.09,36.1,36.1,36.1,28.5,28.5,[28.5],,36.1,2.94,,
