time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3812492_c,3812492_h,3812492_p,3812492_r,3812492_s,3816385_h
2023-05-30 09:05:00,,4.43,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.54,27.0,28.0,30.9
2023-05-30 09:10:00,,4.33,30.6,30.6,30.6,29.0,29.0,[29.0],,30.6,0.54,27.0,28.0,30.6
2023-05-30 09:15:00,,4.53,30.7,30.7,30.7,29.1,29.1,[29.1],,30.7,0.54,28.0,28.0,30.7
2023-05-30 09:20:00,,4.4,30.7,30.7,30.7,29.3,29.3,[29.3],,30.7,0.54,27.5,28.0,30.7
2023-05-30 09:25:00,,4.3,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.54,27.0,28.0,30.8
2023-05-30 09:30:00,,4.36,30.7,30.7,30.7,29.0,29.0,[29.0],,30.7,0.54,26.5,28.0,30.7
2023-05-30 09:35:00,,4.29,30.7,30.7,30.7,29.1,29.1,[29.1],,30.7,0.54,28.0,28.0,30.7
2023-05-30 09:40:00,,4.42,30.7,30.7,30.7,29.3,29.3,[29.3],,30.7,0.54,27.5,28.0,30.7
2023-05-30 09:45:00,,4.39,30.9,30.9,30.9,29.1,29.1,[29.1],,30.9,0.54,27.0,28.0,30.9
2023-05-30 09:50:00,,4.4,31.0,31.0,31.0,,,,,31.0,0.54,27.0,28.0,31.0
2023-05-30 09:55:00,,4.24,30.7,30.7,30.7,29.0,29.0,[29.0],,30.7,0.54,27.5,28.0,30.7
2023-05-30 10:00:00,,4.33,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.54,27.5,28.0,30.8
2023-05-30 10:05:00,,4.37,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.54,27.0,28.0,30.9
2023-05-30 10:10:00,,4.39,30.8,30.8,30.8,29.0,29.0,[29.0],,30.8,0.54,27.0,28.0,30.8
2023-05-30 10:15:00,,4.41,30.6,30.6,30.6,29.0,29.0,[29.0],,30.6,0.54,27.5,28.0,30.6
2023-05-30 10:20:00,,4.49,30.7,30.7,30.7,29.3,29.3,[29.3],,30.7,0.54,28.0,28.0,30.7
2023-05-30 10:25:00,,4.36,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.54,27.0,28.0,30.8
2023-05-30 10:30:00,,4.46,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.54,27.0,28.0,30.8
2023-05-30 10:35:00,,,,,,,,,,,,,,
2023-05-30 10:40:00,,4.29,30.8,30.8,30.8,29.0,29.0,[29.0],,30.8,0.54,27.0,28.0,30.8
2023-05-30 10:45:00,,4.37,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.54,28.0,28.0,30.8
2023-05-30 10:50:00,,4.53,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.54,27.5,28.0,30.8
2023-05-30 10:55:00,,4.42,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.55,27.0,28.0,30.8
2023-05-30 11:00:00,,4.37,30.8,30.8,30.8,29.0,29.0,[29.0],,30.8,0.55,27.0,28.0,30.8
2023-05-30 11:05:00,,4.42,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.54,28.0,28.0,30.8
2023-05-30 11:10:00,,4.47,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.55,27.0,28.0,30.8
2023-05-30 11:15:00,,4.42,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.55,27.0,28.0,30.8
2023-05-30 11:20:00,,4.4,30.6,30.6,30.6,29.0,29.0,[29.0],,30.6,,,,30.6
2023-05-30 11:25:00,,4.46,30.6,30.6,30.6,28.9,28.9,[28.9],,30.6,0.54,27.0,28.0,30.6
2023-05-30 11:30:00,,4.32,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.54,27.5,28.0,30.8
2023-05-30 11:35:00,,4.51,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.54,27.0,28.0,30.9
2023-05-30 11:40:00,,4.48,30.8,30.8,30.8,29.1,29.1,[29.1],,30.8,0.54,27.0,28.0,30.8
2023-05-30 11:45:00,,4.54,30.6,30.6,30.6,28.9,28.9,[28.9],,30.6,0.55,26.5,28.0,30.6
2023-05-30 11:50:00,,4.35,30.7,30.7,30.7,29.0,29.0,[29.0],,30.7,0.55,27.5,28.0,30.7
2023-05-30 11:55:00,,5.0,30.9,30.9,30.9,29.3,29.3,[29.3],,30.9,0.54,27.5,28.0,30.9
2023-05-30 12:00:00,,4.42,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.55,27.0,28.0,30.9
2023-05-30 12:05:00,,4.76,30.7,30.7,30.7,29.1,29.1,[29.1],,30.7,0.55,27.0,28.0,30.7
2023-05-30 12:10:00,,4.5,30.7,30.7,30.7,29.0,29.0,[29.0],,30.7,0.55,27.5,28.0,30.7
2023-05-30 12:15:00,,4.42,30.8,30.8,30.8,29.3,29.3,[29.3],,30.8,0.55,27.5,28.0,30.8
2023-05-30 12:20:00,,4.47,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.55,27.0,28.0,30.9
2023-05-30 12:25:00,,4.53,30.9,30.9,30.9,29.1,29.1,[29.1],,30.9,0.55,27.0,28.0,30.9
2023-05-30 12:30:00,,4.58,30.8,30.8,30.8,29.0,29.0,[29.0],,30.8,0.55,27.0,28.0,30.8
2023-05-30 12:35:00,,4.39,30.7,30.7,30.7,29.2,29.2,[29.2],,30.7,0.55,27.5,28.0,30.7
2023-05-30 12:40:00,,4.66,30.7,30.7,30.7,29.3,29.3,[29.3],,30.7,0.55,27.0,28.0,30.7
2023-05-30 12:45:00,,4.55,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.54,27.0,28.0,30.9
2023-05-30 12:50:00,,4.64,30.8,30.8,30.8,29.0,29.0,[29.0],,30.8,0.54,27.0,28.0,30.8
2023-05-30 12:55:00,,4.58,30.6,30.6,30.6,29.0,29.0,[29.0],,30.6,0.54,27.5,28.0,30.6
2023-05-30 13:00:00,,4.49,30.8,30.8,30.8,29.4,29.4,[29.4],,30.8,0.54,27.5,28.0,30.8
2023-05-30 13:05:00,,4.63,30.9,30.9,30.9,29.3,29.3,[29.3],,30.9,0.55,27.0,28.0,30.9
2023-05-30 13:10:00,,4.41,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.54,27.0,28.0,30.8
2023-05-30 13:15:00,,4.73,30.7,30.7,30.7,29.0,29.0,[29.0],,30.7,0.55,27.0,28.0,30.7
2023-05-30 13:20:00,,4.73,30.7,30.7,30.7,29.3,29.3,[29.3],,30.7,0.54,27.5,28.0,30.7
2023-05-30 13:25:00,,4.63,30.9,30.9,30.9,29.3,29.3,[29.3],,30.9,0.55,27.0,28.0,30.9
2023-05-30 13:30:00,,4.58,30.9,30.9,30.9,29.2,29.2,[29.2],,30.9,0.55,27.0,28.0,30.9
2023-05-30 13:35:00,,4.6,30.7,30.7,30.7,29.1,29.1,[29.1],,30.7,0.55,27.0,28.0,30.7
2023-05-30 13:40:00,,4.68,30.6,30.6,30.6,29.1,29.1,[29.1],,30.6,0.55,27.5,28.0,30.6
2023-05-30 13:45:00,,4.32,30.6,30.6,30.6,29.4,29.4,[29.4],,30.6,0.54,27.5,28.0,30.6
2023-05-30 13:50:00,,4.31,30.9,30.9,30.9,29.3,29.3,[29.3],,30.9,0.55,27.0,28.0,30.9
2023-05-30 13:55:00,,4.34,30.8,30.8,30.8,29.2,29.2,[29.2],,30.8,0.55,27.0,28.0,30.8
2023-05-30 14:00:00,,4.33,30.8,30.8,30.8,29.0,29.0,[29.0],,30.8,0.55,27.0,28.0,30.8
2023-05-30 14:05:00,,4.29,30.8,30.8,30.8,29.4,29.4,[29.4],,30.8,0.55,27.5,28.0,30.8
2023-05-30 14:10:00,,4.33,30.9,30.9,30.9,29.4,29.4,[29.4],,30.9,0.55,27.0,28.0,30.9
2023-05-30 14:15:00,,4.32,30.7,30.7,30.7,29.2,29.2,[29.2],,30.7,0.55,27.0,28.0,30.7
2023-05-30 14:20:00,,4.31,30.7,30.7,30.7,29.1,29.1,[29.1],,30.7,0.54,27.0,28.0,30.7
