time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,2048030_c,2048030_p,2048030_r,2048030_s,3814937_c,3814937_h,3814937_p,3814937_r,3814937_s,3816381_c,3816381_h,3816381_p,3816381_r,3816381_s
2023-05-30 09:05:00,,46.24,29.5,29.1,29.3,27.0,27.0,[27.0],,0.74,,,,29.5,0.77,27.0,26.0,,29.1,0.0,,
2023-05-30 09:10:00,,46.7,29.8,29.5,29.65,27.5,27.5,[27.5],,0.73,,,,29.8,4.98,26.5,26.0,,29.5,0.0,,
2023-05-30 09:15:00,,46.260000000000005,29.8,29.2,29.5,27.1,27.1,[27.1],,0.72,,,,29.8,0.58,27.5,26.0,,29.2,0.0,,
2023-05-30 09:20:00,,46.27,29.6,28.9,29.25,27.1,27.1,[27.1],,0.73,,,,29.6,4.73,26.0,26.0,,28.9,0.0,,
2023-05-30 09:25:00,,46.67,29.6,29.2,29.4,27.2,27.2,[27.2],,0.72,,,,29.6,0.58,28.5,26.0,,29.2,0.0,,
2023-05-30 09:30:00,,46.35,29.7,29.2,29.45,27.4,27.4,[27.4],,0.71,,,,29.7,4.78,26.5,26.0,,29.2,0.0,,
2023-05-30 09:35:00,,46.31,29.6,29.1,29.35,27.1,27.1,[27.1],,0.73,,,,29.6,0.58,27.5,26.0,,29.1,0.0,,
2023-05-30 09:40:00,,46.69,29.5,28.9,29.2,27.0,27.0,[27.0],,0.75,,,,29.5,4.74,26.0,26.0,,28.9,0.0,,
2023-05-30 09:45:00,,46.68,29.6,28.9,29.25,27.7,27.7,[27.7],,0.75,,,,29.6,4.51,29.0,26.0,,28.9,0.0,,
2023-05-30 09:50:00,,46.38,29.7,29.4,29.55,27.3,27.3,[27.3],,0.73,,,,29.7,4.9,26.0,26.0,,29.4,0.0,,
2023-05-30 09:55:00,,46.290000000000006,29.7,29.4,29.55,27.2,27.2,[27.2],,0.71,,,,29.7,4.8,27.5,26.0,,29.4,0.0,,
2023-05-30 10:00:00,,46.27,29.7,28.9,29.3,27.3,27.3,[27.3],,0.71,,,,29.7,4.7,26.0,26.0,,28.9,0.0,,
2023-05-30 10:05:00,,46.48,29.5,29.4,29.45,27.7,27.7,[27.7],,0.73,,,,29.5,4.85,27.5,26.0,,29.4,0.0,,
2023-05-30 10:10:00,,46.760000000000005,29.8,29.4,29.6,27.3,27.3,[27.3],,0.73,,,,29.8,0.77,26.5,26.0,,29.4,0.0,,
2023-05-30 10:15:00,,46.25,29.6,29.3,29.450000000000003,27.4,27.4,[27.4],,0.73,,,,29.6,4.68,26.5,26.0,,29.3,0.0,,
2023-05-30 10:20:00,,46.3,29.4,29.0,29.2,27.2,27.2,[27.2],,0.74,,,,29.4,0.58,26.0,26.0,,29.0,0.0,,
2023-05-30 10:25:00,,46.72,29.7,29.5,29.6,27.6,27.6,[27.6],,0.73,,,,29.7,4.73,26.5,26.0,,29.5,0.0,,
2023-05-30 10:30:00,,46.260000000000005,29.7,29.2,29.45,27.4,27.4,[27.4],,0.71,,,,29.7,0.58,27.5,26.0,,29.2,0.0,,
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,46.69,29.6,29.2,29.4,27.4,27.4,[27.4],,0.78,,,,29.6,0.58,28.5,26.0,,29.2,0.0,,
2023-05-30 10:45:00,,46.31,29.7,29.4,29.55,27.4,27.4,[27.4],,0.77,,,,29.7,4.83,26.5,26.0,,29.4,0.0,,
2023-05-30 10:50:00,,46.33,29.6,29.1,29.35,27.2,27.2,[27.2],,0.77,,,,29.6,4.28,27.5,26.0,,29.1,0.0,,
2023-05-30 10:55:00,,46.290000000000006,29.5,28.9,29.2,27.1,27.1,[27.1],,0.77,,,,29.5,4.94,26.0,26.0,,28.9,0.0,,
2023-05-30 11:00:00,,46.75,29.7,29.3,29.5,27.5,27.5,[27.5],,0.79,,,,29.7,4.84,28.5,26.0,,29.3,0.0,,
2023-05-30 11:05:00,,46.260000000000005,29.5,29.3,29.4,27.2,27.2,[27.2],,0.77,,,,29.5,4.77,26.0,26.0,,29.3,0.0,,
2023-05-30 11:10:00,,46.25999999999999,29.7,29.0,29.35,27.3,27.3,[27.3],,0.77,,,,29.7,4.78,27.0,26.0,,29.0,0.0,,
2023-05-30 11:15:00,,46.69,29.5,29.0,29.25,27.2,27.2,[27.2],,0.74,,,,29.5,0.89,26.0,26.0,,29.0,0.0,,
2023-05-30 11:20:00,,46.78,29.5,29.5,29.5,27.7,27.7,[27.7],,0.77,,,,29.5,4.74,27.0,26.0,,29.5,0.0,,
2023-05-30 11:25:00,,46.36,29.8,29.3,29.55,27.3,27.3,[27.3],,0.74,,,,29.8,0.78,26.5,26.0,,29.3,0.0,,
2023-05-30 11:30:00,,46.25999999999999,29.5,29.3,29.4,27.2,27.2,[27.2],,0.75,,,,29.5,4.69,26.0,26.0,,29.3,0.0,,
2023-05-30 11:35:00,,46.27,29.4,29.1,29.25,27.3,27.3,[27.3],,0.77,,,,29.4,0.59,27.5,26.0,,29.1,0.0,,
2023-05-30 11:40:00,,46.370000000000005,29.7,29.1,29.4,27.5,27.5,[27.5],,0.8,,,,29.7,4.84,27.0,26.0,,29.1,0.0,,
