time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1982002_c,1982002_h,1982002_p,1982002_r,1982002_s,1982014_c,1982014_h,1982014_p,1982014_r,1982014_s,3803891_c,3803891_p,3803891_r,3803891_s,3803892_c,3803892_h,3803892_p,3803892_r,3803892_s,3803893_c,3803893_h,3803893_p,3803893_r,3803893_s
2023-05-30 09:00:00,,,,,,,,,,,3.9,,,,,0.4,,,,0.5,,,,,6.0,,,,,0.5,,
2023-05-30 09:10:00,,12.31,29.3,25.2,26.525,24.5,27.1,"[27.1, 25.2, 21.2]",1.0,25.8,3.9,23.0,26.0,1.0,25.8,0.4,23.3,26.0,1.0,0.5,26.0,26.0,1.0,25.2,6.0,27.0,26.0,1.0,29.3,0.5,26.0,26.0
2023-05-30 09:15:00,,12.32,29.3,25.2,26.525,24.46666666666667,27.0,"[27.0, 25.2, 21.2]",1.0,25.8,4.0,22.8,26.0,1.0,25.8,0.4,23.4,26.0,1.0,0.5,26.0,26.0,1.0,25.2,6.1,27.0,26.0,1.0,29.3,0.5,26.0,26.0
2023-05-30 09:20:00,,12.31,29.4,25.2,26.55,24.5,27.0,"[27.0, 25.2, 21.3]",1.0,25.8,4.0,22.8,26.0,1.0,25.8,0.4,23.4,26.0,1.0,0.4,26.0,26.0,1.0,25.2,6.0,27.0,26.0,1.0,29.4,0.5,27.0,26.0
2023-05-30 09:25:00,,12.33,29.4,25.2,26.6,24.5,27.0,"[27.0, 25.2, 21.3]",1.0,25.9,3.9,22.8,26.0,1.0,25.9,0.4,23.4,26.0,1.0,0.5,26.0,26.0,1.0,25.2,6.0,27.0,26.0,1.0,29.4,0.5,26.0,26.0
2023-05-30 09:30:00,,12.32,29.4,25.2,26.6,24.5,27.0,"[27.0, 25.2, 21.3]",1.0,25.9,3.9,22.8,26.0,1.0,25.9,0.4,23.4,26.0,1.0,0.5,26.0,26.0,1.0,25.2,6.1,27.0,26.0,1.0,29.4,0.5,26.0,26.0
2023-05-30 09:35:00,,12.33,29.4,25.2,26.6,24.5,27.0,"[27.0, 25.2, 21.3]",1.0,25.9,4.0,23.1,26.0,1.0,25.9,0.4,23.5,26.0,1.0,0.5,26.0,26.0,1.0,25.2,6.1,27.0,26.0,1.0,29.4,0.5,26.0,26.0
2023-05-30 09:40:00,,12.34,29.4,25.2,26.6,24.5,27.0,"[27.0, 25.2, 21.3]",1.0,25.9,4.0,22.9,26.0,1.0,25.9,0.4,23.5,26.0,1.0,0.5,26.0,26.0,1.0,25.2,6.1,27.0,26.0,1.0,29.4,0.5,26.0,26.0
2023-05-30 09:45:00,,12.32,29.4,25.2,26.6,24.53333333333333,27.1,"[27.1, 25.2, 21.3]",1.0,25.9,3.9,23.1,26.0,1.0,25.9,0.4,23.3,26.0,1.0,0.5,26.0,26.0,1.0,25.2,6.0,27.0,26.0,1.0,29.4,0.5,26.0,26.0
2023-05-30 09:50:00,,12.33,29.4,25.2,26.6,24.53333333333333,27.1,"[27.1, 25.2, 21.3]",1.0,25.9,4.0,23.2,26.0,1.0,25.9,0.4,23.5,26.0,1.0,0.4,26.0,26.0,1.0,25.2,6.1,27.0,26.0,1.0,29.4,0.5,26.0,26.0
