time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,678830_c,678830_h,678830_p,678830_r,678830_s,678831_c,678831_h,678831_p,678831_r,678831_s
2023-05-30 09:00:00,,,,,,,,,,,13.3,,,,,0.0,,
2023-05-30 09:10:00,,76.0,27.9,27.9,27.9,24.65,25.5,"[23.8, 25.5]",1.0,27.9,13.7,27.9,26.0,1.0,27.9,0.0,28.7,26.0
2023-05-30 09:15:00,,75.0,28.0,28.0,28.0,24.75,25.6,"[23.9, 25.6]",1.0,28.0,13.0,28.3,26.0,1.0,28.0,0.0,28.9,26.0
2023-05-30 09:20:00,,76.0,28.1,28.1,28.1,24.85,25.7,"[24.0, 25.7]",1.0,28.1,13.5,28.3,26.0,1.0,28.1,0.0,29.1,26.0
2023-05-30 09:25:00,,76.0,28.2,28.2,28.2,25.0,25.8,"[24.2, 25.8]",1.0,28.2,13.7,28.3,26.0,1.0,28.2,0.0,29.0,26.0
2023-05-30 09:30:00,,75.0,28.2,28.2,28.2,25.05,25.9,"[24.2, 25.9]",1.0,28.2,24.5,28.2,26.0,1.0,28.2,0.0,29.0,26.0
2023-05-30 09:35:00,,76.0,28.2,28.2,28.2,24.75,25.6,"[23.9, 25.6]",1.0,28.2,24.1,27.6,26.0,1.0,28.2,0.0,29.0,26.0
2023-05-30 09:40:00,,76.0,28.1,28.1,28.1,24.55,25.3,"[23.8, 25.3]",1.0,28.1,13.9,27.4,26.0,1.0,28.1,0.0,28.6,26.0
2023-05-30 09:45:00,,76.0,28.1,28.1,28.1,24.55,25.3,"[23.8, 25.3]",1.0,28.1,13.9,27.5,26.0,1.0,28.1,0.0,28.7,26.0
2023-05-30 09:50:00,,76.0,28.1,28.1,28.1,24.65,25.4,"[23.9, 25.4]",1.0,28.1,13.1,27.8,26.0,1.0,28.1,0.0,28.8,26.0
2023-05-30 09:55:00,,76.0,28.0,28.0,28.0,24.75,25.6,"[23.9, 25.6]",1.0,28.0,14.0,28.3,26.0,1.0,28.0,0.0,28.9,26.0
2023-05-30 10:00:00,,76.0,28.0,28.0,28.0,24.85,25.7,"[24.0, 25.7]",1.0,28.0,13.5,28.3,26.0,1.0,28.0,0.0,29.1,26.0
2023-05-30 10:05:00,,77.0,28.1,28.1,28.1,25.0,25.9,"[24.1, 25.9]",1.0,28.1,23.8,28.5,26.0,1.0,28.1,0.0,29.2,26.0
2023-05-30 10:10:00,,76.0,28.1,28.1,28.1,24.9,25.8,"[24.0, 25.8]",1.0,28.1,25.1,28.0,26.0,1.0,28.1,0.0,29.0,26.0
2023-05-30 10:15:00,,76.0,28.2,28.2,28.2,24.65,25.5,"[23.8, 25.5]",1.0,28.2,24.4,27.6,26.0,1.0,28.2,0.0,29.2,26.0
2023-05-30 10:20:00,,76.0,28.2,28.2,28.2,24.6,25.4,"[23.8, 25.4]",1.0,28.2,13.9,27.5,26.0,1.0,28.2,0.0,28.9,26.0
2023-05-30 10:25:00,,76.0,,,,24.65,25.5,"[23.8, 25.5]",1.0,,13.4,27.8,26.0,1.0,,0.0,28.9,26.0
2023-05-30 10:30:00,,76.0,28.1,28.1,28.1,24.75,25.6,"[23.9, 25.6]",1.0,28.1,14.1,28.0,26.0,1.0,28.1,0.0,29.1,26.0
2023-05-30 10:45:00,,76.0,28.3,28.3,28.3,25.05,25.9,"[24.2, 25.9]",1.0,28.3,24.5,28.3,26.0,1.0,28.3,0.0,29.5,26.0
2023-05-30 10:50:00,,76.0,28.2,28.2,28.2,24.75,25.6,"[23.9, 25.6]",1.0,28.2,24.7,27.7,26.0,1.0,28.2,0.0,28.6,26.0
2023-05-30 10:55:00,,76.0,28.2,28.2,28.2,24.6,25.4,"[23.8, 25.4]",1.0,28.2,24.6,27.5,26.0,1.0,28.2,0.0,29.0,26.0
2023-05-30 11:00:00,,77.0,28.2,28.2,28.2,24.450000000000003,25.3,"[23.6, 25.3]",1.0,28.2,13.8,27.3,26.0,1.0,28.2,0.0,28.9,26.0
2023-05-30 11:05:00,,76.0,28.0,28.0,28.0,24.55,25.3,"[23.8, 25.3]",1.0,28.0,14.0,27.7,26.0,1.0,28.0,0.0,28.7,26.0
2023-05-30 11:10:00,,77.0,28.1,28.1,28.1,25.0,25.8,"[24.2, 25.8]",1.0,28.1,13.7,28.2,26.0,1.0,28.1,0.0,29.2,26.0
2023-05-30 11:15:00,,76.0,28.2,28.2,28.2,25.450000000000003,26.1,"[24.8, 26.1]",1.0,28.2,24.5,28.5,26.0,1.0,28.2,0.0,29.1,26.0
2023-05-30 11:20:00,,76.0,28.2,28.2,28.2,25.45,26.2,"[24.7, 26.2]",1.0,28.2,25.0,28.2,26.0,1.0,28.2,0.0,28.9,26.0
2023-05-30 11:25:00,,76.0,28.3,28.3,28.3,25.4,26.1,"[24.7, 26.1]",1.0,28.3,25.7,28.0,26.0,1.0,28.3,0.0,29.3,26.0
2023-05-30 11:30:00,,76.0,28.3,28.3,28.3,25.35,26.0,"[24.7, 26.0]",1.0,28.3,24.9,27.9,26.0,1.0,28.3,0.0,29.0,26.0
2023-05-30 11:35:00,,76.0,28.3,28.3,28.3,25.3,25.9,"[24.7, 25.9]",1.0,28.3,25.3,27.7,26.0,1.0,28.3,0.0,29.4,26.0
2023-05-30 11:40:00,,76.0,28.3,28.3,28.3,24.9,25.6,"[24.2, 25.6]",1.0,28.3,14.0,27.6,26.0,1.0,28.3,0.0,29.0,26.0
2023-05-30 11:45:00,,76.0,28.3,28.3,28.3,24.7,25.5,"[23.9, 25.5]",1.0,28.3,14.2,27.9,26.0,1.0,28.3,0.0,29.0,26.0
2023-05-30 11:50:00,,76.0,28.3,28.3,28.3,24.65,25.4,"[23.9, 25.4]",1.0,28.3,13.6,28.2,26.0,1.0,28.3,0.0,29.1,26.0
2023-05-30 11:55:00,,76.0,28.3,28.3,28.3,24.65,25.4,"[23.9, 25.4]",1.0,28.3,13.7,28.2,26.0,1.0,28.3,0.0,29.2,26.0
2023-05-30 12:00:00,,77.0,28.3,28.3,28.3,24.6,25.4,"[23.8, 25.4]",1.0,28.3,24.7,28.0,26.0,1.0,28.3,0.0,29.1,26.0
