time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3804063_c,3804063_h,3804063_p,3804063_r,3804063_s,3804064_c,3804064_h,3804064_p,3804064_r,3804064_s,3804065_c,3804065_h,3804065_p,3804065_r,3804065_s,3804066_c,3804066_h,3804066_p,3804066_r,3804066_s
2023-05-30 09:00:00,,,,,,,,,,,4.5,,,,,4.8,,,,,4.5,,,,,5.2,,
2023-05-30 09:10:00,,25.0,28.4,27.9,28.25,26.0,26.7,"[25.3, 26.7]",1.0,28.4,4.3,26.0,23.0,1.0,28.4,4.7,26.0,23.0,1.0,28.3,4.7,26.0,23.0,1.0,27.9,5.3,23.7,23.0
2023-05-30 09:15:00,,25.0,28.3,27.8,28.15,26.0,26.7,"[25.3, 26.7]",1.0,28.3,4.2,26.0,23.0,1.0,28.3,4.6,26.0,23.0,1.0,28.2,4.6,26.0,23.0,1.0,27.8,5.5,23.7,23.0
2023-05-30 09:20:00,,25.0,28.3,27.8,28.15,26.0,26.7,"[25.3, 26.7]",1.0,28.3,4.0,26.0,23.0,1.0,28.3,4.6,26.0,23.0,1.0,28.2,4.5,26.0,23.0,1.0,27.8,5.1,23.6,23.0
2023-05-30 09:25:00,,25.0,28.4,27.8,28.2,25.9,26.5,"[25.3, 26.5]",1.0,28.4,4.2,26.0,23.0,1.0,28.4,4.5,26.0,23.0,1.0,28.2,4.2,26.0,23.0,1.0,27.8,5.1,23.6,23.0
2023-05-30 09:30:00,,25.0,28.3,27.8,28.15,25.8,26.3,"[25.3, 26.3]",1.0,28.3,4.3,26.0,23.0,1.0,28.3,4.5,26.0,23.0,1.0,28.2,4.2,26.0,23.0,1.0,27.8,5.1,23.7,23.0
2023-05-30 09:35:00,,25.0,28.3,27.8,28.1,25.75,26.2,"[25.3, 26.2]",1.0,28.3,4.4,26.0,22.0,1.0,28.3,4.8,26.0,22.0,1.0,28.0,4.6,26.0,22.0,1.0,27.8,5.3,23.7,22.0
2023-05-30 09:40:00,,25.0,28.3,27.8,28.1,25.75,26.2,"[25.3, 26.2]",1.0,28.3,4.3,26.0,22.0,1.0,28.3,4.7,26.0,22.0,1.0,28.0,4.3,26.0,22.0,1.0,27.8,5.1,23.7,22.0
2023-05-30 09:45:00,,25.0,28.2,27.8,28.05,25.8,26.3,"[25.3, 26.3]",1.0,28.2,4.4,26.0,22.0,1.0,28.2,4.6,26.0,22.0,1.0,28.0,4.3,26.0,22.0,1.0,27.8,5.1,23.7,22.0
2023-05-30 09:50:00,,25.0,28.2,27.8,28.05,25.8,26.3,"[25.3, 26.3]",1.0,28.2,4.4,26.0,22.0,1.0,28.2,4.7,26.0,22.0,1.0,28.0,4.4,26.0,22.0,1.0,27.8,5.2,23.8,22.0
2023-05-30 09:55:00,,25.0,28.4,28.0,28.15,25.8,26.3,"[25.3, 26.3]",1.0,28.1,4.3,26.0,22.0,1.0,28.1,4.6,26.0,22.0,1.0,28.0,4.3,27.0,22.0,1.0,28.4,5.2,23.8,22.0
2023-05-30 10:00:00,,25.0,28.4,28.0,28.15,25.8,26.3,"[25.3, 26.3]",1.0,28.1,4.4,26.0,22.0,1.0,28.1,4.6,26.0,22.0,1.0,28.0,4.3,27.0,22.0,1.0,28.4,5.0,24.1,22.0
2023-05-30 10:05:00,,25.0,28.1,28.1,28.1,25.75,26.2,"[25.3, 26.2]",1.0,28.1,4.1,26.0,23.0,1.0,28.1,4.5,26.0,23.0,1.0,28.1,4.3,27.0,23.0,1.0,28.1,5.2,24.1,23.0
2023-05-30 10:10:00,,25.0,28.1,28.0,28.075000000000003,25.75,26.2,"[25.3, 26.2]",1.0,28.1,4.0,26.0,23.0,1.0,28.1,4.5,26.0,23.0,1.0,28.1,4.5,27.0,23.0,1.0,28.0,5.2,24.1,23.0
2023-05-30 10:15:00,,25.0,28.2,28.0,28.1,25.8,26.2,"[25.4, 26.2]",1.0,28.0,4.5,26.0,23.0,1.0,28.2,4.6,26.0,23.0,1.0,28.2,4.1,27.0,23.0,1.0,28.0,5.1,24.1,23.0
2023-05-30 10:20:00,,25.0,28.2,28.0,28.1,25.65,25.9,"[25.4, 25.9]",1.0,28.0,4.3,26.0,23.0,1.0,28.2,4.7,26.0,23.0,1.0,28.2,4.4,26.0,23.0,1.0,28.0,5.1,24.0,23.0
2023-05-30 10:25:00,,25.0,28.3,28.0,28.15,25.55,25.8,"[25.3, 25.8]",1.0,28.0,4.2,26.0,23.0,1.0,28.3,4.7,26.0,23.0,1.0,28.3,4.4,26.0,23.0,1.0,28.0,5.2,23.9,23.0
