time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3813449_c,3813449_h,3813449_r,3813449_s,3813450_c,3813450_h,3813450_r,3813450_s,3813451_c,3813451_h,3813451_r,3813451_s,3813452_c,3813452_h,3813452_r,3813452_s
2023-05-30 09:05:00,,,35.2,26.6,31.225,32.3,32.3,[32.3],1.0,29.3,25.6,25.0,1.0,26.6,25.4,27.0,1.0,35.2,25.3,26.0,1.0,33.8,28.0,26.0
2023-05-30 09:10:00,,,35.4,26.6,31.25,32.3,32.3,[32.3],1.0,29.2,26.1,25.0,1.0,26.6,25.4,27.0,1.0,35.4,25.1,26.0,1.0,33.8,28.0,26.0
2023-05-30 09:15:00,,,35.5,26.7,31.325,32.4,32.4,[32.4],1.0,29.3,27.1,25.0,1.0,26.7,25.5,27.0,1.0,35.5,25.4,26.0,1.0,33.8,28.0,26.0
2023-05-30 09:20:00,,,35.7,26.8,31.425000000000004,32.4,32.4,[32.4],1.0,29.3,24.7,25.0,1.0,26.8,25.3,27.0,1.0,35.7,25.2,26.0,1.0,33.9,28.0,26.0
2023-05-30 09:25:00,,,35.7,26.9,31.450000000000003,32.5,32.5,[32.5],1.0,29.3,27.8,25.0,1.0,26.9,25.5,27.0,1.0,35.7,25.3,26.0,1.0,33.9,28.0,26.0
2023-05-30 09:30:00,,,35.7,26.9,31.450000000000003,32.5,32.5,[32.5],1.0,29.3,24.7,25.0,1.0,26.9,25.3,27.0,1.0,35.7,25.1,26.0,1.0,33.9,28.0,26.0
2023-05-30 09:35:00,,,35.9,27.2,31.575000000000003,32.5,32.5,[32.5],1.0,29.3,27.5,25.0,1.0,27.2,25.4,27.0,1.0,35.9,25.1,26.0,1.0,33.9,28.0,26.0
2023-05-30 09:40:00,,,36.1,27.2,31.625,32.6,32.6,[32.6],1.0,29.3,25.4,25.0,1.0,27.2,25.2,27.0,1.0,36.1,25.2,26.0,1.0,33.9,28.0,26.0
2023-05-30 09:45:00,,,36.1,27.3,31.65,32.6,32.6,[32.6],1.0,29.3,26.4,25.0,1.0,27.3,25.3,27.0,1.0,36.1,25.1,26.0,1.0,33.9,28.0,26.0
2023-05-30 09:50:00,,,36.2,27.3,31.700000000000003,32.6,32.6,[32.6],1.0,29.3,25.9,25.0,1.0,27.3,25.2,27.0,1.0,36.2,25.3,26.0,1.0,34.0,28.0,26.0
2023-05-30 09:55:00,,,36.3,27.4,31.75,32.6,32.6,[32.6],1.0,29.3,25.4,25.0,1.0,27.4,25.3,27.0,1.0,36.3,25.0,26.0,1.0,34.0,28.0,26.0
2023-05-30 10:00:00,,,36.3,27.5,31.775,32.6,32.6,[32.6],1.0,29.3,27.6,25.0,1.0,27.5,25.3,27.0,1.0,36.3,25.4,26.0,1.0,34.0,28.0,26.0
2023-05-30 10:05:00,,,36.4,27.5,31.825,32.5,32.5,[32.5],1.0,29.3,24.7,25.0,1.0,27.5,25.1,27.0,1.0,36.4,25.1,26.0,1.0,34.1,28.0,26.0
2023-05-30 10:10:00,,,36.4,27.6,31.85,32.5,32.5,[32.5],1.0,29.3,27.8,25.0,1.0,27.6,25.4,27.0,1.0,36.4,25.3,26.0,1.0,34.1,28.0,26.0
2023-05-30 10:15:00,,,36.4,27.6,31.85,32.5,32.5,[32.5],1.0,29.3,24.9,25.0,1.0,27.6,25.2,27.0,1.0,36.4,25.1,26.0,1.0,34.1,28.0,26.0
2023-05-30 10:20:00,,,36.5,27.7,31.9,32.5,32.5,[32.5],1.0,29.3,27.5,25.0,1.0,27.7,25.3,27.0,1.0,36.5,25.3,26.0,1.0,34.1,28.0,26.0
2023-05-30 10:25:00,,,36.5,27.7,31.9,32.6,32.6,[32.6],1.0,29.3,25.1,25.0,1.0,27.7,25.2,27.0,1.0,36.5,25.2,26.0,1.0,34.1,28.0,26.0
2023-05-30 10:30:00,,,36.5,27.7,31.95,32.5,32.5,[32.5],1.0,29.4,26.7,25.0,1.0,27.7,25.4,27.0,1.0,36.5,25.2,26.0,1.0,34.2,28.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,,36.6,27.7,31.95,32.6,32.6,[32.6],1.0,29.3,26.2,25.0,1.0,27.7,25.3,27.0,1.0,36.6,25.1,26.0,1.0,34.2,28.0,26.0
2023-05-30 10:45:00,,,36.6,27.8,31.975,32.6,32.6,[32.6],1.0,29.3,26.8,25.0,1.0,27.8,25.3,27.0,1.0,36.6,25.4,26.0,1.0,34.2,28.0,26.0
2023-05-30 10:50:00,,,36.7,27.9,32.05,32.6,32.6,[32.6],1.0,29.4,25.3,25.0,1.0,27.9,25.3,27.0,1.0,36.7,25.2,26.0,1.0,34.2,28.0,26.0
2023-05-30 10:55:00,,,36.7,27.9,32.075,32.7,32.7,[32.7],1.0,29.4,27.7,25.0,1.0,27.9,25.5,27.0,1.0,36.7,25.4,26.0,1.0,34.3,28.0,26.0
2023-05-30 11:00:00,,,36.7,27.9,32.075,32.7,32.7,[32.7],1.0,29.4,24.8,25.0,1.0,27.9,25.3,27.0,1.0,36.7,25.3,26.0,1.0,34.3,28.0,26.0
2023-05-30 11:05:00,,,36.7,28.0,32.099999999999994,32.7,32.7,[32.7],1.0,29.4,27.9,25.0,1.0,28.0,25.6,27.0,1.0,36.7,25.5,26.0,1.0,34.3,28.0,26.0
2023-05-30 11:10:00,,,36.7,28.0,32.099999999999994,32.7,32.7,[32.7],1.0,29.4,25.0,25.0,1.0,28.0,25.3,27.0,1.0,36.7,25.4,26.0,1.0,34.3,28.0,26.0
2023-05-30 11:15:00,,,36.8,28.0,32.125,32.7,32.7,[32.7],1.0,29.4,27.8,25.0,1.0,28.0,25.5,27.0,1.0,36.8,25.6,26.0,1.0,34.3,28.0,26.0
2023-05-30 11:20:00,,,36.8,28.0,32.15,32.8,32.8,[32.8],1.0,29.4,25.3,25.0,1.0,28.0,25.3,27.0,1.0,36.8,25.4,26.0,1.0,34.4,28.0,26.0
2023-05-30 11:25:00,,,36.8,28.0,32.15,32.8,32.8,[32.8],1.0,29.4,27.2,25.0,1.0,28.0,25.5,27.0,1.0,36.8,25.3,26.0,1.0,34.4,28.0,26.0
2023-05-30 11:30:00,,,36.8,28.1,32.175,32.8,32.8,[32.8],1.0,29.4,25.7,25.0,1.0,28.1,25.3,27.0,1.0,36.8,25.5,26.0,1.0,34.4,28.0,26.0
2023-05-30 11:35:00,,,36.9,28.1,32.2,32.8,32.8,[32.8],1.0,29.4,26.3,25.0,1.0,28.1,25.5,27.0,1.0,36.9,25.3,26.0,1.0,34.4,28.0,26.0
2023-05-30 11:40:00,,,36.9,28.1,32.2,32.9,32.9,[32.9],1.0,29.4,26.1,25.0,1.0,28.1,25.5,27.0,1.0,36.9,25.5,26.0,1.0,34.4,28.0,26.0
2023-05-30 11:45:00,,,36.9,28.2,32.25,32.8,32.8,[32.8],1.0,29.4,25.7,25.0,1.0,28.2,25.4,27.0,1.0,36.9,25.4,26.0,1.0,34.5,28.0,26.0
2023-05-30 11:50:00,,,36.9,28.2,32.25,32.9,32.9,[32.9],1.0,29.4,26.7,25.0,1.0,28.2,25.6,27.0,1.0,36.9,25.5,26.0,1.0,34.5,28.0,26.0
2023-05-30 11:55:00,,,37.0,28.2,32.275,32.9,32.9,[32.9],1.0,29.4,25.3,25.0,1.0,28.2,25.5,27.0,1.0,37.0,25.6,26.0,1.0,34.5,28.0,26.0
2023-05-30 12:00:00,,,37.0,28.2,32.275,33.0,33.0,[33.0],1.0,29.4,27.8,25.0,1.0,28.2,25.6,27.0,1.0,37.0,26.0,26.0,1.0,34.5,28.0,26.0
2023-05-30 12:05:00,,,37.0,28.2,32.275,33.0,33.0,[33.0],1.0,29.4,25.1,25.0,1.0,28.2,25.4,27.0,1.0,37.0,25.6,26.0,1.0,34.5,28.0,26.0
2023-05-30 12:10:00,,,37.0,28.2,32.275,33.1,33.1,[33.1],1.0,29.4,27.8,25.0,1.0,28.2,25.6,27.0,1.0,37.0,25.9,26.0,1.0,34.5,28.0,26.0
2023-05-30 12:15:00,,,37.0,28.2,32.325,33.1,33.1,[33.1],1.0,29.5,25.0,25.0,1.0,28.2,25.4,27.0,1.0,37.0,25.7,26.0,1.0,34.6,28.0,26.0
2023-05-30 12:20:00,,,37.0,28.2,32.325,33.2,33.2,[33.2],1.0,29.5,27.9,25.0,1.0,28.2,25.7,27.0,1.0,37.0,26.0,26.0,1.0,34.6,28.0,26.0
2023-05-30 12:25:00,,,37.0,28.3,32.35,33.2,33.2,[33.2],1.0,29.5,25.0,25.0,1.0,28.3,25.4,27.0,1.0,37.0,25.7,26.0,1.0,34.6,28.0,26.0
2023-05-30 12:30:00,,,37.0,28.3,32.325,33.2,33.2,[33.2],1.0,29.4,27.9,25.0,1.0,28.3,25.7,27.0,1.0,37.0,25.9,26.0,1.0,34.6,28.0,26.0
2023-05-30 12:35:00,,,37.0,28.3,32.325,33.2,33.2,[33.2],1.0,29.4,25.0,25.0,1.0,28.3,25.4,27.0,1.0,37.0,25.8,26.0,1.0,34.6,28.0,26.0
