time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3813440_c,3813440_h,3813440_p,3813440_r,3813440_s,3813441_c,3813441_h,3813441_p,3813441_r,3813441_s,3813442_c,3813442_h,3813442_p,3813442_r,3813442_s
2023-05-30 09:05:00,,,33.2,28.4,30.933333333333337,22.2,22.2,[22.2],1.0,31.2,4.65,27.0,28.0,1.0,33.2,3.24,24.0,28.0,1.0,28.4,0.54,24.0,28.0
2023-05-30 09:10:00,,,33.2,28.7,31.000000000000004,22.9,22.9,[22.9],1.0,31.1,4.62,27.0,28.0,1.0,33.2,3.18,25.0,28.0,1.0,28.7,0.54,24.0,28.0
2023-05-30 09:15:00,,,33.2,28.8,31.03333333333333,22.5,22.5,[22.5],1.0,31.1,4.62,27.0,28.0,1.0,33.2,31.14,24.0,28.0,1.0,28.8,0.54,24.0,28.0
2023-05-30 09:20:00,,,33.2,28.8,31.066666666666663,22.0,22.0,[22.0],1.0,31.2,0.63,27.0,28.0,1.0,33.2,3.21,23.0,28.0,1.0,28.8,0.54,23.0,28.0
2023-05-30 09:25:00,,,33.2,28.5,30.96666666666667,22.7,22.7,[22.7],1.0,31.2,0.54,27.0,28.0,1.0,33.2,3.18,25.0,28.0,1.0,28.5,0.54,24.0,28.0
2023-05-30 09:30:00,,,33.3,28.5,31.03333333333333,22.8,22.8,[22.8],1.0,31.3,0.54,27.0,28.0,1.0,33.3,29.7,24.0,28.0,1.0,28.5,0.54,24.0,28.0
2023-05-30 09:35:00,,,33.3,28.8,31.13333333333333,22.1,22.1,[22.1],1.0,31.3,0.54,27.0,28.0,1.0,33.3,28.83,23.0,28.0,1.0,28.8,0.54,23.0,28.0
2023-05-30 09:40:00,,,33.3,28.3,31.0,22.3,22.3,[22.3],1.0,31.4,4.65,27.0,28.0,1.0,33.3,3.18,24.0,28.0,1.0,28.3,0.54,24.0,28.0
2023-05-30 09:45:00,,,33.2,28.3,30.966666666666665,22.9,22.9,[22.9],1.0,31.4,4.68,27.0,28.0,1.0,33.2,3.18,25.0,28.0,1.0,28.3,0.54,24.0,28.0
2023-05-30 09:50:00,,,33.4,28.7,31.166666666666668,22.5,22.5,[22.5],1.0,31.4,4.68,27.0,28.0,1.0,33.4,30.78,24.0,28.0,1.0,28.7,0.54,24.0,28.0
