time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3813445_c,3813445_h,3813445_p,3813445_r,3813445_s,3813446_c,3813446_h,3813446_p,3813446_r,3813446_s
2023-05-30 09:05:00,,50.75,33.3,32.4,32.849999999999994,25.5,25.5,[25.5],1.0,33.3,4.05,25.7,26.0,1.0,32.4,24.81,26.5,26.0
2023-05-30 09:10:00,,50.57,33.6,32.7,33.150000000000006,25.5,25.5,[25.5],1.0,33.6,4.29,25.7,25.0,1.0,32.7,27.45,26.8,25.0
2023-05-30 09:15:00,,50.78,33.6,32.7,33.150000000000006,25.5,25.5,[25.5],1.0,33.6,4.32,25.5,25.0,1.0,32.7,29.37,26.1,25.0
2023-05-30 09:20:00,,50.75,33.9,32.7,33.3,25.4,25.4,[25.4],1.0,33.9,4.47,25.6,25.0,1.0,32.7,30.27,26.4,25.0
2023-05-30 09:25:00,,50.36,33.9,32.7,33.3,25.4,25.4,[25.4],1.0,33.9,4.53,25.4,25.0,1.0,32.7,28.95,25.8,25.0
2023-05-30 09:30:00,,51.32,33.9,32.7,33.3,25.3,25.3,[25.3],1.0,33.9,4.44,25.5,25.0,1.0,32.7,29.73,25.9,25.0
2023-05-30 09:35:00,,51.17,33.9,32.7,33.3,25.3,25.3,[25.3],1.0,33.9,4.5,25.5,26.0,1.0,32.7,29.22,25.9,26.0
2023-05-30 09:40:00,,50.6,33.8,32.7,33.25,25.2,25.2,[25.2],1.0,33.8,4.17,25.5,26.0,1.0,32.7,28.29,26.0,26.0
2023-05-30 09:45:00,,50.69,33.8,32.6,33.2,25.3,25.3,[25.3],1.0,33.8,4.26,25.5,26.0,1.0,32.6,29.31,26.3,26.0
2023-05-30 09:50:00,,50.69,33.8,32.5,33.15,25.3,25.3,[25.3],1.0,33.8,4.2,25.6,26.0,1.0,32.5,28.83,26.2,26.0
2023-05-30 09:55:00,,50.87,33.8,32.5,33.15,25.2,25.2,[25.2],1.0,33.8,4.2,25.6,26.0,1.0,32.5,29.1,26.4,26.0
2023-05-30 10:00:00,,50.870000000000005,33.7,32.5,33.1,25.3,25.3,[25.3],1.0,33.7,4.32,25.5,26.0,1.0,32.5,28.89,26.4,26.0
