time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3816285_c,3816285_h,3816285_p,3816285_r,3816285_s
2023-05-30 09:05:00,,,31.9,31.9,31.9,27.2,27.2,[27.2],1.0,31.9,16.98,27.7,28.0
2023-05-30 09:10:00,,,31.9,31.9,31.9,27.1,27.1,[27.1],1.0,31.9,16.8,27.6,28.0
2023-05-30 09:15:00,,,31.7,31.7,31.7,26.9,26.9,[26.9],1.0,31.7,17.34,27.3,28.0
2023-05-30 09:20:00,,,31.7,31.7,31.7,27.1,27.1,[27.1],1.0,31.7,14.85,27.2,28.0
2023-05-30 09:25:00,,,31.7,31.7,31.7,27.1,27.1,[27.1],1.0,31.7,2.94,26.8,28.0
2023-05-30 09:30:00,,,31.7,31.7,31.7,27.3,27.3,[27.3],1.0,31.7,16.05,27.5,28.0
2023-05-30 09:35:00,,,31.7,31.7,31.7,27.3,27.3,[27.3],1.0,31.7,3.87,27.1,29.0
2023-05-30 09:40:00,,,31.7,31.7,31.7,27.6,27.6,[27.6],1.0,31.7,16.29,28.1,29.0
2023-05-30 09:45:00,,,31.8,31.8,31.8,28.3,28.3,[28.3],1.0,31.8,2.67,28.5,29.0
2023-05-30 09:50:00,,,31.8,31.8,31.8,28.4,28.4,[28.4],1.0,31.8,15.69,28.7,29.0
2023-05-30 09:55:00,,,32.0,32.0,32.0,28.3,28.3,[28.3],1.0,32.0,15.66,28.1,29.0
2023-05-30 10:00:00,,,32.1,32.1,32.1,28.2,28.2,[28.2],1.0,32.1,3.0,28.1,29.0
2023-05-30 10:05:00,,,32.1,32.1,32.1,28.6,28.6,[28.6],1.0,32.1,15.63,28.6,28.0
2023-05-30 10:10:00,,,32.2,32.2,32.2,28.4,28.4,[28.4],1.0,32.2,16.38,28.5,28.0
2023-05-30 10:15:00,,,32.1,32.1,32.1,28.3,28.3,[28.3],1.0,32.1,16.17,28.2,28.0
2023-05-30 10:20:00,,,32.1,32.1,32.1,28.4,28.4,[28.4],1.0,32.1,3.0,28.3,28.0
2023-05-30 10:25:00,,,32.1,32.1,32.1,28.6,28.6,[28.6],1.0,32.1,16.71,28.6,28.0
2023-05-30 10:30:00,,,32.1,32.1,32.1,28.4,28.4,[28.4],1.0,32.1,16.2,28.4,28.0
2023-05-30 10:35:00,,,,,,,,,,,,,
2023-05-30 10:40:00,,,32.4,32.4,32.4,28.9,28.9,[28.9],1.0,32.4,17.28,28.6,28.0
