time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3816291_c,3816291_h,3816291_p,3816291_r,3816291_s,3816292_c,3816292_h,3816292_p,3816292_r,3816292_s
2023-05-30 09:05:00,,19.0,29.6,26.1,27.85,25.0,25.0,[25.0],1.0,26.1,11.85,25.6,26.0,1.0,29.6,12.78,25.0,26.0
2023-05-30 09:10:00,,19.0,29.5,26.1,27.8,25.2,25.2,[25.2],1.0,26.1,12.12,26.2,24.0,1.0,29.5,4.14,25.4,24.0
2023-05-30 09:15:00,,19.0,29.5,26.3,27.9,25.1,25.1,[25.1],0.0,26.3,19.35,25.8,24.0,1.0,29.5,12.57,25.8,24.0
2023-05-30 09:20:00,,19.0,29.3,26.3,27.8,24.3,24.3,[24.3],1.0,26.3,11.97,24.7,24.0,1.0,29.3,12.66,24.1,24.0
2023-05-30 09:25:00,,19.0,29.3,25.4,27.35,24.1,24.1,[24.1],1.0,25.4,12.15,24.8,24.0,1.0,29.3,12.69,24.3,24.0
2023-05-30 09:30:00,,19.0,28.5,25.2,26.85,23.4,23.4,[23.4],1.0,25.2,12.03,23.9,24.0,1.0,28.5,20.31,23.6,24.0
2023-05-30 09:35:00,,19.0,28.0,24.4,26.2,23.2,23.2,[23.2],1.0,24.4,4.05,23.9,25.0,1.0,28.0,12.93,24.0,25.0
2023-05-30 09:40:00,,19.0,28.0,24.6,26.3,23.8,23.8,[23.8],1.0,24.6,11.94,24.7,25.0,1.0,28.0,12.72,24.6,25.0
2023-05-30 09:45:00,,19.0,28.0,24.6,26.3,23.8,23.8,[23.8],1.0,24.6,12.33,24.5,25.0,1.0,28.0,5.46,24.2,25.0
2023-05-30 09:50:00,,19.0,28.4,25.2,26.8,24.4,24.4,[24.4],1.0,25.2,12.15,25.4,25.0,1.0,28.4,4.17,24.8,25.0
2023-05-30 09:55:00,,19.0,28.6,25.8,27.200000000000003,24.5,24.5,[24.5],1.0,25.8,12.36,25.3,25.0,1.0,28.6,12.96,24.9,25.0
2023-05-30 10:00:00,,19.0,28.6,25.4,27.0,24.2,24.2,[24.2],1.0,25.4,12.3,24.9,25.0,1.0,28.6,13.11,24.6,25.0
2023-05-30 10:05:00,,19.0,28.6,25.4,27.0,24.0,24.0,[24.0],1.0,25.4,12.54,24.7,25.0,1.0,28.6,13.14,24.3,25.0
2023-05-30 10:10:00,,19.0,28.6,25.0,26.8,24.0,24.0,[24.0],1.0,25.0,4.17,24.7,25.0,1.0,28.6,13.32,24.3,26.0
2023-05-30 10:15:00,,19.0,28.4,24.9,26.65,24.4,24.4,[24.4],1.0,24.9,4.02,25.4,25.0,1.0,28.4,13.2,26.0,26.0
2023-05-30 10:20:00,,19.0,28.7,25.5,27.1,24.4,24.4,[24.4],1.0,25.5,12.42,25.1,25.0,1.0,28.7,12.9,24.9,26.0
2023-05-30 10:25:00,,19.0,28.7,25.2,26.95,24.2,24.2,[24.2],1.0,25.2,12.45,25.0,25.0,1.0,28.7,13.05,24.5,26.0
2023-05-30 10:30:00,,19.0,28.7,25.0,26.85,24.0,24.0,[24.0],1.0,25.0,12.36,24.8,25.0,1.0,28.7,13.23,24.4,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,19.0,28.6,27.0,27.8,25.6,25.6,[25.6],1.0,27.0,12.51,26.8,26.0,1.0,28.6,12.81,26.8,27.0
2023-05-30 10:45:00,,19.0,29.4,27.0,28.2,25.1,25.1,[25.1],1.0,27.0,12.15,25.8,26.0,1.0,29.4,13.02,25.5,27.0
2023-05-30 10:50:00,,19.0,29.4,26.5,27.95,25.1,25.1,[25.1],1.0,26.5,3.96,25.8,26.0,1.0,29.4,13.47,26.3,27.0
