time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3816295_c,3816295_h,3816295_p,3816295_r,3816295_s,3816296_c,3816296_h,3816296_p,3816296_r,3816296_s,3816297_c,3816297_h,3816297_p,3816297_r,3816297_s,3816298_c,3816298_h,3816298_p,3816298_r,3816298_s,3816299_h
2023-05-30 09:05:00,,18.32,33.1,22.7,28.08,29.0,29.0,[29.0],1.0,31.6,0.33,27.3,26.0,1.0,29.7,2.1,28.0,27.0,1.0,33.1,9.15,24.1,25.0,1.0,23.3,0.27,21.0,26.0,22.7
2023-05-30 09:10:00,,18.32,33.1,22.7,28.08,29.0,29.0,[29.0],1.0,31.6,0.33,27.1,26.0,1.0,29.7,2.1,28.0,27.0,1.0,33.1,9.3,23.7,25.0,1.0,23.3,0.27,20.3,26.0,22.7
2023-05-30 09:15:00,,18.32,33.1,22.7,28.08,29.0,29.0,[29.0],1.0,31.6,0.33,26.3,26.0,1.0,29.7,2.1,27.0,27.0,1.0,33.1,9.45,23.8,25.0,1.0,23.3,0.27,20.9,26.0,22.7
2023-05-30 09:20:00,,18.32,33.1,22.7,28.08,29.0,29.0,[29.0],1.0,31.6,0.33,26.1,26.0,1.0,29.7,2.1,27.0,27.0,1.0,33.1,9.39,24.1,25.0,1.0,23.3,0.27,21.9,26.0,22.7
2023-05-30 09:25:00,,18.32,33.1,22.7,28.08,29.0,29.0,[29.0],1.0,31.6,0.33,26.1,26.0,1.0,29.7,2.1,27.0,27.0,1.0,33.1,9.24,24.1,25.0,1.0,23.3,0.27,22.4,26.0,22.7
2023-05-30 09:30:00,,18.32,33.1,22.7,28.08,29.0,29.0,[29.0],1.0,31.6,0.33,26.5,26.0,1.0,29.7,2.1,27.0,27.0,1.0,33.1,9.33,24.2,25.0,1.0,23.3,0.27,22.7,26.0,22.7
2023-05-30 09:35:00,,18.32,33.1,22.7,28.08,29.0,29.0,[29.0],1.0,31.6,0.33,27.8,26.0,1.0,29.7,2.1,28.0,27.0,1.0,33.1,9.69,24.5,25.0,1.0,23.3,0.27,23.1,26.0,22.7
2023-05-30 09:40:00,,18.32,33.1,22.7,28.08,29.0,29.0,[29.0],1.0,31.6,0.33,26.6,26.0,1.0,29.7,2.1,28.0,27.0,1.0,33.1,9.42,24.7,25.0,1.0,23.3,0.27,23.4,26.0,22.7
2023-05-30 09:45:00,,18.32,33.1,22.7,28.08,29.0,29.0,[29.0],1.0,31.6,0.33,26.4,26.0,1.0,29.7,2.1,27.0,27.0,1.0,33.1,9.57,24.7,25.0,1.0,23.3,0.27,23.6,26.0,22.7
2023-05-30 09:50:00,,18.32,33.1,22.7,28.08,29.0,29.0,[29.0],1.0,31.6,0.33,26.3,26.0,1.0,29.7,2.1,27.0,27.0,1.0,33.1,9.54,24.7,25.0,1.0,23.3,0.27,23.8,26.0,22.7
