time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3805562_c,3805562_h,3805562_p,3805562_r,3805562_s,3805563_h,3805564_c,3805564_h,3805564_p,3805564_r,3805564_s,3805565_c,3805565_h,3805565_p,3805565_r,3805565_s
2023-05-30 09:05:00,,28.64,34.1,30.0,32.375,29.7,29.7,[29.7],1.0,34.1,0.48,26.0,26.0,31.3,1.0,30.0,4.41,27.0,26.0,1.0,34.1,4.23,27.0,26.0
2023-05-30 09:10:00,,28.67,34.1,30.0,32.375,29.7,29.7,[29.7],1.0,34.1,0.48,26.0,26.0,31.3,1.0,30.0,4.38,27.0,26.0,1.0,34.1,4.26,27.0,26.0
2023-05-30 09:15:00,,28.58,34.1,30.0,32.35,29.8,29.8,[29.8],1.0,34.1,0.48,26.0,26.0,31.2,1.0,30.0,4.38,27.0,26.0,1.0,34.1,4.26,27.0,26.0
2023-05-30 09:20:00,,28.6,34.1,30.0,32.35,29.8,29.8,[29.8],1.0,34.1,0.48,26.0,26.0,31.2,1.0,30.0,4.41,27.0,26.0,1.0,34.1,4.23,27.0,26.0
2023-05-30 09:25:00,,28.630000000000003,34.1,30.0,32.35,29.8,29.8,[29.8],1.0,34.1,0.48,26.0,26.0,31.2,1.0,30.0,4.44,27.0,26.0,1.0,34.1,4.29,27.0,26.0
2023-05-30 09:30:00,,28.6,34.0,30.0,32.325,29.9,29.9,[29.9],1.0,34.0,0.48,26.1,26.0,31.3,1.0,30.0,4.47,28.0,26.0,1.0,34.0,4.32,28.0,26.0
2023-05-30 09:35:00,,28.64,34.2,30.0,32.425,30.0,30.0,[30.0],1.0,34.2,0.48,26.1,27.0,31.3,1.0,30.0,4.53,27.0,27.0,1.0,34.2,4.38,27.0,27.0
2023-05-30 09:40:00,,28.63,34.2,30.1,32.45,30.0,30.0,[30.0],1.0,34.2,0.48,26.1,27.0,31.3,1.0,30.1,4.44,27.0,27.0,1.0,34.2,4.32,27.0,27.0
2023-05-30 09:45:00,,28.67,34.2,30.1,32.45,30.1,30.1,[30.1],1.0,34.2,0.48,26.0,27.0,31.3,1.0,30.1,4.53,27.0,27.0,1.0,34.2,4.35,27.0,27.0
2023-05-30 09:50:00,,28.62,34.2,30.1,32.45,30.1,30.1,[30.1],1.0,34.2,0.48,26.0,27.0,31.3,1.0,30.1,4.47,27.0,27.0,1.0,34.2,4.29,27.0,27.0
2023-05-30 09:55:00,,28.66,34.2,30.1,32.425,30.1,30.1,[30.1],1.0,34.2,0.48,26.0,27.0,31.2,1.0,30.1,4.53,27.0,27.0,1.0,34.2,4.44,27.0,27.0
2023-05-30 10:00:00,,28.66,34.2,30.1,32.425,30.1,30.1,[30.1],1.0,34.2,0.48,26.0,27.0,31.2,1.0,30.1,4.53,27.0,27.0,1.0,34.2,4.35,27.0,27.0
2023-05-30 10:05:00,,28.66,34.2,30.1,32.400000000000006,30.1,30.1,[30.1],1.0,34.2,0.48,26.1,27.0,31.1,1.0,30.1,4.59,27.0,27.0,1.0,34.2,4.38,27.0,27.0
2023-05-30 10:10:00,,28.64,34.1,30.1,32.35,30.3,30.3,[30.3],1.0,34.1,0.48,27.7,28.0,31.1,1.0,30.1,0.48,28.0,28.0,1.0,34.1,0.48,28.0,28.0
2023-05-30 10:15:00,,28.71,34.4,30.5,32.6,30.5,30.5,[30.5],1.0,34.4,0.48,28.7,28.0,31.1,1.0,30.5,0.48,28.0,28.0,1.0,34.4,0.48,29.0,28.0
2023-05-30 10:20:00,,28.74,34.8,30.5,32.8,30.8,30.8,[30.8],1.0,34.8,0.48,29.4,28.0,31.1,1.0,30.5,0.48,29.0,28.0,1.0,34.8,4.38,28.0,28.0
2023-05-30 10:25:00,,28.75,34.8,31.0,32.95,30.9,30.9,[30.9],1.0,34.8,4.53,27.4,26.0,31.2,1.0,31.0,4.62,28.0,26.0,1.0,34.8,4.5,28.0,26.0
2023-05-30 10:30:00,,28.72,35.0,31.2,33.125,30.7,30.7,[30.7],1.0,35.0,4.5,26.8,26.0,31.2,1.0,31.3,4.65,28.0,26.0,1.0,35.0,4.5,28.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,28.61,34.8,31.1,32.95,30.5,30.5,[30.5],1.0,34.8,4.47,26.4,26.0,31.1,1.0,31.1,4.62,27.0,26.0,1.0,34.8,4.5,28.0,26.0
2023-05-30 10:45:00,,28.64,34.2,30.3,32.5,30.5,30.5,[30.5],1.0,34.2,4.5,26.4,26.0,31.3,1.0,30.3,4.59,28.0,26.0,1.0,34.2,4.5,29.0,26.0
2023-05-30 10:50:00,,28.62,34.0,30.3,32.4,30.5,30.5,[30.5],1.0,34.0,4.5,26.4,26.0,31.3,1.0,30.3,4.59,28.0,26.0,1.0,34.0,4.5,28.0,26.0
2023-05-30 10:55:00,,28.52,33.9,30.2,32.375,30.5,30.5,[30.5],1.0,33.9,4.53,26.1,26.0,31.5,1.0,30.2,4.65,27.0,26.0,1.0,33.9,4.56,28.0,26.0
2023-05-30 11:00:00,,28.54,33.8,30.1,32.3,30.4,30.4,[30.4],1.0,33.8,4.56,26.1,26.0,31.5,1.0,30.1,4.68,27.0,26.0,1.0,33.8,4.56,27.0,26.0
2023-05-30 11:05:00,,28.55,33.6,29.9,32.125,30.5,30.5,[30.5],1.0,33.6,0.45,26.1,26.0,31.4,1.0,29.9,4.71,27.0,26.0,1.0,33.6,4.59,28.0,26.0
2023-05-30 11:10:00,,28.57,33.6,29.9,32.125,30.6,30.6,[30.6],1.0,33.6,0.48,26.1,26.0,31.4,1.0,29.9,4.74,28.0,26.0,1.0,33.6,4.56,28.0,26.0
2023-05-30 11:15:00,,28.56,33.7,29.9,32.22500000000001,30.7,30.7,[30.7],1.0,33.7,0.48,26.1,26.0,31.6,1.0,29.9,4.71,27.0,26.0,1.0,33.7,4.59,28.0,26.0
2023-05-30 11:20:00,,28.64,33.9,29.9,32.325,30.8,30.8,[30.8],1.0,33.9,0.48,26.1,26.0,31.6,1.0,29.9,4.77,27.0,26.0,1.0,33.9,4.62,27.0,26.0
2023-05-30 11:25:00,,28.67,34.1,30.0,32.425,30.9,30.9,[30.9],1.0,34.1,0.48,26.4,26.0,31.5,1.0,30.0,4.77,27.0,26.0,1.0,34.1,4.62,27.0,26.0
2023-05-30 11:30:00,,28.66,,,,31.0,31.0,[31.0],1.0,,0.48,26.4,26.0,,1.0,,4.83,27.0,26.0,1.0,,4.62,28.0,26.0
2023-05-30 11:35:00,,28.66,34.2,30.1,32.474999999999994,31.0,31.0,[31.0],1.0,34.2,0.48,26.4,26.0,31.4,1.0,30.1,4.77,27.0,26.0,1.0,34.2,4.59,28.0,26.0
2023-05-30 11:40:00,,28.61,34.3,30.2,32.525,31.0,31.0,[31.0],1.0,34.3,0.48,26.4,26.0,31.3,1.0,30.2,4.77,27.0,26.0,1.0,34.3,4.62,28.0,26.0
2023-05-30 11:45:00,,28.64,34.4,30.2,32.575,31.1,31.1,[31.1],1.0,34.4,0.48,26.4,26.0,31.3,1.0,30.2,4.77,27.0,26.0,1.0,34.4,4.59,27.0,26.0
2023-05-30 11:50:00,,28.67,34.4,30.2,32.575,31.1,31.1,[31.1],1.0,34.4,0.48,26.4,26.0,31.3,1.0,30.2,4.77,27.0,26.0,1.0,34.4,4.59,28.0,26.0
2023-05-30 11:55:00,,28.68,34.4,30.3,32.6,31.1,31.1,[31.1],1.0,34.4,0.51,26.4,26.0,31.3,1.0,30.3,4.83,27.0,26.0,1.0,34.4,4.65,28.0,26.0
2023-05-30 12:00:00,,28.59,34.5,30.3,32.625,31.2,31.2,[31.2],1.0,34.5,0.51,26.4,26.0,31.2,1.0,30.3,4.86,27.0,26.0,1.0,34.5,4.71,28.0,26.0
2023-05-30 12:05:00,,28.71,34.5,30.3,32.625,31.2,31.2,[31.2],1.0,34.5,0.51,26.4,26.0,31.2,1.0,30.3,4.83,27.0,26.0,1.0,34.5,4.68,28.0,26.0
2023-05-30 12:10:00,,28.69,34.5,30.3,32.625,31.3,31.3,[31.3],1.0,34.5,0.51,26.4,25.0,31.2,1.0,30.3,4.86,27.0,25.0,1.0,34.5,4.68,28.0,25.0
2023-05-30 12:15:00,,28.66,34.5,30.4,32.65,31.3,31.3,[31.3],1.0,34.5,0.48,26.4,25.0,31.2,1.0,30.4,4.77,27.0,25.0,1.0,34.5,4.62,28.0,25.0
2023-05-30 12:20:00,,28.66,34.5,30.4,32.65,31.4,31.4,[31.4],1.0,34.5,0.48,26.4,24.0,31.2,1.0,30.4,4.8,27.0,24.0,1.0,34.5,4.62,28.0,24.0
2023-05-30 12:25:00,,28.73,34.5,30.4,32.65,31.4,31.4,[31.4],1.0,34.5,0.48,26.4,24.0,31.2,1.0,30.4,4.83,27.0,24.0,1.0,34.5,4.65,28.0,24.0
2023-05-30 12:30:00,,28.64,34.4,30.4,32.6,31.3,31.3,[31.3],1.0,34.4,4.68,26.4,23.0,31.2,1.0,30.4,4.89,27.0,23.0,1.0,34.4,4.74,27.0,23.0
2023-05-30 12:35:00,,28.67,34.4,30.2,32.55,31.2,31.2,[31.2],1.0,34.4,4.62,26.1,23.0,31.2,1.0,30.2,4.8,27.0,23.0,1.0,34.4,4.65,27.0,23.0
2023-05-30 12:40:00,,28.58,34.2,30.2,32.425000000000004,31.1,31.1,[31.1],1.0,34.2,4.68,26.1,22.0,31.1,1.0,30.2,4.83,27.0,22.0,1.0,34.2,4.71,28.0,22.0
2023-05-30 12:45:00,,28.62,33.9,30.1,32.25,31.1,31.1,[31.1],1.0,33.9,4.62,26.4,22.0,31.1,1.0,30.1,4.8,27.0,22.0,1.0,33.9,4.65,29.0,22.0
2023-05-30 12:50:00,,28.58,33.8,29.9,32.224999999999994,31.1,31.1,[31.1],1.0,33.8,4.68,26.4,22.0,31.4,1.0,29.9,4.83,27.0,22.0,1.0,33.8,4.68,28.0,22.0
2023-05-30 12:55:00,,28.58,33.8,29.9,32.3,31.1,31.1,[31.1],1.0,33.8,4.68,26.1,22.0,31.7,1.0,29.9,4.86,27.0,22.0,1.0,33.8,4.68,28.0,22.0
