time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3805566_c,3805566_h,3805566_r,3805566_s,3805567_c,3805567_h,3805567_r,3805567_s,3805568_c,3805568_h,3805568_r,3805568_s
2023-05-30 09:05:00,,20.25,32.9,29.5,31.766666666666666,27.9,27.9,[27.9],1.0,29.5,28.2,25.0,1.0,32.9,28.0,25.0,1.0,32.9,28.0,26.0
2023-05-30 09:10:00,,20.19,32.9,29.6,31.8,28.0,28.0,[28.0],1.0,29.6,27.5,25.0,1.0,32.9,28.0,25.0,1.0,32.9,27.0,26.0
2023-05-30 09:15:00,,20.25,32.8,29.6,31.73333333333333,28.0,28.0,[28.0],1.0,29.6,27.3,25.0,1.0,32.8,27.0,25.0,1.0,32.8,27.0,26.0
2023-05-30 09:20:00,,20.28,32.8,29.4,31.666666666666668,27.9,27.9,[27.9],1.0,29.4,28.1,25.0,1.0,32.8,28.0,25.0,1.0,32.8,28.0,26.0
2023-05-30 09:25:00,,20.31,32.8,29.5,31.7,28.1,28.1,[28.1],1.0,29.5,27.9,25.0,1.0,32.8,28.0,25.0,1.0,32.8,27.0,26.0
2023-05-30 09:30:00,,20.22,32.9,29.7,31.83333333333333,28.2,28.2,[28.2],1.0,29.7,27.5,25.0,1.0,32.9,28.0,25.0,1.0,32.9,27.0,26.0
2023-05-30 09:35:00,,20.28,32.9,29.5,31.766666666666666,28.1,28.1,[28.1],1.0,29.5,28.1,25.0,1.0,32.9,28.0,25.0,1.0,32.9,28.0,26.0
2023-05-30 09:40:00,,20.22,32.9,29.5,31.766666666666666,28.2,28.2,[28.2],1.0,29.5,27.8,25.0,1.0,32.9,28.0,25.0,1.0,32.9,28.0,26.0
2023-05-30 09:45:00,,20.19,32.9,29.6,31.8,28.2,28.2,[28.2],1.0,29.6,27.4,25.0,1.0,32.9,28.0,25.0,1.0,32.9,27.0,26.0
2023-05-30 09:50:00,,20.25,32.8,29.5,31.7,28.2,28.2,[28.2],1.0,29.5,27.4,25.0,1.0,32.8,28.0,25.0,1.0,32.8,27.0,26.0
2023-05-30 09:55:00,,20.31,32.8,29.6,31.73333333333333,28.1,28.1,[28.1],1.0,29.6,28.3,25.0,1.0,32.8,28.0,25.0,1.0,32.8,28.0,26.0
2023-05-30 10:00:00,,20.25,32.9,29.6,31.8,28.3,28.3,[28.3],1.0,29.6,27.8,25.0,1.0,32.9,28.0,25.0,1.0,32.9,27.0,26.0
2023-05-30 10:05:00,,20.25,32.9,29.8,31.866666666666664,28.4,28.4,[28.4],1.0,29.8,27.5,25.0,1.0,32.9,28.0,25.0,1.0,32.9,27.0,26.0
2023-05-30 10:10:00,,20.19,32.9,29.6,31.8,28.3,28.3,[28.3],1.0,29.6,28.2,27.0,1.0,32.9,29.0,27.0,1.0,32.9,28.0,28.0
2023-05-30 10:15:00,,20.37,33.0,30.2,32.06666666666667,28.6,28.6,[28.6],1.0,30.2,28.8,27.0,1.0,33.0,29.0,27.0,1.0,33.0,29.0,28.0
2023-05-30 10:20:00,,20.34,33.0,30.2,32.06666666666667,28.7,28.7,[28.7],1.0,30.2,29.0,27.0,1.0,33.0,29.0,27.0,1.0,33.0,29.0,28.0
2023-05-30 10:25:00,,20.43,33.5,30.7,32.56666666666667,28.8,28.8,[28.8],1.0,30.7,29.3,27.0,1.0,33.5,29.0,27.0,1.0,33.5,29.0,28.0
2023-05-30 10:30:00,,20.37,33.5,30.7,32.56666666666667,29.0,29.0,[29.0],1.0,30.7,28.9,26.0,1.0,33.5,29.0,27.0,1.0,33.5,29.0,28.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,20.49,33.6,30.7,32.63333333333333,29.1,29.1,[29.1],1.0,30.7,28.2,26.0,1.0,33.6,28.0,26.0,1.0,33.6,28.0,26.0
2023-05-30 10:45:00,,20.16,33.5,29.8,32.266666666666666,29.1,29.1,[29.1],1.0,29.8,28.0,26.0,1.0,33.5,29.0,26.0,1.0,33.5,27.0,26.0
2023-05-30 10:50:00,,20.31,33.5,29.7,32.233333333333334,29.0,29.0,[29.0],1.0,29.7,27.9,26.0,1.0,33.5,28.0,26.0,1.0,33.5,27.0,26.0
2023-05-30 10:55:00,,20.34,33.3,29.7,32.1,28.9,28.9,[28.9],1.0,29.7,27.7,26.0,1.0,33.3,28.0,26.0,1.0,33.3,28.0,26.0
