time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1958325_c,1958325_h,1958325_p,1958325_r,1958325_s,3816511_c,3816511_h,3816511_p,3816511_r,3816511_s
2023-05-30 09:05:00,,7.32,27.8,27.0,27.4,27.7,27.7,[27.7],1.0,27.0,4.2,24.0,23.0,1.0,27.8,0.42,26.8,26.0
2023-05-30 09:10:00,,7.5,27.8,26.9,27.35,27.5,27.5,[27.5],1.0,26.9,4.2,24.0,23.0,1.0,27.8,0.42,26.8,26.0
2023-05-30 09:15:00,,7.14,27.6,26.8,27.200000000000003,27.5,27.5,[27.5],1.0,26.8,4.2,24.0,23.0,1.0,27.6,0.42,26.4,26.0
2023-05-30 09:20:00,,6.72,27.7,26.8,27.25,27.4,27.4,[27.4],1.0,26.8,4.26,24.0,23.0,1.0,27.7,0.42,26.4,26.0
2023-05-30 09:25:00,,6.36,27.6,26.6,27.1,27.4,27.4,[27.4],1.0,26.6,4.26,24.0,23.0,1.0,27.6,0.42,26.4,26.0
2023-05-30 09:30:00,,6.84,27.7,26.6,27.15,27.4,27.4,[27.4],1.0,26.6,4.2,24.0,23.0,1.0,27.7,0.42,26.4,26.0
2023-05-30 09:35:00,,6.72,27.7,26.6,27.15,27.3,27.3,[27.3],1.0,26.6,4.26,24.0,24.0,1.0,27.7,0.42,26.4,27.0
2023-05-30 09:40:00,,6.96,27.5,26.6,27.05,27.4,27.4,[27.4],1.0,26.6,4.2,24.0,24.0,1.0,27.5,0.42,26.4,27.0
2023-05-30 09:45:00,,6.96,27.5,26.4,26.95,27.3,27.3,[27.3],1.0,26.4,4.32,24.0,24.0,1.0,27.5,0.42,26.4,27.0
2023-05-30 09:50:00,,6.42,27.4,26.4,26.9,27.2,27.2,[27.2],1.0,26.4,4.2,24.0,24.0,1.0,27.4,0.42,26.1,27.0
2023-05-30 09:55:00,,5.34,27.3,26.4,26.85,27.2,27.2,[27.2],1.0,26.4,4.32,24.0,24.0,1.0,27.3,0.42,26.1,27.0
2023-05-30 10:00:00,,6.36,27.3,26.2,26.75,27.1,27.1,[27.1],1.0,26.2,4.32,24.0,24.0,1.0,27.3,0.42,26.1,27.0
2023-05-30 10:05:00,,6.9,27.3,26.2,26.75,27.1,27.1,[27.1],1.0,26.2,4.26,24.0,24.0,1.0,27.3,0.42,26.1,27.0
