time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3811412_c,3811412_h,3811412_r,3811412_s
2023-06-02 14:15:00,30.2,8.41,30.2,30.2,30.2,27.1,27.1,[27.1],1.0,30.2,27.0,26.0
2023-06-02 14:20:00,30.2,8.379999999999999,30.3,30.3,30.3,26.9,26.9,[26.9],1.0,30.3,27.0,26.0
2023-06-02 14:25:00,30.2,8.379999999999999,30.2,30.2,30.2,26.8,26.8,[26.8],1.0,30.2,26.0,26.0
2023-06-02 14:30:00,30.1,8.379999999999999,29.9,29.9,29.9,26.7,26.7,[26.7],1.0,29.9,26.0,26.0
2023-06-02 14:35:00,30.2,8.379999999999999,29.9,29.9,29.9,26.6,26.6,[26.6],1.0,29.9,26.0,26.0
2023-06-02 14:40:00,30.2,8.379999999999999,29.7,29.7,29.7,26.5,26.5,[26.5],1.0,29.7,27.0,26.0
2023-06-02 14:45:00,30.2,8.379999999999999,29.6,29.6,29.6,26.7,26.7,[26.7],1.0,29.6,27.0,26.0
2023-06-02 14:50:00,30.5,8.41,29.6,29.6,29.6,26.9,26.9,[26.9],1.0,29.6,28.0,26.0
2023-06-02 14:55:00,30.5,,29.6,29.6,29.6,27.3,27.3,[27.3],1.0,29.6,29.0,26.0
2023-06-02 15:00:00,30.7,8.41,30.1,30.1,30.1,27.4,27.4,[27.4],1.0,30.1,28.0,26.0
2023-06-02 15:05:00,30.4,8.41,30.1,30.1,30.1,27.1,27.1,[27.1],1.0,30.1,27.0,26.0
2023-06-02 15:10:00,30.3,8.379999999999999,30.2,30.2,30.2,26.9,26.9,[26.9],,30.2,27.0,26.0
2023-06-02 15:15:00,30.2,8.379999999999999,30.1,30.1,30.1,26.8,26.8,[26.8],,30.1,26.0,26.0
2023-06-02 15:20:00,30.1,8.379999999999999,30.1,30.1,30.1,26.6,26.6,[26.6],,30.1,26.0,26.0
2023-06-02 15:25:00,30.1,8.379999999999999,29.9,29.9,29.9,26.5,26.5,[26.5],,29.9,26.0,26.0
2023-06-02 15:30:00,30.2,8.41,29.5,29.5,29.5,26.5,26.5,[26.5],,29.5,27.0,26.0
2023-06-02 15:35:00,30.2,8.379999999999999,29.5,29.5,29.5,26.6,26.6,[26.6],,29.5,27.0,26.0
2023-06-02 15:40:00,30.1,8.41,29.5,29.5,29.5,26.9,26.9,[26.9],,29.5,28.0,26.0
2023-06-02 15:45:00,30.0,8.41,29.5,29.5,29.5,27.2,27.2,[27.2],,29.5,29.0,26.0
2023-06-02 15:50:00,30.0,8.41,30.1,30.1,30.1,27.4,27.4,[27.4],,30.1,28.0,26.0
2023-06-02 15:55:00,30.0,8.41,30.1,30.1,30.1,27.3,27.3,[27.3],,30.1,27.0,26.0
2023-06-02 16:00:00,30.0,8.41,30.3,30.3,30.3,27.0,27.0,[27.0],,30.3,27.0,26.0
2023-06-02 16:05:00,30.0,8.379999999999999,30.3,30.3,30.3,26.8,26.8,[26.8],,30.3,26.0,26.0
2023-06-02 16:10:00,30.0,8.379999999999999,30.0,30.0,30.0,26.7,26.7,[26.7],,30.0,26.0,26.0
2023-06-02 16:15:00,30.1,8.379999999999999,29.8,29.8,29.8,26.5,26.5,[26.5],,29.8,26.0,26.0
2023-06-02 16:20:00,30.1,8.379999999999999,29.8,29.8,29.8,26.5,26.5,[26.5],,29.8,27.0,26.0
2023-06-02 16:25:00,30.3,8.41,29.7,29.7,29.7,26.7,26.7,[26.7],,29.7,27.0,26.0
2023-06-02 16:30:00,30.1,8.41,29.6,29.6,29.6,27.0,27.0,[27.0],,29.6,28.0,26.0
2023-06-02 16:35:00,30.1,8.41,29.8,29.8,29.8,27.2,27.2,[27.2],,29.8,29.0,26.0
2023-06-02 16:40:00,30.1,8.41,30.1,30.1,30.1,27.4,27.4,[27.4],,30.1,28.0,26.0
2023-06-02 16:45:00,30.0,8.41,30.3,30.3,30.3,27.2,27.2,[27.2],,30.3,27.0,26.0
2023-06-02 16:50:00,30.0,8.41,30.3,30.3,30.3,27.0,27.0,[27.0],,30.3,27.0,26.0
2023-06-02 16:55:00,30.0,8.41,30.3,30.3,30.3,26.8,26.8,[26.8],,30.3,26.0,26.0
2023-06-02 17:00:00,30.0,8.379999999999999,30.2,30.2,30.2,26.7,26.7,[26.7],,30.2,26.0,26.0
2023-06-02 17:05:00,30.0,8.379999999999999,29.8,29.8,29.8,26.5,26.5,[26.5],,29.8,26.0,26.0
