time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3805604_c,3805604_h,3805604_r,3805604_s,3805605_c,3805605_h,3805605_r,3805605_s
2023-06-02 14:15:00,36.2,,,,31.3,31.3,[31.3],,,,,,,,
2023-06-02 14:20:00,36.3,,,,31.3,31.3,[31.3],,,,,,,,
2023-06-02 14:25:00,36.3,,,,31.3,31.3,[31.3],,,,,,,,
2023-06-02 14:30:00,36.7,,,,31.3,31.3,[31.3],,,,,,,,
2023-06-02 14:35:00,36.7,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 14:40:00,36.6,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 14:45:00,36.5,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 14:50:00,36.4,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 14:55:00,36.5,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 15:00:00,36.6,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 15:05:00,36.3,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 15:10:00,36.3,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 15:15:00,36.3,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 15:20:00,36.3,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 15:25:00,36.5,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 15:30:00,36.3,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 15:35:00,36.2,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 15:40:00,36.1,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 15:45:00,36.1,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 15:50:00,36.5,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 15:55:00,36.4,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 16:00:00,36.7,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 16:05:00,36.7,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 16:10:00,35.8,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 16:15:00,35.7,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 16:20:00,35.7,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 16:25:00,36.2,,,,31.4,31.4,[31.4],,,,,,,,
2023-06-02 16:30:00,36.3,33.0,33.0,33.0,31.5,31.5,[31.5],1.0,33.0,29.4,27.0,1.0,33.0,29.0,27.0
2023-06-02 16:35:00,36.4,33.0,33.0,33.0,31.5,31.5,[31.5],1.0,33.0,29.3,27.0,1.0,33.0,29.0,27.0
2023-06-02 16:40:00,36.6,33.0,33.0,33.0,31.5,31.5,[31.5],1.0,33.0,29.4,27.0,1.0,33.0,29.0,27.0
2023-06-02 16:45:00,37.1,33.0,33.0,33.0,31.5,31.5,[31.5],1.0,33.0,29.4,27.0,1.0,33.0,29.0,27.0
2023-06-02 16:50:00,37.3,33.1,33.0,33.05,31.5,31.5,[31.5],1.0,33.1,29.4,27.0,1.0,33.0,29.0,27.0
2023-06-02 16:55:00,37.5,33.1,33.0,33.05,31.5,31.5,[31.5],1.0,33.1,29.4,27.0,1.0,33.0,29.0,27.0
2023-06-02 17:00:00,37.7,33.1,33.0,33.05,31.5,31.5,[31.5],1.0,33.1,29.4,27.0,1.0,33.0,29.0,27.0
2023-06-02 17:05:00,37.8,33.1,33.0,33.05,31.4,31.4,[31.4],1.0,33.1,27.7,27.0,1.0,33.0,28.0,27.0
2023-06-02 17:10:00,38.0,33.0,33.0,33.0,30.9,30.9,[30.9],1.0,33.0,26.4,27.0,1.0,33.0,27.0,27.0
2023-06-02 17:15:00,37.7,32.7,32.6,32.650000000000006,30.9,30.9,[30.9],1.0,32.6,27.7,27.0,1.0,32.7,28.0,25.0
2023-06-02 17:20:00,37.4,32.4,32.0,32.2,30.7,30.7,[30.7],1.0,32.0,26.4,27.0,1.0,32.4,27.0,27.0
2023-06-02 17:25:00,36.9,32.2,32.0,32.1,30.8,30.8,[30.8],1.0,32.0,28.0,27.0,1.0,32.2,28.0,27.0
2023-06-02 17:30:00,36.9,32.1,31.8,31.950000000000003,30.9,30.9,[30.9],1.0,31.8,28.4,27.0,1.0,32.1,28.0,27.0
2023-06-02 17:35:00,36.9,32.1,31.8,31.950000000000003,31.0,31.0,[31.0],1.0,31.8,28.7,27.0,1.0,32.1,28.0,27.0
2023-06-02 17:40:00,36.6,32.1,32.0,32.05,31.1,31.1,[31.1],1.0,32.0,28.7,27.0,1.0,32.1,29.0,27.0
2023-06-02 17:45:00,36.4,32.2,32.1,32.150000000000006,31.1,31.1,[31.1],1.0,32.1,28.7,27.0,1.0,32.2,29.0,27.0
2023-06-02 17:50:00,36.6,32.3,32.1,32.2,31.1,31.1,[31.1],1.0,32.1,28.7,27.0,1.0,32.3,29.0,27.0
2023-06-02 17:55:00,36.7,32.4,32.2,32.3,31.2,31.2,[31.2],1.0,32.2,29.0,27.0,1.0,32.4,29.0,27.0
2023-06-02 18:00:00,36.6,32.4,32.3,32.349999999999994,31.2,31.2,[31.2],1.0,32.3,29.0,27.0,1.0,32.4,29.0,27.0
2023-06-02 18:05:00,36.4,32.5,32.4,32.45,31.2,31.2,[31.2],1.0,32.4,29.0,27.0,1.0,32.5,29.0,27.0
2023-06-02 18:10:00,36.5,32.5,32.4,32.45,31.2,31.2,[31.2],1.0,32.4,29.0,27.0,1.0,32.5,29.0,27.0
2023-06-02 18:15:00,36.5,32.6,32.4,32.5,31.2,31.2,[31.2],1.0,32.4,29.0,27.0,1.0,32.6,29.0,27.0
2023-06-02 18:20:00,36.5,32.6,32.5,32.55,31.2,31.2,[31.2],1.0,32.5,29.0,27.0,1.0,32.6,29.0,27.0
2023-06-02 18:25:00,36.5,32.6,32.5,32.55,31.2,31.2,[31.2],1.0,32.5,29.0,27.0,1.0,32.6,29.0,27.0
2023-06-02 18:30:00,36.0,32.6,32.5,32.55,31.2,31.2,[31.2],1.0,32.5,29.0,27.0,1.0,32.6,29.0,27.0
2023-06-02 18:35:00,36.2,32.6,32.6,32.6,31.3,31.3,[31.3],1.0,32.6,29.0,27.0,1.0,32.6,29.0,27.0
2023-06-02 18:40:00,36.4,32.6,32.6,32.6,31.3,31.3,[31.3],1.0,32.6,29.0,27.0,1.0,32.6,29.0,27.0
2023-06-02 18:45:00,36.3,32.6,32.6,32.6,31.3,31.3,[31.3],1.0,32.6,29.0,27.0,1.0,32.6,29.0,27.0
2023-06-02 18:50:00,36.2,32.6,32.6,32.6,31.3,31.3,[31.3],1.0,32.6,29.0,27.0,1.0,32.6,29.0,27.0
2023-06-02 18:55:00,36.3,32.6,32.6,32.6,31.3,31.3,[31.3],1.0,32.6,29.0,27.0,1.0,32.6,29.0,27.0
2023-06-02 19:00:00,36.0,32.6,32.6,32.6,31.3,31.3,[31.3],1.0,32.6,29.0,27.0,1.0,32.6,29.0,27.0
2023-06-02 19:05:00,35.8,,,,31.3,31.3,[31.3],1.0,,29.0,27.0,1.0,,29.0,27.0
2023-06-02 19:10:00,35.7,32.7,32.6,32.650000000000006,31.3,31.3,[31.3],1.0,32.6,29.0,27.0,1.0,32.7,29.0,27.0
2023-06-02 19:15:00,35.8,32.7,32.6,32.650000000000006,31.4,31.4,[31.4],1.0,32.6,29.0,27.0,1.0,32.7,29.0,27.0
2023-06-02 19:20:00,36.0,32.7,32.7,32.7,31.4,31.4,[31.4],1.0,32.7,29.0,27.0,1.0,32.7,29.0,27.0
2023-06-02 19:25:00,35.9,32.8,32.7,32.75,31.4,31.4,[31.4],1.0,32.7,29.0,27.0,1.0,32.8,29.0,27.0
2023-06-02 19:30:00,35.6,32.8,32.7,32.75,31.4,31.4,[31.4],1.0,32.7,29.0,27.0,1.0,32.8,29.0,27.0
2023-06-02 19:35:00,35.6,32.8,32.7,32.75,31.4,31.4,[31.4],1.0,32.7,29.0,27.0,1.0,32.8,29.0,27.0
