time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1555756_c,1555756_h,1555756_p,1555756_r,1555756_s,3791704_c,3791704_h,3791704_p,3791704_r,3791704_s,3803508_c,3803508_h,3803508_r,3803508_s
2023-05-30 09:05:00,,30.0,35.3,26.6,32.4,28.7,28.7,[28.7],1.0,35.3,4.1,25.0,24.0,1.0,26.6,0.1,27.5,27.0,1.0,35.3,25.4,24.0
2023-05-30 09:10:00,,30.0,35.3,26.8,32.46666666666666,28.8,28.8,[28.8],1.0,35.3,4.2,25.0,25.0,1.0,26.8,0.1,27.6,27.0,1.0,35.3,25.6,24.0
2023-05-30 09:15:00,,30.0,35.4,26.8,32.53333333333333,28.9,28.9,[28.9],1.0,35.4,4.2,25.0,25.0,1.0,26.8,0.1,27.6,27.0,1.0,35.4,25.5,24.0
2023-05-30 09:20:00,,30.0,35.5,26.9,32.63333333333333,28.9,28.9,[28.9],1.0,35.5,4.2,25.0,25.0,1.0,26.9,0.1,27.6,27.0,1.0,35.5,25.5,24.0
2023-05-30 09:25:00,,30.0,35.5,27.0,32.666666666666664,28.9,28.9,[28.9],1.0,35.5,4.3,25.0,25.0,1.0,27.0,0.1,27.7,27.0,1.0,35.5,25.5,24.0
2023-05-30 09:30:00,,30.0,35.6,27.0,32.733333333333334,28.9,28.9,[28.9],1.0,35.6,4.3,25.0,25.0,1.0,27.0,0.1,27.8,27.0,1.0,35.6,25.5,24.0
2023-05-30 09:35:00,,30.0,35.7,26.9,32.76666666666667,29.0,29.0,[29.0],1.0,35.7,4.3,25.0,24.0,1.0,26.9,0.1,27.7,26.0,1.0,35.7,25.5,24.0
2023-05-30 09:40:00,,30.0,35.7,26.8,32.733333333333334,29.0,29.0,[29.0],1.0,35.7,4.3,25.0,24.0,1.0,26.8,0.1,27.7,26.0,1.0,35.7,25.7,23.0
2023-05-30 09:45:00,,30.0,35.7,26.8,32.733333333333334,29.0,29.0,[29.0],1.0,35.7,4.3,25.0,24.0,1.0,26.8,0.1,27.8,26.0,1.0,35.7,25.8,23.0
2023-05-30 09:50:00,,30.0,35.8,26.7,32.766666666666666,29.1,29.1,[29.1],1.0,35.8,4.3,25.0,24.0,1.0,26.7,0.1,27.8,26.0,1.0,35.8,25.8,23.0
2023-05-30 09:55:00,,30.0,35.8,26.6,32.73333333333333,29.1,29.1,[29.1],1.0,35.8,4.3,25.0,24.0,1.0,26.6,0.1,27.8,26.0,1.0,35.8,25.7,23.0
2023-05-30 10:00:00,,30.0,35.8,26.9,32.833333333333336,29.1,29.1,[29.1],1.0,35.8,4.3,25.0,24.0,1.0,26.9,0.1,27.8,26.0,1.0,35.8,25.9,23.0
2023-05-30 10:05:00,,30.0,35.8,26.9,32.833333333333336,29.1,29.1,[29.1],1.0,35.8,4.3,25.0,24.0,1.0,26.9,0.1,27.8,26.0,1.0,35.8,25.8,23.0
2023-05-30 10:10:00,,30.0,35.8,26.9,32.833333333333336,29.1,29.1,[29.1],1.0,35.8,4.3,25.0,23.0,1.0,26.9,0.1,27.9,25.0,1.0,35.8,25.9,23.0
2023-05-30 10:15:00,,30.0,35.9,27.1,32.96666666666667,28.9,28.9,[28.9],1.0,35.9,4.3,24.0,23.0,1.0,27.1,1.3,25.7,25.0,1.0,35.9,25.0,22.0
2023-05-30 10:20:00,,30.0,35.8,26.5,32.7,28.5,28.5,[28.5],1.0,35.8,4.3,24.0,23.0,1.0,26.5,0.1,26.5,25.0,1.0,35.8,25.0,22.0
2023-05-30 10:25:00,,30.0,35.5,26.0,32.333333333333336,28.6,28.6,[28.6],1.0,35.5,4.4,25.0,23.0,1.0,26.0,0.1,26.7,25.0,1.0,35.5,25.2,22.0
2023-05-30 10:30:00,,30.0,35.3,26.2,32.266666666666666,28.6,28.6,[28.6],1.0,35.3,4.3,24.0,23.0,1.0,26.2,1.3,26.0,25.0,1.0,35.3,24.8,22.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,30.0,35.1,26.1,32.1,29.0,29.0,[29.0],1.0,35.1,4.3,26.0,24.0,1.0,26.1,0.1,27.9,26.0,1.0,35.1,25.8,23.0
2023-05-30 10:45:00,,30.0,35.1,26.1,32.1,29.0,29.0,[29.0],1.0,35.1,4.3,25.0,24.0,1.0,26.1,0.1,28.0,26.0,1.0,35.1,25.5,23.0
2023-05-30 10:50:00,,30.0,35.1,26.5,32.233333333333334,29.0,29.0,[29.0],1.0,35.1,4.4,25.0,24.0,1.0,26.5,0.1,27.9,26.0,1.0,35.1,25.8,23.0
2023-05-30 10:55:00,,30.0,35.5,26.6,32.53333333333333,29.1,29.1,[29.1],1.0,35.5,4.4,25.0,24.0,1.0,26.6,0.1,28.0,26.0,1.0,35.5,25.7,23.0
2023-05-30 11:00:00,,30.0,35.5,26.8,32.6,29.1,29.1,[29.1],1.0,35.5,4.4,25.0,24.0,1.0,26.8,0.1,27.9,26.0,1.0,35.5,25.8,23.0
2023-05-30 11:05:00,,30.0,35.6,26.9,32.7,29.1,29.1,[29.1],1.0,35.6,4.3,25.0,23.0,1.0,26.9,1.3,28.0,25.0,1.0,35.6,25.8,22.0
2023-05-30 11:10:00,,30.0,35.7,26.9,32.76666666666667,28.8,28.8,[28.8],1.0,35.7,4.4,24.0,23.0,1.0,26.9,1.3,25.8,25.0,1.0,35.7,24.8,22.0
2023-05-30 11:15:00,,30.0,35.6,26.3,32.5,28.6,28.6,[28.6],1.0,35.6,4.4,24.0,23.0,1.0,26.3,0.1,26.8,25.0,1.0,35.6,25.0,22.0
2023-05-30 11:20:00,,30.0,35.3,25.9,32.166666666666664,28.7,28.7,[28.7],1.0,35.3,4.4,25.0,23.0,1.0,25.9,0.1,27.6,25.0,1.0,35.3,25.3,22.0
2023-05-30 11:25:00,,30.0,35.1,26.2,32.13333333333333,28.5,28.5,[28.5],1.0,35.1,4.5,23.0,23.0,1.0,26.2,1.4,25.5,25.0,1.0,35.1,24.5,22.0
2023-05-30 11:30:00,,30.0,34.9,25.6,31.8,28.4,28.4,[28.4],1.0,34.9,4.5,24.0,23.0,1.0,25.6,0.1,27.0,25.0,1.0,34.9,24.9,22.0
