time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1209188_c,1209188_h,1209188_p,1209188_r,1209188_s,3801696_c,3801696_h,3801696_p,3801696_r,3801696_s,3801697_c,3801697_h,3801697_p,3801697_r,3801697_s,3801698_c,3801698_h,3801698_p,3801698_r,3801698_s,3801699_c,3801699_h,3801699_p,3801699_r,3801699_s,3801700_c,3801700_h,3801700_p,3801700_r,3801700_s,3801701_c,3801701_h,3801701_p,3801701_r,3801701_s
2023-05-30 09:00:00,,,,,,,,,,,30.45,,,,,0.66,,,,,1.08,,,,,1.98,,,,,0.51,,,,,4.05,,,,,0.03,,
2023-05-30 09:10:00,,78.0,31.7,27.7,30.01428571428571,26.25,28.5,"[28.5, 24.0]",1.0,31.7,30.0,27.3,25.0,1.0,30.7,0.66,24.0,25.0,1.0,29.0,1.02,25.0,25.0,1.0,28.6,1.95,25.0,25.0,1.0,27.7,0.51,27.0,27.0,1.0,30.7,4.08,28.0,27.0,1.0,31.7,0.03,28.0,27.0
2023-05-30 09:15:00,,78.0,31.7,27.7,30.01428571428571,26.3,28.5,"[28.5, 24.1]",1.0,31.7,29.91,27.4,25.0,1.0,30.7,0.66,24.0,25.0,1.0,29.0,1.02,26.0,25.0,1.0,28.6,2.01,25.0,25.0,1.0,27.7,0.51,27.0,27.0,1.0,30.7,4.08,28.1,27.0,1.0,31.7,0.03,28.0,27.0
2023-05-30 09:20:00,,78.0,31.7,27.7,30.01428571428571,26.35,28.6,"[28.6, 24.1]",1.0,31.7,29.91,27.3,25.0,1.0,30.7,0.66,24.0,25.0,1.0,29.0,1.08,26.0,25.0,1.0,28.6,3.69,25.0,25.0,1.0,27.7,0.51,27.0,27.0,1.0,30.7,4.11,28.0,27.0,1.0,31.7,0.03,28.0,27.0
2023-05-30 09:25:00,,78.0,31.7,27.6,29.971428571428564,26.35,28.6,"[28.6, 24.1]",1.0,31.7,29.7,27.3,25.0,1.0,30.6,0.66,24.0,25.0,1.0,28.9,1.05,25.0,25.0,1.0,28.6,1.89,25.0,25.0,1.0,27.6,0.51,27.0,27.0,1.0,30.7,4.11,28.1,27.0,1.0,31.7,0.03,28.0,27.0
2023-05-30 09:30:00,,78.0,31.7,27.5,29.95714285714285,26.35,28.6,"[28.6, 24.1]",1.0,31.7,30.06,27.4,25.0,1.0,30.6,0.66,24.0,25.0,1.0,28.9,1.05,26.0,25.0,1.0,28.6,1.92,25.0,25.0,1.0,27.5,0.51,27.0,27.0,1.0,30.7,4.17,28.1,27.0,1.0,31.7,0.03,28.0,27.0
2023-05-30 09:35:00,,78.0,31.7,27.5,29.971428571428568,26.35,28.6,"[28.6, 24.1]",1.0,31.7,29.76,27.3,25.0,1.0,30.7,0.66,24.0,25.0,1.0,28.9,1.05,26.0,25.0,1.0,28.6,1.92,25.0,25.0,1.0,27.5,0.51,27.0,27.0,1.0,30.7,3.96,28.2,27.0,1.0,31.7,0.03,28.0,27.0
2023-05-30 09:40:00,,78.0,31.7,27.6,29.985714285714284,26.35,28.6,"[28.6, 24.1]",1.0,31.7,29.76,27.4,25.0,1.0,30.7,0.66,24.0,25.0,1.0,29.0,1.08,26.0,25.0,1.0,28.6,1.95,25.0,25.0,1.0,27.6,0.51,27.0,27.0,1.0,30.6,3.96,28.1,27.0,1.0,31.7,0.03,28.0,27.0
2023-05-30 09:45:00,,78.0,31.7,27.7,30.0,26.35,28.6,"[28.6, 24.1]",1.0,31.7,30.57,27.4,25.0,1.0,30.7,0.66,24.0,25.0,1.0,29.0,1.02,26.0,25.0,1.0,28.6,1.98,25.0,25.0,1.0,27.7,0.51,27.0,27.0,1.0,30.6,4.08,28.2,27.0,1.0,31.7,0.03,28.0,27.0
2023-05-30 09:50:00,,78.0,31.7,27.7,29.985714285714284,26.35,28.6,"[28.6, 24.1]",1.0,31.7,29.94,27.4,25.0,1.0,30.6,0.66,24.0,25.0,1.0,29.0,1.05,26.0,25.0,1.0,28.6,1.98,25.0,25.0,1.0,27.7,0.51,27.0,27.0,1.0,30.6,4.05,28.1,27.0,1.0,31.7,0.06,28.0,27.0
