time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,979073_c,979073_h,979073_r,979073_s,979074_c,979074_h,979074_r,979074_s
2023-05-30 09:05:00,,33.2,33.2,33.2,20.8,20.8,[20.8],1.0,33.2,25.9,28.0,1.0,33.2,25.9,28.0
2023-05-30 09:10:00,,33.1,33.1,33.1,20.7,20.7,[20.7],1.0,33.1,25.9,28.0,1.0,33.1,25.7,28.0
2023-05-30 09:15:00,,33.0,33.0,33.0,20.6,20.6,[20.6],1.0,33.0,25.7,28.0,1.0,33.0,25.6,28.0
2023-05-30 09:20:00,,32.9,32.9,32.9,20.6,20.6,[20.6],1.0,32.9,25.9,28.0,1.0,32.9,25.7,28.0
2023-05-30 09:25:00,,32.9,32.9,32.9,20.6,20.6,[20.6],1.0,32.9,25.6,28.0,1.0,32.9,25.6,28.0
2023-05-30 09:30:00,,32.9,32.9,32.9,20.6,20.6,[20.6],1.0,32.9,25.6,28.0,1.0,32.9,25.5,28.0
2023-05-30 09:35:00,,32.8,32.8,32.8,20.5,20.5,[20.5],1.0,32.8,25.5,28.0,1.0,32.8,25.4,28.0
2023-05-30 09:40:00,,32.8,32.8,32.8,20.4,20.4,[20.4],1.0,32.8,25.3,28.0,1.0,32.8,25.0,28.0
2023-05-30 09:45:00,,32.7,32.7,32.7,20.1,20.1,[20.1],1.0,32.7,25.0,28.0,1.0,32.7,24.3,28.0
2023-05-30 09:50:00,,32.5,32.5,32.5,20.9,20.9,[20.9],1.0,32.5,25.3,28.0,1.0,32.5,24.9,28.0
2023-05-30 09:55:00,,32.4,32.4,32.4,22.1,22.1,[22.1],1.0,32.4,26.2,28.0,1.0,32.4,25.8,28.0
2023-05-30 10:00:00,,32.9,32.9,32.9,22.8,22.8,[22.8],1.0,32.9,26.8,28.0,1.0,32.9,26.3,28.0
2023-05-30 10:05:00,,33.5,33.5,33.5,23.2,23.2,[23.2],1.0,33.5,26.8,28.0,1.0,33.5,26.7,28.0
2023-05-30 10:10:00,,33.5,33.5,33.5,23.5,23.5,[23.5],1.0,33.5,27.6,28.0,1.0,33.5,27.0,28.0
2023-05-30 10:15:00,,34.6,34.6,34.6,23.8,23.8,[23.8],1.0,34.6,27.7,28.0,1.0,34.6,27.1,28.0
2023-05-30 10:20:00,,34.6,34.6,34.6,23.9,23.9,[23.9],1.0,34.6,28.0,28.0,1.0,34.6,27.1,28.0
2023-05-30 10:25:00,,34.9,34.9,34.9,24.0,24.0,[24.0],1.0,34.9,28.1,28.0,1.0,34.9,27.5,28.0
2023-05-30 10:30:00,,35.3,35.3,35.3,24.2,24.2,[24.2],1.0,35.3,28.3,28.0,1.0,35.3,27.6,28.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,35.3,35.3,35.3,24.4,24.4,[24.4],1.0,35.3,28.4,28.0,1.0,35.3,27.9,28.0
2023-05-30 10:45:00,,35.7,35.7,35.7,24.5,24.5,[24.5],1.0,35.7,28.6,28.0,1.0,35.7,28.1,28.0
2023-05-30 10:50:00,,35.9,35.9,35.9,24.6,24.6,[24.6],1.0,35.9,28.7,28.0,1.0,35.9,28.1,28.0
2023-05-30 10:55:00,,36.0,36.0,36.0,24.5,24.5,[24.5],1.0,36.0,28.8,28.0,1.0,36.0,28.2,28.0
2023-05-30 11:00:00,,36.1,36.1,36.1,24.4,24.4,[24.4],1.0,36.1,28.8,28.0,1.0,36.1,28.1,28.0
2023-05-30 11:05:00,,36.1,36.1,36.1,24.4,24.4,[24.4],1.0,36.1,28.8,28.0,1.0,36.1,28.1,28.0
