time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,791640_h,791653_h,979075_c,979075_h,979075_p,979075_r,979075_s,979076_c,979076_h,979076_p,979076_r,979076_s,979077_c,979077_h,979077_p,979077_r,979077_s
2023-05-30 09:00:00,,,,,,,,,,,,,17.6,,,,,10.2,,,,,10.6,,
2023-05-30 09:05:00,,,30.8,24.1,27.18,28.4,28.4,[28.4],30.8,25.1,1.0,25.1,17.9,24.2,24.0,1.0,24.1,13.2,22.2,21.0,1.0,30.8,8.8,22.3,22.0
2023-05-30 09:10:00,,,30.8,24.0,27.040000000000003,28.3,28.3,[28.3],30.8,24.8,1.0,24.8,17.7,24.1,24.0,1.0,24.0,12.9,22.1,21.0,1.0,30.8,9.7,22.3,22.0
2023-05-30 09:15:00,,,30.8,24.0,27.040000000000003,28.3,28.3,[28.3],30.8,24.8,1.0,24.8,17.7,24.0,24.0,1.0,24.0,13.6,22.1,21.0,1.0,30.8,10.1,22.2,22.0
2023-05-30 09:20:00,,,30.8,23.8,27.0,28.3,28.3,[28.3],30.8,24.8,1.0,24.8,17.8,24.1,24.0,1.0,23.8,13.5,22.1,21.0,1.0,30.8,9.8,22.2,22.0
2023-05-30 09:25:00,,,30.8,23.8,26.96,28.3,28.3,[28.3],30.8,24.7,1.0,24.7,17.8,24.1,24.0,1.0,23.8,13.4,22.1,21.0,1.0,30.8,9.6,22.2,22.0
2023-05-30 09:30:00,,,30.8,23.8,26.92,28.3,28.3,[28.3],30.8,24.6,1.0,24.6,17.8,24.1,24.0,1.0,23.8,13.5,22.0,21.0,1.0,30.8,10.0,22.1,22.0
2023-05-30 09:35:00,,,30.7,23.8,26.880000000000003,28.1,28.1,[28.1],30.7,24.6,1.0,24.6,17.9,23.9,24.0,1.0,23.8,12.0,21.9,24.0,1.0,30.7,9.5,22.1,24.0
2023-05-30 09:40:00,,,30.7,23.8,26.880000000000003,28.3,28.3,[28.3],30.7,24.6,1.0,24.6,17.8,23.9,24.0,1.0,23.8,10.3,22.0,24.0,1.0,30.7,9.2,22.1,24.0
2023-05-30 09:45:00,,,30.7,23.7,26.860000000000003,28.3,28.3,[28.3],30.7,24.6,1.0,24.6,17.6,23.9,24.0,1.0,23.7,8.6,22.0,24.0,1.0,30.7,9.4,22.3,24.0
2023-05-30 09:50:00,,,30.8,23.7,26.9,28.3,28.3,[28.3],30.8,24.6,1.0,24.6,17.9,24.2,24.0,1.0,23.7,7.1,22.4,24.0,1.0,30.8,9.4,22.4,24.0
2023-05-30 09:55:00,,,30.9,23.8,27.0,28.5,28.5,[28.5],30.9,24.7,1.0,24.7,18.0,24.3,24.0,1.0,23.8,6.5,22.5,24.0,1.0,30.9,9.4,22.4,24.0
2023-05-30 10:00:00,,,30.9,23.9,27.06,28.6,28.6,[28.6],30.9,24.8,1.0,24.8,17.9,24.5,24.0,1.0,23.9,6.9,22.8,22.0,1.0,30.9,10.2,22.8,22.0
2023-05-30 10:05:00,,,31.0,23.9,27.14,28.5,28.5,[28.5],31.0,24.9,1.0,24.9,18.1,24.5,24.0,1.0,23.9,7.2,22.8,22.0,1.0,31.0,10.2,22.8,22.0
2023-05-30 10:10:00,,,31.0,24.1,27.26,28.7,28.7,[28.7],31.0,25.1,1.0,25.1,17.9,24.7,24.0,1.0,24.1,7.4,22.8,22.0,1.0,31.0,10.4,22.7,22.0
2023-05-30 10:15:00,,,31.0,24.2,27.28,28.6,28.6,[28.6],31.0,25.1,1.0,25.1,18.4,24.5,24.0,1.0,24.2,8.2,22.8,22.0,1.0,31.0,10.4,22.7,22.0
2023-05-30 10:20:00,,,31.0,24.2,27.28,28.5,28.5,[28.5],31.0,25.1,1.0,25.1,18.6,24.6,24.0,1.0,24.2,9.9,22.7,21.0,1.0,31.0,10.9,22.6,22.0
2023-05-30 10:25:00,,,30.9,24.3,27.26,28.4,28.4,[28.4],30.9,25.1,1.0,25.1,18.3,24.5,24.0,1.0,24.3,10.7,22.5,21.0,1.0,30.9,10.5,22.4,22.0
2023-05-30 10:30:00,,,30.9,24.3,27.26,28.4,28.4,[28.4],30.9,25.1,1.0,25.1,18.6,24.5,24.0,1.0,24.3,11.8,22.3,21.0,1.0,30.9,10.7,22.3,22.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,,30.9,24.3,27.26,28.3,28.3,[28.3],30.9,25.1,1.0,25.1,18.6,24.2,24.0,1.0,24.3,9.3,22.2,24.0,1.0,30.9,10.9,22.3,24.0
2023-05-30 10:45:00,,,30.6,24.2,27.120000000000005,28.1,28.1,[28.1],30.6,25.1,1.0,25.1,18.4,24.2,24.0,1.0,24.2,7.0,22.0,24.0,1.0,30.6,13.6,21.7,24.0
2023-05-30 10:50:00,,,30.4,24.1,26.98,28.1,28.1,[28.1],30.4,25.0,1.0,25.0,18.8,24.3,24.0,1.0,24.1,6.3,22.4,24.0,1.0,30.4,9.5,22.2,24.0
2023-05-30 10:55:00,,,30.4,24.1,27.02,28.3,28.3,[28.3],30.4,25.1,1.0,25.1,18.6,24.6,24.0,1.0,24.1,6.0,22.7,24.0,1.0,30.4,4.3,22.8,24.0
