time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3819645_c,3819645_h,3819645_p,3819645_r,3819645_s,3819646_c,3819646_h,3819646_p,3819646_r,3819646_s,3819647_c,3819647_h,3819647_p,3819647_r,3819647_s,3819648_c,3819648_h,3819648_p,3819648_r,3819648_s,3819649_c,3819649_h,3819649_p,3819649_r,3819649_s,3819650_c,3819650_h,3819650_p,3819650_r,3819650_s
2023-05-30 09:00:00,,,,,,,,,,,0.6,,,,,6.2,,,,,4.3,,,,,5.2,,,,,0.5,,,,,0.6,,
2023-05-30 09:10:00,,694.0,38.7,34.3,35.650000000000006,30.3,30.8,"[30.3, 30.8, 29.8]",1.0,35.6,0.8,29.0,21.0,1.0,38.7,6.4,29.0,21.0,1.0,35.2,4.4,30.0,21.0,1.0,34.9,5.3,31.0,21.0,0.0,35.2,0.5,31.0,26.0,1.0,34.3,0.6,31.0,21.0
2023-05-30 09:15:00,,716.0,38.8,34.3,35.666666666666664,30.33333333333333,30.8,"[30.4, 30.8, 29.8]",1.0,35.6,4.0,28.0,21.0,1.0,38.8,6.2,29.0,21.0,1.0,35.2,4.4,31.0,21.0,1.0,34.9,5.3,31.0,21.0,0.0,35.2,0.5,31.0,26.0,1.0,34.3,0.6,31.0,21.0
2023-05-30 09:20:00,,716.0,38.7,34.3,35.70000000000001,30.3,30.8,"[30.4, 30.8, 29.7]",1.0,35.6,0.6,29.0,21.0,1.0,38.7,6.5,29.0,21.0,1.0,35.3,4.8,30.0,21.0,1.0,35.0,5.5,31.0,21.0,0.0,35.3,0.5,31.0,26.0,1.0,34.3,0.6,31.0,21.0
2023-05-30 09:25:00,,700.0,38.7,34.3,35.71666666666667,30.399999999999995,30.9,"[30.4, 30.9, 29.9]",1.0,35.7,3.9,29.0,21.0,1.0,38.7,6.6,30.0,21.0,1.0,35.3,4.7,31.0,21.0,1.0,35.0,5.6,31.0,21.0,0.0,35.3,0.5,31.0,26.0,1.0,34.3,0.6,31.0,21.0
2023-05-30 09:30:00,,699.0,38.8,34.2,35.71666666666667,30.633333333333336,31.1,"[30.6, 31.1, 30.2]",1.0,35.7,3.9,29.0,21.0,1.0,38.8,0.6,31.0,21.0,1.0,35.2,4.5,31.0,21.0,1.0,35.2,5.5,31.0,21.0,0.0,35.2,0.5,32.0,26.0,1.0,34.2,0.6,31.0,21.0
2023-05-30 09:35:00,,698.0,39.0,34.3,35.88333333333333,30.83333333333333,31.3,"[30.8, 31.3, 30.4]",1.0,35.7,4.0,29.0,21.0,1.0,39.0,0.6,32.0,21.0,1.0,35.1,4.7,32.0,21.0,1.0,35.6,5.5,32.0,21.0,0.0,35.6,0.5,32.0,26.0,1.0,34.3,0.6,32.0,21.0
2023-05-30 09:40:00,,702.0,39.2,34.4,35.95,30.933333333333334,31.4,"[30.9, 31.4, 30.5]",1.0,35.8,4.0,30.0,21.0,1.0,39.2,0.6,31.0,21.0,1.0,35.1,4.5,32.0,21.0,1.0,35.6,5.5,32.0,21.0,0.0,35.6,0.5,32.0,26.0,1.0,34.4,0.6,32.0,21.0
2023-05-30 09:45:00,,700.0,39.4,34.6,36.08333333333333,31.1,31.5,"[31.2, 31.5, 30.6]",1.0,36.0,0.5,30.0,21.0,1.0,39.4,0.6,32.0,21.0,1.0,35.1,5.1,32.0,21.0,1.0,35.7,5.3,32.0,21.0,1.0,35.7,0.5,31.0,21.0,1.0,34.6,0.6,32.0,21.0
2023-05-30 09:50:00,,689.0,39.4,34.8,36.11666666666667,30.7,31.1,"[30.9, 31.1, 30.1]",1.0,36.1,3.9,28.0,21.0,1.0,39.4,0.6,31.0,21.0,1.0,35.0,5.1,31.0,21.0,1.0,35.7,5.6,31.0,21.0,1.0,35.7,5.4,30.0,21.0,1.0,34.8,0.6,31.0,21.0
2023-05-30 09:55:00,,685.0,39.6,34.8,36.13333333333333,30.666666666666668,31.0,"[30.9, 31.0, 30.1]",1.0,36.1,0.6,29.0,21.0,1.0,39.6,0.6,31.0,21.0,1.0,34.9,5.5,31.0,21.0,1.0,35.7,5.5,31.0,21.0,1.0,35.7,5.2,30.0,21.0,1.0,34.8,0.6,31.0,21.0
2023-05-30 10:00:00,,691.0,39.7,34.6,35.98333333333334,30.633333333333336,31.0,"[30.9, 31.0, 30.0]",1.0,36.0,4.0,29.0,21.0,1.0,39.7,0.6,31.0,21.0,1.0,34.6,5.5,31.0,21.0,1.0,35.4,5.6,31.0,21.0,1.0,35.4,5.7,30.0,21.0,1.0,34.8,0.6,31.0,21.0
2023-05-30 10:05:00,,706.0,39.6,32.6,35.5,30.53333333333333,30.9,"[30.9, 30.9, 29.8]",1.0,35.8,4.0,29.0,21.0,1.0,39.6,6.8,31.0,21.0,1.0,32.6,5.3,32.0,21.0,1.0,35.1,5.7,31.0,21.0,1.0,35.1,0.5,30.0,21.0,1.0,34.8,0.6,31.0,21.0
2023-05-30 10:10:00,,688.0,39.6,32.6,35.45,30.53333333333333,31.0,"[31.0, 30.8, 29.8]",1.0,35.7,0.6,29.0,21.0,1.0,39.6,0.6,31.0,21.0,1.0,32.6,5.4,31.0,21.0,1.0,35.1,5.5,31.0,21.0,1.0,35.1,5.6,31.0,21.0,1.0,34.6,0.6,31.0,21.0
2023-05-30 10:15:00,,682.0,39.3,31.8,35.2,30.5,31.0,"[31.0, 30.8, 29.7]",1.0,35.7,4.0,28.0,21.0,1.0,39.3,0.6,31.0,21.0,1.0,31.8,5.4,31.0,21.0,1.0,34.9,5.6,31.0,21.0,1.0,34.9,5.6,31.0,21.0,1.0,34.6,0.6,31.0,21.0
