time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3815760_c,3815760_h,3815760_p,3815760_r,3815760_s,3815761_c,3815761_h,3815761_p,3815761_r,3815761_s,3815763_c,3815763_h,3815763_p,3815763_r,3815763_s,3815764_c,3815764_h,3815764_p,3815764_r,3815764_s
2023-05-30 09:00:00,,,,,,,,,,,0.5,,,,,0.5,,,,,1.5,,,,,4.0,,
2023-05-30 09:10:00,,27.0,32.1,28.8,30.5,28.8,29.2,"[28.4, 29.2]",1.0,32.1,0.5,28.03,18.0,1.0,28.8,0.8,29.08,16.0,1.0,31.8,1.5,29.0,25.0,1.0,29.3,0.5,26.5,25.0
2023-05-30 09:15:00,,27.0,32.2,28.8,30.525,28.9,29.3,"[28.5, 29.3]",1.0,32.2,0.5,28.03,18.0,1.0,28.8,0.5,29.08,16.0,1.0,31.9,1.5,29.0,25.0,1.0,29.2,4.0,26.5,25.0
2023-05-30 09:20:00,,27.0,32.2,28.9,30.525,28.95,29.4,"[28.5, 29.4]",1.0,32.2,0.5,28.03,18.0,1.0,28.9,0.5,29.08,16.0,1.0,31.8,1.5,29.0,25.0,1.0,29.2,4.1,26.5,25.0
2023-05-30 09:25:00,,27.0,32.2,29.0,30.575,28.95,29.4,"[28.5, 29.4]",1.0,32.2,0.5,28.03,18.0,1.0,29.0,0.5,29.08,16.0,1.0,31.8,1.5,29.0,25.0,1.0,29.3,4.0,26.5,25.0
2023-05-30 09:30:00,,27.0,33.6,29.0,30.925,28.95,29.4,"[28.5, 29.4]",1.0,33.6,0.5,28.03,18.0,1.0,29.0,0.5,29.08,16.0,1.0,31.8,1.5,29.0,25.0,1.0,29.3,4.0,26.7,25.0
2023-05-30 09:35:00,,27.0,33.6,29.1,30.95,28.95,29.4,"[28.5, 29.4]",1.0,33.6,0.5,28.03,18.0,1.0,29.1,0.5,29.08,16.0,1.0,31.8,1.6,29.0,25.0,1.0,29.3,4.1,26.5,25.0
2023-05-30 09:40:00,,27.0,33.6,29.1,30.975,29.0,29.5,"[28.5, 29.5]",1.0,33.6,0.5,28.03,18.0,1.0,29.1,0.5,29.08,16.0,1.0,31.8,1.5,29.0,25.0,1.0,29.4,4.1,26.6,25.0
2023-05-30 09:45:00,,27.0,33.6,29.1,31.0,29.0,29.5,"[28.5, 29.5]",1.0,33.6,6.3,28.02,18.0,1.0,29.1,0.5,29.08,16.0,1.0,31.9,1.5,28.0,25.0,1.0,29.4,4.0,26.5,25.0
2023-05-30 09:50:00,,27.0,33.6,29.0,30.95,29.0,29.5,"[28.5, 29.5]",1.0,33.6,0.5,28.03,18.0,1.0,29.0,0.5,29.08,16.0,1.0,31.9,1.5,29.0,25.0,1.0,29.3,4.1,26.7,25.0
2023-05-30 09:55:00,,27.0,32.3,29.0,30.6,29.0,29.5,"[28.5, 29.5]",1.0,32.3,0.5,28.03,18.0,1.0,29.0,0.5,29.08,16.0,1.0,31.9,1.5,29.0,25.0,1.0,29.2,4.1,26.6,25.0
2023-05-30 10:00:00,,27.0,33.6,29.0,30.925,29.0,29.5,"[28.5, 29.5]",1.0,33.6,0.5,28.03,18.0,1.0,29.0,0.5,29.08,16.0,1.0,31.8,1.5,29.0,25.0,1.0,29.3,4.2,26.5,25.0
2023-05-30 10:05:00,,27.0,33.6,29.0,30.95,29.05,29.6,"[28.5, 29.6]",1.0,33.6,0.5,28.03,18.0,1.0,29.0,0.5,29.08,16.0,1.0,31.9,1.6,29.0,25.0,1.0,29.3,4.2,26.5,25.0
2023-05-30 10:10:00,,27.0,32.3,28.9,30.6,29.0,29.5,"[28.5, 29.5]",1.0,32.3,0.5,28.02,18.0,1.0,28.9,4.7,29.08,16.0,1.0,31.9,1.6,29.0,25.0,1.0,29.3,4.1,26.4,25.0
2023-05-30 10:15:00,,27.0,32.3,28.7,30.55,29.0,29.5,"[28.5, 29.5]",1.0,32.3,0.5,28.02,18.0,1.0,28.7,0.5,29.08,16.0,1.0,31.9,1.5,29.0,25.0,1.0,29.3,4.1,26.5,25.0
2023-05-30 10:20:00,,27.0,32.2,28.7,30.525,29.0,29.5,"[28.5, 29.5]",1.0,32.2,0.5,28.02,18.0,1.0,28.7,0.5,29.07,16.0,1.0,31.9,1.6,29.0,25.0,1.0,29.3,4.1,26.5,25.0
2023-05-30 10:25:00,,27.0,33.5,28.9,30.9,29.05,29.6,"[28.5, 29.6]",1.0,33.5,0.5,28.02,18.0,1.0,28.9,0.5,29.07,16.0,1.0,31.9,1.5,29.0,25.0,1.0,29.3,4.0,26.6,25.0
