time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,160486_c,160486_h,160486_p,160486_r,160486_s,160487_c,160487_p,160487_r,160487_s,160488_c,160488_h,160488_p,160488_r,160488_s
2023-05-30 09:00:00,,,,,,,,,,,0.7,,,,18.9,,,,,0.7,,
2023-05-30 09:10:00,,21.0,35.4,27.1,31.25,24.25,26.4,"[26.4, 22.1]",1.0,27.1,0.7,28.0,28.0,1.0,18.6,24.5,23.0,0.0,35.4,0.7,24.0,26.0
2023-05-30 09:15:00,,21.0,35.3,26.9,31.1,24.65,26.9,"[26.9, 22.4]",1.0,26.9,4.8,27.0,28.0,1.0,18.8,25.3,23.0,0.0,35.3,0.7,25.0,26.0
2023-05-30 09:20:00,,21.0,35.3,26.8,31.05,24.7,26.9,"[26.9, 22.5]",1.0,26.8,0.7,28.0,28.0,1.0,11.6,24.9,23.0,0.0,35.3,0.7,25.0,26.0
2023-05-30 09:25:00,,21.0,35.3,26.8,31.05,24.85,27.0,"[27.0, 22.7]",1.0,26.8,0.7,29.0,28.0,1.0,18.5,25.1,23.0,0.0,35.3,0.7,25.0,26.0
2023-05-30 09:30:00,,21.0,35.3,26.9,31.1,24.6,26.8,"[26.8, 22.4]",1.0,26.9,0.7,29.0,28.0,1.0,18.9,25.1,23.0,0.0,35.3,0.7,24.0,26.0
2023-05-30 09:35:00,,21.0,35.3,26.8,31.05,24.45,26.7,"[26.7, 22.2]",1.0,26.8,4.8,26.0,27.0,1.0,18.4,24.4,23.0,0.0,35.3,0.7,24.0,26.0
2023-05-30 09:40:00,,21.0,35.5,26.8,31.15,24.85,27.1,"[27.1, 22.6]",1.0,26.8,4.9,26.0,27.0,1.0,18.7,24.9,23.0,0.0,35.5,0.7,26.0,26.0
2023-05-30 09:45:00,,21.0,35.7,26.9,31.3,24.95,27.2,"[27.2, 22.7]",1.0,26.9,5.0,28.0,27.0,1.0,1.6,25.2,23.0,0.0,35.7,0.7,26.0,26.0
2023-05-30 09:50:00,,21.0,35.6,27.4,31.5,25.55,27.8,"[27.8, 23.3]",1.0,27.4,0.7,28.0,27.0,1.0,18.8,25.3,23.0,0.0,35.6,0.7,26.0,26.0
2023-05-30 09:55:00,,21.0,35.4,27.4,31.4,25.3,27.7,"[27.7, 22.9]",1.0,27.4,0.7,26.0,27.0,1.0,18.8,24.5,23.0,0.0,35.4,0.7,25.0,26.0
2023-05-30 10:00:00,,21.0,35.2,27.3,31.25,25.15,27.4,"[27.4, 22.9]",1.0,27.3,4.9,26.0,27.0,1.0,19.1,25.3,23.0,0.0,35.2,0.7,26.0,26.0
2023-05-30 10:05:00,,21.0,35.2,27.3,31.25,25.0,27.3,"[27.3, 22.7]",1.0,27.3,0.7,28.0,28.0,1.0,18.6,24.7,23.0,0.0,35.2,0.7,25.0,26.0
2023-05-30 10:10:00,,21.0,34.6,27.2,30.9,24.5,26.6,"[26.6, 22.4]",1.0,27.2,0.7,29.0,28.0,1.0,18.9,24.8,23.0,0.0,34.6,0.7,24.0,26.0
2023-05-30 10:15:00,,21.0,34.6,27.2,30.9,24.35,26.5,"[26.5, 22.2]",1.0,27.2,0.7,29.0,28.0,1.0,18.8,24.7,23.0,0.0,34.6,0.7,24.0,26.0
2023-05-30 10:20:00,,21.0,34.2,27.0,30.6,24.25,26.4,"[26.4, 22.1]",1.0,27.0,0.7,29.0,28.0,1.0,18.8,24.6,23.0,0.0,34.2,0.7,24.0,26.0
2023-05-30 10:25:00,,21.0,34.1,26.6,30.35,24.1,26.3,"[26.3, 21.9]",1.0,26.6,0.7,29.0,28.0,1.0,19.1,24.6,23.0,0.0,34.1,0.7,24.0,26.0
2023-05-30 10:30:00,,21.0,34.0,26.5,30.25,24.05,26.3,"[26.3, 21.8]",1.0,26.5,0.7,29.0,28.0,1.0,19.5,24.6,23.0,0.0,34.0,0.7,24.0,26.0
2023-05-30 10:45:00,,21.0,33.7,26.5,30.1,24.75,27.1,"[27.1, 22.4]",1.0,26.5,5.1,28.0,27.0,1.0,11.8,25.1,23.0,0.0,33.7,0.7,25.0,26.0
2023-05-30 10:50:00,,21.0,33.7,26.5,30.1,24.65,26.9,"[26.9, 22.4]",1.0,26.5,0.7,27.0,27.0,1.0,19.2,24.5,23.0,0.0,33.7,0.7,24.0,26.0
2023-05-30 10:55:00,,21.0,33.6,26.6,30.1,24.8,26.9,"[26.9, 22.7]",1.0,26.6,5.0,26.0,27.0,1.0,19.6,25.0,23.0,0.0,33.6,0.7,25.0,26.0
2023-05-30 11:00:00,,21.0,33.6,26.7,30.15,24.55,26.8,"[26.8, 22.3]",1.0,26.7,5.1,27.0,27.0,1.0,19.2,24.7,23.0,0.0,33.6,0.7,24.0,26.0
2023-05-30 11:05:00,,21.0,33.5,26.8,30.15,24.5,26.7,"[26.7, 22.3]",1.0,26.8,0.7,28.0,28.0,1.0,11.8,25.0,23.0,0.0,33.5,0.7,25.0,26.0
2023-05-30 11:10:00,,21.0,33.5,26.8,30.15,24.6,26.8,"[26.8, 22.4]",1.0,26.8,0.7,28.0,28.0,1.0,19.3,24.9,23.0,0.0,33.5,0.7,24.0,26.0
2023-05-30 11:15:00,,21.0,33.5,26.8,30.15,24.5,26.8,"[26.8, 22.2]",1.0,26.8,0.7,29.0,28.0,1.0,19.3,24.8,23.0,0.0,33.5,0.8,24.0,26.0
2023-05-30 11:20:00,,21.0,33.5,26.7,30.1,24.15,26.3,"[26.3, 22.0]",1.0,26.7,0.7,29.0,28.0,1.0,19.4,24.7,23.0,0.0,33.5,0.8,24.0,26.0
2023-05-30 11:25:00,,21.0,33.5,26.5,30.0,24.1,26.3,"[26.3, 21.9]",1.0,26.5,0.7,29.0,28.0,1.0,19.5,24.6,23.0,0.0,33.5,0.8,24.0,26.0
2023-05-30 11:30:00,,21.0,33.5,26.4,29.95,24.0,26.2,"[26.2, 21.8]",1.0,26.4,0.7,29.0,28.0,1.0,19.3,24.6,23.0,0.0,33.5,0.8,24.0,26.0
2023-05-30 11:35:00,,21.0,33.5,26.4,29.95,24.05,26.3,"[26.3, 21.8]",1.0,26.4,5.2,26.0,27.0,1.0,12.0,24.5,23.0,0.0,33.5,0.8,24.0,26.0
2023-05-30 11:40:00,,21.0,33.5,26.3,29.9,24.5,26.7,"[26.7, 22.3]",1.0,26.3,5.3,26.0,27.0,1.0,19.4,24.8,23.0,0.0,33.5,0.8,25.0,26.0
2023-05-30 11:45:00,,21.0,33.5,26.4,29.95,24.6,26.8,"[26.8, 22.4]",1.0,26.4,4.6,28.0,27.0,1.0,11.9,24.8,23.0,0.0,33.5,0.8,25.0,26.0
