time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,159868_c,159868_h,159868_p,159868_r,159868_s,159869_c,159869_h,159869_p,159869_r,159869_s,159870_c,159870_h,159870_p,159870_r,159870_s,3793401_c,3793401_h,3793401_p,3793401_r,3793401_s,3793402_c,3793402_h,3793402_p,3793402_r,3793402_s,3793403_c,3793403_h,3793403_p,3793403_r,3793403_s
2023-05-30 09:00:00,,,,,,,,,,,10.7,,,,,7.3,,,,,7.0,,,,,0.7,,,,,0.5,,,,,0.5,,
2023-05-30 09:10:00,,14727.0,27.3,22.1,24.616666666666664,22.15,22.9,"[21.4, 22.9]",1.0,25.3,2.6,26.9,26.0,1.0,27.3,12.7,26.9,26.0,1.0,27.3,7.0,26.0,26.0,1.0,22.1,0.7,25.0,26.0,1.0,22.1,0.5,24.0,26.0,1.0,23.6,0.7,23.0,26.0
2023-05-30 09:15:00,,15523.0,27.1,22.3,24.48333333333333,21.9,22.7,"[21.1, 22.7]",1.0,24.4,2.6,26.6,26.0,1.0,27.1,12.7,26.6,26.0,1.0,27.1,7.0,26.0,26.0,1.0,22.3,0.7,24.0,26.0,1.0,22.3,0.5,23.0,26.0,1.0,23.7,0.7,22.0,26.0
2023-05-30 09:20:00,,14521.0,26.5,22.2,24.183333333333334,21.55,22.4,"[20.7, 22.4]",,24.4,,,,,26.1,,,,,26.5,,,,,22.2,,,,,22.2,,,,,23.7,,,
2023-05-30 09:25:00,,14737.0,26.4,22.0,24.03333333333333,21.5,22.4,"[20.6, 22.4]",1.0,24.5,10.8,26.0,26.0,1.0,26.1,12.5,26.1,26.0,1.0,26.4,7.0,26.0,26.0,1.0,22.0,0.7,24.0,26.0,1.0,22.0,0.5,23.0,26.0,1.0,23.2,0.5,22.0,26.0
2023-05-30 09:30:00,,15143.0,26.7,22.0,24.266666666666666,21.6,22.5,"[20.7, 22.5]",1.0,25.0,10.8,26.2,26.0,1.0,26.7,12.5,26.3,26.0,1.0,26.7,7.0,26.0,26.0,1.0,22.0,0.7,24.0,26.0,1.0,22.0,0.5,24.0,26.0,1.0,23.2,0.5,23.0,26.0
2023-05-30 09:35:00,,14927.0,27.4,22.0,24.58333333333333,21.95,22.7,"[21.2, 22.7]",1.0,25.1,10.9,26.7,26.0,1.0,27.4,7.4,26.8,26.0,1.0,27.4,7.1,26.0,26.0,1.0,22.0,0.7,25.0,26.0,1.0,22.0,0.5,24.0,26.0,1.0,23.6,0.7,23.0,26.0
2023-05-30 09:40:00,,14521.0,27.4,22.0,24.53333333333333,22.1,22.7,"[21.5, 22.7]",1.0,24.5,2.7,26.9,26.0,1.0,27.4,7.7,26.8,26.0,1.0,27.4,7.1,26.0,26.0,1.0,22.0,4.8,24.0,26.0,1.0,22.0,0.5,24.0,26.0,1.0,23.9,0.7,22.0,26.0
2023-05-30 09:45:00,,14331.0,27.4,22.2,24.6,21.85,22.6,"[21.1, 22.6]",1.0,24.5,2.7,26.5,26.0,1.0,27.4,12.6,26.5,26.0,1.0,27.4,7.1,26.0,26.0,1.0,22.2,4.8,25.0,26.0,1.0,22.2,0.5,23.0,26.0,1.0,23.9,0.7,22.0,26.0
2023-05-30 09:50:00,,14521.0,26.6,22.1,24.13333333333333,21.700000000000003,22.6,"[20.8, 22.6]",1.0,24.1,2.6,26.2,26.0,1.0,26.3,12.6,26.3,26.0,1.0,26.6,7.0,26.0,26.0,1.0,22.1,0.7,24.0,26.0,1.0,22.1,0.5,23.0,26.0,1.0,23.6,0.5,22.0,26.0
2023-05-30 09:55:00,,14521.0,26.4,22.0,24.0,21.6,22.6,"[20.6, 22.6]",1.0,24.3,2.6,26.0,26.0,1.0,26.1,12.7,26.1,26.0,1.0,26.4,7.3,26.0,26.0,1.0,22.0,0.7,24.0,26.0,1.0,22.0,0.5,23.0,26.0,1.0,23.2,0.5,21.0,26.0
2023-05-30 10:00:00,,14521.0,26.3,21.9,23.98333333333333,21.65,22.5,"[20.8, 22.5]",1.0,24.3,10.9,26.2,26.0,1.0,26.1,7.4,26.3,26.0,1.0,26.3,7.1,26.0,26.0,1.0,21.9,0.7,25.0,26.0,1.0,21.9,0.5,24.0,26.0,1.0,23.4,0.7,23.0,26.0
2023-05-30 10:05:00,,14521.0,27.5,22.0,24.65,22.0,22.7,"[21.3, 22.7]",1.0,25.2,,26.7,26.0,1.0,27.5,,26.8,26.0,1.0,27.5,,26.0,26.0,1.0,22.0,,25.0,26.0,1.0,22.0,,24.0,26.0,1.0,23.7,,23.0,26.0
2023-05-30 10:10:00,,14548.0,27.2,22.2,24.5,22.05,22.7,"[21.4, 22.7]",1.0,24.5,2.6,26.8,26.0,1.0,27.2,11.8,26.8,26.0,1.0,27.2,7.1,26.0,26.0,1.0,22.2,0.7,24.0,26.0,1.0,22.2,0.5,24.0,26.0,1.0,23.7,0.7,22.0,26.0
2023-05-30 10:15:00,,14521.0,26.6,22.2,24.28333333333333,21.8,22.6,"[21.0, 22.6]",1.0,24.2,2.6,26.4,26.0,1.0,26.6,11.8,26.5,26.0,1.0,26.6,7.1,26.0,26.0,1.0,22.2,0.7,24.0,26.0,1.0,22.2,0.5,23.0,26.0,1.0,23.9,0.7,22.0,26.0
2023-05-30 10:20:00,,14115.0,26.6,22.1,24.216666666666665,21.6,22.4,"[20.8, 22.4]",1.0,24.3,2.6,26.2,26.0,1.0,26.6,12.7,26.2,26.0,1.0,26.6,7.1,26.0,26.0,1.0,22.1,0.7,24.0,26.0,1.0,22.1,0.5,24.0,26.0,1.0,23.6,0.7,21.0,26.0
