time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3815238_c,3815238_h,3815238_p,3815238_r,3815238_s
2023-05-30 09:00:00,,,,,,,,,,,4.53,,
2023-05-30 09:10:00,,16.93,32.0,32.0,32.0,25.1,25.9,"[25.9, 24.3]",1.0,32.0,4.2,23.4,22.0
2023-05-30 09:15:00,,16.9,31.9,31.9,31.9,25.1,25.9,"[25.9, 24.3]",1.0,31.9,4.29,23.3,22.0
2023-05-30 09:20:00,,16.85,31.8,31.8,31.8,25.0,25.8,"[25.8, 24.2]",1.0,31.8,4.26,23.2,22.0
2023-05-30 09:25:00,,16.94,31.7,31.7,31.7,25.0,25.8,"[25.8, 24.2]",1.0,31.7,4.23,23.2,22.0
2023-05-30 09:30:00,,16.93,31.7,31.7,31.7,24.950000000000003,25.8,"[25.8, 24.1]",1.0,31.7,4.26,23.2,22.0
2023-05-30 09:35:00,,16.87,31.7,31.7,31.7,24.950000000000003,25.8,"[25.8, 24.1]",1.0,31.7,0.54,24.5,22.0
2023-05-30 09:40:00,,17.060000000000002,31.7,31.7,31.7,25.3,26.1,"[26.1, 24.5]",1.0,31.7,0.54,25.5,22.0
2023-05-30 09:45:00,,16.96,31.8,31.8,31.8,25.3,26.1,"[26.1, 24.5]",1.0,31.8,4.2,23.7,22.0
2023-05-30 09:50:00,,16.85,32.1,32.1,32.1,25.2,26.0,"[26.0, 24.4]",1.0,32.1,4.23,23.5,22.0
2023-05-30 09:55:00,,17.240000000000002,32.1,32.1,32.1,25.1,25.9,"[25.9, 24.3]",1.0,32.1,4.26,23.4,22.0
2023-05-30 10:00:00,,16.82,32.0,32.0,32.0,25.05,25.9,"[25.9, 24.2]",1.0,32.0,4.26,23.2,22.0
2023-05-30 10:05:00,,16.86,31.7,31.7,31.7,25.0,25.8,"[25.8, 24.2]",1.0,31.7,4.29,23.1,22.0
2023-05-30 10:10:00,,16.9,31.7,31.7,31.7,25.0,25.8,"[25.8, 24.2]",1.0,31.7,4.29,23.2,22.0
2023-05-30 10:15:00,,16.85,31.7,31.7,31.7,24.950000000000003,25.8,"[25.8, 24.1]",1.0,31.7,4.32,23.2,22.0
2023-05-30 10:20:00,,16.85,31.6,31.6,31.6,24.950000000000003,25.8,"[25.8, 24.1]",1.0,31.6,4.29,23.7,22.0
2023-05-30 10:25:00,,16.91,31.7,31.7,31.7,25.15,26.0,"[26.0, 24.3]",1.0,31.7,0.54,25.8,22.0
2023-05-30 10:30:00,,16.85,32.1,32.1,32.1,25.45,26.2,"[26.2, 24.7]",1.0,32.1,4.26,24.0,22.0
2023-05-30 10:45:00,,16.950000000000003,31.9,31.9,31.9,25.1,25.9,"[25.9, 24.3]",1.0,31.9,4.35,23.4,22.0
2023-05-30 10:50:00,,16.86,31.9,31.9,31.9,25.05,25.9,"[25.9, 24.2]",1.0,31.9,4.32,23.4,22.0
2023-05-30 10:55:00,,16.84,31.8,31.8,31.8,25.05,25.9,"[25.9, 24.2]",1.0,31.8,4.32,23.4,22.0
2023-05-30 11:00:00,,17.0,31.9,31.9,31.9,25.0,25.8,"[25.8, 24.2]",1.0,31.9,4.38,23.2,22.0
2023-05-30 11:05:00,,16.880000000000003,31.9,31.9,31.9,25.0,25.8,"[25.8, 24.2]",1.0,31.9,4.41,23.2,22.0
2023-05-30 11:10:00,,17.009999999999998,31.7,31.7,31.7,25.0,25.8,"[25.8, 24.2]",1.0,31.7,4.41,23.2,22.0
2023-05-30 11:15:00,,16.98,31.6,31.6,31.6,24.950000000000003,25.8,"[25.8, 24.1]",1.0,31.6,4.38,23.2,22.0
2023-05-30 11:20:00,,16.950000000000003,31.6,31.6,31.6,24.950000000000003,25.8,"[25.8, 24.1]",1.0,31.6,4.41,23.2,22.0
2023-05-30 11:25:00,,16.92,31.6,31.6,31.6,25.0,25.8,"[25.8, 24.2]",1.0,31.6,4.41,23.7,22.0
2023-05-30 11:30:00,,16.91,31.6,31.6,31.6,25.3,26.0,"[26.0, 24.6]",1.0,31.6,0.54,25.1,22.0
2023-05-30 11:35:00,,16.96,32.0,32.0,32.0,25.6,26.3,"[26.3, 24.9]",1.0,32.0,4.44,24.3,22.0
2023-05-30 11:40:00,,16.91,32.0,32.0,32.0,25.5,26.3,"[26.3, 24.7]",1.0,32.0,4.35,23.7,22.0
2023-05-30 11:45:00,,16.939999999999998,32.1,32.1,32.1,25.3,26.1,"[26.1, 24.5]",1.0,32.1,4.44,23.5,22.0
2023-05-30 11:50:00,,16.87,32.0,32.0,32.0,25.2,26.0,"[26.0, 24.4]",1.0,32.0,4.41,23.4,22.0
2023-05-30 11:55:00,,17.04,32.0,32.0,32.0,25.15,25.9,"[25.9, 24.4]",1.0,32.0,4.44,23.4,22.0
2023-05-30 12:00:00,,17.05,31.9,31.9,31.9,25.1,25.9,"[25.9, 24.3]",1.0,31.9,4.44,23.4,22.0
2023-05-30 12:05:00,,16.92,31.9,31.9,31.9,25.1,25.9,"[25.9, 24.3]",1.0,31.9,4.47,23.2,22.0
2023-05-30 12:10:00,,17.0,31.8,31.8,31.8,25.1,25.9,"[25.9, 24.3]",1.0,31.8,4.5,23.3,22.0
2023-05-30 12:15:00,,16.92,31.8,31.8,31.8,25.1,25.9,"[25.9, 24.3]",1.0,31.8,4.47,23.3,22.0
2023-05-30 12:20:00,,17.05,31.8,31.8,31.8,25.1,25.9,"[25.9, 24.3]",1.0,31.8,4.44,23.3,22.0
2023-05-30 12:25:00,,16.990000000000002,31.7,31.7,31.7,25.1,25.9,"[25.9, 24.3]",1.0,31.7,4.44,23.2,22.0
2023-05-30 12:30:00,,16.89,31.7,31.7,31.7,25.1,25.9,"[25.9, 24.3]",1.0,31.7,4.5,23.4,22.0
2023-05-30 12:35:00,,16.880000000000003,31.7,31.7,31.7,25.1,25.9,"[25.9, 24.3]",1.0,31.7,4.44,23.3,22.0
2023-05-30 12:40:00,,17.03,31.6,31.6,31.6,25.1,25.9,"[25.9, 24.3]",1.0,31.6,4.44,23.4,22.0
2023-05-30 12:45:00,,16.96,31.6,31.6,31.6,25.1,25.9,"[25.9, 24.3]",1.0,31.6,4.47,23.3,22.0
2023-05-30 12:50:00,,16.9,31.7,31.7,31.7,25.1,25.9,"[25.9, 24.3]",1.0,31.7,4.47,23.2,22.0
2023-05-30 12:55:00,,16.84,31.7,31.7,31.7,25.1,25.9,"[25.9, 24.3]",1.0,31.7,4.5,23.3,22.0
2023-05-30 13:00:00,,16.93,31.6,31.6,31.6,25.1,25.9,"[25.9, 24.3]",1.0,31.6,4.47,23.2,22.0
2023-05-30 13:05:00,,17.05,31.7,31.7,31.7,25.1,25.9,"[25.9, 24.3]",1.0,31.7,4.56,23.3,22.0
2023-05-30 13:10:00,,16.95,31.7,31.7,31.7,25.1,25.9,"[25.9, 24.3]",1.0,31.7,4.53,23.2,22.0
2023-05-30 13:15:00,,16.89,31.7,31.7,31.7,25.1,25.9,"[25.9, 24.3]",1.0,31.7,4.44,23.2,22.0
2023-05-30 13:20:00,,16.939999999999998,31.6,31.6,31.6,25.1,25.9,"[25.9, 24.3]",1.0,31.6,4.56,23.3,22.0
2023-05-30 13:25:00,,16.880000000000003,31.6,31.6,31.6,25.1,25.9,"[25.9, 24.3]",1.0,31.6,4.56,23.2,22.0
2023-05-30 13:30:00,,16.880000000000003,31.6,31.6,31.6,25.1,25.9,"[25.9, 24.3]",1.0,31.6,4.53,23.3,22.0
2023-05-30 13:35:00,,16.83,31.7,31.7,31.7,25.15,26.0,"[26.0, 24.3]",1.0,31.7,4.53,23.4,22.0
2023-05-30 13:40:00,,16.93,31.7,31.7,31.7,25.15,26.0,"[26.0, 24.3]",1.0,31.7,4.5,23.2,22.0
2023-05-30 13:45:00,,16.86,31.7,31.7,31.7,25.15,26.0,"[26.0, 24.3]",1.0,31.7,4.5,23.2,22.0
2023-05-30 13:50:00,,16.87,31.7,31.7,31.7,25.2,26.0,"[26.0, 24.4]",1.0,31.7,4.47,23.2,22.0
2023-05-30 13:55:00,,16.96,31.6,31.6,31.6,25.15,26.0,"[26.0, 24.3]",1.0,31.6,4.56,23.2,22.0
2023-05-30 14:00:00,,16.85,31.7,31.7,31.7,25.2,26.0,"[26.0, 24.4]",1.0,31.7,4.56,23.2,22.0
2023-05-30 14:05:00,,16.83,31.7,31.7,31.7,25.2,26.0,"[26.0, 24.4]",1.0,31.7,4.53,23.3,22.0
2023-05-30 14:10:00,,16.86,31.7,31.7,31.7,25.2,26.0,"[26.0, 24.4]",1.0,31.7,4.53,23.3,22.0
2023-05-30 14:15:00,,17.08,31.7,31.7,31.7,25.2,26.0,"[26.0, 24.4]",1.0,31.7,4.53,23.2,22.0
2023-05-30 14:20:00,,16.85,31.7,31.7,31.7,25.2,26.0,"[26.0, 24.4]",1.0,31.7,4.53,23.3,22.0
2023-05-30 14:25:00,,16.93,31.7,31.7,31.7,25.2,26.0,"[26.0, 24.4]",1.0,31.7,4.56,23.2,22.0
2023-05-30 14:30:00,,16.94,31.7,31.7,31.7,25.2,26.0,"[26.0, 24.4]",1.0,31.7,4.53,23.2,22.0
2023-05-30 14:35:00,,16.86,31.7,31.7,31.7,25.3,26.2,"[26.2, 24.4]",1.0,31.7,0.54,24.9,22.0
2023-05-30 14:40:00,,16.84,32.0,32.0,32.0,25.7,26.4,"[26.4, 25.0]",1.0,32.0,0.54,25.9,22.0
2023-05-30 14:45:00,,17.02,32.0,32.0,32.0,25.9,26.6,"[26.6, 25.2]",1.0,32.0,4.41,24.1,22.0
2023-05-30 14:50:00,,16.85,32.3,32.3,32.3,25.75,26.6,"[26.6, 24.9]",1.0,32.3,4.5,23.7,22.0
2023-05-30 14:55:00,,17.04,32.2,32.2,32.2,25.6,26.4,"[26.4, 24.8]",1.0,32.2,4.53,23.7,22.0
2023-05-30 15:00:00,,16.89,32.2,32.2,32.2,25.6,26.4,"[26.4, 24.8]",1.0,32.2,4.47,23.7,22.0
2023-05-30 15:05:00,,17.04,32.2,32.2,32.2,25.55,26.4,"[26.4, 24.7]",1.0,32.2,4.5,23.7,22.0
2023-05-30 15:10:00,,16.9,32.2,32.2,32.2,25.5,26.3,"[26.3, 24.7]",1.0,32.2,4.5,23.6,22.0
2023-05-30 15:15:00,,16.939999999999998,32.1,32.1,32.1,25.5,26.3,"[26.3, 24.7]",1.0,32.1,4.5,23.6,22.0
2023-05-30 15:20:00,,16.93,32.2,32.2,32.2,25.450000000000003,26.3,"[26.3, 24.6]",1.0,32.2,4.44,23.4,22.0
2023-05-30 15:25:00,,16.89,32.1,32.1,32.1,25.450000000000003,26.3,"[26.3, 24.6]",1.0,32.1,4.47,23.5,22.0
2023-05-30 15:30:00,,17.09,32.0,32.0,32.0,25.450000000000003,26.3,"[26.3, 24.6]",1.0,32.0,4.47,23.4,22.0
2023-05-30 15:35:00,,16.89,32.0,32.0,32.0,25.4,26.2,"[26.2, 24.6]",1.0,32.0,4.47,23.5,22.0
2023-05-30 15:40:00,,16.91,32.0,32.0,32.0,25.450000000000003,26.3,"[26.3, 24.6]",1.0,32.0,4.44,23.5,22.0
2023-05-30 15:45:00,,16.91,31.9,31.9,31.9,25.4,26.2,"[26.2, 24.6]",1.0,31.9,4.44,23.5,22.0
2023-05-30 15:50:00,,16.91,31.9,31.9,31.9,25.4,26.2,"[26.2, 24.6]",1.0,31.9,4.47,23.4,22.0
2023-05-30 15:55:00,,16.98,32.0,32.0,32.0,25.4,26.2,"[26.2, 24.6]",1.0,32.0,4.47,23.4,22.0
2023-05-30 16:00:00,,16.89,32.0,32.0,32.0,25.35,26.1,"[26.1, 24.6]",1.0,32.0,4.5,23.5,22.0
2023-05-30 16:05:00,,16.93,31.9,31.9,31.9,25.35,26.1,"[26.1, 24.6]",1.0,31.9,4.47,23.3,22.0
2023-05-30 16:10:00,,16.96,31.8,31.8,31.8,25.35,26.1,"[26.1, 24.6]",1.0,31.8,4.47,23.5,22.0
2023-05-30 16:15:00,,16.84,31.8,31.8,31.8,25.4,26.2,"[26.2, 24.6]",1.0,31.8,4.44,23.4,22.0
2023-05-30 16:20:00,,16.880000000000003,31.8,31.8,31.8,25.35,26.1,"[26.1, 24.6]",1.0,31.8,4.44,23.5,22.0
2023-05-30 16:25:00,,16.950000000000003,31.8,31.8,31.8,25.35,26.1,"[26.1, 24.6]",1.0,31.8,4.38,23.4,22.0
2023-05-30 16:30:00,,16.9,31.8,31.8,31.8,25.35,26.1,"[26.1, 24.6]",1.0,31.8,4.38,23.4,22.0
2023-05-30 16:35:00,,16.880000000000003,31.8,31.8,31.8,25.35,26.1,"[26.1, 24.6]",1.0,31.8,4.44,23.3,22.0
2023-05-30 16:40:00,,16.950000000000003,31.8,31.8,31.8,25.35,26.1,"[26.1, 24.6]",1.0,31.8,4.38,23.4,22.0
2023-05-30 16:45:00,,16.91,31.8,31.8,31.8,25.35,26.1,"[26.1, 24.6]",1.0,31.8,4.38,23.4,22.0
2023-05-30 16:50:00,,16.950000000000003,31.8,31.8,31.8,25.35,26.1,"[26.1, 24.6]",1.0,31.8,4.41,23.4,22.0
