time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,161107_c,161107_h,161107_p,161107_r,161107_s,161108_c,161108_h,161108_p,161108_r,161108_s,161109_c,161109_h,161109_p,161109_r,161109_s,161110_c,161110_h,161110_p,161110_r,161110_s
2023-05-30 09:00:00,,,,,,,,,,,19.7,,,,,20.2,,,,,10.6,,,,,4.3,,
2023-05-30 09:05:00,,48.0,32.4,24.9,27.525,24.2,24.2,[24.2],1.0,32.4,,26.0,26.0,1.0,26.1,,26.0,26.0,1.0,24.9,,26.0,26.0,1.0,26.7,,26.0,26.0
2023-05-30 09:10:00,,48.0,32.3,24.8,27.475,24.2,24.2,[24.2],1.0,32.3,3.8,26.0,26.0,1.0,26.0,4.0,26.0,26.0,1.0,24.8,10.4,26.0,26.0,1.0,26.8,4.3,26.0,26.0
2023-05-30 09:15:00,,48.0,32.4,25.1,27.575,24.3,24.3,[24.3],1.0,32.4,3.7,26.0,26.0,1.0,26.0,14.8,26.0,26.0,1.0,25.1,10.4,26.0,26.0,1.0,26.8,4.3,26.0,26.0
2023-05-30 09:20:00,,47.0,32.5,25.8,28.0,24.3,24.3,[24.3],1.0,32.5,3.7,26.0,26.0,1.0,26.1,14.9,26.0,26.0,1.0,25.8,10.7,26.0,26.0,1.0,27.6,4.3,26.0,26.0
2023-05-30 09:25:00,,48.0,32.5,25.9,28.05,24.4,24.4,[24.4],1.0,32.5,3.7,26.0,26.0,1.0,26.2,14.9,26.0,26.0,1.0,25.9,10.7,26.0,26.0,1.0,27.6,4.3,26.0,26.0
2023-05-30 09:30:00,,48.0,32.6,26.1,28.2,24.4,24.4,[24.4],1.0,32.6,3.7,26.0,26.0,1.0,26.3,14.7,26.0,26.0,1.0,26.1,10.7,26.0,26.0,1.0,27.8,4.3,26.0,26.0
2023-05-30 09:35:00,,48.0,32.5,26.3,28.325,24.4,24.4,[24.4],1.0,32.5,3.7,26.0,26.0,1.0,26.5,14.6,26.0,26.0,1.0,26.3,10.6,26.0,26.0,1.0,28.0,4.4,26.0,26.0
2023-05-30 09:40:00,,48.0,32.8,26.4,28.525,24.4,24.4,[24.4],1.0,32.8,3.7,26.0,26.0,1.0,26.6,14.8,26.0,26.0,1.0,26.4,10.4,26.0,26.0,1.0,28.3,4.3,26.0,26.0
2023-05-30 09:45:00,,48.0,32.8,26.4,28.55,24.4,24.4,[24.4],1.0,32.8,19.7,26.0,26.0,1.0,26.7,20.2,26.0,26.0,1.0,26.4,10.6,26.0,26.0,1.0,28.3,4.3,26.0,26.0
2023-05-30 09:50:00,,48.0,32.8,26.5,28.525,24.4,24.4,[24.4],1.0,32.8,20.0,26.0,26.0,1.0,26.8,20.8,26.0,26.0,1.0,26.5,10.5,26.0,26.0,1.0,28.0,4.3,26.0,26.0
2023-05-30 09:55:00,,47.0,32.8,26.4,28.5,24.4,24.4,[24.4],1.0,32.8,19.9,26.0,26.0,1.0,26.8,20.3,26.0,26.0,1.0,26.4,10.6,26.0,26.0,1.0,28.0,4.3,26.0,26.0
2023-05-30 10:00:00,,47.0,32.8,26.2,28.35,24.4,24.4,[24.4],1.0,32.8,19.8,26.0,26.0,1.0,26.7,20.3,26.0,26.0,1.0,26.2,10.6,26.0,26.0,1.0,27.7,4.4,26.0,26.0
2023-05-30 10:05:00,,47.0,32.8,25.9,28.225,24.4,24.4,[24.4],1.0,32.8,,26.0,26.0,1.0,26.6,,26.0,26.0,1.0,25.9,,26.0,26.0,1.0,27.6,,26.0,26.0
2023-05-30 10:10:00,,48.0,32.7,25.9,28.200000000000003,24.4,24.4,[24.4],1.0,32.7,19.4,26.0,26.0,1.0,26.6,20.3,26.0,26.0,1.0,25.9,10.6,26.0,26.0,1.0,27.6,4.4,26.0,26.0
2023-05-30 10:15:00,,48.0,32.7,25.5,28.025,24.4,24.4,[24.4],1.0,32.7,19.3,26.0,26.0,1.0,26.5,20.3,26.0,26.0,1.0,25.5,10.7,26.0,26.0,1.0,27.4,4.4,26.0,26.0
2023-05-30 10:20:00,,47.0,32.6,25.5,27.95,24.3,24.3,[24.3],1.0,32.6,19.4,26.0,26.0,1.0,26.4,20.4,26.0,26.0,1.0,25.5,10.7,26.0,26.0,1.0,27.3,4.4,26.0,26.0
2023-05-30 10:25:00,,47.0,32.6,25.4,27.875000000000004,24.3,24.3,[24.3],1.0,32.6,19.7,26.0,26.0,1.0,26.3,20.6,26.0,26.0,1.0,25.4,10.6,26.0,26.0,1.0,27.2,4.4,26.0,26.0
2023-05-30 10:30:00,,48.0,32.6,25.2,27.75,24.3,24.3,[24.3],1.0,32.6,19.7,26.0,26.0,1.0,26.3,20.6,26.0,26.0,1.0,25.2,10.6,26.0,26.0,1.0,26.9,4.4,26.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,48.0,32.5,25.0,27.675,24.3,24.3,[24.3],1.0,32.5,19.7,26.0,26.0,1.0,26.3,20.5,26.0,26.0,1.0,25.0,10.5,26.0,26.0,1.0,26.9,4.3,26.0,26.0
2023-05-30 10:45:00,,47.0,32.4,25.0,27.6,24.3,24.3,[24.3],1.0,32.4,19.6,26.0,26.0,1.0,26.2,20.2,26.0,26.0,1.0,25.0,10.5,26.0,26.0,1.0,26.8,4.3,26.0,26.0
2023-05-30 10:50:00,,48.0,32.4,24.9,27.5,24.2,24.2,[24.2],1.0,32.4,19.8,26.0,26.0,1.0,26.1,20.5,26.0,26.0,1.0,24.9,10.4,26.0,26.0,1.0,26.6,4.3,26.0,26.0
2023-05-30 10:55:00,,48.0,32.4,24.9,27.5,24.2,24.2,[24.2],1.0,32.4,19.6,26.0,26.0,1.0,26.1,20.5,26.0,26.0,1.0,24.9,10.5,26.0,26.0,1.0,26.6,4.4,26.0,26.0
2023-05-30 11:00:00,,48.0,32.4,24.8,27.450000000000003,24.2,24.2,[24.2],1.0,32.4,3.8,26.0,26.0,1.0,26.0,4.0,26.0,26.0,1.0,24.8,10.5,26.0,26.0,1.0,26.6,4.4,26.0,26.0
2023-05-30 11:05:00,,48.0,32.5,25.0,27.55,24.3,24.3,[24.3],1.0,32.5,3.8,26.0,26.0,1.0,26.0,15.1,26.0,26.0,1.0,25.0,10.6,26.0,26.0,1.0,26.7,4.3,26.0,26.0
2023-05-30 11:10:00,,48.0,32.5,25.5,27.775,24.3,24.3,[24.3],1.0,32.5,3.8,26.0,26.0,1.0,26.0,15.1,26.0,26.0,1.0,25.5,10.7,26.0,26.0,1.0,27.1,4.4,26.0,26.0
