time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3823177_c,3823177_h,3823177_r,3823177_s,3823178_c,3823178_h,3823178_r,3823178_s,584827_c,584827_r,584827_s,584847_c,584847_r,584847_s,584867_c,584867_r,584867_s,584868_c,584868_r,584868_s
2023-05-30 09:10:00,,24.5,22.2,23.35,27.65,35.6,"[19.7, 35.6]",1.0,24.5,24.7,24.0,1.0,22.2,26.1,25.0,1.0,24.0,25.0,1.0,23.0,25.0,1.0,26.0,25.0,1.0,24.0,25.0
2023-05-30 09:15:00,,24.6,22.1,23.35,27.700000000000003,35.6,"[19.8, 35.6]",1.0,24.6,25.4,24.0,1.0,22.1,26.1,25.0,1.0,24.0,25.0,1.0,23.0,25.0,1.0,26.0,25.0,1.0,24.0,25.0
2023-05-30 09:20:00,,24.6,22.9,23.75,28.05,35.9,"[20.2, 35.9]",,24.6,,,,22.9,,,,,,,,,,,,,,
2023-05-30 09:25:00,,24.6,22.9,23.75,28.35,36.1,"[20.6, 36.1]",1.0,24.6,26.0,24.0,1.0,22.9,26.0,25.0,1.0,25.0,25.0,1.0,23.0,25.0,1.0,27.0,25.0,1.0,27.0,25.0
2023-05-30 09:30:00,,24.5,23.3,23.9,28.25,36.0,"[20.5, 36.0]",1.0,24.5,25.2,24.0,1.0,23.3,26.2,25.0,1.0,24.0,25.0,1.0,23.0,25.0,1.0,27.0,25.0,1.0,26.0,25.0
2023-05-30 09:35:00,,24.5,23.3,23.9,27.85,35.7,"[20.0, 35.7]",1.0,24.5,25.6,24.0,1.0,23.3,26.1,25.0,1.0,24.0,25.0,1.0,23.0,25.0,1.0,26.0,25.0,1.0,24.0,25.0
2023-05-30 09:40:00,,24.5,23.5,24.0,27.6,35.5,"[19.7, 35.5]",1.0,24.5,25.6,24.0,1.0,23.5,26.2,25.0,1.0,25.0,25.0,1.0,24.0,25.0,1.0,26.0,25.0,1.0,24.0,25.0
2023-05-30 09:45:00,,24.5,23.5,24.0,27.7,35.4,"[20.0, 35.4]",1.0,24.5,25.8,24.0,1.0,23.5,26.2,25.0,1.0,24.0,25.0,1.0,23.0,25.0,1.0,26.0,25.0,1.0,24.0,25.0
2023-05-30 09:50:00,,24.6,22.6,23.6,27.85,35.3,"[20.4, 35.3]",1.0,24.6,25.3,24.0,1.0,22.6,26.3,25.0,1.0,24.0,25.0,1.0,24.0,25.0,1.0,26.0,25.0,1.0,25.0,25.0
2023-05-30 09:55:00,,24.6,22.4,23.5,27.85,35.4,"[20.3, 35.4]",1.0,24.6,25.0,24.0,1.0,22.4,26.3,25.0,1.0,24.0,25.0,1.0,24.0,25.0,1.0,26.0,25.0,1.0,26.0,25.0
2023-05-30 10:00:00,,24.6,22.2,23.4,27.8,35.4,"[20.2, 35.4]",1.0,24.6,24.8,24.0,1.0,22.2,26.0,25.0,1.0,24.0,25.0,1.0,23.0,25.0,1.0,25.0,25.0,1.0,26.0,25.0
2023-05-30 10:05:00,,24.6,22.2,23.4,27.8,35.3,"[20.3, 35.3]",1.0,24.6,25.7,24.0,1.0,22.2,26.1,25.0,1.0,24.0,25.0,1.0,24.0,25.0,1.0,24.0,25.0,1.0,26.0,25.0
2023-05-30 10:10:00,,24.6,22.2,23.4,27.6,35.2,"[20.0, 35.2]",1.0,24.6,25.4,24.0,1.0,22.2,26.1,25.0,1.0,25.0,25.0,1.0,24.0,25.0,1.0,24.0,25.0,1.0,26.0,25.0
2023-05-30 10:15:00,,24.6,22.8,23.700000000000003,27.75,35.3,"[20.2, 35.3]",1.0,24.6,25.6,24.0,1.0,22.8,26.2,25.0,1.0,25.0,25.0,1.0,24.0,25.0,1.0,25.0,25.0,1.0,25.0,25.0
2023-05-30 10:20:00,,24.6,22.8,23.700000000000003,27.55,35.2,"[19.9, 35.2]",1.0,24.6,25.4,24.0,1.0,22.8,26.1,25.0,1.0,24.0,25.0,1.0,23.0,25.0,1.0,25.0,25.0,1.0,24.0,25.0
2023-05-30 10:25:00,,24.6,22.1,23.35,27.700000000000003,35.1,"[20.3, 35.1]",1.0,24.6,25.0,24.0,1.0,22.1,26.2,25.0,1.0,24.0,25.0,1.0,23.0,25.0,1.0,25.0,25.0,1.0,24.0,25.0
2023-05-30 10:30:00,,24.7,22.0,23.35,27.5,35.0,"[20.0, 35.0]",1.0,24.7,24.8,24.0,1.0,22.0,26.3,25.0,1.0,25.0,25.0,1.0,24.0,25.0,1.0,25.0,25.0,1.0,24.0,25.0
2023-05-30 10:45:00,,24.6,23.3,23.950000000000003,27.75,35.6,"[19.9, 35.6]",1.0,24.6,26.1,24.0,1.0,23.3,26.3,25.0,1.0,24.0,25.0,1.0,23.0,25.0,1.0,26.0,25.0,1.0,26.0,25.0
2023-05-30 10:50:00,,24.6,23.2,23.9,27.75,35.7,"[19.8, 35.7]",1.0,24.6,26.3,24.0,1.0,23.2,26.3,25.0,1.0,25.0,25.0,1.0,23.0,25.0,1.0,26.0,25.0,1.0,25.0,25.0
2023-05-30 10:55:00,,24.5,22.6,23.55,27.45,35.3,"[19.6, 35.3]",1.0,24.5,25.4,24.0,1.0,22.6,26.1,25.0,1.0,24.0,25.0,1.0,23.0,25.0,1.0,25.0,25.0,1.0,24.0,25.0
2023-05-30 11:00:00,,24.5,22.6,23.55,27.25,34.9,"[19.6, 34.9]",1.0,24.5,25.0,24.0,1.0,22.6,26.3,25.0,1.0,24.0,25.0,1.0,23.0,25.0,1.0,23.0,25.0,1.0,24.0,25.0
2023-05-30 11:05:00,,24.5,22.0,23.25,27.85,35.1,"[20.6, 35.1]",1.0,24.5,25.3,24.0,1.0,22.0,26.3,25.0,1.0,25.0,25.0,1.0,24.0,25.0,1.0,25.0,25.0,1.0,25.0,25.0
2023-05-30 11:10:00,,24.6,21.8,23.200000000000003,27.75,35.1,"[20.4, 35.1]",1.0,24.6,24.7,24.0,1.0,21.8,26.2,25.0,1.0,24.0,25.0,1.0,23.0,25.0,1.0,26.0,25.0,1.0,26.0,25.0
2023-05-30 11:15:00,,24.6,21.8,23.200000000000003,27.65,35.3,"[20.0, 35.3]",1.0,24.6,24.7,24.0,1.0,21.8,26.0,25.0,1.0,24.0,25.0,1.0,24.0,25.0,1.0,26.0,25.0,1.0,26.0,25.0
2023-05-30 11:20:00,,24.6,22.0,23.3,27.65,35.4,"[19.9, 35.4]",1.0,24.6,26.0,24.0,1.0,22.0,26.2,25.0,1.0,24.0,25.0,1.0,24.0,25.0,1.0,26.0,25.0,1.0,25.0,25.0
2023-05-30 11:25:00,,24.6,22.0,23.3,27.6,35.1,"[20.1, 35.1]",1.0,24.6,25.2,24.0,1.0,22.0,26.2,25.0,1.0,24.0,25.0,1.0,23.0,25.0,1.0,25.0,25.0,1.0,24.0,25.0
2023-05-30 11:30:00,,24.6,21.9,23.25,27.4,34.6,"[20.2, 34.6]",1.0,24.6,25.2,24.0,1.0,21.9,26.2,25.0,1.0,25.0,25.0,1.0,23.0,25.0,1.0,24.0,25.0,1.0,24.0,25.0
2023-05-30 11:35:00,,24.6,21.9,23.25,27.8,35.0,"[20.6, 35.0]",1.0,24.6,25.4,24.0,1.0,21.9,26.3,25.0,1.0,25.0,25.0,1.0,24.0,25.0,1.0,25.0,25.0,1.0,25.0,25.0
2023-05-30 11:40:00,,24.6,21.9,23.25,28.0,35.2,"[20.8, 35.2]",1.0,24.6,24.7,24.0,1.0,21.9,26.2,25.0,1.0,25.0,25.0,1.0,23.0,25.0,1.0,25.0,25.0,1.0,26.0,25.0
2023-05-30 11:45:00,,24.6,22.0,23.3,28.0,35.4,"[20.6, 35.4]",1.0,24.6,25.5,24.0,1.0,22.0,26.3,25.0,1.0,25.0,25.0,1.0,24.0,25.0,1.0,25.0,25.0,1.0,26.0,25.0
2023-05-30 11:50:00,,24.6,22.0,23.3,27.95,35.4,"[20.5, 35.4]",1.0,24.6,26.0,24.0,1.0,22.0,26.3,25.0,1.0,24.0,25.0,1.0,23.0,25.0,1.0,26.0,25.0,1.0,25.0,25.0
2023-05-30 11:55:00,,24.5,22.2,23.35,27.6,35.2,"[20.0, 35.2]",1.0,24.5,25.7,24.0,1.0,22.2,26.2,25.0,1.0,25.0,25.0,1.0,24.0,25.0,1.0,25.0,25.0,1.0,24.0,25.0
2023-05-30 12:00:00,,24.6,22.1,23.35,27.6,35.1,"[20.1, 35.1]",1.0,24.6,25.1,24.0,1.0,22.1,26.3,25.0,1.0,25.0,25.0,1.0,24.0,25.0,1.0,25.0,25.0,1.0,24.0,25.0
