time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3811579_c,3811579_h,3811579_p,3811579_r,3811579_s
2023-05-30 09:05:00,,8.0,30.4,30.4,30.4,25.6,25.6,[25.6],1.0,30.4,11.91,21.8,22.0
2023-05-30 09:10:00,,8.0,30.4,30.4,30.4,25.4,25.4,[25.4],1.0,30.4,10.74,22.8,23.0
2023-05-30 09:15:00,,8.0,30.3,30.3,30.3,25.6,25.6,[25.6],1.0,30.3,11.91,22.7,23.0
2023-05-30 09:20:00,,8.0,30.3,30.3,30.3,25.7,25.7,[25.7],1.0,30.3,10.62,22.8,23.0
2023-05-30 09:25:00,,8.0,30.3,30.3,30.3,25.8,25.8,[25.8],1.0,30.3,11.16,23.0,23.0
2023-05-30 09:30:00,,8.0,30.2,30.2,30.2,25.8,25.8,[25.8],1.0,30.2,11.55,23.2,23.0
2023-05-30 09:35:00,,8.0,30.0,30.0,30.0,25.8,25.8,[25.8],1.0,30.0,19.59,22.1,22.0
2023-05-30 09:40:00,,8.0,29.9,29.9,29.9,25.7,25.7,[25.7],1.0,29.9,12.51,22.5,22.0
2023-05-30 09:45:00,,8.0,29.9,29.9,29.9,25.7,25.7,[25.7],1.0,29.9,11.46,22.0,22.0
2023-05-30 09:50:00,,8.0,29.8,29.8,29.8,25.7,25.7,[25.7],1.0,29.8,20.04,21.9,22.0
2023-05-30 09:55:00,,8.0,29.8,29.8,29.8,25.7,25.7,[25.7],1.0,29.8,19.53,21.8,22.0
2023-05-30 10:00:00,,8.0,30.0,30.0,30.0,25.6,25.6,[25.6],1.0,30.0,19.38,22.1,22.0
2023-05-30 10:05:00,,8.0,30.3,30.3,30.3,25.7,25.7,[25.7],1.0,30.3,9.9,23.0,23.0
2023-05-30 10:10:00,,8.0,30.5,30.5,30.5,25.7,25.7,[25.7],1.0,30.5,19.62,22.5,23.0
2023-05-30 10:15:00,,8.0,30.5,30.5,30.5,25.6,25.6,[25.6],1.0,30.5,19.98,23.3,23.0
2023-05-30 10:20:00,,8.0,30.6,30.6,30.6,25.6,25.6,[25.6],1.0,30.6,19.59,23.3,23.0
2023-05-30 10:25:00,,8.0,30.8,30.8,30.8,25.7,25.7,[25.7],1.0,30.8,10.74,22.7,23.0
2023-05-30 10:30:00,,8.0,31.1,31.1,31.1,25.7,25.7,[25.7],1.0,31.1,11.61,22.7,23.0
2023-05-30 10:35:00,,,,,,,,,,,,,
2023-05-30 10:40:00,,8.0,31.1,31.1,31.1,25.7,25.7,[25.7],1.0,31.1,21.42,22.3,24.0
2023-05-30 10:45:00,,8.0,30.9,30.9,30.9,25.8,25.8,[25.8],1.0,30.9,12.57,22.0,24.0
2023-05-30 10:50:00,,8.0,30.5,30.5,30.5,25.8,25.8,[25.8],1.0,30.5,21.12,22.1,24.0
2023-05-30 10:55:00,,8.0,30.5,30.5,30.5,25.7,25.7,[25.7],1.0,30.5,21.36,21.2,24.0
2023-05-30 11:00:00,,8.0,30.1,30.1,30.1,25.7,25.7,[25.7],1.0,30.1,3.84,22.4,24.0
2023-05-30 11:05:00,,8.0,29.9,29.9,29.9,25.8,25.8,[25.8],1.0,29.9,3.81,23.3,25.0
2023-05-30 11:10:00,,8.0,30.2,30.2,30.2,25.9,25.9,[25.9],1.0,30.2,3.81,24.6,25.0
2023-05-30 11:15:00,,8.0,30.6,30.6,30.6,26.2,26.2,[26.2],1.0,30.6,21.3,24.2,25.0
2023-05-30 11:20:00,,8.0,30.6,30.6,30.6,26.1,26.1,[26.1],1.0,30.6,21.66,22.9,25.0
2023-05-30 11:25:00,,8.0,30.5,30.5,30.5,25.9,25.9,[25.9],1.0,30.5,21.63,22.9,25.0
2023-05-30 11:30:00,,8.0,30.2,30.2,30.2,25.9,25.9,[25.9],1.0,30.2,4.08,22.3,25.0
2023-05-30 11:35:00,,8.0,30.2,30.2,30.2,25.9,25.9,[25.9],1.0,30.2,21.63,22.7,23.0
2023-05-30 11:40:00,,8.0,30.0,30.0,30.0,25.8,25.8,[25.8],1.0,30.0,21.81,22.0,23.0
2023-05-30 11:45:00,,8.0,30.0,30.0,30.0,25.8,25.8,[25.8],1.0,30.0,12.96,22.0,23.0
2023-05-30 11:50:00,,8.0,29.8,29.8,29.8,25.7,25.7,[25.7],1.0,29.8,12.57,21.7,23.0
2023-05-30 11:55:00,,8.0,29.7,29.7,29.7,25.7,25.7,[25.7],1.0,29.7,21.72,21.5,23.0
2023-05-30 12:00:00,,8.0,29.6,29.6,29.6,25.6,25.6,[25.6],1.0,29.6,21.57,21.1,23.0
2023-05-30 12:05:00,,8.0,29.6,29.6,29.6,25.4,25.4,[25.4],1.0,29.6,21.93,21.2,23.0
2023-05-30 12:10:00,,8.0,29.6,29.6,29.6,25.4,25.4,[25.4],1.0,29.6,3.9,21.9,24.0
2023-05-30 12:15:00,,8.0,29.8,29.8,29.8,25.8,25.8,[25.8],1.0,29.8,3.84,23.2,24.0
2023-05-30 12:20:00,,8.0,30.5,30.5,30.5,25.9,25.9,[25.9],1.0,30.5,21.6,23.4,24.0
2023-05-30 12:25:00,,8.0,30.6,30.6,30.6,25.9,25.9,[25.9],1.0,30.6,21.99,22.9,24.0
2023-05-30 12:30:00,,8.0,30.6,30.6,30.6,25.9,25.9,[25.9],1.0,30.6,22.17,22.6,24.0
2023-05-30 12:35:00,,8.0,30.8,30.8,30.8,25.8,25.8,[25.8],1.0,30.8,22.17,22.4,23.0
2023-05-30 12:40:00,,8.0,30.9,30.9,30.9,25.8,25.8,[25.8],1.0,30.9,22.14,22.2,23.0
2023-05-30 12:45:00,,8.0,30.9,30.9,30.9,25.7,25.7,[25.7],1.0,30.9,21.99,22.1,23.0
2023-05-30 12:50:00,,8.0,30.9,30.9,30.9,25.7,25.7,[25.7],1.0,30.9,22.41,22.1,23.0
2023-05-30 12:55:00,,8.0,31.0,31.0,31.0,25.7,25.7,[25.7],1.0,31.0,22.17,22.2,23.0
2023-05-30 13:00:00,,8.0,31.0,31.0,31.0,25.7,25.7,[25.7],1.0,31.0,22.2,22.2,23.0
2023-05-30 13:05:00,,8.0,31.0,31.0,31.0,25.7,25.7,[25.7],1.0,31.0,22.17,22.1,23.0
2023-05-30 13:10:00,,8.0,31.0,31.0,31.0,25.7,25.7,[25.7],1.0,31.0,22.26,22.2,23.0
2023-05-30 13:15:00,,8.0,31.0,31.0,31.0,25.7,25.7,[25.7],1.0,31.0,22.32,21.9,23.0
2023-05-30 13:20:00,,8.0,31.0,31.0,31.0,25.7,25.7,[25.7],1.0,31.0,20.64,22.4,23.0
2023-05-30 13:25:00,,8.0,31.1,31.1,31.1,25.7,25.7,[25.7],1.0,31.1,22.17,21.9,23.0
2023-05-30 13:30:00,,8.0,30.7,30.7,30.7,25.6,25.6,[25.6],1.0,30.7,22.44,21.5,23.0
2023-05-30 13:35:00,,8.0,30.7,30.7,30.7,25.6,25.6,[25.6],1.0,30.7,22.05,21.3,24.0
2023-05-30 13:40:00,,8.0,30.2,30.2,30.2,25.6,25.6,[25.6],1.0,30.2,3.9,22.1,24.0
2023-05-30 13:45:00,,8.0,30.2,30.2,30.2,25.9,25.9,[25.9],1.0,30.2,3.93,23.7,24.0
2023-05-30 13:50:00,,8.0,30.6,30.6,30.6,26.1,26.1,[26.1],1.0,30.6,22.35,23.2,24.0
2023-05-30 13:55:00,,8.0,30.7,30.7,30.7,25.9,25.9,[25.9],1.0,30.7,22.23,22.3,24.0
2023-05-30 14:00:00,,8.0,30.4,30.4,30.4,25.8,25.8,[25.8],1.0,30.4,22.38,22.3,24.0
2023-05-30 14:05:00,,8.0,30.4,30.4,30.4,25.7,25.7,[25.7],1.0,30.4,22.29,21.3,23.0
2023-05-30 14:10:00,,8.0,30.1,30.1,30.1,25.6,25.6,[25.6],1.0,30.1,22.47,21.2,23.0
2023-05-30 14:15:00,,8.0,29.5,29.5,29.5,25.6,25.6,[25.6],1.0,29.5,13.05,21.3,23.0
2023-05-30 14:20:00,,8.0,29.6,29.6,29.6,25.6,25.6,[25.6],1.0,29.6,22.44,21.3,23.0
2023-05-30 14:25:00,,8.0,29.6,29.6,29.6,25.4,25.4,[25.4],1.0,29.6,22.23,21.6,23.0
