time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3822519_c,3822519_h,3822519_p,3822519_r,3822519_s,3822520_c,3822520_h,3822520_p,3822520_r,3822520_s
2023-05-30 09:05:00,,,33.8,33.8,33.8,28.3,28.3,[28.3],1.0,33.8,11.61,26.0,26.0,1.0,33.8,13.71,27.3,25.0
2023-05-30 09:10:00,,,33.9,33.8,33.849999999999994,28.2,28.2,[28.2],1.0,33.8,11.43,26.0,26.0,1.0,33.9,13.74,27.3,25.0
2023-05-30 09:15:00,,,33.9,33.9,33.9,28.2,28.2,[28.2],1.0,33.9,11.37,26.0,26.0,1.0,33.9,13.68,27.3,25.0
2023-05-30 09:20:00,,,34.0,33.9,33.95,28.3,28.3,[28.3],1.0,33.9,11.46,26.0,26.0,1.0,34.0,13.77,27.2,25.0
2023-05-30 09:25:00,,,34.0,33.8,33.9,28.3,28.3,[28.3],1.0,33.8,11.58,26.0,26.0,1.0,34.0,13.8,27.3,25.0
2023-05-30 09:30:00,,,34.0,33.9,33.95,28.2,28.2,[28.2],1.0,33.9,11.61,26.0,26.0,1.0,34.0,13.68,27.3,25.0
2023-05-30 09:35:00,,,34.0,33.9,33.95,28.3,28.3,[28.3],1.0,33.9,11.7,26.0,26.0,1.0,34.0,13.74,27.3,25.0
2023-05-30 09:40:00,,,34.0,34.0,34.0,28.3,28.3,[28.3],1.0,34.0,11.46,26.0,26.0,1.0,34.0,13.62,27.3,25.0
2023-05-30 09:45:00,,,34.0,34.0,34.0,28.3,28.3,[28.3],1.0,34.0,11.61,26.0,26.0,1.0,34.0,13.8,27.2,25.0
2023-05-30 09:50:00,,,34.0,33.9,33.95,28.3,28.3,[28.3],1.0,33.9,11.58,26.0,26.0,1.0,34.0,13.8,27.3,25.0
2023-05-30 09:55:00,,,34.0,34.0,34.0,28.3,28.3,[28.3],1.0,34.0,3.15,26.0,26.0,1.0,34.0,13.8,27.3,25.0
2023-05-30 10:00:00,,,34.0,34.0,34.0,28.3,28.3,[28.3],1.0,34.0,12.66,27.0,26.0,1.0,34.0,13.74,27.4,25.0
2023-05-30 10:05:00,,,34.0,34.0,34.0,28.3,28.3,[28.3],1.0,34.0,20.7,27.0,26.0,1.0,34.0,13.74,27.4,25.0
2023-05-30 10:10:00,,,34.0,34.0,34.0,28.2,28.2,[28.2],1.0,34.0,11.79,26.0,26.0,1.0,34.0,13.86,26.9,25.0
