time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3794113_c,3794113_h,3794113_p,3794113_r,3794113_s,3794114_c,3794114_h,3794114_p,3794114_r,3794114_s
2023-05-30 09:05:00,,8.99,35.6,28.6,32.1,26.7,26.7,[26.7],1.0,28.6,23.9,26.0,24.0,1.0,35.6,16.3,25.7,24.0
2023-05-30 09:10:00,,8.99,35.6,28.6,32.1,26.7,26.7,[26.7],1.0,28.6,24.4,26.0,24.0,1.0,35.6,16.4,25.9,24.0
2023-05-30 09:15:00,,8.99,35.7,28.6,32.150000000000006,26.8,26.8,[26.8],1.0,28.6,27.3,26.2,24.0,1.0,35.7,15.5,26.0,24.0
2023-05-30 09:20:00,,8.99,35.7,28.6,32.150000000000006,26.8,26.8,[26.8],1.0,28.6,27.6,26.1,24.0,1.0,35.7,16.4,25.9,24.0
2023-05-30 09:25:00,,8.99,35.7,28.6,32.150000000000006,26.7,26.7,[26.7],1.0,28.6,28.1,26.2,24.0,1.0,35.7,16.6,25.8,24.0
2023-05-30 09:30:00,,8.99,35.7,28.6,32.150000000000006,26.8,26.8,[26.8],1.0,28.6,27.6,26.2,24.0,1.0,35.7,16.3,26.0,24.0
2023-05-30 09:35:00,,8.99,35.7,28.6,32.150000000000006,26.8,26.8,[26.8],1.0,28.6,25.2,26.2,24.0,1.0,35.7,16.4,25.8,24.0
2023-05-30 09:40:00,,8.99,35.7,28.7,32.2,26.8,26.8,[26.8],1.0,28.7,23.7,26.3,24.0,1.0,35.7,16.5,25.9,24.0
2023-05-30 09:45:00,,8.99,35.7,28.7,32.2,26.8,26.8,[26.8],1.0,28.7,25.9,26.1,24.0,1.0,35.7,16.5,25.9,24.0
2023-05-30 09:50:00,,8.99,35.8,28.7,32.25,26.8,26.8,[26.8],1.0,28.7,27.4,26.0,24.0,1.0,35.8,16.7,25.9,24.0
2023-05-30 09:55:00,,8.99,35.8,28.7,32.25,26.8,26.8,[26.8],1.0,28.7,27.7,26.2,24.0,1.0,35.8,16.6,25.9,24.0
