time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3811623_c,3811623_h,3811623_p,3811623_r,3811623_s
2023-05-30 09:05:00,,11.96,29.4,29.4,29.4,26.6,26.6,[26.6],1.0,29.4,12.81,26.1,26.0
2023-05-30 09:10:00,,11.97,29.4,29.4,29.4,26.5,26.5,[26.5],1.0,29.4,11.49,26.4,27.0
2023-05-30 09:15:00,,11.97,29.5,29.5,29.5,26.7,26.7,[26.7],1.0,29.5,11.28,26.5,27.0
2023-05-30 09:20:00,,11.97,29.8,29.8,29.8,26.8,26.8,[26.8],1.0,29.8,11.1,26.6,27.0
2023-05-30 09:25:00,,11.98,29.8,29.8,29.8,26.9,26.9,[26.9],1.0,29.8,11.55,26.7,27.0
2023-05-30 09:30:00,,11.98,30.0,30.0,30.0,26.8,26.8,[26.8],1.0,30.0,11.19,26.7,27.0
2023-05-30 09:35:00,,11.98,30.0,30.0,30.0,26.8,26.8,[26.8],1.0,30.0,12.09,26.4,26.0
2023-05-30 09:40:00,,11.98,29.9,29.9,29.9,26.8,26.8,[26.8],1.0,29.9,12.15,26.4,26.0
2023-05-30 09:45:00,,11.98,29.8,29.8,29.8,26.7,26.7,[26.7],1.0,29.8,12.63,26.3,26.0
2023-05-30 09:50:00,,11.98,29.7,29.7,29.7,26.7,26.7,[26.7],1.0,29.7,12.72,26.3,26.0
2023-05-30 09:55:00,,11.97,29.7,29.7,29.7,26.6,26.6,[26.6],1.0,29.7,13.2,26.3,26.0
2023-05-30 10:00:00,,11.98,29.6,29.6,29.6,26.6,26.6,[26.6],1.0,29.6,12.75,26.2,26.0
2023-05-30 10:05:00,,11.98,29.6,29.6,29.6,26.7,26.7,[26.7],1.0,29.6,2.55,26.6,27.0
2023-05-30 10:10:00,,11.98,29.6,29.6,29.6,26.8,26.8,[26.8],1.0,29.6,11.79,26.7,27.0
2023-05-30 10:15:00,,11.98,29.9,29.9,29.9,26.8,26.8,[26.8],1.0,29.9,11.94,26.7,27.0
2023-05-30 10:20:00,,11.98,30.0,30.0,30.0,26.8,26.8,[26.8],1.0,30.0,11.67,26.7,27.0
2023-05-30 10:25:00,,11.98,30.1,30.1,30.1,26.9,26.9,[26.9],1.0,30.1,11.64,26.7,27.0
2023-05-30 10:30:00,,11.98,30.1,30.1,30.1,26.9,26.9,[26.9],1.0,30.1,11.25,26.8,27.0
2023-05-30 10:35:00,,,,,,,,,,,,,
2023-05-30 10:40:00,,11.98,30.2,30.2,30.2,26.9,26.9,[26.9],1.0,30.2,12.21,26.5,26.0
2023-05-30 10:45:00,,11.98,30.0,30.0,30.0,26.8,26.8,[26.8],1.0,30.0,12.87,26.4,26.0
2023-05-30 10:50:00,,11.98,29.9,29.9,29.9,26.7,26.7,[26.7],1.0,29.9,12.78,26.4,26.0
2023-05-30 10:55:00,,11.98,29.9,29.9,29.9,26.7,26.7,[26.7],1.0,29.9,13.05,26.3,26.0
2023-05-30 11:00:00,,11.98,29.8,29.8,29.8,26.7,26.7,[26.7],1.0,29.8,13.02,26.3,26.0
2023-05-30 11:05:00,,11.98,29.7,29.7,29.7,26.7,26.7,[26.7],1.0,29.7,2.67,26.3,26.0
2023-05-30 11:10:00,,11.99,29.7,29.7,29.7,26.8,26.8,[26.8],1.0,29.7,11.97,26.7,27.0
2023-05-30 11:15:00,,11.98,29.9,29.9,29.9,26.8,26.8,[26.8],1.0,29.9,11.91,26.8,27.0
2023-05-30 11:20:00,,11.98,30.0,30.0,30.0,26.8,26.8,[26.8],1.0,30.0,11.91,26.7,27.0
2023-05-30 11:25:00,,11.98,30.1,30.1,30.1,26.8,26.8,[26.8],1.0,30.1,12.18,26.8,27.0
2023-05-30 11:30:00,,11.98,30.1,30.1,30.1,26.9,26.9,[26.9],1.0,30.1,11.7,26.8,27.0
2023-05-30 11:35:00,,11.98,30.2,30.2,30.2,26.9,26.9,[26.9],1.0,30.2,12.81,26.7,27.0
2023-05-30 11:40:00,,11.98,30.0,30.0,30.0,26.8,26.8,[26.8],1.0,30.0,12.9,26.4,26.0
2023-05-30 11:45:00,,11.98,29.9,29.9,29.9,26.8,26.8,[26.8],1.0,29.9,13.41,26.4,26.0
2023-05-30 11:50:00,,11.98,29.9,29.9,29.9,26.8,26.8,[26.8],1.0,29.9,13.47,26.3,26.0
2023-05-30 11:55:00,,11.98,29.7,29.7,29.7,26.7,26.7,[26.7],1.0,29.7,13.26,26.2,26.0
2023-05-30 12:00:00,,11.98,29.6,29.6,29.6,26.7,26.7,[26.7],1.0,29.6,13.17,26.3,26.0
2023-05-30 12:05:00,,11.99,29.6,29.6,29.6,26.7,26.7,[26.7],1.0,29.6,2.46,26.6,27.0
2023-05-30 12:10:00,,11.98,29.9,29.9,29.9,26.8,26.8,[26.8],1.0,29.9,12.33,26.7,27.0
2023-05-30 12:15:00,,11.98,29.9,29.9,29.9,26.8,26.8,[26.8],1.0,29.9,12.24,26.7,27.0
2023-05-30 12:20:00,,11.98,30.1,30.1,30.1,26.9,26.9,[26.9],1.0,30.1,12.42,26.7,27.0
2023-05-30 12:25:00,,11.98,30.1,30.1,30.1,26.9,26.9,[26.9],1.0,30.1,12.3,26.7,27.0
2023-05-30 12:30:00,,11.99,30.2,30.2,30.2,26.9,26.9,[26.9],1.0,30.2,12.36,26.8,27.0
2023-05-30 12:35:00,,11.98,30.1,30.1,30.1,26.9,26.9,[26.9],1.0,30.1,13.44,26.5,26.0
2023-05-30 12:40:00,,11.98,30.1,30.1,30.1,26.8,26.8,[26.8],1.0,30.1,13.62,26.3,26.0
2023-05-30 12:45:00,,11.98,29.8,29.8,29.8,26.8,26.8,[26.8],1.0,29.8,13.98,26.3,26.0
2023-05-30 12:50:00,,11.98,29.8,29.8,29.8,26.7,26.7,[26.7],1.0,29.8,22.86,26.3,26.0
2023-05-30 12:55:00,,11.96,29.6,29.6,29.6,26.6,26.6,[26.6],1.0,29.6,13.74,25.9,26.0
2023-05-30 13:00:00,,11.96,29.5,29.5,29.5,26.6,26.6,[26.6],1.0,29.5,13.47,26.1,26.0
2023-05-30 13:05:00,,11.96,29.5,29.5,29.5,26.6,26.6,[26.6],1.0,29.5,12.3,26.4,27.0
2023-05-30 13:10:00,,11.98,29.6,29.6,29.6,26.7,26.7,[26.7],1.0,29.6,12.45,26.6,27.0
2023-05-30 13:15:00,,11.98,29.8,29.8,29.8,26.8,26.8,[26.8],1.0,29.8,12.3,26.6,27.0
2023-05-30 13:20:00,,11.97,29.9,29.9,29.9,26.8,26.8,[26.8],1.0,29.9,12.15,26.6,27.0
