time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3795473_c,3795473_p,3795473_r,3795473_s,43999_c,43999_h,43999_p,43999_r,43999_s,44000_c,44000_h,44000_p,44000_r,44000_s
2023-05-30 09:00:00,,,,,,,,,,40.4,,,,,17.8,,,,,15.2,,
2023-05-30 09:05:00,,,31.4,31.3,31.35,26.3,26.3,[26.3],1.0,40.1,27.0,29.0,1.0,31.4,17.6,28.5,26.0,1.0,31.3,4.3,26.1,26.0
2023-05-30 09:10:00,,,31.4,31.3,31.35,26.4,26.4,[26.4],1.0,23.1,27.0,29.0,1.0,31.4,17.8,28.6,26.0,1.0,31.3,15.3,26.2,26.0
2023-05-30 09:15:00,,,31.6,31.4,31.5,26.6,26.6,[26.6],1.0,41.6,28.0,29.0,1.0,31.6,18.2,28.6,26.0,1.0,31.4,16.9,25.9,26.0
2023-05-30 09:20:00,,,31.6,31.4,31.5,26.3,26.3,[26.3],1.0,41.3,27.0,29.0,1.0,31.6,18.0,28.6,26.0,1.0,31.4,4.3,26.0,26.0
2023-05-30 09:25:00,,,31.7,31.4,31.55,26.3,26.3,[26.3],1.0,22.5,27.0,29.0,1.0,31.7,18.0,28.6,26.0,1.0,31.4,16.7,25.8,26.0
2023-05-30 09:30:00,,,32.2,31.5,31.85,26.5,26.5,[26.5],1.0,38.2,28.0,29.0,1.0,32.2,17.9,28.6,26.0,1.0,31.5,16.6,26.1,26.0
2023-05-30 09:35:00,,,31.8,31.7,31.75,26.4,26.4,[26.4],1.0,41.0,27.0,29.0,1.0,31.8,18.1,28.6,26.0,1.0,31.7,17.0,25.6,26.0
2023-05-30 09:40:00,,,32.5,31.6,32.05,26.3,26.3,[26.3],1.0,41.2,27.0,29.0,1.0,32.5,17.8,28.6,26.0,1.0,31.6,4.3,26.3,26.0
2023-05-30 09:45:00,,,31.9,31.6,31.75,26.5,26.5,[26.5],1.0,39.9,28.0,29.0,1.0,31.9,18.0,28.7,26.0,1.0,31.6,15.8,25.9,26.0
2023-05-30 09:50:00,,,31.8,31.7,31.75,26.3,26.3,[26.3],1.0,40.0,27.0,29.0,1.0,31.8,17.9,28.6,26.0,1.0,31.7,4.3,25.9,26.0
2023-05-30 09:55:00,,,32.5,31.7,32.1,26.5,26.5,[26.5],1.0,23.6,28.0,29.0,1.0,32.5,17.8,28.6,26.0,1.0,31.7,15.5,26.3,26.0
2023-05-30 10:00:00,,,32.5,31.7,32.1,26.5,26.5,[26.5],1.0,40.5,27.0,29.0,1.0,32.5,17.9,28.5,26.0,1.0,31.7,15.3,25.7,26.0
2023-05-30 10:05:00,,,31.9,31.8,31.85,26.4,26.4,[26.4],1.0,23.1,28.0,29.0,1.0,31.9,17.9,28.6,26.0,1.0,31.8,4.3,26.4,26.0
2023-05-30 10:10:00,,,32.0,31.7,31.85,26.5,26.5,[26.5],1.0,40.1,28.0,29.0,1.0,32.0,18.5,28.6,26.0,1.0,31.7,16.9,25.8,26.0
2023-05-30 10:15:00,,,32.0,31.9,31.95,26.3,26.3,[26.3],1.0,41.6,27.0,29.0,1.0,32.0,18.2,28.6,26.0,1.0,31.9,4.3,26.0,26.0
2023-05-30 10:20:00,,,32.0,31.6,31.8,26.4,26.4,[26.4],1.0,39.7,27.0,29.0,1.0,32.0,18.2,28.6,26.0,1.0,31.6,4.3,26.1,26.0
2023-05-30 10:25:00,,,31.9,31.6,31.75,26.3,26.3,[26.3],1.0,22.6,27.0,29.0,1.0,31.9,17.8,28.7,26.0,1.0,31.6,4.3,26.3,26.0
2023-05-30 10:30:00,,,32.8,31.5,32.15,26.6,26.6,[26.6],1.0,40.0,28.0,29.0,1.0,32.8,18.5,28.7,26.0,1.0,31.5,17.5,26.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,,32.4,31.7,32.05,26.4,26.4,[26.4],1.0,23.3,28.0,29.0,1.0,32.4,18.6,28.7,26.0,1.0,31.7,4.3,26.3,26.0
2023-05-30 10:45:00,,,33.0,31.7,32.35,26.5,26.5,[26.5],1.0,41.9,27.0,29.0,1.0,33.0,18.5,28.7,26.0,1.0,31.7,16.7,25.8,26.0
2023-05-30 10:50:00,,,32.4,31.9,32.15,26.3,26.3,[26.3],1.0,41.6,27.0,29.0,1.0,32.4,18.5,28.7,26.0,1.0,31.9,4.3,26.1,26.0
