time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3794071_c,3794071_h,3794071_r,3794071_s,3812812_c,3812812_h,3812812_r,3812812_s
2023-05-30 09:05:00,,19.32,37.5,28.0,32.75,27.6,27.6,[27.6],1.0,37.5,27.0,27.0,1.0,28.0,26.0,27.0
2023-05-30 09:10:00,,19.62,38.2,28.0,33.1,27.8,27.8,[27.8],1.0,38.2,28.0,27.0,1.0,28.0,29.0,27.0
2023-05-30 09:15:00,,19.32,38.4,28.6,33.5,28.2,28.2,[28.2],1.0,38.4,27.0,27.0,1.0,28.6,27.0,27.0
2023-05-30 09:20:00,,20.04,38.4,28.6,33.5,27.8,27.8,[27.8],1.0,38.4,27.0,27.0,1.0,28.6,25.0,27.0
2023-05-30 09:25:00,,19.68,38.9,28.5,33.7,28.1,28.1,[28.1],1.0,38.9,28.0,27.0,1.0,28.5,29.0,27.0
2023-05-30 09:30:00,,18.96,39.1,28.6,33.85,28.3,28.3,[28.3],1.0,39.1,27.0,27.0,1.0,28.6,26.0,27.0
2023-05-30 09:35:00,,19.62,39.1,29.1,34.1,28.1,28.1,[28.1],1.0,39.1,27.0,26.0,1.0,29.1,27.0,27.0
2023-05-30 09:40:00,,19.68,38.8,28.9,33.849999999999994,27.9,27.9,[27.9],1.0,38.8,26.0,26.0,1.0,28.9,26.0,27.0
2023-05-30 09:45:00,,19.5,38.2,28.8,33.5,27.9,27.9,[27.9],1.0,38.2,26.0,26.0,1.0,28.8,26.0,27.0
2023-05-30 09:50:00,,19.92,37.8,28.7,33.25,27.8,27.8,[27.8],1.0,37.8,26.0,26.0,1.0,28.7,26.0,27.0
2023-05-30 09:55:00,,20.28,37.5,28.6,33.05,27.7,27.7,[27.7],1.0,37.5,26.0,26.0,1.0,28.6,26.0,27.0
2023-05-30 10:00:00,,19.38,37.3,28.4,32.849999999999994,27.7,27.7,[27.7],1.0,37.3,26.0,26.0,1.0,28.4,26.0,27.0
2023-05-30 10:05:00,,19.68,37.3,28.4,32.849999999999994,27.9,27.9,[27.9],1.0,37.3,28.0,27.0,1.0,28.4,29.0,28.0
2023-05-30 10:10:00,,20.76,38.1,28.4,33.25,28.7,28.7,[28.7],1.0,38.1,28.0,27.0,1.0,28.4,30.0,28.0
2023-05-30 10:15:00,,20.58,38.1,29.2,33.65,28.8,28.8,[28.8],1.0,38.1,27.0,26.0,1.0,29.2,26.0,26.0
2023-05-30 10:20:00,,19.62,38.8,29.7,34.25,28.2,28.2,[28.2],1.0,38.8,26.0,26.0,1.0,29.7,26.0,26.0
2023-05-30 10:25:00,,19.62,38.4,29.2,33.8,28.0,28.0,[28.0],1.0,38.4,26.0,26.0,1.0,29.2,26.0,26.0
2023-05-30 10:30:00,,19.2,38.0,28.8,33.4,27.9,27.9,[27.9],1.0,38.0,26.0,26.0,1.0,28.8,26.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,19.74,37.6,28.8,33.2,27.7,27.7,[27.7],1.0,37.6,26.0,26.0,1.0,28.8,26.0,26.0
2023-05-30 10:45:00,,20.34,37.0,28.5,32.75,27.7,27.7,[27.7],1.0,37.0,26.0,26.0,1.0,28.5,26.0,26.0
2023-05-30 10:50:00,,20.28,36.7,28.4,32.55,27.6,27.6,[27.6],1.0,36.7,26.0,26.0,1.0,28.4,26.0,26.0
2023-05-30 10:55:00,,19.8,36.7,28.3,32.5,27.6,27.6,[27.6],1.0,36.7,27.0,26.0,1.0,28.3,26.0,26.0
2023-05-30 11:00:00,,19.56,37.4,28.2,32.8,27.6,27.6,[27.6],1.0,37.4,26.0,26.0,1.0,28.2,26.0,26.0
2023-05-30 11:05:00,,19.8,37.4,28.2,32.8,27.6,27.6,[27.6],1.0,37.4,26.0,26.0,1.0,28.2,26.0,26.0
2023-05-30 11:10:00,,19.68,37.0,28.2,32.6,27.6,27.6,[27.6],1.0,37.0,26.0,26.0,1.0,28.2,26.0,26.0
2023-05-30 11:15:00,,19.8,37.0,28.1,32.55,27.5,27.5,[27.5],1.0,37.0,26.0,26.0,1.0,28.1,26.0,26.0
2023-05-30 11:20:00,,20.1,36.9,28.1,32.5,27.5,27.5,[27.5],1.0,36.9,26.0,26.0,1.0,28.1,26.0,26.0
2023-05-30 11:25:00,,20.16,37.2,28.0,32.6,27.5,27.5,[27.5],1.0,37.2,26.0,26.0,1.0,28.0,26.0,26.0
2023-05-30 11:30:00,,20.22,36.9,28.0,32.45,27.5,27.5,[27.5],1.0,36.9,26.0,26.0,1.0,28.0,26.0,26.0
