time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3818968_c,3818968_h,3818968_r,3818968_s,3818969_c,3818969_r,3818969_s,3818970_c,3818970_h,3818970_r,3818970_s,3818971_c,3818971_h,3818971_r,3818971_s,3818972_c,3818972_h,3818972_r,3818972_s,3818973_c,3818973_h,3818973_r,3818973_s,3818974_c,3818974_h,3818974_r,3818974_s,3818975_c,3818975_h,3818975_r,3818975_s,3818976_c,3818976_h,3818976_r,3818976_s,3818977_c,3818977_h,3818977_r,3818977_s,3818978_c,3818978_h,3818978_r,3818978_s,3818979_c,3818979_r,3818979_s,3818980_c,3818980_r,3818980_s,3818981_h,3818982_c,3818982_h,3818982_r,3818982_s,3818983_h,3846762_c,3846762_h,3846762_r,3846762_s,3846763_c,3846763_h,3846763_r,3846763_s
2023-05-30 09:10:00,,9.75,40.2,24.9,32.74444444444444,28.3,30.3,"[30.3, 26.3]",1.0,,27.0,25.0,1.0,28.0,26.0,1.0,35.4,27.0,25.0,1.0,35.4,27.0,25.0,1.0,40.2,26.0,25.0,1.0,26.5,0.0,0.0,1.0,33.6,27.0,26.0,,,,,1.0,40.2,26.0,25.0,1.0,,27.7,26.0,1.0,,25.7,25.0,1.0,26.8,26.0,1.0,25.6,26.0,24.9,1.0,33.6,26.0,26.0,24.9,,,,,,,,
2023-05-30 09:15:00,,9.85,40.1,24.9,32.65555555555555,28.3,30.4,"[30.4, 26.2]",1.0,,26.0,25.0,1.0,28.0,26.0,1.0,35.4,27.0,25.0,1.0,35.4,27.0,25.0,1.0,40.1,26.0,25.0,1.0,26.5,0.0,0.0,1.0,33.3,28.0,26.0,,,,,1.0,40.1,25.9,25.0,1.0,,25.8,26.0,1.0,,27.5,25.0,1.0,27.6,26.0,1.0,27.0,26.0,24.9,1.0,33.3,25.0,26.0,24.9,,,,,,,,
2023-05-30 09:20:00,,9.79,40.2,25.1,32.733333333333334,28.3,30.3,"[30.3, 26.3]",1.0,,26.0,25.0,1.0,27.0,26.0,1.0,35.6,26.0,25.0,1.0,35.6,27.0,25.0,1.0,40.2,26.0,25.0,1.0,26.6,0.0,0.0,1.0,33.1,27.0,26.0,,,,,1.0,40.2,25.8,25.0,1.0,,27.4,26.0,1.0,,25.3,25.0,1.0,26.3,26.0,1.0,25.2,26.0,25.1,1.0,33.1,26.0,26.0,25.1,,,,,,,,
2023-05-30 09:25:00,,9.84,40.3,25.0,32.74444444444444,28.4,30.5,"[30.5, 26.3]",1.0,,26.0,25.0,1.0,27.0,26.0,1.0,35.5,26.0,25.0,1.0,35.5,27.0,25.0,1.0,40.3,26.0,25.0,1.0,26.7,0.0,0.0,1.0,33.2,27.0,26.0,,,,,1.0,40.3,25.8,25.0,1.0,,26.4,26.0,1.0,,26.5,25.0,1.0,26.1,26.0,1.0,25.2,26.0,25.0,1.0,33.2,25.0,26.0,25.0,,,,,,,,
2023-05-30 09:30:00,,9.83,40.3,25.0,32.766666666666666,28.35,30.4,"[30.4, 26.3]",1.0,,27.0,25.0,1.0,28.0,26.0,1.0,35.3,27.0,25.0,1.0,35.3,28.0,25.0,1.0,40.3,27.0,25.0,1.0,26.7,0.0,0.0,1.0,33.5,27.0,26.0,,,,,1.0,40.3,25.8,25.0,1.0,,27.7,26.0,1.0,,27.8,25.0,1.0,27.0,26.0,1.0,25.8,26.0,25.0,1.0,33.5,26.0,26.0,25.0,,,,,,,,
2023-05-30 09:35:00,,9.86,40.3,24.9,32.74444444444444,28.45,30.5,"[30.5, 26.4]",1.0,,27.0,25.0,1.0,27.0,26.0,1.0,35.3,27.0,25.0,1.0,35.3,28.0,25.0,1.0,40.3,27.0,25.0,1.0,26.7,0.0,0.0,1.0,33.5,28.0,26.0,,,,,1.0,40.3,26.2,25.0,1.0,,27.7,26.0,1.0,,25.5,25.0,1.0,26.7,26.0,1.0,26.1,26.0,24.9,1.0,33.5,25.0,26.0,24.9,,,,,,,,
2023-05-30 09:40:00,,9.77,40.5,25.1,32.91111111111111,28.5,30.5,"[30.5, 26.5]",1.0,,27.0,25.0,1.0,28.0,26.0,1.0,35.3,27.0,25.0,1.0,36.0,28.0,25.0,1.0,40.5,27.0,25.0,1.0,26.9,0.0,0.0,1.0,33.4,27.0,26.0,,,,,1.0,40.5,26.0,25.0,1.0,,27.1,26.0,1.0,,27.1,25.0,1.0,27.1,26.0,1.0,27.1,26.0,25.1,1.0,33.4,26.0,26.0,25.1,,,,,,,,
2023-05-30 09:45:00,,9.9,40.5,25.1,32.833333333333336,28.45,30.5,"[30.5, 26.4]",1.0,,26.0,25.0,1.0,27.0,26.0,1.0,35.4,26.0,25.0,1.0,35.4,27.0,25.0,1.0,40.5,26.0,25.0,1.0,26.9,0.0,0.0,1.0,33.3,28.0,26.0,,,,,1.0,40.5,26.1,25.0,1.0,,27.0,26.0,1.0,,25.8,25.0,1.0,26.2,26.0,1.0,26.1,26.0,25.1,1.0,33.3,25.0,26.0,25.1,,,,,,,,
2023-05-30 09:50:00,,9.79,40.6,25.1,32.85555555555556,28.5,30.5,"[30.5, 26.5]",1.0,,26.0,25.0,1.0,27.0,26.0,1.0,35.4,26.0,25.0,1.0,35.4,27.0,25.0,1.0,40.6,27.0,25.0,1.0,26.9,0.0,0.0,1.0,33.3,27.0,26.0,,,,,1.0,40.6,25.9,25.0,1.0,,27.1,26.0,1.0,,25.3,25.0,1.0,26.3,26.0,1.0,25.3,26.0,25.1,1.0,33.3,26.0,26.0,25.1,,,,,,,,
2023-05-30 09:55:00,,9.93,40.5,24.7,32.72222222222222,28.45,30.5,"[30.5, 26.4]",1.0,,26.0,25.0,1.0,28.0,26.0,1.0,35.2,27.0,25.0,1.0,35.2,28.0,25.0,1.0,40.5,27.0,25.0,1.0,26.9,0.0,0.0,1.0,33.4,28.0,26.0,,,,,1.0,40.5,26.3,25.0,1.0,,25.8,26.0,1.0,,27.6,25.0,1.0,27.3,26.0,1.0,26.4,26.0,24.7,1.0,33.4,26.0,26.0,24.7,,,,,,,,
2023-05-30 10:00:00,,9.67,40.4,24.7,32.766666666666666,28.5,30.5,"[30.5, 26.5]",1.0,,27.0,25.0,1.0,27.0,26.0,1.0,35.6,27.0,25.0,1.0,35.6,28.0,25.0,1.0,40.4,27.0,25.0,1.0,27.1,0.0,0.0,1.0,33.2,27.0,26.0,,,,,1.0,40.4,26.3,25.0,1.0,,27.7,26.0,1.0,,24.9,25.0,1.0,26.0,26.0,1.0,25.8,26.0,24.7,1.0,33.2,25.0,26.0,24.7,,,,,,,,
