time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,2059922_c,2059922_h,2059922_r,2059922_s,2059923_c,2059923_h,2059923_r,2059923_s,2059924_c,2059924_h,2059924_r,2059924_s,2059925_c,2059925_h,2059925_r,2059925_s
2023-05-30 09:10:00,,25.9,18.9,23.15,21.6,25.5,"[25.5, 14.6, 24.7]",1.0,21.9,25.4,25.0,1.0,25.9,27.9,25.0,1.0,18.9,18.9,,1.0,25.9,25.1,25.0
2023-05-30 09:15:00,,26.0,18.9,23.175,21.73333333333333,25.6,"[25.6, 14.7, 24.9]",1.0,21.8,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.9,18.9,,1.0,26.0,25.1,25.0
2023-05-30 09:20:00,,26.3,18.5,23.15,21.9,25.6,"[25.6, 14.9, 25.2]",1.0,21.8,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.5,18.9,,1.0,26.3,25.1,25.0
2023-05-30 09:25:00,,26.4,18.6,23.225,22.0,25.6,"[25.6, 15.0, 25.4]",1.0,21.8,25.4,25.0,1.0,26.1,27.9,25.0,1.0,18.6,18.9,,1.0,26.4,25.1,25.0
2023-05-30 09:30:00,,26.6,18.6,23.325,22.1,25.7,"[25.7, 15.0, 25.6]",1.0,21.9,25.4,25.0,1.0,26.2,27.9,25.0,1.0,18.6,18.9,,1.0,26.6,25.1,25.0
2023-05-30 09:35:00,,26.3,18.4,23.2,21.633333333333336,25.6,"[25.6, 14.8, 24.5]",1.0,21.9,25.4,25.0,1.0,26.2,27.9,25.0,1.0,18.4,18.9,,1.0,26.3,25.1,25.0
2023-05-30 09:40:00,,26.0,18.6,23.0,21.23333333333333,25.6,"[25.6, 14.5, 23.6]",1.0,21.9,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.6,18.9,,1.0,25.5,25.1,25.0
2023-05-30 09:45:00,,26.0,18.3,22.925,21.46666666666667,25.6,"[25.6, 14.5, 24.3]",1.0,21.7,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.3,18.9,,1.0,25.7,25.1,25.0
2023-05-30 09:50:00,,25.9,18.3,22.95,21.666666666666668,25.5,"[25.5, 14.7, 24.8]",1.0,21.7,25.4,25.0,1.0,25.9,27.9,25.0,1.0,18.3,18.9,,1.0,25.9,25.1,25.0
2023-05-30 09:55:00,,26.1,18.4,23.05,21.83333333333333,25.6,"[25.6, 14.8, 25.1]",1.0,21.7,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.4,18.9,,1.0,26.1,25.1,25.0
2023-05-30 10:00:00,,26.4,18.4,23.175000000000004,21.9,25.5,"[25.5, 14.9, 25.3]",1.0,21.8,25.4,25.0,1.0,26.1,27.9,25.0,1.0,18.4,18.9,,1.0,26.4,25.1,25.0
2023-05-30 10:05:00,,26.4,18.8,23.275,22.1,25.7,"[25.7, 15.0, 25.6]",1.0,21.8,25.4,25.0,1.0,26.1,27.9,25.0,1.0,18.8,18.9,,1.0,26.4,25.1,25.0
2023-05-30 10:10:00,,26.8,18.8,23.475,22.133333333333336,25.7,"[25.7, 15.0, 25.7]",1.0,22.0,25.4,25.0,1.0,26.3,27.9,25.0,1.0,18.8,18.9,,1.0,26.8,25.1,25.0
2023-05-30 10:15:00,,26.8,18.8,23.425,21.433333333333334,25.8,"[25.8, 14.6, 23.9]",1.0,21.9,25.4,25.0,1.0,26.2,27.9,25.0,1.0,18.8,18.9,,1.0,26.8,25.1,25.0
2023-05-30 10:20:00,,26.2,18.7,23.1,21.433333333333334,25.7,"[25.7, 14.6, 24.0]",1.0,21.8,25.4,25.0,1.0,26.2,27.9,25.0,1.0,18.7,18.9,,1.0,25.7,25.1,25.0
2023-05-30 10:25:00,,26.0,18.6,23.025,21.6,25.6,"[25.6, 14.7, 24.5]",1.0,21.8,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.6,18.9,,1.0,25.7,25.1,0.0
2023-05-30 10:30:00,,26.0,18.7,23.125,21.8,25.6,"[25.6, 14.9, 24.9]",1.0,21.8,25.4,25.0,1.0,26.0,27.9,25.0,1.0,18.7,18.9,,1.0,26.0,25.1,25.0
2023-05-30 10:45:00,,26.7,19.0,23.475,22.166666666666668,25.8,"[25.8, 15.1, 25.6]",1.0,22.0,25.4,25.0,1.0,26.2,27.9,25.0,1.0,19.0,18.9,,1.0,26.7,25.1,25.0
2023-05-30 10:50:00,,26.7,19.0,23.525,22.03333333333333,25.8,"[25.8, 15.0, 25.3]",1.0,22.1,25.4,25.0,1.0,26.3,27.9,25.0,1.0,19.0,18.9,,1.0,26.7,25.1,25.0
