time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1358333_c,1358333_h,1358333_r,1358333_s,1358334_c,1358334_h,1358334_r,1358334_s,1358338_c,1358338_h,1358338_r,1358338_s,1358341_c,1358341_h,1358341_r,1358341_s,1358342_c,1358342_h,1358342_r,1358342_s,3826022_c,3826022_h,3826022_r,3826022_s,3826023_c,3826023_h,3826023_r,3826023_s,3826024_c,3826024_h,3826024_r,3826024_s
2023-05-30 09:05:00,,44976.92999999999,26.3,25.4,25.76666666666667,27.1,27.1,[27.1],1.0,25.6,26.9,25.0,1.0,,26.7,25.0,1.0,,27.1,26.0,1.0,,26.6,26.0,1.0,,27.0,25.0,1.0,26.3,27.6,25.0,1.0,,26.5,25.0,1.0,25.4,27.5,25.0
2023-05-30 09:10:00,,45034.1,26.0,25.4,25.666666666666668,27.2,27.2,[27.2],1.0,25.6,26.9,25.0,1.0,,26.6,25.0,1.0,,26.6,26.0,1.0,,26.5,26.0,1.0,,26.8,25.0,1.0,26.0,26.9,25.0,1.0,,26.3,25.0,1.0,25.4,27.1,25.0
2023-05-30 09:15:00,,44985.96,26.0,25.4,25.7,26.9,26.9,[26.9],1.0,25.7,26.9,25.0,1.0,,26.6,25.0,1.0,,27.2,26.0,1.0,,26.7,26.0,1.0,,26.9,25.0,1.0,26.0,27.5,25.0,1.0,,27.0,25.0,1.0,25.4,27.5,25.0
2023-05-30 09:20:00,,44995.68,26.6,24.8,25.600000000000005,27.2,27.2,[27.2],1.0,24.8,25.9,25.0,1.0,,26.8,25.0,1.0,,26.5,26.0,1.0,,26.6,26.0,1.0,,27.5,25.0,1.0,26.6,27.5,25.0,1.0,,26.7,25.0,1.0,25.4,27.1,25.0
2023-05-30 09:25:00,,45228.27,26.1,25.6,25.83333333333333,27.1,27.1,[27.1],1.0,25.8,27.3,25.0,1.0,,27.1,25.0,1.0,,27.2,26.0,1.0,,26.8,26.0,1.0,,26.7,25.0,1.0,26.1,27.2,25.0,1.0,,26.1,25.0,1.0,25.6,27.6,25.0
2023-05-30 09:30:00,,45001.74,26.1,25.0,25.53333333333333,27.0,27.0,[27.0],1.0,25.0,26.3,25.0,1.0,,26.8,25.0,1.0,,26.4,26.0,1.0,,26.5,26.0,1.0,,26.7,25.0,1.0,26.1,27.1,25.0,1.0,,26.2,25.0,1.0,25.5,27.1,25.0
2023-05-30 09:35:00,,45001.52,26.4,24.7,25.53333333333333,26.9,26.9,[26.9],1.0,24.7,25.7,25.0,1.0,,26.6,25.0,1.0,,26.7,26.0,1.0,,26.7,26.0,1.0,,27.1,25.0,1.0,26.4,27.8,25.0,1.0,,26.8,25.0,1.0,25.5,27.2,25.0
2023-05-30 09:40:00,,45070.59,26.0,25.5,25.7,26.9,26.9,[26.9],1.0,25.5,27.0,25.0,1.0,,27.2,25.0,1.0,,27.3,26.0,1.0,,27.0,26.0,1.0,,26.9,25.0,1.0,26.0,27.0,25.0,1.0,,26.2,25.0,1.0,25.6,27.6,25.0
2023-05-30 09:45:00,,45026.85,25.8,25.3,25.566666666666663,26.9,26.9,[26.9],1.0,25.3,27.0,25.0,1.0,,26.5,25.0,1.0,,25.6,26.0,1.0,,26.2,26.0,1.0,,26.6,25.0,1.0,25.8,27.0,25.0,1.0,,26.1,25.0,1.0,25.6,26.7,25.0
2023-05-30 09:50:00,,45120.48,26.4,25.3,25.8,26.9,26.9,[26.9],1.0,25.3,25.6,25.0,1.0,,26.9,25.0,1.0,,27.2,26.0,1.0,,26.8,26.0,1.0,,27.4,25.0,1.0,26.4,27.9,25.0,1.0,,26.8,25.0,1.0,25.7,27.6,25.0
2023-05-30 09:55:00,,45064.11,25.8,24.8,25.433333333333334,26.8,26.8,[26.8],1.0,24.8,25.8,25.0,1.0,,26.7,25.0,1.0,,27.0,26.0,1.0,,26.6,26.0,1.0,,26.7,25.0,1.0,25.8,26.8,25.0,1.0,,26.0,25.0,1.0,25.7,27.6,25.0
2023-05-30 10:00:00,,45132.44,25.6,24.8,25.33333333333333,26.7,26.7,[26.7],1.0,24.8,25.9,25.0,1.0,,26.7,25.0,1.0,,26.7,26.0,1.0,,26.6,26.0,1.0,,26.3,25.0,1.0,25.6,27.0,25.0,1.0,,25.9,25.0,1.0,25.6,27.2,25.0
2023-05-30 10:05:00,,45132.68,26.4,25.5,25.8,27.1,27.1,[27.1],1.0,25.5,26.1,25.0,1.0,,26.9,25.0,1.0,,27.2,26.0,1.0,,26.8,26.0,1.0,,27.3,25.0,1.0,26.4,27.8,25.0,1.0,,26.7,25.0,1.0,25.5,27.7,25.0
2023-05-30 10:10:00,,45102.21,26.4,25.4,25.8,27.1,27.1,[27.1],1.0,25.4,26.5,25.0,1.0,,27.0,25.0,1.0,,25.6,26.0,1.0,,26.2,26.0,1.0,,26.6,25.0,1.0,26.4,26.8,25.0,1.0,,25.9,25.0,1.0,25.6,26.7,25.0
2023-05-30 10:15:00,,45102.07,26.3,25.5,25.766666666666666,27.0,27.0,[27.0],1.0,25.5,26.9,25.0,1.0,,26.8,25.0,1.0,,27.1,26.0,1.0,,26.6,26.0,1.0,,26.9,25.0,1.0,26.3,27.8,25.0,1.0,,26.7,25.0,1.0,25.5,27.7,25.0
2023-05-30 10:20:00,,45122.28,26.7,24.5,25.566666666666663,27.2,27.2,[27.2],1.0,24.5,27.0,25.0,1.0,,26.5,25.0,1.0,,26.4,26.0,1.0,,26.5,26.0,1.0,,27.6,25.0,1.0,26.7,28.0,25.0,1.0,,27.1,25.0,1.0,25.5,27.1,25.0
2023-05-30 10:25:00,,45076.66,25.9,25.3,25.633333333333336,26.8,26.8,[26.8],1.0,25.3,26.4,25.0,1.0,,27.1,25.0,1.0,,26.9,26.0,1.0,,26.6,26.0,1.0,,26.8,25.0,1.0,25.9,27.0,25.0,1.0,,26.1,25.0,1.0,25.7,27.4,25.0
2023-05-30 10:30:00,,45095.34,26.1,25.5,25.7,26.8,26.8,[26.8],1.0,25.5,26.9,25.0,1.0,,26.8,25.0,1.0,,27.0,26.0,1.0,,26.5,26.0,1.0,,27.1,25.0,1.0,26.1,27.4,25.0,1.0,,26.4,25.0,1.0,25.5,27.5,25.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,45128.83,26.1,24.8,25.46666666666667,26.9,26.9,[26.9],1.0,24.8,26.0,25.0,1.0,,26.5,25.0,1.0,,27.4,26.0,1.0,,26.5,26.0,1.0,,26.7,25.0,1.0,26.1,27.1,25.0,1.0,,26.2,25.0,1.0,25.5,28.0,25.0
