time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1357733_c,1357733_h,1357733_r,1357733_s,1357734_c,1357734_h,1357734_r,1357734_s,1357735_c,1357735_h,1357735_r,1357735_s,1357736_c,1357736_h,1357736_r,1357736_s,1357737_c,1357737_h,1357737_r,1357737_s,1357741_c,1357741_r,1357741_s,1357742_c,1357742_h,1357742_r,1357742_s,1357743_c,1357743_h,1357743_r,1357743_s,1357746_c,1357746_h,1357746_r,1357746_s,1357747_c,1357747_h,1357747_r,1357747_s
2023-05-30 09:05:00,,64.98,,,,26.0,26.0,[26.0],0.0,,27.9,26.0,1.0,,27.0,26.0,1.0,,26.1,26.0,1.0,,26.6,26.0,1.0,,26.3,26.0,1.0,25.9,26.0,1.0,,26.0,26.0,0.0,,-99999.0,-99999.0,1.0,,26.0,26.0,0.0,,20.0,26.0
2023-05-30 09:10:00,,65.27,,,,26.0,26.0,[26.0],0.0,,27.9,26.0,1.0,,27.0,26.0,1.0,,26.7,26.0,1.0,,26.0,26.0,1.0,,26.3,26.0,1.0,25.9,26.0,1.0,,26.1,26.0,0.0,,-99999.0,-99999.0,1.0,,26.0,26.0,0.0,,19.9,26.0
2023-05-30 09:15:00,,65.28,,,,25.9,25.9,[25.9],0.0,,27.9,26.0,1.0,,27.0,26.0,1.0,,26.0,26.0,1.0,,25.8,26.0,1.0,,26.2,26.0,1.0,25.9,26.0,1.0,,26.0,26.0,0.0,,-99999.0,-99999.0,1.0,,25.9,26.0,0.0,,19.8,26.0
2023-05-30 09:20:00,,65.48,,,,25.9,25.9,[25.9],0.0,,27.9,26.0,1.0,,26.6,26.0,1.0,,26.8,26.0,1.0,,27.0,26.0,1.0,,26.2,26.0,1.0,25.9,26.0,1.0,,26.0,26.0,0.0,,-99999.0,-99999.0,1.0,,26.0,26.0,0.0,,19.6,26.0
2023-05-30 09:25:00,,65.17,,,,25.9,25.9,[25.9],0.0,,27.9,26.0,1.0,,26.8,26.0,1.0,,26.1,26.0,1.0,,26.9,26.0,1.0,,26.3,26.0,1.0,25.9,26.0,1.0,,25.9,26.0,0.0,,-99999.0,-99999.0,1.0,,25.8,26.0,0.0,,19.5,26.0
2023-05-30 09:30:00,,65.07000000000001,,,,25.8,25.8,[25.8],0.0,,27.8,26.0,1.0,,26.8,26.0,1.0,,26.1,26.0,1.0,,26.2,26.0,1.0,,26.2,26.0,1.0,25.8,26.0,1.0,,25.9,26.0,0.0,,-99999.0,-99999.0,1.0,,25.8,26.0,0.0,,19.3,26.0
2023-05-30 09:35:00,,65.37,,,,25.7,25.7,[25.7],0.0,,27.8,26.0,1.0,,26.8,26.0,1.0,,26.7,26.0,1.0,,26.1,26.0,1.0,,26.2,26.0,1.0,25.8,26.0,1.0,,25.9,26.0,0.0,,-99999.0,-99999.0,1.0,,25.7,26.0,0.0,,19.2,26.0
2023-05-30 09:40:00,,65.07000000000001,,,,25.8,25.8,[25.8],0.0,,27.8,26.0,1.0,,26.8,26.0,1.0,,26.2,26.0,1.0,,25.8,26.0,1.0,,26.2,26.0,1.0,25.8,26.0,1.0,,25.8,26.0,0.0,,-99999.0,-99999.0,1.0,,25.8,26.0,0.0,,19.1,26.0
2023-05-30 09:45:00,,65.37,,,,25.7,25.7,[25.7],0.0,,27.7,26.0,1.0,,26.8,26.0,1.0,,26.1,26.0,1.0,,26.0,26.0,1.0,,26.2,26.0,1.0,25.7,26.0,1.0,,25.8,26.0,0.0,,-99999.0,-99999.0,1.0,,25.6,26.0,0.0,,19.1,26.0
2023-05-30 09:50:00,,65.28,,,,25.8,25.8,[25.8],0.0,,27.7,26.0,1.0,,26.8,26.0,1.0,,26.8,26.0,1.0,,27.0,26.0,1.0,,26.2,26.0,1.0,25.6,26.0,1.0,,26.0,26.0,0.0,,-99999.0,-99999.0,1.0,,25.7,26.0,0.0,,19.3,26.0
2023-05-30 09:55:00,,65.37,,,,25.8,25.8,[25.8],0.0,,27.6,26.0,1.0,,26.8,26.0,1.0,,26.0,26.0,1.0,,26.6,26.0,1.0,,26.2,26.0,1.0,25.6,26.0,1.0,,26.0,26.0,0.0,,-99999.0,-99999.0,1.0,,25.8,26.0,0.0,,19.6,26.0
2023-05-30 10:00:00,,65.27,,,,25.8,25.8,[25.8],0.0,,27.6,26.0,1.0,,26.8,26.0,1.0,,26.6,26.0,1.0,,27.5,26.0,1.0,,26.2,26.0,1.0,25.7,26.0,1.0,,26.0,26.0,0.0,,-99999.0,-99999.0,1.0,,25.9,26.0,0.0,,19.9,26.0
2023-05-30 10:05:00,,65.38,,,,25.9,25.9,[25.9],0.0,,27.6,26.0,1.0,,26.8,26.0,1.0,,26.2,26.0,1.0,,26.8,26.0,1.0,,26.3,26.0,1.0,25.8,26.0,1.0,,26.1,26.0,0.0,,-99999.0,-99999.0,1.0,,26.1,26.0,0.0,,20.2,26.0
2023-05-30 10:10:00,,65.27,,,,25.9,25.9,[25.9],0.0,,27.6,26.0,1.0,,26.9,26.0,1.0,,26.0,26.0,1.0,,26.2,26.0,1.0,,26.3,26.0,1.0,25.8,26.0,1.0,,26.1,26.0,0.0,,-99999.0,-99999.0,1.0,,26.3,26.0,0.0,,20.4,26.0
2023-05-30 10:15:00,,65.48,,,,26.0,26.0,[26.0],0.0,,27.6,26.0,1.0,,27.0,26.0,1.0,,26.7,26.0,1.0,,26.3,26.0,1.0,,26.3,26.0,1.0,25.8,26.0,1.0,,26.2,26.0,0.0,,-99999.0,-99999.0,1.0,,26.4,26.0,0.0,,20.5,26.0
2023-05-30 10:20:00,,65.17,,,,26.0,26.0,[26.0],0.0,,27.6,26.0,1.0,,27.1,26.0,1.0,,26.3,26.0,1.0,,26.5,26.0,1.0,,26.3,26.0,1.0,25.9,26.0,1.0,,26.3,26.0,0.0,,-99999.0,-99999.0,1.0,,26.5,26.0,0.0,,20.7,26.0
2023-05-30 10:25:00,,65.38,,,,26.1,26.1,[26.1],0.0,,27.7,26.0,1.0,,27.1,26.0,1.0,,26.0,26.0,1.0,,26.3,26.0,1.0,,26.3,26.0,1.0,25.9,26.0,1.0,,26.1,26.0,0.0,,-99999.0,-99999.0,1.0,,26.6,26.0,0.0,,20.9,26.0
2023-05-30 10:30:00,,65.37,,,,26.1,26.1,[26.1],0.0,,27.7,26.0,1.0,,27.1,26.0,1.0,,26.4,26.0,1.0,,26.5,26.0,1.0,,26.3,26.0,1.0,26.0,26.0,1.0,,26.2,26.0,0.0,,-99999.0,-99999.0,1.0,,26.5,26.0,0.0,,20.9,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,65.29,,,,26.0,26.0,[26.0],0.0,,27.8,26.0,1.0,,27.1,26.0,1.0,,26.0,26.0,1.0,,25.9,26.0,1.0,,26.3,26.0,1.0,26.0,26.0,1.0,,26.2,26.0,0.0,,-99999.0,-99999.0,1.0,,26.3,26.0,0.0,,20.3,26.0
2023-05-30 10:45:00,,65.07000000000001,,,,26.0,26.0,[26.0],0.0,,27.8,26.0,1.0,,27.1,26.0,1.0,,26.6,26.0,1.0,,26.4,26.0,1.0,,26.3,26.0,1.0,26.0,26.0,1.0,,26.1,26.0,0.0,,-99999.0,-99999.0,1.0,,26.1,26.0,0.0,,20.1,26.0
2023-05-30 10:50:00,,65.08,,,,26.1,26.1,[26.1],0.0,,27.8,26.0,1.0,,27.1,26.0,1.0,,26.8,26.0,1.0,,26.0,26.0,1.0,,26.3,26.0,1.0,26.0,26.0,1.0,,26.2,26.0,0.0,,-99999.0,-99999.0,1.0,,26.0,26.0,0.0,,20.0,26.0
2023-05-30 10:55:00,,65.29,,,,26.0,26.0,[26.0],0.0,,27.8,26.0,1.0,,27.0,26.0,1.0,,26.0,26.0,1.0,,25.7,26.0,1.0,,26.2,26.0,1.0,26.0,26.0,1.0,,26.1,26.0,0.0,,-99999.0,-99999.0,1.0,,26.0,26.0,0.0,,19.9,26.0
2023-05-30 11:00:00,,65.27,,,,26.0,26.0,[26.0],0.0,,27.8,26.0,1.0,,27.0,26.0,1.0,,26.6,26.0,1.0,,27.5,26.0,1.0,,26.2,26.0,1.0,25.9,26.0,1.0,,26.0,26.0,0.0,,-99999.0,-99999.0,1.0,,26.0,26.0,0.0,,19.7,26.0
2023-05-30 11:05:00,,65.17,,,,26.0,26.0,[26.0],0.0,,27.8,26.0,1.0,,27.0,26.0,1.0,,26.2,26.0,1.0,,27.1,26.0,1.0,,26.3,26.0,1.0,25.9,26.0,1.0,,26.0,26.0,0.0,,-99999.0,-99999.0,1.0,,25.8,26.0,0.0,,19.6,26.0
2023-05-30 11:10:00,,65.18,,,,25.9,25.9,[25.9],0.0,,27.8,26.0,1.0,,26.9,26.0,1.0,,26.0,26.0,1.0,,26.2,26.0,1.0,,26.2,26.0,1.0,25.9,26.0,1.0,,25.9,26.0,0.0,,-99999.0,-99999.0,1.0,,25.9,26.0,0.0,,19.5,26.0
2023-05-30 11:15:00,,65.37,,,,25.8,25.8,[25.8],0.0,,27.8,26.0,1.0,,26.8,26.0,1.0,,26.6,26.0,1.0,,26.2,26.0,1.0,,26.2,26.0,1.0,25.9,26.0,1.0,,25.9,26.0,0.0,,-99999.0,-99999.0,1.0,,25.8,26.0,0.0,,19.4,26.0
2023-05-30 11:20:00,,65.28,,,,25.8,25.8,[25.8],0.0,,27.8,26.0,1.0,,26.8,26.0,1.0,,26.8,26.0,1.0,,26.6,26.0,1.0,,26.2,26.0,1.0,25.9,26.0,1.0,,26.0,26.0,0.0,,-99999.0,-99999.0,1.0,,25.8,26.0,0.0,,19.2,26.0
2023-05-30 11:25:00,,65.58,,,,25.8,25.8,[25.8],0.0,,27.8,26.0,1.0,,26.8,26.0,1.0,,26.0,26.0,1.0,,26.0,26.0,1.0,,26.2,26.0,1.0,25.8,26.0,1.0,,25.9,26.0,0.0,,-99999.0,-99999.0,1.0,,25.7,26.0,0.0,,19.1,26.0
2023-05-30 11:30:00,,65.18,,,,25.8,25.8,[25.8],0.0,,27.8,26.0,1.0,,26.8,26.0,1.0,,26.8,26.0,1.0,,26.7,26.0,1.0,,26.2,26.0,1.0,25.8,26.0,1.0,,25.9,26.0,0.0,,-99999.0,-99999.0,1.0,,25.7,26.0,0.0,,19.1,26.0
2023-05-30 11:35:00,,64.97,,,,25.8,25.8,[25.8],0.0,,27.7,26.0,1.0,,26.8,26.0,1.0,,26.0,26.0,1.0,,25.8,26.0,1.0,,26.2,26.0,1.0,25.7,26.0,1.0,,25.9,26.0,0.0,,-99999.0,-99999.0,1.0,,25.8,26.0,0.0,,19.4,26.0
2023-05-30 11:40:00,,65.17,,,,25.8,25.8,[25.8],0.0,,27.7,26.0,1.0,,26.8,26.0,1.0,,26.7,26.0,1.0,,26.2,26.0,1.0,,26.2,26.0,1.0,25.7,26.0,1.0,,25.9,26.0,0.0,,-99999.0,-99999.0,1.0,,25.8,26.0,0.0,,19.6,26.0
2023-05-30 11:45:00,,65.47,,,,25.9,25.9,[25.9],0.0,,27.7,26.0,1.0,,26.8,26.0,1.0,,26.2,26.0,1.0,,27.4,26.0,1.0,,26.3,26.0,1.0,25.8,26.0,1.0,,26.0,26.0,0.0,,-99999.0,-99999.0,1.0,,26.0,26.0,0.0,,19.9,26.0
2023-05-30 11:50:00,,65.37,,,,25.9,25.9,[25.9],0.0,,27.7,26.0,1.0,,26.8,26.0,1.0,,26.0,26.0,1.0,,27.1,26.0,1.0,,26.3,26.0,1.0,25.8,26.0,1.0,,26.0,26.0,0.0,,-99999.0,-99999.0,1.0,,26.1,26.0,0.0,,20.1,26.0
2023-05-30 11:55:00,,65.18,,,,25.9,25.9,[25.9],0.0,,27.7,26.0,1.0,,27.0,26.0,1.0,,26.5,26.0,1.0,,26.1,26.0,1.0,,26.3,26.0,1.0,25.8,26.0,1.0,,26.1,26.0,0.0,,-99999.0,-99999.0,1.0,,26.4,26.0,0.0,,20.4,26.0
2023-05-30 12:00:00,,65.27,,,,26.0,26.0,[26.0],0.0,,27.7,26.0,1.0,,27.1,26.0,1.0,,26.8,26.0,1.0,,26.0,26.0,1.0,,26.4,26.0,1.0,25.9,26.0,1.0,,26.2,26.0,0.0,,-99999.0,-99999.0,1.0,,26.5,26.0,0.0,,20.6,26.0
2023-05-30 12:05:00,,65.29,,,,26.0,26.0,[26.0],0.0,,27.7,26.0,1.0,,27.1,26.0,1.0,,26.6,26.0,1.0,,25.7,26.0,1.0,,26.2,26.0,1.0,25.9,26.0,1.0,,26.2,26.0,0.0,,-99999.0,-99999.0,1.0,,26.6,26.0,0.0,,20.8,26.0
2023-05-30 12:10:00,,65.18,,,,26.1,26.1,[26.1],0.0,,27.8,26.0,1.0,,27.1,26.0,1.0,,26.6,26.0,1.0,,27.2,26.0,1.0,,26.1,26.0,1.0,25.9,26.0,1.0,,26.0,26.0,0.0,,-99999.0,-99999.0,1.0,,26.5,26.0,0.0,,20.8,26.0
2023-05-30 12:15:00,,65.27,,,,26.0,26.0,[26.0],0.0,,27.7,26.0,1.0,,27.0,26.0,1.0,,26.4,26.0,1.0,,26.7,26.0,1.0,,26.1,26.0,1.0,25.9,26.0,1.0,,25.9,26.0,0.0,,-99999.0,-99999.0,1.0,,26.4,26.0,0.0,,20.5,26.0
2023-05-30 12:20:00,,65.18,,,,25.9,25.9,[25.9],0.0,,27.7,26.0,1.0,,26.9,26.0,1.0,,26.3,26.0,1.0,,26.9,26.0,1.0,,26.1,26.0,1.0,25.9,26.0,1.0,,25.7,26.0,0.0,,-99999.0,-99999.0,1.0,,26.2,26.0,0.0,,20.3,26.0
2023-05-30 12:25:00,,65.27,,,,25.8,25.8,[25.8],0.0,,27.7,26.0,1.0,,26.9,26.0,1.0,,26.3,26.0,1.0,,26.9,26.0,1.0,,26.8,26.0,1.0,25.9,26.0,1.0,,25.7,26.0,0.0,,-99999.0,-99999.0,1.0,,26.0,26.0,0.0,,20.1,26.0
2023-05-30 12:30:00,,65.38,,,,25.9,25.9,[25.9],0.0,,27.7,26.0,1.0,,26.8,26.0,1.0,,26.3,26.0,1.0,,27.0,26.0,1.0,,26.4,26.0,1.0,25.9,26.0,1.0,,25.7,26.0,0.0,,-99999.0,-99999.0,1.0,,26.0,26.0,0.0,,20.0,26.0
2023-05-30 12:35:00,,65.17,,,,25.8,25.8,[25.8],0.0,,27.7,26.0,1.0,,26.8,26.0,1.0,,26.2,26.0,1.0,,26.3,26.0,1.0,,26.0,26.0,1.0,25.8,26.0,1.0,,25.7,26.0,0.0,,-99999.0,-99999.0,1.0,,25.9,26.0,0.0,,19.9,26.0
2023-05-30 12:40:00,,64.97,,,,25.8,25.8,[25.8],0.0,,27.7,26.0,1.0,,26.7,26.0,1.0,,26.2,26.0,1.0,,26.0,26.0,1.0,,26.8,26.0,1.0,25.8,26.0,1.0,,25.6,26.0,0.0,,-99999.0,-99999.0,1.0,,25.9,26.0,0.0,,19.6,26.0
2023-05-30 12:45:00,,65.07000000000001,,,,25.8,25.8,[25.8],0.0,,27.7,26.0,1.0,,26.7,26.0,1.0,,26.2,26.0,1.0,,25.8,26.0,1.0,,26.2,26.0,1.0,25.7,26.0,1.0,,25.6,26.0,0.0,,-99999.0,-99999.0,1.0,,25.9,26.0,0.0,,19.5,26.0
2023-05-30 12:50:00,,65.17,,,,25.7,25.7,[25.7],0.0,,27.7,26.0,1.0,,26.6,26.0,1.0,,26.2,26.0,1.0,,26.9,26.0,1.0,,26.0,26.0,1.0,25.7,26.0,1.0,,25.4,26.0,0.0,,-99999.0,-99999.0,1.0,,25.7,26.0,0.0,,19.4,26.0
2023-05-30 12:55:00,,65.27,,,,25.7,25.7,[25.7],0.0,,27.7,26.0,1.0,,26.6,26.0,1.0,,26.2,26.0,1.0,,26.5,26.0,1.0,,26.8,26.0,1.0,25.6,26.0,1.0,,25.4,26.0,0.0,,-99999.0,-99999.0,1.0,,25.7,26.0,0.0,,19.2,26.0
2023-05-30 13:00:00,,65.27,,,,25.6,25.6,[25.6],0.0,,27.7,26.0,1.0,,26.5,26.0,1.0,,26.1,26.0,1.0,,26.9,26.0,1.0,,26.3,26.0,1.0,25.6,26.0,1.0,,25.4,26.0,0.0,,-99999.0,-99999.0,1.0,,25.7,26.0,0.0,,19.2,26.0
2023-05-30 13:05:00,,65.17,,,,25.6,25.6,[25.6],0.0,,27.6,26.0,1.0,,26.5,26.0,1.0,,26.1,26.0,1.0,,25.7,26.0,1.0,,26.0,26.0,1.0,25.5,26.0,1.0,,25.4,26.0,0.0,,-99999.0,-99999.0,1.0,,25.7,26.0,0.0,,19.4,26.0
2023-05-30 13:10:00,,65.37,,,,25.7,25.7,[25.7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 13:15:00,,65.17,,,,25.7,25.7,[25.7],0.0,,27.6,26.0,1.0,,26.5,26.0,1.0,,26.1,26.0,1.0,,26.8,26.0,1.0,,26.2,26.0,1.0,25.5,26.0,1.0,,25.4,26.0,0.0,,-99999.0,-99999.0,1.0,,25.9,26.0,0.0,,20.0,26.0
2023-05-30 13:20:00,,65.17,,,,25.7,25.7,[25.7],0.0,,27.6,26.0,1.0,,26.5,26.0,1.0,,26.1,26.0,1.0,,26.8,26.0,1.0,,26.4,26.0,1.0,25.5,26.0,1.0,,25.4,26.0,0.0,,-99999.0,-99999.0,1.0,,26.1,26.0,0.0,,20.2,26.0
2023-05-30 13:25:00,,65.37,,,,25.8,25.8,[25.8],0.0,,27.6,26.0,1.0,,26.7,26.0,1.0,,26.3,26.0,1.0,,27.4,26.0,1.0,,26.7,26.0,1.0,25.6,26.0,1.0,,25.6,26.0,0.0,,-99999.0,-99999.0,1.0,,26.2,26.0,0.0,,20.4,26.0
2023-05-30 13:30:00,,65.07000000000001,,,,25.9,25.9,[25.9],0.0,,27.6,26.0,1.0,,26.7,26.0,1.0,,26.3,26.0,1.0,,26.0,26.0,1.0,,26.2,26.0,1.0,25.7,26.0,1.0,,25.6,26.0,0.0,,-99999.0,-99999.0,1.0,,26.3,26.0,0.0,,20.6,26.0
2023-05-30 13:35:00,,65.27,,,,25.9,25.9,[25.9],0.0,,27.5,26.0,1.0,,26.7,26.0,1.0,,26.3,26.0,1.0,,25.8,26.0,1.0,,26.0,26.0,1.0,25.7,26.0,1.0,,25.6,26.0,0.0,,-99999.0,-99999.0,1.0,,26.4,26.0,0.0,,20.9,26.0
2023-05-30 13:40:00,,65.17,,,,25.9,25.9,[25.9],0.0,,27.5,26.0,1.0,,26.8,26.0,1.0,,26.3,26.0,1.0,,27.5,26.0,1.0,,26.9,26.0,1.0,25.7,26.0,1.0,,25.6,26.0,0.0,,-99999.0,-99999.0,1.0,,26.5,26.0,0.0,,21.0,26.0
2023-05-30 13:45:00,,65.17,,,,26.0,26.0,[26.0],0.0,,27.5,26.0,1.0,,26.9,26.0,1.0,,26.4,26.0,1.0,,26.8,26.0,1.0,,26.3,26.0,1.0,25.7,26.0,1.0,,25.6,26.0,0.0,,-99999.0,-99999.0,1.0,,26.6,26.0,0.0,,21.1,26.0
