time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1333355_c,1333355_h,1333355_r,1333355_s,1420042_c,1420042_h,1420042_r,1420042_s
2023-05-30 09:05:00,,45.13,38.8,35.3,37.05,26.2,26.2,[26.2],0.0,35.3,22.5,25.0,1.0,38.8,27.7,29.0
2023-05-30 09:10:00,,45.1,39.0,35.4,37.2,26.4,26.4,[26.4],0.0,35.4,22.6,25.0,1.0,39.0,27.8,29.0
2023-05-30 09:15:00,,45.25,39.3,35.5,37.4,26.5,26.5,[26.5],0.0,35.5,22.7,25.0,1.0,39.3,28.0,29.0
2023-05-30 09:20:00,,45.19,39.4,35.5,37.45,26.6,26.6,[26.6],0.0,35.5,22.7,25.0,1.0,39.4,28.0,29.0
2023-05-30 09:25:00,,45.27,,,,26.7,26.7,[26.7],0.0,,22.8,25.0,1.0,,28.1,29.0
2023-05-30 09:30:00,,45.33,39.6,35.8,37.7,26.8,26.8,[26.8],0.0,35.8,22.9,25.0,1.0,39.6,28.3,29.0
2023-05-30 09:35:00,,45.35,39.7,35.9,37.8,26.8,26.8,[26.8],0.0,35.9,22.9,25.0,1.0,39.7,28.4,29.0
2023-05-30 09:40:00,,45.21,39.7,36.0,37.85,26.9,26.9,[26.9],0.0,36.0,22.9,25.0,1.0,39.7,28.4,27.0
2023-05-30 09:45:00,,45.13,39.7,36.0,37.85,26.8,26.8,[26.8],0.0,36.0,22.9,25.0,1.0,39.7,28.2,27.0
2023-05-30 09:50:00,,45.32,39.5,35.9,37.7,26.6,26.6,[26.6],0.0,35.9,22.9,25.0,1.0,39.5,27.9,27.0
2023-05-30 09:55:00,,45.22,39.3,35.9,37.6,26.5,26.5,[26.5],0.0,35.9,22.7,25.0,1.0,39.3,27.6,27.0
2023-05-30 10:00:00,,45.21,39.1,35.6,37.35,26.4,26.4,[26.4],0.0,35.6,22.7,25.0,1.0,39.1,27.5,27.0
2023-05-30 10:05:00,,45.11,38.9,35.4,37.15,26.3,26.3,[26.3],0.0,35.4,22.5,25.0,1.0,38.9,27.2,26.0
2023-05-30 10:10:00,,45.34,38.6,35.3,36.95,26.2,26.2,[26.2],0.0,35.3,22.4,25.0,1.0,38.6,26.8,26.0
2023-05-30 10:15:00,,45.14,38.4,35.1,36.75,26.1,26.1,[26.1],0.0,35.1,22.3,25.0,1.0,38.4,26.6,26.0
2023-05-30 10:20:00,,45.1,38.2,35.0,36.6,26.0,26.0,[26.0],0.0,35.0,22.2,25.0,1.0,38.2,26.5,26.0
2023-05-30 10:25:00,,45.29,38.0,34.8,36.4,26.0,26.0,[26.0],0.0,34.8,22.0,25.0,1.0,38.0,26.5,26.0
2023-05-30 10:30:00,,45.13,37.9,34.7,36.3,25.8,25.8,[25.8],0.0,34.7,21.9,25.0,1.0,37.9,26.3,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,45.05,37.6,34.5,36.05,25.8,25.8,[25.8],0.0,34.5,21.7,25.0,1.0,37.6,26.2,27.0
2023-05-30 10:45:00,,45.2,37.5,34.4,35.95,25.7,25.7,[25.7],0.0,34.4,21.6,25.0,1.0,37.5,26.4,27.0
2023-05-30 10:50:00,,45.13,37.5,34.4,35.95,25.7,25.7,[25.7],0.0,34.4,21.6,25.0,1.0,37.5,26.4,27.0
