time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3836664_c,3836664_h,3836664_r,3836664_s,3836665_c,3836665_h,3836665_r,3836665_s,3836666_c,3836666_h,3836666_r,3836666_s,3836667_c,3836667_h,3836667_r,3836667_s
2023-05-30 11:50:00,,31.26,,,,27.5,27.5,[27.5],1.0,,26.8,26.0,1.0,,28.0,27.0,1.0,,27.0,27.0,1.0,,27.0,27.0
2023-05-30 11:55:00,,31.26,,,,27.4,27.4,[27.4],1.0,,26.8,26.0,1.0,,27.8,27.0,1.0,,27.0,27.0,1.0,,27.0,27.0
2023-05-30 12:00:00,,31.32,,,,27.4,27.4,[27.4],1.0,,26.7,26.0,1.0,,27.8,27.0,1.0,,27.0,27.0,1.0,,27.0,27.0
2023-05-30 12:05:00,,31.37,,,,27.5,27.5,[27.5],1.0,,27.0,26.0,1.0,,28.2,27.0,1.0,,27.0,27.0,1.0,,27.0,27.0
2023-05-30 12:10:00,,31.32,,,,27.4,27.4,[27.4],1.0,,26.9,26.0,1.0,,28.1,27.0,1.0,,27.0,27.0,1.0,,27.0,27.0
2023-05-30 12:15:00,,31.26,,,,27.4,27.4,[27.4],1.0,,26.8,26.0,1.0,,27.9,27.0,1.0,,27.0,27.0,1.0,,27.0,27.0
2023-05-30 12:20:00,,31.34,,,,27.3,27.3,[27.3],1.0,,26.7,26.0,1.0,,27.8,27.0,1.0,,27.0,27.0,1.0,,27.0,27.0
2023-05-30 12:25:00,,31.27,,,,27.4,27.4,[27.4],1.0,,26.8,26.0,1.0,,27.9,27.0,1.0,,27.0,27.0,1.0,,27.0,27.0
2023-05-30 12:30:00,,31.31,,,,27.5,27.5,[27.5],1.0,,27.0,26.0,1.0,,28.0,27.0,1.0,,27.0,27.0,1.0,,27.0,27.0
2023-05-30 12:35:00,,31.22,,,,27.5,27.5,[27.5],1.0,,26.8,26.0,1.0,,27.9,27.0,1.0,,27.0,27.0,1.0,,27.0,27.0
2023-05-30 12:40:00,,31.29,,,,27.4,27.4,[27.4],1.0,,26.7,26.0,1.0,,27.9,27.0,1.0,,27.0,27.0,1.0,,27.0,27.0
2023-05-30 12:45:00,,31.31,,,,27.4,27.4,[27.4],1.0,,26.7,26.0,1.0,,27.9,27.0,1.0,,27.0,27.0,1.0,,27.0,27.0
