time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3809012_c,3809012_h,3809012_p,3809012_r,3809012_s,3809013_c,3809013_h,3809013_p,3809013_r,3809013_s,3809014_c,3809014_h,3809014_p,3809014_r,3809014_s,685973_c,685973_h,685973_p,685973_r,685973_s
2023-05-30 09:00:00,,,,,,,,,,,4.18,,,,,2.88,,,,,3.04,,,,,5.28,,
2023-05-30 09:05:00,,,31.6,28.4,29.625,25.1,25.1,[25.1],1.0,31.6,4.19,27.0,21.0,1.0,29.0,2.93,31.0,21.0,1.0,29.5,3.0,23.0,22.0,1.0,28.4,5.37,26.0,22.0
2023-05-30 09:10:00,,,31.8,28.4,29.75,25.1,25.1,[25.1],1.0,31.8,4.19,27.0,21.0,1.0,29.2,2.88,31.0,21.0,1.0,29.6,3.01,23.0,22.0,1.0,28.4,5.3,26.0,22.0
2023-05-30 09:15:00,,,31.8,28.4,29.775,25.2,25.2,[25.2],1.0,31.8,4.2,27.0,21.0,1.0,29.2,2.94,31.0,21.0,1.0,29.7,3.06,24.0,22.0,1.0,28.4,5.31,26.0,22.0
2023-05-30 09:20:00,,,31.8,28.4,29.75,25.2,25.2,[25.2],1.0,31.8,4.26,27.0,21.0,1.0,29.1,2.94,31.0,21.0,1.0,29.7,3.06,24.0,22.0,1.0,28.4,5.41,26.0,22.0
2023-05-30 09:25:00,,,31.8,28.5,29.775,25.3,25.3,[25.3],1.0,31.8,4.25,27.0,21.0,1.0,29.1,2.98,31.0,21.0,1.0,29.7,3.05,24.0,22.0,1.0,28.5,5.3,26.0,22.0
2023-05-30 09:30:00,,,31.9,28.6,29.875,25.3,25.3,[25.3],1.0,31.9,4.24,27.0,21.0,1.0,29.2,2.89,31.0,21.0,1.0,29.8,3.01,24.0,22.0,1.0,28.6,5.25,26.0,22.0
2023-05-30 09:35:00,,,32.0,28.6,29.9,25.3,25.3,[25.3],1.0,32.0,4.25,27.0,21.0,1.0,29.2,2.94,31.0,21.0,1.0,29.8,3.1,24.0,22.0,1.0,28.6,5.35,26.0,22.0
2023-05-30 09:40:00,,,32.0,28.6,29.925,25.3,25.3,[25.3],1.0,32.0,4.3,27.0,21.0,1.0,29.3,2.94,31.0,21.0,1.0,29.8,3.06,24.0,22.0,1.0,28.6,5.41,26.0,22.0
2023-05-30 09:45:00,,,32.0,28.6,29.950000000000003,25.3,25.3,[25.3],1.0,32.0,4.31,27.0,21.0,1.0,29.4,2.94,31.0,21.0,1.0,29.8,3.11,24.0,22.0,1.0,28.6,5.36,26.0,22.0
2023-05-30 09:50:00,,,32.0,28.6,29.950000000000003,25.3,25.3,[25.3],1.0,32.0,4.4,27.0,21.0,1.0,29.4,2.9,31.0,21.0,1.0,29.8,3.11,24.0,22.0,1.0,28.6,5.41,26.0,22.0
2023-05-30 09:55:00,,,32.1,28.7,30.025,25.3,25.3,[25.3],1.0,32.1,4.35,27.0,21.0,1.0,29.4,2.94,31.0,21.0,1.0,29.9,3.06,24.0,22.0,1.0,28.7,5.41,26.0,22.0
2023-05-30 10:00:00,,,32.1,28.7,30.000000000000004,25.4,25.4,[25.4],1.0,32.1,,27.0,21.0,1.0,29.3,,31.0,21.0,1.0,29.9,,24.0,22.0,1.0,28.7,,26.0,22.0
2023-05-30 10:05:00,,,32.2,28.7,30.025,25.3,25.3,[25.3],1.0,32.2,4.26,27.0,21.0,1.0,29.3,2.94,31.0,21.0,1.0,29.9,3.06,24.0,22.0,1.0,28.7,5.38,26.0,22.0
2023-05-30 10:10:00,,,32.3,28.8,30.075,25.3,25.3,[25.3],1.0,32.3,4.2,27.0,21.0,1.0,29.3,2.89,30.0,21.0,1.0,29.9,3.1,24.0,22.0,1.0,28.8,5.34,26.0,22.0
2023-05-30 10:15:00,,,32.3,28.8,30.1,25.4,25.4,[25.4],1.0,32.3,4.21,27.0,21.0,1.0,29.3,2.9,31.0,21.0,1.0,30.0,3.11,24.0,22.0,1.0,28.8,5.32,26.0,22.0
2023-05-30 10:20:00,,,32.3,28.8,30.1,25.3,25.3,[25.3],1.0,32.3,4.22,27.0,21.0,1.0,29.3,2.9,31.0,21.0,1.0,30.0,3.12,24.0,22.0,1.0,28.8,5.37,26.0,22.0
