time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1203055_c,1203055_h,1203055_r,1203055_s,3838240_c,3838240_h,3838240_r,3838240_s
2023-05-30 09:05:00,,13.03,27.2,27.1,27.15,28.6,28.6,[28.6],1.0,27.1,27.9,27.0,0.0,27.2,0.0,0.0
2023-05-30 09:10:00,,13.0,27.4,27.2,27.3,28.7,28.7,[28.7],1.0,27.2,26.5,27.0,0.0,27.4,0.0,0.0
2023-05-30 09:15:00,,12.94,27.2,27.1,27.15,28.6,28.6,[28.6],1.0,27.1,25.8,27.0,0.0,27.2,0.0,0.0
2023-05-30 09:20:00,,12.99,27.2,27.2,27.2,28.7,28.7,[28.7],1.0,27.2,26.8,27.0,0.0,27.2,0.0,0.0
2023-05-30 09:25:00,,13.0,27.3,27.2,27.25,28.7,28.7,[28.7],1.0,27.2,27.4,27.0,0.0,27.3,0.0,0.0
2023-05-30 09:30:00,,12.96,27.3,27.1,27.200000000000003,28.6,28.6,[28.6],1.0,27.1,26.5,27.0,0.0,27.3,0.0,0.0
2023-05-30 09:35:00,,12.92,27.2,27.1,27.15,28.6,28.6,[28.6],1.0,27.1,26.5,27.0,0.0,27.2,0.0,0.0
2023-05-30 09:40:00,,13.04,27.2,27.2,27.2,28.6,28.6,[28.6],1.0,27.2,27.5,27.0,0.0,27.2,0.0,0.0
2023-05-30 09:45:00,,12.99,27.3,27.2,27.25,28.9,28.9,[28.9],1.0,27.2,27.1,27.0,0.0,27.3,0.0,0.0
2023-05-30 09:50:00,,12.97,27.4,27.3,27.35,28.8,28.8,[28.8],1.0,27.3,26.1,27.0,0.0,27.4,0.0,0.0
2023-05-30 09:55:00,,13.03,27.4,27.3,27.35,28.8,28.8,[28.8],1.0,27.3,26.3,27.0,0.0,27.4,0.0,0.0
2023-05-30 10:00:00,,13.01,27.4,27.2,27.3,28.7,28.7,[28.7],1.0,27.2,27.9,27.0,0.0,27.4,0.0,0.0
2023-05-30 10:05:00,,12.99,27.8,27.2,27.5,28.9,28.9,[28.9],1.0,27.2,26.7,27.0,0.0,27.8,0.0,0.0
2023-05-30 10:10:00,,12.96,27.4,27.3,27.35,29.0,29.0,[29.0],1.0,27.3,26.2,27.0,0.0,27.4,0.0,0.0
2023-05-30 10:15:00,,12.96,27.4,27.3,27.35,28.8,28.8,[28.8],1.0,27.3,26.5,27.0,0.0,27.4,0.0,0.0
2023-05-30 10:20:00,,13.02,27.5,27.3,27.4,28.8,28.8,[28.8],1.0,27.3,27.9,27.0,0.0,27.5,0.0,0.0
2023-05-30 10:25:00,,13.05,27.5,27.2,27.35,28.7,28.7,[28.7],1.0,27.2,26.7,27.0,0.0,27.5,0.0,0.0
2023-05-30 10:30:00,,12.95,27.3,27.2,27.25,28.7,28.7,[28.7],1.0,27.2,26.1,27.0,0.0,27.3,0.0,0.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,13.03,28.1,27.1,27.6,28.7,28.7,[28.7],1.0,27.1,27.0,27.0,0.0,28.1,0.0,0.0
2023-05-30 10:45:00,,12.96,29.0,27.1,28.05,28.7,28.7,[28.7],1.0,27.1,26.8,27.0,0.0,29.0,0.0,0.0
2023-05-30 10:50:00,,12.96,28.5,27.1,27.8,28.6,28.6,[28.6],1.0,27.1,26.5,27.0,0.0,28.5,0.0,0.0
2023-05-30 10:55:00,,12.99,28.6,27.1,27.85,28.6,28.6,[28.6],1.0,27.1,27.1,27.0,0.0,28.6,0.0,0.0
2023-05-30 11:00:00,,12.97,29.3,26.9,28.1,28.6,28.6,[28.6],,26.9,,,,29.3,,
2023-05-30 11:05:00,,12.98,29.2,27.0,28.1,28.8,28.8,[28.8],1.0,27.0,26.1,27.0,0.0,29.2,0.0,0.0
2023-05-30 11:10:00,,12.99,28.8,27.1,27.950000000000003,28.8,28.8,[28.8],1.0,27.1,27.1,27.0,0.0,28.8,0.0,0.0
2023-05-30 11:15:00,,13.02,29.0,27.0,28.0,28.7,28.7,[28.7],1.0,27.0,26.9,27.0,0.0,29.0,0.0,0.0
2023-05-30 11:20:00,,13.02,29.5,27.0,28.25,28.8,28.8,[28.8],1.0,27.0,27.3,27.0,0.0,29.5,0.0,0.0
2023-05-30 11:25:00,,12.99,29.1,27.1,28.1,28.8,28.8,[28.8],1.0,27.1,26.7,27.0,0.0,29.1,0.0,0.0
2023-05-30 11:30:00,,13.03,29.1,27.1,28.1,28.7,28.7,[28.7],1.0,27.1,26.4,27.0,0.0,29.1,0.0,0.0
2023-05-30 11:35:00,,13.1,29.5,27.1,28.3,28.9,28.9,[28.9],1.0,27.1,28.0,27.0,0.0,29.5,0.0,0.0
2023-05-30 11:40:00,,13.01,29.7,27.0,28.35,28.7,28.7,[28.7],1.0,27.0,27.1,27.0,0.0,29.7,0.0,0.0
2023-05-30 11:45:00,,12.97,29.3,26.9,28.1,28.6,28.6,[28.6],1.0,26.9,26.7,27.0,0.0,29.3,0.0,0.0
2023-05-30 11:50:00,,13.06,29.2,26.9,28.05,28.8,28.8,[28.8],1.0,26.9,27.6,27.0,0.0,29.2,0.0,0.0
2023-05-30 11:55:00,,13.03,29.5,27.1,28.3,29.1,29.1,[29.1],1.0,27.1,28.6,27.0,0.0,29.5,0.0,0.0
2023-05-30 12:00:00,,13.0,29.4,27.1,28.25,29.0,29.0,[29.0],1.0,27.1,27.1,27.0,0.0,29.4,0.0,0.0
2023-05-30 12:05:00,,12.97,29.2,27.0,28.1,28.9,28.9,[28.9],1.0,27.0,27.3,27.0,0.0,29.2,0.0,0.0
2023-05-30 12:10:00,,13.01,29.2,27.1,28.15,28.9,28.9,[28.9],1.0,27.1,27.6,27.0,0.0,29.2,0.0,0.0
2023-05-30 12:15:00,,13.04,29.4,27.1,28.25,28.8,28.8,[28.8],1.0,27.1,27.1,27.0,0.0,29.4,0.0,0.0
2023-05-30 12:20:00,,13.03,29.4,27.0,28.2,28.6,28.6,[28.6],1.0,27.0,27.1,27.0,0.0,29.4,0.0,0.0
2023-05-30 12:25:00,,13.03,29.4,27.0,28.2,28.9,28.9,[28.9],1.0,27.0,27.0,27.0,0.0,29.4,0.0,0.0
