time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1050358_c,1050358_h,1050358_p,1050358_r,1050358_s,1050359_c,1050359_h,1050359_p,1050359_r,1050359_s,559075_c,559075_h,559075_p,559075_r,559075_s,559076_c,559076_h,559076_p,559076_r,559076_s,599427_c,599427_h,599427_p,599427_r,599427_s
2023-05-30 09:00:00,,,,,,,,,,,10.4,,,,,0.1,,,,,4.7,,,,,3.5,,,,,3.6,,
2023-05-30 09:05:00,,52.1,34.2,30.1,32.22,30.1,30.1,[30.1],1.0,33.0,10.4,30.6,21.0,0.0,33.0,0.1,32.9,26.0,1.0,34.2,4.7,32.0,21.0,,30.8,3.5,,,,30.1,3.6,,
2023-05-30 09:10:00,,52.1,34.2,30.0,32.160000000000004,30.1,30.1,[30.1],1.0,32.9,10.5,30.6,21.0,0.0,32.9,0.1,32.9,26.0,1.0,34.2,4.7,32.0,21.0,,30.8,3.5,,,,30.0,3.6,,
2023-05-30 09:15:00,,52.2,34.2,30.0,32.160000000000004,30.1,30.1,[30.1],1.0,32.9,10.4,30.6,21.0,0.0,32.9,0.1,33.0,26.0,1.0,34.2,4.7,32.0,21.0,,30.8,3.5,,,,30.0,3.6,,
2023-05-30 09:20:00,,52.4,34.2,30.0,32.160000000000004,30.1,30.1,[30.1],1.0,32.9,10.4,30.6,21.0,0.0,32.9,0.1,33.0,26.0,1.0,34.2,4.7,32.0,21.0,,30.8,3.5,,,,30.0,3.6,,
2023-05-30 09:25:00,,52.1,34.2,30.1,32.18,30.1,30.1,[30.1],1.0,32.9,10.5,30.6,21.0,0.0,32.9,0.1,33.0,26.0,1.0,34.2,4.7,32.0,21.0,,30.8,3.5,,,,30.1,3.6,,
2023-05-30 09:30:00,,52.3,34.2,30.1,32.18,30.1,30.1,[30.1],1.0,32.9,10.5,30.6,21.0,0.0,32.9,0.1,33.0,26.0,1.0,34.2,4.6,32.0,21.0,,30.8,3.5,,,,30.1,3.6,,
2023-05-30 09:35:00,,52.0,34.2,30.0,32.14,30.1,30.1,[30.1],1.0,32.9,10.4,30.6,21.0,0.0,32.9,0.1,32.9,26.0,1.0,34.2,4.6,32.0,21.0,,30.7,3.5,,,,30.0,3.6,,
2023-05-30 09:40:00,,52.3,34.2,30.0,32.14,30.1,30.1,[30.1],1.0,32.9,10.6,30.6,21.0,0.0,32.9,0.1,32.9,26.0,1.0,34.2,4.7,32.0,21.0,,30.7,3.5,,,,30.0,3.7,,
2023-05-30 09:45:00,,52.1,34.2,30.0,32.14,30.1,30.1,[30.1],1.0,32.9,10.5,30.6,21.0,0.0,32.9,0.1,33.0,26.0,1.0,34.2,4.8,32.0,21.0,,30.7,3.5,,,,30.0,3.7,,
2023-05-30 09:50:00,,52.3,34.2,30.1,32.16,30.1,30.1,[30.1],1.0,32.9,10.4,30.6,21.0,0.0,32.9,0.1,33.0,26.0,1.0,34.2,4.7,32.0,21.0,,30.7,3.5,,,,30.1,3.7,,
2023-05-30 09:55:00,,52.2,34.2,30.0,32.14,30.1,30.1,[30.1],1.0,32.9,10.5,30.5,21.0,0.0,32.9,0.1,32.9,26.0,1.0,34.2,4.7,32.0,21.0,,30.7,3.6,,,,30.0,3.7,,
2023-05-30 10:00:00,,52.2,34.3,30.0,32.16,30.1,30.1,[30.1],1.0,32.9,,30.6,21.0,0.0,32.9,,32.9,26.0,1.0,34.3,,32.0,21.0,,30.7,,,,,30.0,,,
2023-05-30 10:05:00,,52.2,34.3,30.1,32.17999999999999,30.1,30.1,[30.1],1.0,32.9,10.55,30.6,21.0,0.0,32.9,0.1,33.0,26.0,1.0,34.3,4.8,32.0,21.0,,30.7,3.55,,,,30.1,3.7,,
2023-05-30 10:10:00,,52.1,34.3,30.1,32.22,30.1,30.1,[30.1],1.0,33.0,10.6,30.7,21.0,0.0,33.0,0.1,33.0,26.0,1.0,34.3,4.8,32.0,21.0,,30.7,3.5,,,,30.1,3.7,,
2023-05-30 10:15:00,,52.2,34.3,30.1,32.22,30.1,30.1,[30.1],1.0,33.0,10.6,30.8,21.0,0.0,33.0,0.1,33.0,26.0,1.0,34.3,4.8,32.0,21.0,,30.7,3.5,,,,30.1,3.7,,
2023-05-30 10:20:00,,52.2,34.3,30.1,32.22,30.1,30.1,[30.1],1.0,33.0,10.6,30.7,21.0,0.0,33.0,0.1,33.0,26.0,1.0,34.3,4.7,32.0,21.0,,30.7,3.6,,,,30.1,3.7,,
2023-05-30 10:25:00,,52.2,34.3,30.1,32.22,30.1,30.1,[30.1],1.0,33.0,10.7,30.8,21.0,0.0,33.0,0.1,32.9,26.0,1.0,34.3,4.8,32.0,21.0,,30.7,3.6,,,,30.1,3.7,,
2023-05-30 10:30:00,,52.3,34.3,30.1,32.22,30.1,30.1,[30.1],1.0,33.0,10.6,30.7,21.0,0.0,33.0,0.1,32.9,26.0,1.0,34.3,4.7,32.0,21.0,,30.7,3.6,,,,30.1,3.7,,
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,52.3,34.3,30.2,32.239999999999995,30.2,30.2,[30.2],1.0,33.0,10.6,30.7,21.0,0.0,33.0,0.1,32.9,26.0,1.0,34.3,4.8,32.0,21.0,,30.7,3.6,,,,30.2,3.8,,
2023-05-30 10:45:00,,52.3,34.3,30.2,32.239999999999995,30.1,30.1,[30.1],1.0,33.0,10.6,30.7,21.0,0.0,33.0,0.1,33.0,26.0,1.0,34.3,4.8,32.0,21.0,,30.7,3.6,,,,30.2,3.7,,
2023-05-30 10:50:00,,52.3,34.4,30.2,32.26,30.1,30.1,[30.1],1.0,33.0,10.6,30.6,21.0,0.0,33.0,0.1,32.9,26.0,1.0,34.4,4.8,32.0,21.0,,30.7,3.7,,,,30.2,3.8,,
2023-05-30 10:55:00,,52.4,34.4,30.1,32.239999999999995,30.2,30.2,[30.2],1.0,33.0,10.6,30.8,21.0,0.0,33.0,0.1,33.0,26.0,1.0,34.4,4.9,32.0,21.0,,30.7,3.6,,,,30.1,3.7,,
2023-05-30 11:00:00,,52.3,34.4,30.1,32.260000000000005,30.2,30.2,[30.2],1.0,33.0,10.6,30.7,21.0,0.0,33.0,0.1,33.0,26.0,1.0,34.4,4.9,32.0,21.0,,30.8,3.7,,,,30.1,3.8,,
2023-05-30 11:05:00,,52.4,34.4,30.1,32.260000000000005,,,,1.0,33.0,10.7,30.6,21.0,0.0,33.0,0.1,33.1,26.0,1.0,34.4,4.9,32.0,21.0,,30.8,3.7,,,,30.1,3.8,,
2023-05-30 11:10:00,,52.3,34.4,30.2,32.28,30.2,30.2,[30.2],1.0,33.0,10.7,30.7,21.0,0.0,33.0,0.1,32.9,26.0,1.0,34.4,4.8,32.0,21.0,,30.8,3.6,,,,30.2,3.7,,
2023-05-30 11:15:00,,52.3,34.4,30.2,32.28,30.2,30.2,[30.2],1.0,33.0,10.7,30.7,21.0,0.0,33.0,0.1,32.9,26.0,1.0,34.4,4.8,32.0,21.0,,30.8,3.7,,,,30.2,3.8,,
2023-05-30 11:20:00,,52.2,34.4,30.2,32.28,30.2,30.2,[30.2],1.0,33.0,10.7,30.7,21.0,0.0,33.0,0.1,33.0,26.0,1.0,34.4,4.9,32.0,21.0,,30.8,3.7,,,,30.2,3.8,,
2023-05-30 11:25:00,,52.4,34.4,30.2,32.28,30.2,30.2,[30.2],1.0,33.0,10.7,30.8,21.0,0.0,33.0,0.1,33.0,26.0,1.0,34.4,4.8,32.0,21.0,,30.8,3.7,,,,30.2,3.8,,
2023-05-30 11:30:00,,52.3,34.4,30.2,32.32,30.2,30.2,[30.2],1.0,33.1,10.7,30.8,21.0,0.0,33.1,0.1,33.0,26.0,1.0,34.4,4.9,32.0,21.0,,30.8,3.6,,,,30.2,3.8,,
2023-05-30 11:35:00,,52.4,34.5,30.2,32.34,30.2,30.2,[30.2],1.0,33.1,10.7,30.7,21.0,0.0,33.1,0.1,33.0,26.0,1.0,34.5,4.9,32.0,21.0,,30.8,3.6,,,,30.2,3.8,,
2023-05-30 11:40:00,,52.3,34.5,30.2,32.34,30.2,30.2,[30.2],1.0,33.1,10.7,30.9,21.0,0.0,33.1,0.1,33.1,26.0,1.0,34.5,4.9,32.0,21.0,,30.8,3.6,,,,30.2,3.7,,
2023-05-30 11:45:00,,52.4,34.5,30.2,32.34,30.3,30.3,[30.3],1.0,33.1,10.8,30.8,21.0,0.0,33.1,0.1,33.0,26.0,1.0,34.5,4.9,32.0,21.0,,30.8,3.8,,,,30.2,3.9,,
2023-05-30 11:50:00,,52.4,34.5,30.2,32.34,30.3,30.3,[30.3],1.0,33.1,10.8,30.8,21.0,0.0,33.1,0.1,33.1,26.0,1.0,34.5,5.0,32.0,21.0,,30.8,3.8,,,,30.2,3.9,,
2023-05-30 11:55:00,,52.2,34.5,30.3,32.36,30.3,30.3,[30.3],1.0,33.1,10.7,30.9,21.0,0.0,33.1,0.1,33.1,26.0,1.0,34.5,4.9,32.0,21.0,,30.8,3.7,,,,30.3,3.8,,
2023-05-30 12:00:00,,52.4,34.6,30.3,32.38000000000001,30.3,30.3,[30.3],1.0,33.1,10.7,30.8,21.0,0.0,33.1,0.1,33.2,26.0,1.0,34.6,4.9,32.0,21.0,,30.8,3.7,,,,30.3,3.9,,
2023-05-30 12:05:00,,52.4,34.6,30.2,32.36,30.3,30.3,[30.3],1.0,33.1,10.7,30.9,21.0,0.0,33.1,0.1,33.1,26.0,1.0,34.6,5.0,32.0,21.0,,30.8,3.7,,,,30.2,3.9,,
2023-05-30 12:10:00,,52.4,34.6,30.2,32.36,30.3,30.3,[30.3],1.0,33.1,10.8,30.8,21.0,0.0,33.1,0.1,33.1,26.0,1.0,34.6,5.0,32.0,21.0,,30.8,3.7,,,,30.2,3.8,,
2023-05-30 12:15:00,,52.4,34.6,30.3,32.38000000000001,30.3,30.3,[30.3],1.0,33.1,10.7,30.9,21.0,0.0,33.1,0.1,33.1,26.0,1.0,34.6,5.0,32.0,21.0,,30.8,3.9,,,,30.3,3.9,,
2023-05-30 12:20:00,,52.3,34.6,30.3,32.400000000000006,30.3,30.3,[30.3],1.0,33.1,10.8,30.9,21.0,0.0,33.1,0.1,33.2,26.0,1.0,34.6,5.0,32.0,21.0,,30.9,3.7,,,,30.3,3.8,,
2023-05-30 12:25:00,,52.4,34.6,30.3,32.440000000000005,30.3,30.3,[30.3],1.0,33.2,10.7,30.9,21.0,0.0,33.2,0.1,33.2,26.0,1.0,34.6,5.0,32.0,21.0,,30.9,3.7,,,,30.3,3.7,,
2023-05-30 12:30:00,,52.4,34.6,30.3,32.440000000000005,30.3,30.3,[30.3],1.0,33.2,10.9,30.8,21.0,0.0,33.2,0.1,33.2,26.0,1.0,34.6,4.9,33.0,21.0,,30.9,3.7,,,,30.3,3.8,,
2023-05-30 12:35:00,,52.3,34.6,30.3,32.440000000000005,30.3,30.3,[30.3],1.0,33.2,10.8,30.9,21.0,0.0,33.2,0.1,33.2,26.0,1.0,34.6,5.0,32.0,21.0,,30.9,3.7,,,,30.3,3.8,,
2023-05-30 12:40:00,,52.4,34.7,30.4,32.480000000000004,30.3,30.3,[30.3],1.0,33.2,10.8,30.9,21.0,0.0,33.2,0.1,33.1,26.0,1.0,34.7,5.0,32.0,21.0,,30.9,3.7,,,,30.4,3.9,,
2023-05-30 12:45:00,,52.4,34.7,30.4,32.480000000000004,30.3,30.3,[30.3],1.0,33.2,10.9,30.9,21.0,0.0,33.2,0.1,33.1,26.0,1.0,34.7,5.1,32.0,21.0,,30.9,3.8,,,,30.4,3.9,,
2023-05-30 12:50:00,,52.4,34.7,30.4,32.480000000000004,30.3,30.3,[30.3],1.0,33.2,10.9,31.0,21.0,0.0,33.2,0.1,33.2,26.0,1.0,34.7,5.0,32.0,21.0,,30.9,3.8,,,,30.4,3.8,,
2023-05-30 12:55:00,,52.4,34.7,30.4,32.480000000000004,30.4,30.4,[30.4],1.0,33.2,10.9,30.9,21.0,0.0,33.2,0.1,33.2,26.0,1.0,34.7,5.0,32.0,21.0,,30.9,3.8,,,,30.4,3.8,,
2023-05-30 13:00:00,,52.5,34.7,30.4,32.480000000000004,30.4,30.4,[30.4],1.0,33.2,10.9,31.0,21.0,0.0,33.2,0.1,33.3,26.0,1.0,34.7,5.0,32.0,21.0,,30.9,3.7,,,,30.4,3.8,,
2023-05-30 13:05:00,,52.4,34.8,30.4,32.5,30.4,30.4,[30.4],1.0,33.2,10.9,31.1,21.0,0.0,33.2,0.1,33.2,26.0,1.0,34.8,5.0,32.0,21.0,,30.9,3.8,,,,30.4,3.8,,
2023-05-30 13:10:00,,52.4,34.8,30.4,32.5,30.4,30.4,[30.4],1.0,33.2,10.9,31.0,21.0,0.0,33.2,0.1,33.2,26.0,1.0,34.8,5.0,32.0,21.0,,30.9,3.8,,,,30.4,3.8,,
2023-05-30 13:15:00,,52.4,34.8,30.4,32.52,30.4,30.4,[30.4],1.0,33.2,11.2,31.0,21.0,0.0,33.2,0.1,33.3,26.0,1.0,34.8,5.2,32.0,21.0,,31.0,4.0,,,,30.4,4.0,,
2023-05-30 13:20:00,,52.4,34.8,30.5,32.58,30.5,30.5,[30.5],1.0,33.3,11.0,31.1,21.0,0.0,33.3,0.1,33.2,26.0,1.0,34.8,5.1,33.0,21.0,,31.0,4.0,,,,30.5,4.0,,
2023-05-30 13:25:00,,52.4,34.9,30.5,32.6,30.5,30.5,[30.5],1.0,33.3,11.1,31.1,21.0,0.0,33.3,0.1,33.3,26.0,1.0,34.9,5.1,33.0,21.0,,31.0,3.9,,,,30.5,4.0,,
2023-05-30 13:30:00,,52.4,34.9,30.5,32.6,30.5,30.5,[30.5],1.0,33.3,11.0,31.2,21.0,0.0,33.3,0.1,33.4,26.0,1.0,34.9,5.0,33.0,21.0,,31.0,3.8,,,,30.5,3.9,,
2023-05-30 13:35:00,,52.4,34.9,30.6,32.62,30.5,30.5,[30.5],1.0,33.3,10.9,31.1,21.0,0.0,33.3,0.1,33.3,26.0,1.0,34.9,5.0,33.0,21.0,,31.0,3.8,,,,30.6,3.8,,
2023-05-30 13:40:00,,52.5,35.0,30.6,32.64,30.5,30.5,[30.5],1.0,33.3,11.1,31.2,21.0,0.0,33.3,0.1,33.4,26.0,1.0,35.0,5.2,33.0,21.0,,31.0,4.0,,,,30.6,4.0,,
2023-05-30 13:45:00,,52.4,35.0,30.6,32.66,30.5,30.5,[30.5],1.0,33.3,11.1,31.2,21.0,0.0,33.3,0.1,33.4,26.0,1.0,35.0,5.2,33.0,21.0,,31.1,3.8,,,,30.6,4.0,,
2023-05-30 13:50:00,,52.5,35.0,30.6,32.7,30.6,30.6,[30.6],1.0,33.4,11.1,31.1,21.0,0.0,33.4,0.1,33.5,26.0,1.0,35.0,5.1,33.0,21.0,,31.1,3.8,,,,30.6,3.8,,
2023-05-30 13:55:00,,52.4,35.0,30.6,32.7,30.6,30.6,[30.6],1.0,33.4,11.1,31.2,21.0,0.0,33.4,0.1,33.4,26.0,1.0,35.0,5.1,33.0,21.0,,31.1,3.9,,,,30.6,3.9,,
2023-05-30 14:00:00,,52.4,35.0,30.6,32.7,30.6,30.6,[30.6],1.0,33.4,11.0,31.3,21.0,0.0,33.4,0.1,33.4,26.0,1.0,35.0,5.2,33.0,21.0,,31.1,3.9,,,,30.6,4.0,,
2023-05-30 14:05:00,,52.5,35.0,30.7,32.72,30.6,30.6,[30.6],1.0,33.4,11.0,31.2,21.0,0.0,33.4,0.1,33.4,26.0,1.0,35.0,5.1,33.0,21.0,,31.1,3.9,,,,30.7,4.0,,
2023-05-30 14:10:00,,52.4,35.1,30.7,32.779999999999994,30.6,30.6,[30.6],1.0,33.5,11.0,31.2,21.0,0.0,33.5,0.1,33.5,26.0,1.0,35.1,5.1,33.0,21.0,,31.1,3.8,,,,30.7,3.9,,
2023-05-30 14:15:00,,52.4,35.1,30.7,32.779999999999994,30.6,30.6,[30.6],1.0,33.5,11.2,31.3,21.0,0.0,33.5,0.1,33.5,26.0,1.0,35.1,5.2,33.0,21.0,,31.1,3.8,,,,30.7,4.0,,
2023-05-30 14:20:00,,52.4,,,,30.6,30.6,[30.6],1.0,,11.2,31.2,21.0,0.0,,0.1,33.5,26.0,1.0,,5.2,33.0,21.0,,,3.8,,,,,4.0,,
2023-05-30 14:25:00,,52.4,35.1,30.7,32.8,30.6,30.6,[30.6],1.0,33.5,11.2,31.2,21.0,0.0,33.5,0.1,33.4,26.0,1.0,35.1,5.2,33.0,21.0,,31.2,3.9,,,,30.7,3.9,,
2023-05-30 14:30:00,,52.5,35.2,30.7,32.82,30.6,30.6,[30.6],1.0,33.5,11.1,31.2,21.0,0.0,33.5,0.1,33.6,26.0,1.0,35.2,5.2,33.0,21.0,,31.2,3.8,,,,30.7,3.8,,
2023-05-30 14:35:00,,52.4,35.2,30.7,32.82,30.7,30.7,[30.7],1.0,33.5,11.1,31.3,21.0,0.0,33.5,0.1,33.6,26.0,1.0,35.2,5.2,33.0,21.0,,31.2,3.8,,,,30.7,3.8,,
2023-05-30 14:40:00,,52.6,35.2,30.8,32.84,30.7,30.7,[30.7],1.0,33.5,11.1,31.4,21.0,0.0,33.5,0.1,33.5,26.0,1.0,35.2,5.2,33.0,21.0,,31.2,3.9,,,,30.8,3.9,,
2023-05-30 14:45:00,,52.6,35.2,30.8,32.84,30.7,30.7,[30.7],1.0,33.5,11.0,31.3,21.0,0.0,33.5,0.1,33.5,26.0,1.0,35.2,5.1,33.0,21.0,,31.2,3.8,,,,30.8,3.9,,
2023-05-30 14:50:00,,52.6,35.1,30.8,32.82,30.7,30.7,[30.7],1.0,33.5,11.1,31.2,21.0,0.0,33.5,0.1,33.5,26.0,1.0,35.1,5.2,33.0,21.0,,31.2,3.8,,,,30.8,3.9,,
2023-05-30 14:55:00,,52.6,35.1,30.8,32.86,30.7,30.7,[30.7],1.0,33.6,11.0,31.3,21.0,0.0,33.6,0.1,33.5,26.0,1.0,35.1,5.1,33.0,21.0,,31.2,3.8,,,,30.8,3.9,,
2023-05-30 15:00:00,,52.6,35.1,30.8,32.86,30.7,30.7,[30.7],1.0,33.6,11.1,31.2,21.0,0.0,33.6,0.1,33.5,26.0,1.0,35.1,5.2,33.0,21.0,,31.2,3.8,,,,30.8,3.9,,
2023-05-30 15:05:00,,52.7,35.1,30.8,32.86,30.7,30.7,[30.7],1.0,33.6,11.0,31.2,21.0,0.0,33.6,0.1,33.4,26.0,1.0,35.1,5.1,33.0,21.0,,31.2,3.8,,,,30.8,3.9,,
2023-05-30 15:10:00,,52.6,35.1,30.8,32.88000000000001,30.7,30.7,[30.7],1.0,33.6,11.1,31.3,21.0,0.0,33.6,0.1,33.6,26.0,1.0,35.1,5.2,33.0,21.0,,31.3,3.9,,,,30.8,4.0,,
2023-05-30 15:15:00,,52.6,35.2,30.8,32.900000000000006,30.7,30.7,[30.7],1.0,33.6,11.0,31.4,21.0,0.0,33.6,0.1,33.6,26.0,1.0,35.2,5.2,33.0,21.0,,31.3,3.9,,,,30.8,4.0,,
2023-05-30 15:20:00,,52.6,35.2,30.8,32.900000000000006,30.7,30.7,[30.7],1.0,33.6,11.3,31.3,21.0,0.0,33.6,0.1,33.6,26.0,1.0,35.2,5.2,33.0,21.0,,31.3,4.0,,,,30.8,4.0,,
2023-05-30 15:25:00,,52.6,35.2,30.8,32.900000000000006,30.7,30.7,[30.7],1.0,33.6,11.0,31.4,21.0,0.0,33.6,0.1,33.5,26.0,1.0,35.2,5.2,33.0,21.0,,31.3,3.8,,,,30.8,4.0,,
2023-05-30 15:30:00,,52.6,35.2,30.8,32.900000000000006,30.7,30.7,[30.7],1.0,33.6,11.1,31.3,21.0,0.0,33.6,0.1,33.5,26.0,1.0,35.2,5.3,33.0,21.0,,31.3,3.8,,,,30.8,4.0,,
2023-05-30 15:35:00,,52.6,35.2,30.8,32.900000000000006,30.7,30.7,[30.7],1.0,33.6,11.0,31.4,21.0,0.0,33.6,0.1,33.5,26.0,1.0,35.2,5.2,33.0,21.0,,31.3,3.8,,,,30.8,4.0,,
2023-05-30 15:40:00,,52.6,35.2,30.8,32.900000000000006,30.7,30.7,[30.7],1.0,33.6,11.0,31.4,21.0,0.0,33.6,0.1,33.6,26.0,1.0,35.2,5.1,33.0,21.0,,31.3,3.8,,,,30.8,3.8,,
2023-05-30 15:45:00,,52.6,35.2,30.8,32.900000000000006,30.7,30.7,[30.7],1.0,33.6,10.9,31.3,21.0,0.0,33.6,0.1,33.6,26.0,1.0,35.2,5.1,33.0,21.0,,31.3,3.8,,,,30.8,3.8,,
