time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3811317_c,3811317_h,3811317_p,3811317_r,3811317_s,3811318_c,3811318_h,3811318_p,3811318_r,3811318_s
2023-05-30 09:05:00,,8.76,35.0,32.2,33.6,25.8,25.8,[25.8],1.0,32.2,3.5,25.0,26.0,1.0,35.0,3.3,28.0,26.0
2023-05-30 09:10:00,,8.79,34.5,32.2,33.35,27.3,27.3,[27.3],1.0,32.2,0.3,27.0,26.0,1.0,34.5,3.3,26.0,26.0
2023-05-30 09:15:00,,8.79,33.6,33.5,33.55,26.8,26.8,[26.8],1.0,33.5,3.5,28.0,26.0,1.0,33.6,0.3,28.0,26.0
2023-05-30 09:20:00,,8.8,33.1,32.8,32.95,27.5,27.5,[27.5],1.0,32.8,3.5,26.0,26.0,1.0,33.1,0.3,26.0,26.0
2023-05-30 09:25:00,,8.79,33.9,32.8,33.349999999999994,27.2,27.2,[27.2],1.0,32.8,3.5,27.0,26.0,1.0,33.9,0.3,27.0,26.0
2023-05-30 09:30:00,,8.780000000000001,33.4,32.5,32.95,27.1,27.1,[27.1],1.0,32.5,3.6,25.0,26.0,1.0,33.4,3.4,25.0,26.0
2023-05-30 09:35:00,,8.78,33.9,32.3,33.099999999999994,26.9,26.9,[26.9],1.0,32.3,3.5,26.0,25.0,1.0,33.9,0.3,27.0,27.0
2023-05-30 09:40:00,,8.77,34.3,32.4,33.349999999999994,27.0,27.0,[27.0],1.0,32.4,3.5,26.0,25.0,1.0,34.3,0.3,28.0,27.0
2023-05-30 09:45:00,,8.77,34.3,32.4,33.349999999999994,27.0,27.0,[27.0],1.0,32.4,3.5,26.0,25.0,1.0,34.3,0.3,28.0,27.0
2023-05-30 09:50:00,,8.78,34.3,32.4,33.349999999999994,25.1,25.1,[25.1],1.0,32.4,3.6,26.0,25.0,1.0,34.3,0.3,28.0,27.0
2023-05-30 09:55:00,,8.78,34.6,32.9,33.75,27.0,27.0,[27.0],1.0,32.9,3.6,26.0,25.0,1.0,34.6,0.3,28.0,27.0
2023-05-30 10:00:00,,8.78,36.1,32.9,34.5,27.0,27.0,[27.0],1.0,32.9,3.6,26.0,25.0,1.0,36.1,0.3,28.0,27.0
2023-05-30 10:05:00,,8.8,36.0,32.9,34.45,26.9,26.9,[26.9],1.0,32.9,3.5,24.0,24.0,1.0,36.0,0.3,25.0,26.0
2023-05-30 10:10:00,,8.77,36.2,32.8,34.5,26.8,26.8,[26.8],1.0,32.8,3.5,26.0,24.0,1.0,36.2,0.3,27.0,26.0
2023-05-30 10:15:00,,8.77,36.2,32.5,34.35,25.7,25.7,[25.7],1.0,32.5,3.5,24.0,24.0,1.0,36.2,0.3,24.0,26.0
2023-05-30 10:20:00,,8.77,35.9,32.5,34.2,26.7,26.7,[26.7],1.0,32.5,3.5,26.0,24.0,1.0,35.9,0.3,27.0,26.0
2023-05-30 10:25:00,,8.77,36.2,32.7,34.45,26.8,26.8,[26.8],1.0,32.7,3.6,26.0,24.0,1.0,36.2,0.3,27.0,26.0
2023-05-30 10:30:00,,8.79,35.9,32.4,34.15,26.7,26.7,[26.7],1.0,32.4,3.5,24.0,24.0,1.0,35.9,0.3,25.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,8.77,36.4,32.4,34.4,26.8,26.8,[26.8],1.0,32.4,3.5,26.0,25.0,1.0,36.4,0.3,27.0,27.0
2023-05-30 10:45:00,,8.76,36.3,32.5,34.4,26.8,26.8,[26.8],1.0,32.5,3.5,26.0,25.0,1.0,36.3,0.3,27.0,27.0
2023-05-30 10:50:00,,8.77,36.5,32.7,34.6,26.8,26.8,[26.8],1.0,32.7,3.6,26.0,25.0,1.0,36.5,0.3,28.0,27.0
2023-05-30 10:55:00,,8.77,36.5,32.9,34.7,26.8,26.8,[26.8],1.0,32.9,3.5,26.0,25.0,1.0,36.5,0.3,27.0,27.0
2023-05-30 11:00:00,,8.78,36.8,33.0,34.9,26.9,26.9,[26.9],1.0,33.0,3.5,26.0,25.0,1.0,36.8,0.3,28.0,27.0
2023-05-30 11:05:00,,8.79,36.8,32.6,34.7,26.7,26.7,[26.7],1.0,32.6,3.6,24.0,24.0,1.0,36.8,0.3,24.0,26.0
2023-05-30 11:10:00,,8.77,36.0,32.6,34.3,26.8,26.8,[26.8],1.0,32.6,3.5,26.0,24.0,1.0,36.0,0.3,27.0,26.0
2023-05-30 11:15:00,,8.77,36.0,32.7,34.35,26.8,26.8,[26.8],1.0,32.7,3.5,25.0,24.0,1.0,36.0,3.3,26.0,26.0
2023-05-30 11:20:00,,8.77,36.0,32.4,34.2,26.7,26.7,[26.7],1.0,32.4,3.6,26.0,24.0,1.0,36.0,0.3,27.0,26.0
2023-05-30 11:25:00,,8.76,36.1,32.7,34.400000000000006,26.8,26.8,[26.8],1.0,32.7,3.5,26.0,24.0,1.0,36.1,0.3,27.0,26.0
2023-05-30 11:30:00,,8.77,35.7,32.5,34.1,26.6,26.6,[26.6],1.0,32.5,3.5,24.0,24.0,1.0,35.7,0.3,24.0,26.0
2023-05-30 11:35:00,,8.77,36.0,32.5,34.25,26.7,26.7,[26.7],1.0,32.5,3.6,26.0,25.0,1.0,36.0,0.3,27.0,27.0
2023-05-30 11:40:00,,8.77,36.2,32.7,34.45,26.8,26.8,[26.8],1.0,32.7,3.5,26.0,25.0,1.0,36.2,0.3,27.0,27.0
