time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1159155_c,1159155_h,1159155_p,1159155_r,1159155_s,1159156_c,1159156_h,1159156_p,1159156_r,1159156_s,3819432_c,3819432_h,3819432_p,3819432_r,3819432_s,3819433_c,3819433_h,3819433_p,3819433_r,3819433_s,3819434_c,3819434_h,3819434_p,3819434_r,3819434_s
2023-05-30 09:00:00,,,,,,,,,,,11.2,,,,,11.9,,,,,4.4,,,,,4.7,,,,,4.9,,
2023-05-30 09:05:00,,,33.6,27.3,29.76,26.2,26.2,[26.2],1.0,29.6,11.1,27.1,24.0,1.0,27.3,12.0,26.6,24.0,1.0,31.0,4.4,25.2,23.0,1.0,33.6,4.6,24.9,24.0,1.0,27.3,4.6,24.9,24.0
2023-05-30 09:10:00,,,33.6,27.2,29.68,26.2,26.2,[26.2],1.0,29.5,11.0,27.1,24.0,1.0,27.2,11.8,26.6,24.0,1.0,30.9,4.3,25.0,23.0,1.0,33.6,4.6,24.9,24.0,1.0,27.2,4.6,24.7,24.0
2023-05-30 09:15:00,,,33.5,27.2,29.62,26.1,26.1,[26.1],1.0,29.4,11.1,27.1,24.0,1.0,27.2,11.9,26.6,24.0,1.0,30.8,4.4,25.0,23.0,1.0,33.5,4.6,24.8,24.0,1.0,27.2,4.7,24.7,24.0
2023-05-30 09:20:00,,,33.5,27.1,29.58,26.0,26.0,[26.0],1.0,29.4,10.8,27.0,24.0,1.0,27.1,11.6,26.6,24.0,1.0,30.8,4.3,25.0,23.0,1.0,33.5,4.6,24.8,24.0,1.0,27.1,4.6,24.7,24.0
2023-05-30 09:25:00,,,33.4,27.2,29.599999999999994,26.0,26.0,[26.0],1.0,29.4,11.0,27.0,24.0,1.0,27.2,11.8,26.6,24.0,1.0,30.8,4.4,24.9,23.0,1.0,33.4,4.7,24.8,24.0,1.0,27.2,4.8,24.6,24.0
2023-05-30 09:30:00,,,33.4,27.2,29.6,26.0,26.0,[26.0],1.0,29.5,11.1,27.0,24.0,1.0,27.2,11.9,26.6,24.0,1.0,30.7,4.4,25.0,23.0,1.0,33.4,4.7,24.7,24.0,1.0,27.2,4.8,24.3,24.0
2023-05-30 09:35:00,,,33.4,27.1,29.54,26.0,26.0,[26.0],1.0,29.4,11.1,26.9,24.0,1.0,27.1,11.8,26.6,24.0,1.0,30.7,4.4,25.0,23.0,1.0,33.4,4.7,24.7,24.0,1.0,27.1,4.8,24.4,24.0
2023-05-30 09:40:00,,,33.4,27.1,29.52,25.9,25.9,[25.9],1.0,29.3,11.3,26.9,24.0,1.0,27.1,12.0,26.5,24.0,1.0,30.7,4.4,24.9,23.0,1.0,33.4,4.7,24.7,24.0,1.0,27.1,4.8,24.4,24.0
2023-05-30 09:45:00,,,33.3,27.0,29.46,26.0,26.0,[26.0],1.0,29.3,11.2,26.9,24.0,1.0,27.0,11.9,26.5,24.0,1.0,30.7,4.4,25.0,23.0,1.0,33.3,4.7,24.6,24.0,1.0,27.0,4.7,24.3,24.0
2023-05-30 09:50:00,,,33.4,27.0,29.46,25.9,25.9,[25.9],1.0,29.3,11.1,26.9,24.0,1.0,27.0,11.9,26.5,24.0,1.0,30.6,4.4,25.0,23.0,1.0,33.4,4.7,26.3,24.0,1.0,27.0,4.9,24.4,24.0
2023-05-30 09:55:00,,,33.4,27.0,29.46,25.9,25.9,[25.9],1.0,29.3,11.3,26.9,24.0,1.0,27.0,12.0,26.5,24.0,1.0,30.6,4.4,25.0,23.0,1.0,33.4,4.8,26.3,24.0,1.0,27.0,4.8,24.8,24.0
