time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1159553_c,1159553_h,1159553_p,1159553_r,1159553_s,1159554_c,1159554_h,1159554_p,1159554_r,1159554_s,1372599_c,1372599_h,1372599_p,1372599_r,1372599_s,1372600_c,1372600_h,1372600_p,1372600_r,1372600_s
2023-05-30 09:00:00,,,,,,,,,,,11.0,,,,,12.0,,,,,0.1,,,,,0.1,,
2023-05-30 09:05:00,,65.5,43.9,27.0,31.775,24.2,24.2,[24.2],1.0,43.9,11.3,31.1,29.0,1.0,29.2,12.1,27.0,26.0,1.0,27.0,0.1,23.1,26.0,1.0,27.0,0.1,24.2,26.0
2023-05-30 09:10:00,,65.4,43.9,27.0,31.775,27.1,27.1,[27.1],1.0,43.9,11.3,31.0,29.0,1.0,29.2,11.9,27.0,26.0,1.0,27.0,0.1,23.1,26.0,1.0,27.0,0.1,24.1,26.0
2023-05-30 09:15:00,,65.4,43.8,27.0,31.75,26.2,26.2,[26.2],1.0,43.8,11.7,31.1,29.0,1.0,29.2,12.2,26.9,26.0,1.0,27.0,0.1,23.1,26.0,1.0,27.0,0.1,24.3,26.0
2023-05-30 09:20:00,,65.4,43.8,27.0,31.75,27.1,27.1,[27.1],1.0,43.8,11.5,31.1,29.0,1.0,29.2,12.1,27.1,26.0,1.0,27.0,0.1,23.1,26.0,1.0,27.0,0.1,24.2,26.0
2023-05-30 09:25:00,,65.5,43.9,27.0,31.775,27.2,27.2,[27.2],1.0,43.9,11.4,31.1,29.0,1.0,29.2,12.0,26.9,26.0,1.0,27.0,0.1,23.1,26.0,1.0,27.0,0.1,24.1,26.0
2023-05-30 09:30:00,,65.4,43.8,27.0,31.75,27.1,27.1,[27.1],1.0,43.8,11.6,31.1,29.0,1.0,29.2,12.2,27.1,26.0,1.0,27.0,0.1,23.1,26.0,1.0,27.0,0.1,24.2,26.0
2023-05-30 09:35:00,,65.4,43.8,27.0,31.75,27.1,27.1,[27.1],1.0,43.8,11.4,31.1,29.0,1.0,29.2,12.1,27.0,26.0,1.0,27.0,0.1,23.2,26.0,1.0,27.0,0.1,24.3,26.0
2023-05-30 09:40:00,,65.4,43.8,27.0,31.75,27.2,27.2,[27.2],1.0,43.8,11.3,31.1,29.0,1.0,29.2,12.2,26.9,26.0,1.0,27.0,0.1,23.1,26.0,1.0,27.0,0.1,24.1,26.0
2023-05-30 09:45:00,,65.6,43.8,26.9,31.675000000000004,27.2,27.2,[27.2],1.0,43.8,11.6,31.1,29.0,1.0,29.1,12.3,27.1,26.0,1.0,26.9,0.1,23.2,26.0,1.0,26.9,0.1,24.0,26.0
2023-05-30 09:50:00,,65.5,43.8,27.0,31.725,27.2,27.2,[27.2],1.0,43.8,11.8,31.1,29.0,1.0,29.1,12.3,26.9,26.0,1.0,27.0,0.1,23.1,26.0,1.0,27.0,0.1,24.1,26.0
2023-05-30 09:55:00,,65.6,43.8,26.9,31.675000000000004,27.1,27.1,[27.1],1.0,43.8,11.4,31.2,29.0,1.0,29.1,12.0,26.8,26.0,1.0,26.9,0.1,23.2,26.0,1.0,26.9,0.1,24.1,26.0
2023-05-30 10:00:00,,65.5,43.9,26.9,31.700000000000003,26.1,26.1,[26.1],1.0,43.9,11.3,31.1,29.0,1.0,29.1,12.1,27.0,26.0,1.0,26.9,0.1,23.2,26.0,1.0,26.9,0.1,24.1,26.0
2023-05-30 10:05:00,,65.6,43.8,27.0,31.75,27.1,27.1,[27.1],1.0,43.8,11.6,31.1,29.0,1.0,29.2,12.4,27.0,26.0,1.0,27.0,0.1,23.1,26.0,1.0,27.0,0.1,24.2,26.0
2023-05-30 10:10:00,,65.7,43.8,27.0,31.725,27.1,27.1,[27.1],1.0,43.8,11.6,31.1,29.0,1.0,29.1,12.1,27.1,26.0,1.0,27.0,0.1,23.1,26.0,1.0,27.0,0.1,24.1,26.0
2023-05-30 10:15:00,,65.7,43.8,27.0,31.725,27.1,27.1,[27.1],1.0,43.8,11.5,31.1,29.0,1.0,29.1,12.1,27.1,26.0,1.0,27.0,0.1,23.1,26.0,1.0,27.0,0.1,24.1,26.0
2023-05-30 10:20:00,,65.4,43.7,27.0,31.725,27.2,27.2,[27.2],1.0,43.7,11.8,31.1,29.0,1.0,29.2,12.3,26.9,26.0,1.0,27.0,0.1,23.1,26.0,1.0,27.0,0.1,24.1,26.0
2023-05-30 10:25:00,,65.7,43.9,27.0,31.75,27.2,27.2,[27.2],1.0,43.9,11.7,31.1,29.0,1.0,29.1,12.3,27.0,26.0,1.0,27.0,0.1,23.1,26.0,1.0,27.0,0.1,24.2,26.0
2023-05-30 10:30:00,,65.6,43.8,27.0,31.75,27.2,27.2,[27.2],1.0,43.8,11.7,31.1,29.0,1.0,29.2,12.4,27.3,26.0,1.0,27.0,0.1,23.1,26.0,1.0,27.0,0.1,24.1,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,65.7,43.8,27.0,31.725,26.1,26.1,[26.1],1.0,43.8,11.3,31.1,29.0,1.0,29.1,12.2,27.3,26.0,1.0,27.0,0.1,23.2,26.0,1.0,27.0,0.1,24.1,26.0
2023-05-30 10:45:00,,65.5,43.8,27.0,31.725,27.1,27.1,[27.1],1.0,43.8,11.7,31.1,29.0,1.0,29.1,12.3,27.0,26.0,1.0,27.0,0.1,23.3,26.0,1.0,27.0,0.1,24.5,26.0
2023-05-30 10:50:00,,65.5,43.8,27.0,31.725,27.2,27.2,[27.2],1.0,43.8,11.6,31.1,29.0,1.0,29.1,12.3,26.9,26.0,1.0,27.0,0.1,23.3,26.0,1.0,27.0,0.1,24.2,26.0
2023-05-30 10:55:00,,65.4,43.8,27.1,31.8,27.1,27.1,[27.1],1.0,43.8,11.6,31.0,29.0,1.0,29.2,11.9,27.2,26.0,1.0,27.1,0.1,23.2,26.0,1.0,27.1,0.1,24.2,26.0
2023-05-30 11:00:00,,65.6,43.8,27.0,31.725,27.2,27.2,[27.2],1.0,43.8,11.7,31.0,29.0,1.0,29.1,12.1,27.0,26.0,1.0,27.0,0.1,23.2,26.0,1.0,27.0,0.1,24.2,26.0
2023-05-30 11:05:00,,65.4,43.8,27.0,31.725,27.2,27.2,[27.2],1.0,43.8,11.8,31.2,29.0,1.0,29.1,12.1,26.9,26.0,1.0,27.0,0.1,23.2,26.0,1.0,27.0,0.1,24.2,26.0
2023-05-30 11:10:00,,65.6,43.8,27.0,31.75,27.1,27.1,[27.1],1.0,43.8,11.6,31.1,29.0,1.0,29.2,12.2,27.2,26.0,1.0,27.0,0.1,23.2,26.0,1.0,27.0,0.1,24.2,26.0
2023-05-30 11:15:00,,65.7,43.8,27.0,31.75,27.2,27.2,[27.2],1.0,43.8,11.7,31.1,29.0,1.0,29.2,12.2,27.2,26.0,1.0,27.0,0.1,23.2,26.0,1.0,27.0,0.1,24.2,26.0
2023-05-30 11:20:00,,65.5,43.9,27.0,31.775,27.2,27.2,[27.2],1.0,43.9,11.8,31.1,29.0,1.0,29.2,12.3,27.0,26.0,1.0,27.0,0.1,23.1,26.0,1.0,27.0,0.1,24.3,26.0
2023-05-30 11:25:00,,65.6,43.8,27.0,31.75,27.2,27.2,[27.2],1.0,43.8,12.0,31.1,29.0,1.0,29.2,12.3,27.1,26.0,1.0,27.0,0.1,23.2,26.0,1.0,27.0,0.1,24.1,26.0
2023-05-30 11:30:00,,65.7,43.9,27.1,31.825,27.0,27.0,[27.0],1.0,43.9,11.7,31.1,29.0,1.0,29.2,12.4,26.9,26.0,1.0,27.1,0.1,23.2,26.0,1.0,27.1,0.1,24.2,26.0
2023-05-30 11:35:00,,65.6,43.9,27.0,31.775,27.1,27.1,[27.1],1.0,43.9,12.2,31.1,29.0,1.0,29.2,12.2,27.0,26.0,1.0,27.0,0.1,23.2,26.0,1.0,27.0,0.1,24.3,26.0
2023-05-30 11:40:00,,65.6,43.8,27.1,31.8,27.1,27.1,[27.1],1.0,43.8,11.9,31.1,29.0,1.0,29.2,12.3,26.9,26.0,1.0,27.1,0.1,23.3,26.0,1.0,27.1,0.1,24.3,26.0
2023-05-30 11:45:00,,65.6,43.9,27.1,31.825,27.3,27.3,[27.3],1.0,43.9,11.9,31.2,29.0,1.0,29.2,12.3,26.9,26.0,1.0,27.1,0.1,23.2,26.0,1.0,27.1,0.1,24.3,26.0
2023-05-30 11:50:00,,65.6,43.9,27.0,31.775,27.2,27.2,[27.2],1.0,43.9,11.9,31.2,29.0,1.0,29.2,12.5,27.0,26.0,1.0,27.0,0.1,23.3,26.0,1.0,27.0,0.1,24.2,26.0
2023-05-30 11:55:00,,65.6,43.9,27.1,31.825,27.2,27.2,[27.2],1.0,43.9,11.8,31.1,29.0,1.0,29.2,12.5,27.0,26.0,1.0,27.1,0.1,23.2,26.0,1.0,27.1,0.1,24.2,26.0
2023-05-30 12:00:00,,65.4,43.9,27.1,31.825,27.2,27.2,[27.2],1.0,43.9,12.0,31.1,29.0,1.0,29.2,12.2,27.0,26.0,1.0,27.1,0.1,23.3,26.0,1.0,27.1,0.1,24.4,26.0
2023-05-30 12:05:00,,65.6,43.9,27.1,31.825,27.2,27.2,[27.2],1.0,43.9,11.9,31.1,29.0,1.0,29.2,12.2,27.3,26.0,1.0,27.1,0.1,23.2,26.0,1.0,27.1,0.1,24.3,26.0
2023-05-30 12:10:00,,65.7,43.9,27.1,31.825,27.3,27.3,[27.3],1.0,43.9,11.8,31.2,29.0,1.0,29.2,12.4,27.0,26.0,1.0,27.1,0.1,23.2,26.0,1.0,27.1,0.1,24.4,26.0
2023-05-30 12:15:00,,65.6,43.9,27.0,31.775,27.2,27.2,[27.2],1.0,43.9,11.9,31.2,29.0,1.0,29.2,12.5,27.2,26.0,1.0,27.0,0.1,23.4,26.0,1.0,27.0,0.1,24.5,26.0
2023-05-30 12:20:00,,65.5,43.9,27.0,31.775,27.1,27.1,[27.1],1.0,43.9,11.9,31.2,29.0,1.0,29.2,12.3,27.0,26.0,1.0,27.0,0.1,23.3,26.0,1.0,27.0,0.1,24.4,26.0
2023-05-30 12:25:00,,65.6,43.9,27.0,31.775,27.2,27.2,[27.2],1.0,43.9,12.0,31.1,29.0,1.0,29.2,12.4,26.9,26.0,1.0,27.0,0.1,23.3,26.0,1.0,27.0,0.1,24.5,26.0
2023-05-30 12:30:00,,65.6,43.9,27.1,31.825,26.3,26.3,[26.3],1.0,43.9,11.9,31.2,29.0,1.0,29.2,12.4,27.1,26.0,1.0,27.1,0.1,23.3,26.0,1.0,27.1,0.1,24.3,26.0
2023-05-30 12:35:00,,65.6,43.9,27.2,31.875,27.1,27.1,[27.1],1.0,43.9,12.0,31.2,29.0,1.0,29.2,12.3,27.0,26.0,1.0,27.2,0.1,23.3,26.0,1.0,27.2,0.1,24.2,26.0
2023-05-30 12:40:00,,65.6,43.9,27.1,31.825,27.3,27.3,[27.3],1.0,43.9,12.2,31.2,29.0,1.0,29.2,12.6,27.0,26.0,1.0,27.1,0.1,23.3,26.0,1.0,27.1,0.1,24.3,26.0
2023-05-30 12:45:00,,65.7,44.0,27.1,31.85,27.2,27.2,[27.2],1.0,44.0,12.1,31.2,29.0,1.0,29.2,12.5,27.1,26.0,1.0,27.1,0.1,23.3,26.0,1.0,27.1,0.1,24.3,26.0
2023-05-30 12:50:00,,65.4,44.0,27.1,31.85,26.3,26.3,[26.3],1.0,44.0,12.1,31.1,29.0,1.0,29.2,12.5,27.0,26.0,1.0,27.1,0.1,23.4,26.0,1.0,27.1,0.1,24.5,26.0
2023-05-30 12:55:00,,65.7,44.0,27.1,31.875,26.2,26.2,[26.2],1.0,44.0,11.9,31.2,29.0,1.0,29.3,12.4,27.3,26.0,1.0,27.1,0.1,23.4,26.0,1.0,27.1,0.1,24.3,26.0
2023-05-30 13:00:00,,65.6,44.0,27.2,31.925,27.2,27.2,[27.2],1.0,44.0,11.9,31.2,29.0,1.0,29.3,12.3,27.0,26.0,1.0,27.2,0.1,23.4,26.0,1.0,27.2,0.1,24.4,26.0
2023-05-30 13:05:00,,65.6,44.0,27.1,31.875,27.2,27.2,[27.2],1.0,44.0,11.8,31.2,29.0,1.0,29.3,12.2,27.0,26.0,1.0,27.1,0.1,23.4,26.0,1.0,27.1,0.1,24.4,26.0
2023-05-30 13:10:00,,65.6,44.0,27.2,31.9,27.3,27.3,[27.3],1.0,44.0,12.0,31.2,29.0,1.0,29.2,12.2,27.0,26.0,1.0,27.2,0.1,23.3,26.0,1.0,27.2,0.1,24.4,26.0
2023-05-30 13:15:00,,65.5,44.0,27.3,31.975,27.3,27.3,[27.3],1.0,44.0,12.0,31.2,29.0,1.0,29.3,12.4,27.0,26.0,1.0,27.3,0.1,23.3,26.0,1.0,27.3,0.1,24.3,26.0
2023-05-30 13:20:00,,65.7,44.0,27.2,31.925,27.3,27.3,[27.3],1.0,44.0,11.9,31.2,29.0,1.0,29.3,12.5,27.0,26.0,1.0,27.2,0.1,23.3,26.0,1.0,27.2,0.1,24.3,26.0
2023-05-30 13:25:00,,65.5,44.0,27.1,31.875,27.3,27.3,[27.3],1.0,44.0,11.8,31.3,29.0,1.0,29.3,12.4,27.1,26.0,1.0,27.1,0.1,23.3,26.0,1.0,27.1,0.1,24.3,26.0
2023-05-30 13:30:00,,65.6,44.0,27.1,31.85,27.3,27.3,[27.3],1.0,44.0,12.0,31.2,29.0,1.0,29.2,12.3,27.1,26.0,1.0,27.1,0.1,23.3,26.0,1.0,27.1,0.1,24.4,26.0
2023-05-30 13:35:00,,65.6,44.1,27.2,31.950000000000003,27.2,27.2,[27.2],1.0,44.1,11.7,31.2,29.0,1.0,29.3,12.5,27.2,26.0,1.0,27.2,0.1,23.4,26.0,1.0,27.2,0.1,24.3,26.0
2023-05-30 13:40:00,,65.7,44.1,27.2,31.950000000000003,27.2,27.2,[27.2],1.0,44.1,,31.2,29.0,1.0,29.3,,27.3,26.0,1.0,27.2,,23.3,26.0,1.0,27.2,,24.2,26.0
2023-05-30 13:45:00,,65.5,44.0,27.2,31.925,27.3,27.3,[27.3],1.0,44.0,11.9,31.2,29.0,1.0,29.3,12.4,26.9,26.0,1.0,27.2,0.1,23.4,26.0,1.0,27.2,0.1,24.3,26.0
2023-05-30 13:50:00,,65.9,44.0,27.2,31.925,27.3,27.3,[27.3],1.0,44.0,12.1,31.3,29.0,1.0,29.3,12.5,27.3,26.0,1.0,27.2,0.1,23.3,26.0,1.0,27.2,0.1,24.4,26.0
2023-05-30 13:55:00,,65.6,44.1,27.2,31.950000000000003,27.3,27.3,[27.3],1.0,44.1,11.7,31.3,29.0,1.0,29.3,12.2,27.1,26.0,1.0,27.2,0.1,23.4,26.0,1.0,27.2,0.1,24.4,26.0
2023-05-30 14:00:00,,65.5,44.1,27.2,31.950000000000003,27.2,27.2,[27.2],1.0,44.1,12.1,31.3,29.0,1.0,29.3,12.3,27.0,26.0,1.0,27.2,0.1,23.4,26.0,1.0,27.2,0.1,24.3,26.0
2023-05-30 14:05:00,,65.6,44.1,27.2,31.950000000000003,27.2,27.2,[27.2],1.0,44.1,12.0,31.3,29.0,1.0,29.3,12.4,27.3,26.0,1.0,27.2,0.1,23.4,26.0,1.0,27.2,0.1,24.3,26.0
2023-05-30 14:10:00,,65.5,44.1,27.2,31.950000000000003,27.3,27.3,[27.3],1.0,44.1,12.3,31.3,29.0,1.0,29.3,12.4,27.2,26.0,1.0,27.2,0.1,23.5,26.0,1.0,27.2,0.1,24.4,26.0
2023-05-30 14:15:00,,65.5,44.1,27.2,31.950000000000003,27.3,27.3,[27.3],1.0,44.1,12.0,31.3,29.0,1.0,29.3,12.3,27.3,26.0,1.0,27.2,0.1,23.6,26.0,1.0,27.2,0.1,24.6,26.0
2023-05-30 14:20:00,,65.6,44.1,27.2,31.975,27.3,27.3,[27.3],1.0,44.1,12.2,31.3,29.0,1.0,29.4,12.3,27.1,26.0,1.0,27.2,0.1,23.4,26.0,1.0,27.2,0.1,24.5,26.0
2023-05-30 14:25:00,,65.5,44.1,27.3,32.0,27.3,27.3,[27.3],1.0,44.1,11.9,31.3,29.0,1.0,29.3,12.3,27.4,26.0,1.0,27.3,0.1,23.4,26.0,1.0,27.3,0.1,24.5,26.0
2023-05-30 14:30:00,,65.7,44.1,27.2,31.950000000000003,27.3,27.3,[27.3],1.0,44.1,12.1,31.2,29.0,1.0,29.3,12.2,27.0,26.0,1.0,27.2,0.1,23.4,26.0,1.0,27.2,0.1,24.3,26.0
2023-05-30 14:35:00,,65.5,44.1,27.2,31.950000000000003,27.3,27.3,[27.3],1.0,44.1,12.0,31.3,29.0,1.0,29.3,12.4,27.3,26.0,1.0,27.2,0.1,23.4,26.0,1.0,27.2,0.1,24.3,26.0
2023-05-30 14:40:00,,65.6,44.1,27.2,31.950000000000003,27.3,27.3,[27.3],1.0,44.1,11.9,31.3,29.0,1.0,29.3,12.4,27.1,26.0,1.0,27.2,0.1,23.4,26.0,1.0,27.2,0.1,24.4,26.0
2023-05-30 14:45:00,,65.6,44.1,27.2,31.950000000000003,27.3,27.3,[27.3],1.0,44.1,11.9,31.3,29.0,1.0,29.3,12.4,27.2,26.0,1.0,27.2,0.1,23.4,26.0,1.0,27.2,0.1,24.3,26.0
2023-05-30 14:50:00,,65.6,44.1,27.3,32.025,27.3,27.3,[27.3],1.0,44.1,12.0,31.3,29.0,1.0,29.4,12.5,27.2,26.0,1.0,27.3,0.1,23.4,26.0,1.0,27.3,0.1,24.3,26.0
2023-05-30 14:55:00,,65.6,44.1,27.2,31.975,27.3,27.3,[27.3],1.0,44.1,11.8,31.3,29.0,1.0,29.4,12.3,27.1,26.0,1.0,27.2,0.1,23.3,26.0,1.0,27.2,0.1,24.3,26.0
2023-05-30 15:00:00,,65.6,44.2,27.3,32.025,27.4,27.4,[27.4],1.0,44.2,12.1,31.3,29.0,1.0,29.3,12.5,27.1,26.0,1.0,27.3,0.1,23.3,26.0,1.0,27.3,0.1,24.3,26.0
2023-05-30 15:05:00,,65.6,44.2,27.2,32.0,26.3,26.3,[26.3],1.0,44.2,11.9,31.3,29.0,1.0,29.4,12.3,27.1,26.0,1.0,27.2,0.1,23.5,26.0,1.0,27.2,0.1,24.4,26.0
2023-05-30 15:10:00,,65.7,44.1,27.2,31.950000000000003,27.3,27.3,[27.3],1.0,44.1,12.2,31.3,29.0,1.0,29.3,12.3,27.3,26.0,1.0,27.2,0.1,23.5,26.0,1.0,27.2,0.1,24.5,26.0
2023-05-30 15:15:00,,65.7,44.2,27.2,32.0,27.3,27.3,[27.3],1.0,44.2,11.9,31.3,29.0,1.0,29.4,12.3,27.2,26.0,1.0,27.2,0.1,23.5,26.0,1.0,27.2,0.1,24.4,26.0
2023-05-30 15:20:00,,65.7,44.2,27.3,32.025,27.3,27.3,[27.3],1.0,44.2,11.9,31.3,29.0,1.0,29.3,12.3,27.1,26.0,1.0,27.3,0.1,23.4,26.0,1.0,27.3,0.1,24.3,26.0
2023-05-30 15:25:00,,65.7,44.1,27.3,32.025,27.3,27.3,[27.3],1.0,44.1,11.8,31.4,29.0,1.0,29.4,12.3,27.4,26.0,1.0,27.3,0.1,23.4,26.0,1.0,27.3,0.1,24.4,26.0
2023-05-30 15:30:00,,65.6,44.2,27.3,32.05,27.4,27.4,[27.4],1.0,44.2,12.3,31.3,29.0,1.0,29.4,12.4,27.2,26.0,1.0,27.3,0.1,23.4,26.0,1.0,27.3,0.1,24.4,26.0
2023-05-30 15:35:00,,65.5,44.2,27.3,32.05,27.3,27.3,[27.3],1.0,44.2,12.2,31.3,29.0,1.0,29.4,12.3,27.5,26.0,1.0,27.3,0.1,23.4,26.0,1.0,27.3,0.1,24.4,26.0
2023-05-30 15:40:00,,65.5,44.1,27.3,32.025,27.3,27.3,[27.3],1.0,44.1,12.1,31.3,29.0,1.0,29.4,12.3,27.2,26.0,1.0,27.3,0.1,23.5,26.0,1.0,27.3,0.1,24.5,26.0
2023-05-30 15:45:00,,65.6,44.2,27.3,32.05,27.4,27.4,[27.4],1.0,44.2,12.2,31.4,29.0,1.0,29.4,12.5,27.1,26.0,1.0,27.3,0.1,23.4,26.0,1.0,27.3,0.1,24.3,26.0
2023-05-30 15:50:00,,65.6,44.2,27.3,32.05,27.3,27.3,[27.3],1.0,44.2,12.1,31.4,29.0,1.0,29.4,12.3,27.1,26.0,1.0,27.3,0.1,23.5,26.0,1.0,27.3,0.1,24.5,26.0
2023-05-30 15:55:00,,65.6,44.2,27.3,32.05,27.3,27.3,[27.3],1.0,44.2,12.2,31.4,29.0,1.0,29.4,12.3,27.2,26.0,1.0,27.3,0.1,23.6,26.0,1.0,27.3,0.1,24.5,26.0
2023-05-30 16:00:00,,65.7,44.2,27.3,32.05,27.3,27.3,[27.3],1.0,44.2,11.7,31.4,29.0,1.0,29.4,12.3,27.1,26.0,1.0,27.3,0.1,23.5,26.0,1.0,27.3,0.1,24.4,26.0
2023-05-30 16:05:00,,65.6,44.2,27.3,32.075,27.4,27.4,[27.4],1.0,44.2,11.9,31.4,29.0,1.0,29.5,12.4,27.2,26.0,1.0,27.3,0.1,23.6,26.0,1.0,27.3,0.1,24.5,26.0
2023-05-30 16:10:00,,65.7,44.2,27.2,32.0,27.4,27.4,[27.4],1.0,44.2,11.9,31.4,29.0,1.0,29.4,12.4,27.3,26.0,1.0,27.2,0.1,23.5,26.0,1.0,27.2,0.1,24.4,26.0
2023-05-30 16:15:00,,65.5,44.2,27.3,32.05,27.4,27.4,[27.4],1.0,44.2,12.1,31.4,29.0,1.0,29.4,12.3,27.3,26.0,1.0,27.3,0.1,23.5,26.0,1.0,27.3,0.1,24.3,26.0
2023-05-30 16:20:00,,65.6,44.2,27.3,32.05,27.4,27.4,[27.4],1.0,44.2,11.8,31.4,29.0,1.0,29.4,12.1,27.2,26.0,1.0,27.3,0.1,23.4,26.0,1.0,27.3,0.1,24.5,26.0
2023-05-30 16:25:00,,65.7,44.2,27.3,32.05,27.4,27.4,[27.4],1.0,44.2,11.8,31.4,29.0,1.0,29.4,12.3,27.2,26.0,1.0,27.3,0.1,23.4,26.0,1.0,27.3,0.1,24.4,26.0
2023-05-30 16:30:00,,65.7,44.3,27.3,32.075,27.4,27.4,[27.4],1.0,44.3,12.2,31.4,29.0,1.0,29.4,12.2,27.2,26.0,1.0,27.3,0.1,23.5,26.0,1.0,27.3,0.1,24.5,26.0
2023-05-30 16:35:00,,65.5,44.2,27.3,32.05,27.3,27.3,[27.3],1.0,44.2,12.2,31.4,29.0,1.0,29.4,12.4,27.2,26.0,1.0,27.3,0.1,23.5,26.0,1.0,27.3,0.1,24.5,26.0
2023-05-30 16:40:00,,65.6,44.2,27.3,32.05,27.3,27.3,[27.3],1.0,44.2,12.0,31.4,29.0,1.0,29.4,12.3,27.3,26.0,1.0,27.3,0.1,23.5,26.0,1.0,27.3,0.1,24.4,26.0
2023-05-30 16:45:00,,65.6,44.2,27.3,32.025,24.5,24.5,[24.5],1.0,44.2,11.7,31.4,29.0,1.0,29.3,12.3,27.1,26.0,1.0,27.3,0.1,23.4,26.0,1.0,27.3,0.1,24.4,26.0
2023-05-30 16:50:00,,65.6,44.3,27.3,32.075,27.5,27.5,[27.5],1.0,44.3,11.7,31.4,29.0,1.0,29.4,12.2,27.4,26.0,1.0,27.3,0.1,23.5,26.0,1.0,27.3,0.1,24.8,26.0
