time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3805197_c,3805197_h,3805197_p,3805197_r,3805197_s,3805198_c,3805198_h,3805198_p,3805198_r,3805198_s,3805199_c,3805199_h,3805199_p,3805199_r,3805199_s
2023-05-30 09:00:00,,,,,,,,,,,4.0,,,,,3.8,,,,,3.1,,
2023-05-30 09:05:00,,,35.3,32.0,34.0,29.5,29.5,[29.5],1.0,35.3,4.0,30.6,23.0,1.0,32.0,3.8,28.7,23.0,1.0,34.7,3.1,26.0,23.0
2023-05-30 09:10:00,,,35.3,32.0,34.0,29.5,29.5,[29.5],1.0,35.3,4.0,30.6,23.0,1.0,32.0,3.9,28.7,23.0,1.0,34.7,3.1,26.0,23.0
2023-05-30 09:15:00,,,35.3,32.1,34.03333333333334,29.5,29.5,[29.5],1.0,35.3,4.1,30.6,23.0,1.0,32.1,3.9,28.6,23.0,1.0,34.7,3.2,26.0,23.0
2023-05-30 09:20:00,,,35.3,32.1,34.03333333333334,29.5,29.5,[29.5],1.0,35.3,4.1,30.6,23.0,1.0,32.1,3.9,28.7,23.0,1.0,34.7,3.2,26.0,23.0
2023-05-30 09:25:00,,,35.3,32.0,34.0,29.4,29.4,[29.4],1.0,35.3,4.1,30.5,23.0,1.0,32.0,3.9,28.7,23.0,1.0,34.7,3.2,26.0,23.0
2023-05-30 09:30:00,,,35.3,32.0,34.0,29.4,29.4,[29.4],1.0,35.3,4.1,30.4,23.0,1.0,32.0,3.9,28.6,23.0,1.0,34.7,3.2,26.0,23.0
2023-05-30 09:35:00,,,35.3,32.0,34.0,29.4,29.4,[29.4],1.0,35.3,4.2,30.6,23.0,1.0,32.0,3.9,28.6,23.0,1.0,34.7,3.3,26.0,23.0
2023-05-30 09:40:00,,,35.3,32.0,34.0,29.4,29.4,[29.4],1.0,35.3,4.1,30.5,23.0,1.0,32.0,4.0,28.6,23.0,1.0,34.7,3.2,26.0,23.0
2023-05-30 09:45:00,,,35.3,32.0,34.0,29.4,29.4,[29.4],1.0,35.3,4.1,30.5,23.0,1.0,32.0,4.0,28.6,23.0,1.0,34.7,3.2,26.0,23.0
2023-05-30 09:50:00,,,35.3,32.0,34.0,29.4,29.4,[29.4],1.0,35.3,4.1,30.6,23.0,1.0,32.0,4.0,28.7,23.0,1.0,34.7,3.3,26.0,23.0
2023-05-30 09:55:00,,,35.3,32.1,34.0,29.5,29.5,[29.5],1.0,35.3,4.1,30.4,23.0,1.0,32.1,3.9,28.6,23.0,1.0,34.6,3.2,26.0,23.0
2023-05-30 10:00:00,,,35.3,32.1,34.0,29.5,29.5,[29.5],1.0,35.3,,30.5,23.0,1.0,32.1,,28.6,23.0,1.0,34.6,,26.0,23.0
2023-05-30 10:05:00,,,35.3,32.1,34.03333333333334,29.5,29.5,[29.5],1.0,35.3,4.15,30.5,23.0,1.0,32.1,4.0,28.7,23.0,1.0,34.7,3.3,26.0,23.0
2023-05-30 10:10:00,,,35.3,32.1,34.03333333333334,29.5,29.5,[29.5],1.0,35.3,4.2,28.8,23.0,1.0,32.1,3.9,28.7,23.0,1.0,34.7,3.2,26.0,23.0
2023-05-30 10:15:00,,,34.9,32.2,33.93333333333333,29.5,29.5,[29.5],1.0,34.9,4.2,27.6,23.0,1.0,32.2,3.9,28.8,23.0,1.0,34.7,3.2,25.0,23.0
2023-05-30 10:20:00,,,34.1,32.3,33.5,29.6,29.6,[29.6],1.0,34.1,4.3,27.4,23.0,1.0,32.3,4.0,28.9,23.0,1.0,34.1,3.3,25.0,23.0
2023-05-30 10:25:00,,,34.1,32.3,33.5,29.6,29.6,[29.6],1.0,34.1,4.3,27.5,23.0,1.0,32.3,4.0,28.9,23.0,1.0,34.1,3.3,25.0,23.0
2023-05-30 10:30:00,,,33.0,32.2,32.733333333333334,29.6,29.6,[29.6],1.0,33.0,4.2,27.2,23.0,1.0,32.2,3.9,28.9,23.0,1.0,33.0,3.3,26.0,23.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,,32.3,32.1,32.2,29.6,29.6,[29.6],1.0,32.1,4.3,28.2,23.0,1.0,32.2,4.0,29.0,23.0,1.0,32.3,3.4,26.0,23.0
2023-05-30 10:45:00,,,32.3,32.1,32.2,29.6,29.6,[29.6],1.0,32.1,4.3,27.2,23.0,1.0,32.2,4.1,28.9,23.0,1.0,32.3,3.4,26.0,23.0
2023-05-30 10:50:00,,,32.3,31.7,32.06666666666667,29.6,29.6,[29.6],1.0,31.7,4.2,27.7,23.0,1.0,32.2,4.1,29.0,23.0,1.0,32.3,3.4,26.0,23.0
2023-05-30 10:55:00,,,32.5,31.6,32.1,29.6,29.6,[29.6],1.0,31.6,4.4,28.0,23.0,1.0,32.2,4.1,29.1,23.0,1.0,32.5,3.4,25.0,23.0
2023-05-30 11:00:00,,,32.5,31.5,32.1,29.6,29.6,[29.6],1.0,31.5,4.4,27.7,23.0,1.0,32.3,4.2,29.1,23.0,1.0,32.5,3.5,26.0,23.0
2023-05-30 11:05:00,,,32.5,31.5,32.1,29.6,29.6,[29.6],1.0,31.5,4.4,28.6,23.0,1.0,32.3,4.2,29.0,23.0,1.0,32.5,3.5,26.0,23.0
2023-05-30 11:10:00,,,32.4,31.3,32.0,29.6,29.6,[29.6],1.0,31.3,4.4,28.6,23.0,1.0,32.3,4.1,29.0,23.0,1.0,32.4,3.4,26.0,23.0
