time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,337137_c,337137_h,337137_p,337137_r,337137_s,337138_c,337138_h,337138_p,337138_r,337138_s,3791632_c,3791632_p,3791632_r,3791632_s
2023-05-30 09:00:00,,,,,,,,,,,10.1,,,,,1.6,,,,10.5,,
2023-05-30 09:10:00,,32.0,20.5,20.4,20.45,22.685714285714287,29.1,"[20.8, 29.1, 26.9, 21.2, 20.6, 19.3, 20.9]",1.0,20.4,10.5,20.7,21.0,1.0,20.5,1.6,19.8,21.0,1.0,10.3,19.0,21.0
2023-05-30 09:15:00,,32.0,20.7,20.4,20.55,22.785714285714285,28.9,"[21.1, 28.9, 27.0, 21.1, 20.9, 19.5, 21.0]",1.0,20.4,10.3,20.9,21.0,1.0,20.7,1.6,20.6,21.0,1.0,4.3,20.3,21.0
2023-05-30 09:20:00,,32.0,21.2,21.1,21.15,22.914285714285715,28.0,"[21.7, 28.0, 26.8, 21.5, 21.5, 19.8, 21.1]",1.0,21.1,10.3,21.2,21.0,1.0,21.2,1.6,21.2,21.0,1.0,1.8,21.3,21.0
2023-05-30 09:25:00,,32.0,21.6,21.2,21.4,22.87142857142857,27.3,"[22.0, 27.3, 26.6, 21.6, 21.8, 19.7, 21.1]",1.0,21.6,11.7,21.3,21.0,1.0,21.2,1.8,21.4,21.0,1.0,2.1,21.8,21.0
2023-05-30 09:30:00,,31.0,21.8,21.1,21.450000000000003,22.77142857142857,26.6,"[22.3, 26.6, 26.2, 21.8, 22.2, 19.3, 21.0]",1.0,21.8,10.9,20.9,21.0,1.0,21.1,1.8,21.5,21.0,1.0,2.3,22.1,21.0
2023-05-30 09:35:00,,32.0,21.9,20.6,21.25,22.685714285714287,26.5,"[22.5, 26.5, 25.9, 21.9, 22.3, 18.8, 20.9]",1.0,21.9,10.6,20.6,21.0,1.0,20.6,1.8,21.3,21.0,1.0,2.5,22.1,21.0
2023-05-30 09:40:00,,31.0,22.1,20.0,21.05,22.74285714285714,26.9,"[22.7, 26.9, 25.8, 22.1, 22.4, 18.5, 20.8]",1.0,22.1,10.1,20.6,21.0,1.0,20.0,1.7,21.0,21.0,1.0,2.6,22.3,21.0
2023-05-30 09:45:00,,32.0,22.2,20.1,21.15,22.9,27.3,"[22.8, 27.3, 25.9, 22.2, 22.6, 18.7, 20.8]",1.0,22.2,10.4,20.6,21.0,1.0,20.1,1.7,21.3,21.0,1.0,2.6,22.5,21.0
2023-05-30 09:50:00,,32.0,22.4,20.4,21.4,23.15714285714285,27.9,"[22.9, 27.9, 26.1, 22.3, 22.8, 19.1, 21.0]",1.0,22.4,11.0,21.4,21.0,1.0,20.4,2.0,21.5,21.0,1.0,2.8,22.5,21.0
2023-05-30 09:55:00,,32.0,22.3,20.7,21.5,23.15714285714285,28.5,"[22.5, 28.5, 26.4, 22.0, 22.3, 19.3, 21.1]",1.0,22.3,11.1,21.2,21.0,1.0,20.7,1.7,21.4,21.0,1.0,12.2,21.9,21.0
2023-05-30 10:00:00,,31.0,20.8,20.8,20.8,23.014285714285712,29.0,"[21.6, 29.0, 26.7, 21.7, 21.5, 19.5, 21.1]",1.0,20.8,10.1,20.8,21.0,1.0,20.8,1.6,20.4,21.0,1.0,10.0,19.9,21.0
2023-05-30 10:05:00,,32.0,20.9,20.3,20.6,22.814285714285717,29.2,"[20.8, 29.2, 27.0, 21.4, 20.7, 19.6, 21.0]",1.0,20.3,,20.7,21.0,1.0,20.9,,20.4,21.0,1.0,,19.9,21.0
2023-05-30 10:10:00,,32.0,20.9,20.4,20.65,22.714285714285715,28.4,"[21.0, 28.4, 26.9, 21.3, 20.8, 19.6, 21.0]",1.0,20.4,10.0,20.9,21.0,1.0,20.9,1.6,20.5,21.0,1.0,1.8,20.1,21.0
2023-05-30 10:15:00,,32.0,21.4,21.0,21.2,22.785714285714285,27.7,"[21.5, 27.7, 26.7, 21.4, 21.3, 19.7, 21.2]",1.0,21.0,10.3,21.1,21.0,1.0,21.4,1.6,21.1,21.0,1.0,1.7,21.0,21.0
2023-05-30 10:20:00,,32.0,21.4,20.7,21.05,22.67142857142857,26.9,"[21.9, 26.9, 26.4, 21.6, 21.7, 19.2, 21.0]",1.0,21.4,10.9,20.8,21.0,1.0,20.7,1.7,21.2,21.0,1.0,2.0,21.5,21.0
