time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,518913_c,518913_h,518913_p,518913_r,518913_s,6426_c,6426_h,6426_p,6426_r,6426_s,6427_c,6427_h,6427_p,6427_r,6427_s
2023-05-30 09:00:00,,,,,,,,,,,8.1,,,,,8.7,,,,,13.0,,
2023-05-30 09:10:00,,47.0,32.5,27.1,29.9,27.83333333333333,28.9,"[26.6, 28.0, 28.9]",1.0,30.1,7.8,27.0,22.0,1.0,27.1,13.4,26.0,24.0,1.0,32.5,7.9,26.1,24.0
2023-05-30 09:15:00,,47.0,32.5,26.8,29.8,27.5,28.6,"[25.9, 28.0, 28.6]",1.0,30.1,8.2,27.0,22.0,1.0,26.8,13.5,24.3,24.0,1.0,32.5,13.0,25.0,24.0
2023-05-30 09:20:00,,47.0,32.2,26.6,29.600000000000005,27.46666666666667,28.6,"[25.9, 27.9, 28.6]",1.0,30.0,8.3,27.0,22.0,1.0,26.6,13.5,24.6,24.0,1.0,32.2,13.0,26.1,24.0
2023-05-30 09:25:00,,47.0,31.8,26.6,29.433333333333334,27.633333333333336,28.6,"[26.4, 27.9, 28.6]",1.0,29.9,8.1,27.0,22.0,1.0,26.6,8.3,26.9,24.0,1.0,31.8,2.4,26.3,24.0
2023-05-30 09:30:00,,47.0,31.7,26.3,29.266666666666666,27.33333333333333,28.4,"[25.8, 27.8, 28.4]",1.0,29.8,8.1,27.0,22.0,1.0,26.3,13.5,25.5,24.0,1.0,31.7,8.0,25.1,24.0
2023-05-30 09:35:00,,47.0,31.7,26.2,29.2,27.433333333333334,28.3,"[26.2, 27.8, 28.3]",1.0,29.7,8.2,27.0,23.0,1.0,26.2,8.3,26.3,25.0,1.0,31.7,8.0,25.7,25.0
2023-05-30 09:40:00,,47.0,31.3,26.6,29.2,27.6,28.5,"[26.6, 27.7, 28.5]",1.0,29.7,7.9,27.0,23.0,1.0,26.6,8.3,26.8,25.0,1.0,31.3,8.1,26.3,25.0
2023-05-30 09:45:00,,47.0,31.5,26.7,29.3,27.53333333333333,28.6,"[26.2, 27.8, 28.6]",1.0,29.7,8.0,27.0,23.0,1.0,26.7,8.3,24.7,25.0,1.0,31.5,12.8,26.1,25.0
2023-05-30 09:50:00,,47.0,32.1,26.9,29.600000000000005,27.7,28.7,"[26.6, 27.8, 28.7]",1.0,29.8,8.1,27.0,23.0,1.0,26.9,8.3,25.9,25.0,1.0,32.1,7.0,26.6,25.0
