time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1555860_c,1555860_r,1555860_s,1555861_c,1555861_h,1555861_r,1555861_s,1555862_c,1555862_r,1555862_s,1555863_c,1555863_r,1555863_s,1555864_c,1555864_r,1555864_s,1555865_c,1555865_h,1555865_r,1555865_s,1555866_c,1555866_r,1555866_s
2023-05-30 09:10:00,,19.8,19.8,19.8,23.566666666666663,25.3,"[24.1, 21.3, 25.3]",1.0,26.5,25.0,1.0,19.8,23.8,24.0,1.0,26.8,24.0,1.0,24.3,25.0,0.0,21.3,26.0,1.0,19.8,25.4,24.0,1.0,23.2,24.0
2023-05-30 09:15:00,,17.1,17.1,17.1,22.066666666666663,25.1,"[21.2, 19.9, 25.1]",1.0,25.7,25.0,1.0,17.1,23.7,24.0,1.0,26.1,24.0,1.0,23.1,25.0,0.0,21.5,26.0,1.0,17.1,24.2,24.0,1.0,21.7,24.0
2023-05-30 09:20:00,,17.7,17.7,17.7,23.2,25.0,"[23.0, 21.6, 25.0]",1.0,25.7,25.0,1.0,17.7,23.1,24.0,1.0,25.7,24.0,1.0,22.8,25.0,0.0,20.6,26.0,1.0,17.7,23.6,24.0,1.0,21.7,24.0
2023-05-30 09:25:00,,19.2,19.2,19.2,23.73333333333333,25.2,"[24.0, 22.0, 25.2]",1.0,26.0,25.0,1.0,19.2,23.5,24.0,1.0,26.5,24.0,1.0,23.3,25.0,0.0,20.8,26.0,1.0,19.2,24.8,24.0,1.0,22.6,24.0
2023-05-30 09:30:00,,19.7,19.7,19.7,22.73333333333333,25.3,"[22.5, 20.4, 25.3]",1.0,26.6,25.0,1.0,19.7,23.9,24.0,1.0,26.9,24.0,1.0,24.1,25.0,0.0,21.5,26.0,1.0,19.7,25.4,24.0,1.0,23.3,24.0
2023-05-30 09:35:00,,16.5,16.5,16.5,22.433333333333334,25.0,"[21.7, 20.6, 25.0]",1.0,24.8,25.0,1.0,16.5,23.2,24.0,1.0,25.7,24.0,1.0,22.4,25.0,0.0,20.9,26.0,1.0,16.5,23.4,24.0,1.0,20.9,24.0
2023-05-30 09:40:00,,18.5,18.5,18.5,23.46666666666667,25.0,"[23.5, 21.9, 25.0]",1.0,25.4,25.0,1.0,18.5,23.2,24.0,1.0,25.8,24.0,1.0,23.2,25.0,0.0,20.5,26.0,1.0,18.5,24.1,24.0,1.0,22.2,24.0
2023-05-30 09:45:00,,19.7,19.7,19.7,23.73333333333333,25.2,"[24.3, 21.7, 25.2]",1.0,26.2,25.0,1.0,19.7,23.6,24.0,1.0,26.6,24.0,1.0,24.0,25.0,0.0,21.1,26.0,1.0,19.7,25.1,24.0,1.0,23.0,24.0
2023-05-30 09:50:00,,19.7,19.7,19.7,22.133333333333336,25.2,"[21.4, 19.8, 25.2]",1.0,25.7,25.0,1.0,19.7,23.6,24.0,1.0,26.3,24.0,1.0,23.3,25.0,0.0,21.3,26.0,1.0,19.7,24.2,24.0,1.0,21.9,24.0
2023-05-30 09:55:00,,17.1,17.1,17.1,22.9,24.9,"[22.5, 21.3, 24.9]",1.0,24.5,25.0,1.0,17.1,23.0,24.0,1.0,25.7,24.0,1.0,22.7,25.0,0.0,20.9,26.0,1.0,17.1,23.2,24.0,1.0,20.9,24.0
2023-05-30 10:00:00,,19.1,19.1,19.1,23.666666666666668,25.1,"[23.9, 22.0, 25.1]",1.0,25.8,25.0,1.0,19.1,23.4,24.0,1.0,26.0,24.0,1.0,23.4,25.0,0.0,20.6,26.0,1.0,19.1,24.3,24.0,1.0,22.2,24.0
2023-05-30 10:05:00,,19.1,19.1,19.1,23.23333333333333,25.2,"[23.3, 21.2, 25.2]",1.0,26.6,25.0,1.0,19.1,23.8,24.0,1.0,26.8,24.0,1.0,24.3,25.0,0.0,21.4,26.0,1.0,19.1,24.3,24.0,1.0,23.2,24.0
2023-05-30 10:10:00,,19.8,19.8,19.8,22.0,25.0,"[21.1, 19.9, 25.0]",1.0,25.4,25.0,1.0,19.8,23.5,24.0,1.0,26.1,24.0,1.0,23.0,25.0,0.0,21.3,26.0,1.0,19.8,24.0,24.0,1.0,21.6,24.0
2023-05-30 10:15:00,,18.1,18.1,18.1,23.3,25.0,"[23.2, 21.7, 25.0]",1.0,25.0,25.0,1.0,18.1,23.1,24.0,1.0,25.9,24.0,1.0,22.8,25.0,0.0,20.5,26.0,1.0,18.1,23.9,24.0,1.0,21.7,24.0
