time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3824007_c,3824007_h,3824007_p,3824007_r,3824007_s,7368_c,7368_h,7368_p,7368_r,7368_s,7379_c,7379_h,7379_p,7379_r,7379_s,7380_c,7380_h,7380_p,7380_r,7380_s
2023-05-30 09:05:00,,69.9,34.6,26.2,31.5,,,,1.0,26.2,22.6,26.0,24.0,1.0,30.6,2.9,26.9,24.0,1.0,34.6,8.7,24.6,24.0,1.0,34.6,2.3,24.0,24.0
2023-05-30 09:10:00,,69.8,34.6,26.1,31.475,26.7,26.7,[26.7],1.0,26.1,21.5,25.7,25.0,1.0,30.6,2.9,26.8,25.0,1.0,34.6,3.2,24.6,25.0,1.0,34.6,2.3,24.2,25.0
2023-05-30 09:15:00,,69.8,34.7,26.1,31.525,26.7,26.7,[26.7],1.0,26.1,21.9,25.5,25.0,1.0,30.6,2.9,26.9,25.0,1.0,34.7,3.2,25.2,25.0,1.0,34.7,2.3,24.5,25.0
2023-05-30 09:20:00,,69.9,34.8,26.2,31.625,26.7,26.7,[26.7],1.0,26.2,22.3,25.7,25.0,1.0,30.7,2.9,26.9,25.0,1.0,34.8,3.2,25.4,25.0,1.0,34.8,2.3,24.9,25.0
2023-05-30 09:25:00,,69.8,34.8,26.2,31.6,26.7,26.7,[26.7],1.0,26.2,22.5,25.6,25.0,1.0,30.6,2.9,27.0,25.0,1.0,34.8,3.2,25.4,25.0,1.0,34.8,2.3,24.9,25.0
2023-05-30 09:30:00,,69.8,34.9,26.2,31.675,26.8,26.8,[26.8],1.0,26.2,22.3,25.8,25.0,1.0,30.7,2.9,27.2,25.0,1.0,34.9,3.2,25.6,25.0,1.0,34.9,2.3,24.7,25.0
2023-05-30 09:35:00,,69.8,35.1,26.3,31.8,26.8,26.8,[26.8],1.0,26.3,22.5,25.6,24.0,1.0,30.7,2.9,27.0,24.0,1.0,35.1,8.5,25.4,24.0,1.0,35.1,7.3,24.3,24.0
2023-05-30 09:40:00,,69.8,34.9,26.3,31.675000000000004,26.8,26.8,[26.8],1.0,26.3,22.1,25.9,24.0,1.0,30.6,2.9,26.9,24.0,1.0,34.9,8.5,24.1,24.0,1.0,34.9,2.3,23.6,24.0
2023-05-30 09:45:00,,69.8,34.9,26.3,31.675000000000004,26.7,26.7,[26.7],1.0,26.3,22.5,25.6,24.0,1.0,30.6,2.9,27.1,24.0,1.0,34.9,8.6,25.1,24.0,1.0,34.9,2.3,24.3,24.0
2023-05-30 09:50:00,,69.8,34.9,26.3,31.675000000000004,26.7,26.7,[26.7],1.0,26.3,22.9,25.7,24.0,1.0,30.6,2.9,27.0,24.0,1.0,34.9,8.6,24.9,24.0,1.0,34.9,2.3,23.9,24.0
2023-05-30 09:55:00,,69.8,34.9,26.2,31.65,26.7,26.7,[26.7],1.0,26.2,22.2,25.6,24.0,1.0,30.6,2.9,27.0,24.0,1.0,34.9,3.2,24.5,24.0,1.0,34.9,2.3,23.8,24.0
2023-05-30 10:00:00,,69.8,34.7,26.2,31.55,26.7,26.7,[26.7],1.0,26.2,22.3,25.4,24.0,1.0,30.6,2.9,26.9,24.0,1.0,34.7,9.0,24.8,24.0,1.0,34.7,2.3,24.1,24.0
2023-05-30 10:05:00,,69.9,34.7,26.2,31.575,26.7,26.7,[26.7],1.0,26.2,20.8,25.7,25.0,1.0,30.7,2.9,27.0,25.0,1.0,34.7,3.2,24.0,25.0,1.0,34.7,2.3,23.6,25.0
2023-05-30 10:10:00,,69.8,34.7,26.2,31.575,26.7,26.7,[26.7],1.0,26.2,21.3,25.7,25.0,1.0,30.7,2.9,26.9,25.0,1.0,34.7,3.2,25.2,25.0,1.0,34.7,2.3,24.3,25.0
2023-05-30 10:15:00,,69.9,34.8,26.2,31.625,26.7,26.7,[26.7],1.0,26.2,22.6,25.8,25.0,1.0,30.7,2.9,27.2,25.0,1.0,34.8,3.2,25.3,25.0,1.0,34.8,2.3,24.9,25.0
2023-05-30 10:20:00,,69.8,34.8,26.2,31.625,26.8,26.8,[26.8],1.0,26.2,,25.6,25.0,1.0,30.7,,27.2,25.0,1.0,34.8,,25.6,25.0,1.0,34.8,,25.2,25.0
2023-05-30 10:25:00,,69.9,35.0,26.2,31.725,26.8,26.8,[26.8],1.0,26.2,22.6,25.9,25.0,1.0,30.7,2.9,27.2,25.0,1.0,35.0,3.2,25.7,25.0,1.0,35.0,2.3,25.2,25.0
2023-05-30 10:30:00,,69.9,35.1,26.2,31.775,26.8,26.8,[26.8],1.0,26.2,22.3,25.9,25.0,1.0,30.7,2.9,27.1,25.0,1.0,35.1,3.2,25.7,25.0,1.0,35.1,2.3,25.0,25.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,69.8,35.1,26.3,31.8,26.8,26.8,[26.8],1.0,26.3,22.9,26.0,24.0,1.0,30.7,2.9,27.2,24.0,1.0,35.1,8.5,25.1,24.0,1.0,35.1,2.3,24.0,24.0
2023-05-30 10:45:00,,69.8,35.2,26.3,31.85,26.8,26.8,[26.8],1.0,26.3,23.1,25.8,24.0,1.0,30.7,2.9,27.1,24.0,1.0,35.2,8.9,24.7,24.0,1.0,35.2,2.3,23.7,24.0
2023-05-30 10:50:00,,70.0,35.0,26.3,31.75,26.8,26.8,[26.8],1.0,26.3,22.8,25.7,24.0,1.0,30.7,2.9,26.9,24.0,1.0,35.0,3.3,24.5,24.0,1.0,35.0,2.3,23.8,24.0
2023-05-30 10:55:00,,69.8,35.0,26.3,31.75,26.8,26.8,[26.8],1.0,26.3,22.7,25.7,24.0,1.0,30.7,2.9,27.0,24.0,1.0,35.0,8.8,25.1,24.0,1.0,35.0,2.3,24.4,24.0
2023-05-30 11:00:00,,69.8,35.0,26.2,31.725,26.7,26.7,[26.7],1.0,26.2,23.0,25.7,24.0,1.0,30.7,2.9,26.9,24.0,1.0,35.0,8.7,24.3,24.0,1.0,35.0,2.3,23.6,24.0
2023-05-30 11:05:00,,69.9,34.9,26.2,31.700000000000003,26.7,26.7,[26.7],1.0,26.2,21.7,26.0,25.0,1.0,30.8,2.9,26.9,25.0,1.0,34.9,3.2,24.8,25.0,1.0,34.9,2.3,24.1,25.0
2023-05-30 11:10:00,,69.9,34.9,26.2,31.700000000000003,,,,1.0,26.2,22.2,25.7,25.0,1.0,30.8,2.9,26.9,25.0,1.0,34.9,3.2,24.8,25.0,1.0,34.9,2.3,24.1,25.0
2023-05-30 11:15:00,,69.8,35.0,26.2,31.75,26.8,26.8,[26.8],1.0,26.2,22.9,25.9,25.0,1.0,30.8,2.9,27.1,25.0,1.0,35.0,3.2,25.6,25.0,1.0,35.0,2.3,25.2,25.0
2023-05-30 11:20:00,,69.9,35.1,26.3,31.825000000000003,26.8,26.8,[26.8],1.0,26.3,22.4,25.6,25.0,1.0,30.8,2.9,27.2,25.0,1.0,35.1,3.2,25.7,25.0,1.0,35.1,2.3,25.1,25.0
2023-05-30 11:25:00,,69.8,35.3,26.3,31.95,26.8,26.8,[26.8],1.0,26.3,23.1,25.6,25.0,1.0,30.9,2.9,27.1,25.0,1.0,35.3,3.2,25.8,25.0,1.0,35.3,2.3,25.2,25.0
2023-05-30 11:30:00,,69.9,35.3,26.3,31.95,26.8,26.8,[26.8],1.0,26.3,23.2,25.8,25.0,1.0,30.9,2.9,27.1,25.0,1.0,35.3,3.2,25.9,25.0,1.0,35.3,2.3,25.3,25.0
2023-05-30 11:35:00,,69.9,35.4,26.4,32.025,26.8,26.8,[26.8],1.0,26.4,23.7,26.2,24.0,1.0,30.9,2.9,27.3,24.0,1.0,35.4,8.5,25.7,24.0,1.0,35.4,7.5,24.7,24.0
2023-05-30 11:40:00,,69.8,35.4,26.4,32.0,26.8,26.8,[26.8],1.0,26.4,23.0,25.8,24.0,1.0,30.8,2.9,27.2,24.0,1.0,35.4,9.0,24.4,24.0,1.0,35.4,2.3,23.7,24.0
2023-05-30 11:45:00,,69.9,35.1,26.4,31.85,26.8,26.8,[26.8],1.0,26.4,22.8,25.9,24.0,1.0,30.8,2.9,27.3,24.0,1.0,35.1,8.6,24.3,24.0,1.0,35.1,2.3,23.7,24.0
2023-05-30 11:50:00,,69.8,35.1,26.3,31.85,26.8,26.8,[26.8],1.0,26.3,23.3,26.0,24.0,1.0,30.9,2.9,27.3,24.0,1.0,35.1,8.8,24.0,24.0,1.0,35.1,2.3,23.4,24.0
2023-05-30 11:55:00,,69.8,35.0,26.3,31.8,26.8,26.8,[26.8],1.0,26.3,23.2,25.7,24.0,1.0,30.9,2.9,27.4,24.0,1.0,35.0,8.9,24.9,24.0,1.0,35.0,2.3,24.0,24.0
2023-05-30 12:00:00,,69.8,34.9,26.3,31.75,26.7,26.7,[26.7],1.0,26.3,23.8,25.8,24.0,1.0,30.9,2.9,27.4,24.0,1.0,34.9,8.8,24.6,24.0,1.0,34.9,2.3,24.0,24.0
2023-05-30 12:05:00,,69.8,34.8,26.2,31.675,,,,1.0,26.2,22.4,26.0,25.0,1.0,30.9,2.9,27.3,25.0,1.0,34.8,3.2,24.5,25.0,1.0,34.8,2.3,24.0,25.0
